time,displacement
-179.978462,0.00010393
-179.953462,0.00010392
-179.928462,0.00010392
-179.903462,0.00010390
-179.878462,0.00010389
-179.853462,0.00010387
-179.828462,0.00010384
-179.803462,0.00010380
-179.778462,0.00010377
-179.753462,0.00010374
-179.728462,0.00010372
-179.703462,0.00010369
-179.678462,0.00010367
-179.653462,0.00010364
-179.628462,0.00010362
-179.603462,0.00010359
-179.578462,0.00010356
-179.553462,0.00010352
-179.528462,0.00010348
-179.503462,0.00010345
-179.478462,0.00010341
-179.453462,0.00010338
-179.428462,0.00010334
-179.403462,0.00010329
-179.378462,0.00010325
-179.353462,0.00010322
-179.328462,0.00010320
-179.303462,0.00010317
-179.278462,0.00010313
-179.253462,0.00010309
-179.228462,0.00010306
-179.203462,0.00010303
-179.178462,0.00010301
-179.153462,0.00010298
-179.128462,0.00010294
-179.103462,0.00010289
-179.078462,0.00010281
-179.053462,0.00010271
-179.028462,0.00010260
-179.003462,0.00010248
-178.978462,0.00010238
-178.953462,0.00010231
-178.928462,0.00010225
-178.903462,0.00010221
-178.878462,0.00010218
-178.853462,0.00010215
-178.828462,0.00010211
-178.803462,0.00010206
-178.778462,0.00010199
-178.753462,0.00010188
-178.728462,0.00010173
-178.703462,0.00010156
-178.678462,0.00010139
-178.653462,0.00010122
-178.628462,0.00010107
-178.603462,0.00010093
-178.578462,0.00010083
-178.553462,0.00010077
-178.528462,0.00010074
-178.503462,0.00010071
-178.478462,0.00010064
-178.453462,0.00010051
-178.428462,0.00010033
-178.403462,0.00010012
-178.378462,0.00009991
-178.353462,0.00009970
-178.328462,0.00009951
-178.303462,0.00009935
-178.278462,0.00009921
-178.253462,0.00009907
-178.228462,0.00009890
-178.203462,0.00009870
-178.178462,0.00009848
-178.153462,0.00009825
-178.128462,0.00009800
-178.103462,0.00009773
-178.078462,0.00009742
-178.053462,0.00009710
-178.028462,0.00009679
-178.003462,0.00009649
-177.978462,0.00009618
-177.953462,0.00009587
-177.928462,0.00009557
-177.903462,0.00009531
-177.878462,0.00009508
-177.853462,0.00009483
-177.828462,0.00009454
-177.803462,0.00009419
-177.778462,0.00009381
-177.753462,0.00009344
-177.728462,0.00009310
-177.703462,0.00009275
-177.678462,0.00009241
-177.653462,0.00009204
-177.628462,0.00009167
-177.603462,0.00009130
-177.578462,0.00009095
-177.553462,0.00009062
-177.528462,0.00009031
-177.503462,0.00009001
-177.478462,0.00008972
-177.453462,0.00008942
-177.428462,0.00008913
-177.403462,0.00008885
-177.378462,0.00008857
-177.353462,0.00008827
-177.328462,0.00008795
-177.303462,0.00008763
-177.278462,0.00008733
-177.253462,0.00008706
-177.228462,0.00008682
-177.203462,0.00008661
-177.178462,0.00008643
-177.153462,0.00008630
-177.128462,0.00008619
-177.103462,0.00008607
-177.078462,0.00008590
-177.053462,0.00008570
-177.028462,0.00008547
-177.003462,0.00008525
-176.978462,0.00008505
-176.953462,0.00008486
-176.928462,0.00008470
-176.903462,0.00008456
-176.878462,0.00008448
