time,displacement
-179.978462,-0.00011572
-179.953462,-0.00011554
-179.928462,-0.00011536
-179.903462,-0.00011518
-179.878462,-0.00011501
-179.853462,-0.00011484
-179.828462,-0.00011468
-179.803462,-0.00011451
-179.778462,-0.00011435
-179.753462,-0.00011418
-179.728462,-0.00011401
-179.703462,-0.00011385
-179.678462,-0.00011370
-179.653462,-0.00011354
-179.628462,-0.00011339
-179.603462,-0.00011324
-179.578462,-0.00011309
-179.553462,-0.00011295
-179.528462,-0.00011281
-179.503462,-0.00011269
-179.478462,-0.00011257
-179.453462,-0.00011246
-179.428462,-0.00011234
-179.403462,-0.00011222
-179.378462,-0.00011210
-179.353462,-0.00011198
-179.328462,-0.00011185
-179.303462,-0.00011173
-179.278462,-0.00011163
-179.253462,-0.00011154
-179.228462,-0.00011147
-179.203462,-0.00011141
-179.178462,-0.00011134
-179.153462,-0.00011126
-179.128462,-0.00011117
-179.103462,-0.00011106
-179.078462,-0.00011093
-179.053462,-0.00011078
-179.028462,-0.00011063
-179.003462,-0.00011051
-178.978462,-0.00011042
-178.953462,-0.00011036
-178.928462,-0.00011034
-178.903462,-0.00011034
-178.878462,-0.00011033
-178.853462,-0.00011031
-178.828462,-0.00011027
-178.803462,-0.00011023
-178.778462,-0.00011020
-178.753462,-0.00011019
-178.728462,-0.00011019
-178.703462,-0.00011020
-178.678462,-0.00011019
-178.653462,-0.00011017
-178.628462,-0.00011014
-178.603462,-0.00011010
-178.578462,-0.00011004
-178.553462,-0.00010996
-178.528462,-0.00010990
-178.503462,-0.00010985
-178.478462,-0.00010982
-178.453462,-0.00010979
-178.428462,-0.00010975
-178.403462,-0.00010969
-178.378462,-0.00010961
-178.353462,-0.00010951
-178.328462,-0.00010939
-178.303462,-0.00010923
-178.278462,-0.00010906
-178.253462,-0.00010890
-178.228462,-0.00010879
-178.203462,-0.00010872
-178.178462,-0.00010868
-178.153462,-0.00010866
-178.128462,-0.00010866
-178.103462,-0.00010865
-178.078462,-0.00010862
-178.053462,-0.00010852
-178.028462,-0.00010832
-178.003462,-0.00010807
-177.978462,-0.00010783
-177.953462,-0.00010765
-177.928462,-0.00010753
-177.903462,-0.00010743
-177.878462,-0.00010734
-177.853462,-0.00010726
-177.828462,-0.00010720
-177.803462,-0.00010714
-177.778462,-0.00010700
-177.753462,-0.00010675
-177.728462,-0.00010640
-177.703462,-0.00010603
-177.678462,-0.00010570
