time,displacement
-179.978462,-0.00005324
-179.953462,-0.00005323
-179.928462,-0.00005322
-179.903462,-0.00005321
-179.878462,-0.00005321
-179.853462,-0.00005322
-179.828462,-0.00005323
-179.803462,-0.00005325
-179.778462,-0.00005327
-179.753462,-0.00005330
-179.728462,-0.00005332
-179.703462,-0.00005335
-179.678462,-0.00005337
-179.653462,-0.00005340
-179.628462,-0.00005344
-179.603462,-0.00005347
-179.578462,-0.00005351
-179.553462,-0.00005354
-179.528462,-0.00005359
-179.503462,-0.00005364
-179.478462,-0.00005370
-179.453462,-0.00005376
-179.428462,-0.00005381
-179.403462,-0.00005384
-179.378462,-0.00005385
-179.353462,-0.00005387
-179.328462,-0.00005389
-179.303462,-0.00005393
-179.278462,-0.00005396
-179.253462,-0.00005400
-179.228462,-0.00005404
-179.203462,-0.00005409
-179.178462,-0.00005415
-179.153462,-0.00005422
-179.128462,-0.00005429
-179.103462,-0.00005436
-179.078462,-0.00005442
-179.053462,-0.00005448
-179.028462,-0.00005454
-179.003462,-0.00005459
-178.978462,-0.00005462
-178.953462,-0.00005465
-178.928462,-0.00005469
-178.903462,-0.00005475
-178.878462,-0.00005482
-178.853462,-0.00005490
-178.828462,-0.00005497
-178.803462,-0.00005505
-178.778462,-0.00005514
-178.753462,-0.00005524
-178.728462,-0.00005533
-178.703462,-0.00005539
-178.678462,-0.00005543
-178.653462,-0.00005546
-178.628462,-0.00005549
-178.603462,-0.00005552
-178.578462,-0.00005555
-178.553462,-0.00005558
-178.528462,-0.00005563
-178.503462,-0.00005568
-178.478462,-0.00005574
-178.453462,-0.00005578
-178.428462,-0.00005579
-178.403462,-0.00005576
-178.378462,-0.00005568
-178.353462,-0.00005558
-178.328462,-0.00005547
-178.303462,-0.00005534
-178.278462,-0.00005521
-178.253462,-0.00005508
-178.228462,-0.00005497
-178.203462,-0.00005490
-178.178462,-0.00005486
-178.153462,-0.00005483
-178.128462,-0.00005477
-178.103462,-0.00005467
-178.078462,-0.00005453
-178.053462,-0.00005435
-178.028462,-0.00005414
-178.003462,-0.00005391
-177.978462,-0.00005368
-177.953462,-0.00005346
-177.928462,-0.00005327
-177.903462,-0.00005312
-177.878462,-0.00005297
-177.853462,-0.00005280
-177.828462,-0.00005258
-177.803462,-0.00005233
-177.778462,-0.00005211
-177.753462,-0.00005191
-177.728462,-0.00005174
-177.703462,-0.00005152
-177.678462,-0.00005125
-177.653462,-0.00005092
-177.628462,-0.00005058
-177.603462,-0.00005021
-177.578462,-0.00004982
-177.553462,-0.00004941
-177.528462,-0.00004900
-177.503462,-0.00004861
-177.478462,-0.00004826
-177.453462,-0.00004792
-177.428462,-0.00004757
-177.403462,-0.00004720
