time,displacement
-179.978462,-0.00012013
-179.953462,-0.00012057
-179.928462,-0.00012101
-179.903462,-0.00012145
-179.878462,-0.00012188
-179.853462,-0.00012233
-179.828462,-0.00012278
-179.803462,-0.00012320
-179.778462,-0.00012366
-179.753462,-0.00012412
-179.728462,-0.00012454
-179.703462,-0.00012500
-179.678462,-0.00012545
-179.653462,-0.00012590
-179.628462,-0.00012635
-179.603462,-0.00012681
-179.578462,-0.00012728
-179.553462,-0.00012773
-179.528462,-0.00012822
-179.503462,-0.00012870
-179.478462,-0.00012917
-179.453462,-0.00012966
-179.428462,-0.00013013
-179.403462,-0.00013062
-179.378462,-0.00013111
-179.353462,-0.00013158
-179.328462,-0.00013207
-179.303462,-0.00013255
-179.278462,-0.00013304
-179.253462,-0.00013356
-179.228462,-0.00013404
-179.203462,-0.00013457
-179.178462,-0.00013509
-179.153462,-0.00013560
-179.128462,-0.00013615
-179.103462,-0.00013665
-179.078462,-0.00013720
-179.053462,-0.00013775
-179.028462,-0.00013827
-179.003462,-0.00013884
-178.978462,-0.00013937
-178.953462,-0.00013994
-178.928462,-0.00014048
-178.903462,-0.00014102
-178.878462,-0.00014162
-178.853462,-0.00014212
-178.828462,-0.00014271
-178.803462,-0.00014331
-178.778462,-0.00014380
-178.753462,-0.00014443
-178.728462,-0.00014506
-178.703462,-0.00014564
-178.678462,-0.00014627
-178.653462,-0.00014686
-178.628462,-0.00014748
-178.603462,-0.00014806
-178.578462,-0.00014865
-178.553462,-0.00014931
-178.528462,-0.00014988
-178.503462,-0.00015048
-178.478462,-0.00015114
-178.453462,-0.00015170
-178.428462,-0.00015235
-178.403462,-0.00015297
-178.378462,-0.00015357
-178.353462,-0.00015426
-178.328462,-0.00015483
-178.303462,-0.00015547
-178.278462,-0.00015620
-178.253462,-0.00015679
-178.228462,-0.00015742
-178.203462,-0.00015808
-178.178462,-0.00015865
-178.153462,-0.00015924
-178.128462,-0.00015986
-178.103462,-0.00016045
-178.078462,-0.00016104
-178.053462,-0.00016163
-178.028462,-0.00016219
-178.003462,-0.00016280
-177.978462,-0.00016339
-177.953462,-0.00016398
-177.928462,-0.00016461
-177.903462,-0.00016517
-177.878462,-0.00016576
-177.853462,-0.00016636
-177.828462,-0.00016690
-177.803462,-0.00016746
-177.778462,-0.00016793
-177.753462,-0.00016836
-177.728462,-0.00016885
-177.703462,-0.00016930
-177.678462,-0.00016973
-177.653462,-0.00017013
-177.628462,-0.00017062
-177.603462,-0.00017114
-177.578462,-0.00017160
-177.553462,-0.00017212
-177.528462,-0.00017260
-177.503462,-0.00017299
-177.478462,-0.00017343
-177.453462,-0.00017380
-177.428462,-0.00017415
-177.403462,-0.00017448
-177.378462,-0.00017479
-177.353462,-0.00017509
