time,displacement
-179.978462,-0.00037062
-179.953462,-0.00037054
-179.928462,-0.00037049
-179.903462,-0.00037045
-179.878462,-0.00037039
-179.853462,-0.00037030
-179.828462,-0.00037024
-179.803462,-0.00037020
-179.778462,-0.00037016
-179.753462,-0.00037007
-179.728462,-0.00036995
-179.703462,-0.00036988
-179.678462,-0.00036988
-179.653462,-0.00036985
-179.628462,-0.00036971
-179.603462,-0.00036951
-179.578462,-0.00036940
-179.553462,-0.00036939
-179.528462,-0.00036936
-179.503462,-0.00036920
-179.478462,-0.00036902
-179.453462,-0.00036893
-179.428462,-0.00036892
-179.403462,-0.00036885
-179.378462,-0.00036865
-179.353462,-0.00036846
-179.328462,-0.00036844
-179.303462,-0.00036847
-179.278462,-0.00036836
-179.253462,-0.00036806
-179.228462,-0.00036781
-179.203462,-0.00036779
-179.178462,-0.00036789
-179.153462,-0.00036781
-179.128462,-0.00036752
-179.103462,-0.00036726
-179.078462,-0.00036723
-179.053462,-0.00036732
-179.028462,-0.00036725
-179.003462,-0.00036700
-178.978462,-0.00036676
-178.953462,-0.00036670
-178.928462,-0.00036672
-178.903462,-0.00036667
-178.878462,-0.00036653
-178.853462,-0.00036645
-178.828462,-0.00036647
-178.803462,-0.00036643
-178.778462,-0.00036623
-178.753462,-0.00036593
-178.728462,-0.00036575
-178.703462,-0.00036574
-178.678462,-0.00036576
-178.653462,-0.00036566
-178.628462,-0.00036541
-178.603462,-0.00036512
-178.578462,-0.00036494
-178.553462,-0.00036495
-178.528462,-0.00036512
-178.503462,-0.00036529
-178.478462,-0.00036528
-178.453462,-0.00036504
-178.428462,-0.00036472
-178.403462,-0.00036449
-178.378462,-0.00036442
-178.353462,-0.00036441
-178.328462,-0.00036434
-178.303462,-0.00036418
-178.278462,-0.00036394
-178.253462,-0.00036365
-178.228462,-0.00036335
-178.203462,-0.00036316
-178.178462,-0.00036315
-178.153462,-0.00036314
-178.128462,-0.00036287
-178.103462,-0.00036230
-178.078462,-0.00036172
-178.053462,-0.00036145
-178.028462,-0.00036147
-178.003462,-0.00036142
-177.978462,-0.00036107
-177.953462,-0.00036058
-177.928462,-0.00036025
-177.903462,-0.00036017
-177.878462,-0.00036014
-177.853462,-0.00035993
-177.828462,-0.00035957
-177.803462,-0.00035919
-177.778462,-0.00035887
-177.753462,-0.00035858
-177.728462,-0.00035831
-177.703462,-0.00035818
-177.678462,-0.00035824
-177.653462,-0.00035835
-177.628462,-0.00035830
-177.603462,-0.00035804
-177.578462,-0.00035773
-177.553462,-0.00035760
-177.528462,-0.00035771
-177.503462,-0.00035787
-177.478462,-0.00035781
-177.453462,-0.00035747
-177.428462,-0.00035710
-177.403462,-0.00035703
-177.378462,-0.00035728
-177.353462,-0.00035753
-177.328462,-0.00035754
-177.303462,-0.00035744
-177.278462,-0.00035755
-177.253462,-0.00035788
-177.228462,-0.00035806
-177.203462,-0.00035786
-177.178462,-0.00035762
-177.153462,-0.00035788
-177.128462,-0.00035864
-177.103462,-0.00035935
-177.078462,-0.00035960
-177.053462,-0.00035970
-177.028462,-0.00036023
-177.003462,-0.00036119
-176.978462,-0.00036192
-176.953462,-0.00036203
-176.928462,-0.00036196
-176.903462,-0.00036235
-176.878462,-0.00036318
-176.853462,-0.00036383
-176.828462,-0.00036398
-176.803462,-0.00036408
-176.778462,-0.00036469
-176.753462,-0.00036566
-176.728462,-0.00036637
-176.703462,-0.00036661
-176.678462,-0.00036684
-176.653462,-0.00036748
-176.628462,-0.00036831
-176.603462,-0.00036889
-176.578462,-0.00036928
-176.553462,-0.00036998
-176.528462,-0.00037113
-176.503462,-0.00037222
-176.478462,-0.00037274
-176.453462,-0.00037285
-176.428462,-0.00037319
-176.403462,-0.00037403
-176.378462,-0.00037500
-176.353462,-0.00037560
-176.328462,-0.00037576
-176.303462,-0.00037575
-176.278462,-0.00037580
-176.253462,-0.00037602
-176.228462,-0.00037649
-176.203462,-0.00037723
-176.178462,-0.00037798
-176.153462,-0.00037843
-176.128462,-0.00037854
-176.103462,-0.00037863
-176.078462,-0.00037893
-176.053462,-0.00037931
-176.028462,-0.00037952
-176.003462,-0.00037961
-175.978462,-0.00037980
-175.953462,-0.00038000
-175.928462,-0.00037987
-175.903462,-0.00037941
-175.878462,-0.00037917
-175.853462,-0.00037959
-175.828462,-0.00038027
-175.803462,-0.00038040
-175.778462,-0.00037980
-175.753462,-0.00037916
-175.728462,-0.00037909
-175.703462,-0.00037927
-175.678462,-0.00037887
-175.653462,-0.00037780
-175.628462,-0.00037681
-175.603462,-0.00037646
-175.578462,-0.00037643
-175.553462,-0.00037599
-175.528462,-0.00037507
-175.503462,-0.00037427
-175.478462,-0.00037391
-175.453462,-0.00037363
-175.428462,-0.00037301
-175.403462,-0.00037225
-175.378462,-0.00037186
-175.353462,-0.00037186
-175.328462,-0.00037166
-175.303462,-0.00037086
-175.278462,-0.00036982
-175.253462,-0.00036915
-175.228462,-0.00036903
-175.203462,-0.00036902
-175.178462,-0.00036869
-175.153462,-0.00036801
-175.128462,-0.00036721
-175.103462,-0.00036654
-175.078462,-0.00036622
-175.053462,-0.00036624
-175.028462,-0.00036624
-175.003462,-0.00036565
-174.978462,-0.00036430
-174.953462,-0.00036277
-174.928462,-0.00036194
-174.903462,-0.00036203
-174.878462,-0.00036247
-174.853462,-0.00036265
-174.828462,-0.00036257
-174.803462,-0.00036255
-174.778462,-0.00036253
-174.753462,-0.00036224
-174.728462,-0.00036172
-174.703462,-0.00036149
-174.678462,-0.00036173
-174.653462,-0.00036187
-174.628462,-0.00036125
-174.603462,-0.00036006
-174.578462,-0.00035911
-174.553462,-0.00035880
-174.528462,-0.00035857
-174.503462,-0.00035787
-174.478462,-0.00035705
-174.453462,-0.00035685
-174.428462,-0.00035727
-174.403462,-0.00035734
-174.378462,-0.00035630
-174.353462,-0.00035465
-174.328462,-0.00035347
-174.303462,-0.00035310
-174.278462,-0.00035288
-174.253462,-0.00035216
-174.228462,-0.00035118
-174.203462,-0.00035063
-174.178462,-0.00035059
-174.153462,-0.00035040
-174.128462,-0.00034943
-174.103462,-0.00034787
-174.078462,-0.00034637
-174.053462,-0.00034528
-174.028462,-0.00034442
-174.003462,-0.00034337
-173.978462,-0.00034198
-173.953462,-0.00034043
-173.928462,-0.00033903
-173.903462,-0.00033798
-173.878462,-0.00033722
-173.853462,-0.00033652
-173.828462,-0.00033578
-173.803462,-0.00033521
-173.778462,-0.00033507
-173.753462,-0.00033516
-173.728462,-0.00033485
-173.703462,-0.00033376
-173.678462,-0.00033228
-173.653462,-0.00033114
-173.628462,-0.00033046
-173.603462,-0.00032972
-173.578462,-0.00032852
-173.553462,-0.00032723
-173.528462,-0.00032641
-173.503462,-0.00032595
-173.478462,-0.00032519
-173.453462,-0.00032401
-173.428462,-0.00032318
-173.403462,-0.00032337
-173.378462,-0.00032400
-173.353462,-0.00032385
-173.328462,-0.00032251
-173.303462,-0.00032095
-173.278462,-0.00032024
-173.253462,-0.00032016
-173.228462,-0.00031969
-173.203462,-0.00031848
-173.178462,-0.00031738
-173.153462,-0.00031722
-173.128462,-0.00031766
-173.103462,-0.00031766
-173.078462,-0.00031683
-173.053462,-0.00031581
-173.028462,-0.00031531
-173.003462,-0.00031513
-172.978462,-0.00031461
-172.953462,-0.00031352
-172.928462,-0.00031229
-172.903462,-0.00031128
-172.878462,-0.00031041
-172.853462,-0.00030958
-172.828462,-0.00030905
-172.803462,-0.00030915
-172.778462,-0.00030974
-172.753462,-0.00031019
-172.728462,-0.00031005
-172.703462,-0.00030945
-172.678462,-0.00030879
-172.653462,-0.00030825
-172.628462,-0.00030766
-172.603462,-0.00030684
-172.578462,-0.00030591
-172.553462,-0.00030509
-172.528462,-0.00030450
-172.503462,-0.00030403
-172.478462,-0.00030346
-172.453462,-0.00030266
-172.428462,-0.00030176
-172.403462,-0.00030106
-172.378462,-0.00030077
-172.353462,-0.00030063
-172.328462,-0.00030011
-172.303462,-0.00029903
-172.278462,-0.00029792
-172.253462,-0.00029750
-172.228462,-0.00029781
-172.203462,-0.00029807
-172.178462,-0.00029749
-172.153462,-0.00029620
-172.128462,-0.00029499
-172.103462,-0.00029434
-172.078462,-0.00029392
-172.053462,-0.00029319
-172.028462,-0.00029207
-172.003462,-0.00029099
-171.978462,-0.00029030
-171.953462,-0.00028997
-171.928462,-0.00028975
-171.903462,-0.00028951
-171.878462,-0.00028916
-171.853462,-0.00028859
-171.828462,-0.00028793
-171.803462,-0.00028764
-171.778462,-0.00028819
-171.753462,-0.00028948
-171.728462,-0.00029083
-171.703462,-0.00029168
-171.678462,-0.00029207
-171.653462,-0.00029241
-171.628462,-0.00029289
-171.603462,-0.00029334
-171.578462,-0.00029369
-171.553462,-0.00029427
-171.528462,-0.00029549
-171.503462,-0.00029726
-171.478462,-0.00029898
-171.453462,-0.00030014
-171.428462,-0.00030075
-171.403462,-0.00030126
-171.378462,-0.00030211
-171.353462,-0.00030329
-171.328462,-0.00030446
-171.303462,-0.00030531
-171.278462,-0.00030595
-171.253462,-0.00030687
-171.228462,-0.00030851
-171.203462,-0.00031066
-171.178462,-0.00031252
-171.153462,-0.00031351
-171.128462,-0.00031394
-171.103462,-0.00031464
-171.078462,-0.00031596
-171.053462,-0.00031730
-171.028462,-0.00031789
-171.003462,-0.00031783
-170.978462,-0.00031796
-170.953462,-0.00031867
-170.928462,-0.00031929
-170.903462,-0.00031891
-170.878462,-0.00031769
-170.853462,-0.00031680
-170.828462,-0.00031711
-170.803462,-0.00031808
-170.778462,-0.00031837
-170.753462,-0.00031736
-170.728462,-0.00031578
-170.703462,-0.00031479
-170.678462,-0.00031476
-170.653462,-0.00031507
-170.628462,-0.00031495
-170.603462,-0.00031430
-170.578462,-0.00031349
-170.553462,-0.00031274
-170.528462,-0.00031188
-170.503462,-0.00031067
-170.478462,-0.00030929
-170.453462,-0.00030822
-170.428462,-0.00030779
-170.403462,-0.00030772
-170.378462,-0.00030735
-170.353462,-0.00030621
-170.328462,-0.00030440
-170.303462,-0.00030243
-170.278462,-0.00030062
-170.253462,-0.00029893
-170.228462,-0.00029728
-170.203462,-0.00029584
-170.178462,-0.00029483
