time,displacement
-179.978462,-0.00006308
-179.953462,-0.00006318
-179.928462,-0.00006327
-179.903462,-0.00006336
-179.878462,-0.00006347
-179.853462,-0.00006360
-179.828462,-0.00006374
-179.803462,-0.00006387
-179.778462,-0.00006400
-179.753462,-0.00006414
-179.728462,-0.00006431
-179.703462,-0.00006450
-179.678462,-0.00006468
-179.653462,-0.00006488
-179.628462,-0.00006510
-179.603462,-0.00006533
-179.578462,-0.00006555
-179.553462,-0.00006576
-179.528462,-0.00006599
-179.503462,-0.00006625
-179.478462,-0.00006652
-179.453462,-0.00006677
-179.428462,-0.00006701
-179.403462,-0.00006727
-179.378462,-0.00006755
-179.353462,-0.00006782
-179.328462,-0.00006806
-179.303462,-0.00006831
-179.278462,-0.00006859
-179.253462,-0.00006887
-179.228462,-0.00006910
-179.203462,-0.00006927
-179.178462,-0.00006945
-179.153462,-0.00006968
-179.128462,-0.00006988
-179.103462,-0.00006999
-179.078462,-0.00007002
-179.053462,-0.00007008
-179.028462,-0.00007020
-179.003462,-0.00007034
-178.978462,-0.00007041
-178.953462,-0.00007040
-178.928462,-0.00007037
-178.903462,-0.00007031
-178.878462,-0.00007020
-178.853462,-0.00007006
-178.828462,-0.00007000
-178.803462,-0.00007005
-178.778462,-0.00007007
-178.753462,-0.00006990
-178.728462,-0.00006957
-178.703462,-0.00006926
-178.678462,-0.00006911
-178.653462,-0.00006901
-178.628462,-0.00006881
-178.603462,-0.00006849
-178.578462,-0.00006812
-178.553462,-0.00006777
-178.528462,-0.00006738
-178.503462,-0.00006696
-178.478462,-0.00006658
-178.453462,-0.00006633
-178.428462,-0.00006609
-178.403462,-0.00006571
-178.378462,-0.00006518
-178.353462,-0.00006470
-178.328462,-0.00006440
-178.303462,-0.00006416
-178.278462,-0.00006378
-178.253462,-0.00006321
-178.228462,-0.00006260
-178.203462,-0.00006206
-178.178462,-0.00006155
-178.153462,-0.00006097
-178.128462,-0.00006037
-178.103462,-0.00005986
-178.078462,-0.00005940
-178.053462,-0.00005885
-178.028462,-0.00005812
-178.003462,-0.00005731
-177.978462,-0.00005660
-177.953462,-0.00005599
-177.928462,-0.00005537
-177.903462,-0.00005464
-177.878462,-0.00005385
-177.853462,-0.00005303
-177.828462,-0.00005218
-177.803462,-0.00005128
-177.778462,-0.00005034
-177.753462,-0.00004943
-177.728462,-0.00004855
-177.703462,-0.00004766
-177.678462,-0.00004672
-177.653462,-0.00004571
-177.628462,-0.00004466
-177.603462,-0.00004361
-177.578462,-0.00004268
-177.553462,-0.00004193
-177.528462,-0.00004125
-177.503462,-0.00004040
-177.478462,-0.00003929
-177.453462,-0.00003815
-177.428462,-0.00003730
-177.403462,-0.00003667
-177.378462,-0.00003590
-177.353462,-0.00003475
-177.328462,-0.00003345
-177.303462,-0.00003244
-177.278462,-0.00003182
-177.253462,-0.00003127
-177.228462,-0.00003047
-177.203462,-0.00002948
-177.178462,-0.00002856
-177.153462,-0.00002781
-177.128462,-0.00002715
-177.103462,-0.00002652
-177.078462,-0.00002599
-177.053462,-0.00002556
-177.028462,-0.00002507
-177.003462,-0.00002436
-176.978462,-0.00002356
-176.953462,-0.00002289
-176.928462,-0.00002239
-176.903462,-0.00002194
-176.878462,-0.00002152
-176.853462,-0.00002130
-176.828462,-0.00002136
-176.803462,-0.00002144
-176.778462,-0.00002122
-176.753462,-0.00002079
-176.728462,-0.00002053
-176.703462,-0.00002064
-176.678462,-0.00002094
-176.653462,-0.00002115
-176.628462,-0.00002130
-176.603462,-0.00002161
-176.578462,-0.00002206
-176.553462,-0.00002239
-176.528462,-0.00002248
-176.503462,-0.00002260
-176.478462,-0.00002295
-176.453462,-0.00002345
-176.428462,-0.00002384
-176.403462,-0.00002422
-176.378462,-0.00002490
-176.353462,-0.00002591
-176.328462,-0.00002683
-176.303462,-0.00002733
-176.278462,-0.00002765
-176.253462,-0.00002832
-176.228462,-0.00002939
-176.203462,-0.00003040
-176.178462,-0.00003095
-176.153462,-0.00003125
-176.128462,-0.00003175
-176.103462,-0.00003257
-176.078462,-0.00003342
-176.053462,-0.00003415
-176.028462,-0.00003497
-176.003462,-0.00003604
-175.978462,-0.00003711
-175.953462,-0.00003782
-175.928462,-0.00003828
-175.903462,-0.00003895
-175.878462,-0.00004014
-175.853462,-0.00004162
-175.828462,-0.00004291
-175.803462,-0.00004385
-175.778462,-0.00004460
-175.753462,-0.00004531
-175.728462,-0.00004597
-175.703462,-0.00004656
-175.678462,-0.00004720
-175.653462,-0.00004801
-175.628462,-0.00004896
-175.603462,-0.00004994
-175.578462,-0.00005093
-175.553462,-0.00005190
-175.528462,-0.00005279
-175.503462,-0.00005355
-175.478462,-0.00005430
-175.453462,-0.00005526
-175.428462,-0.00005644
-175.403462,-0.00005757
-175.378462,-0.00005837
-175.353462,-0.00005888
-175.328462,-0.00005934
-175.303462,-0.00005992
-175.278462,-0.00006062
-175.253462,-0.00006138
-175.228462,-0.00006216
-175.203462,-0.00006289
-175.178462,-0.00006344
-175.153462,-0.00006378
-175.128462,-0.00006414
-175.103462,-0.00006473
-175.078462,-0.00006545
-175.053462,-0.00006607
-175.028462,-0.00006656
-175.003462,-0.00006718
-174.978462,-0.00006810
-174.953462,-0.00006913
-174.928462,-0.00006998
-174.903462,-0.00007067
-174.878462,-0.00007141
-174.853462,-0.00007211
