time,displacement
-179.978462,-0.00013246
-179.953462,-0.00013230
-179.928462,-0.00013213
-179.903462,-0.00013197
-179.878462,-0.00013180
-179.853462,-0.00013164
-179.828462,-0.00013147
-179.803462,-0.00013130
-179.778462,-0.00013112
-179.753462,-0.00013094
-179.728462,-0.00013076
-179.703462,-0.00013057
-179.678462,-0.00013038
-179.653462,-0.00013019
-179.628462,-0.00012998
-179.603462,-0.00012977
-179.578462,-0.00012956
-179.553462,-0.00012934
-179.528462,-0.00012911
-179.503462,-0.00012888
-179.478462,-0.00012863
-179.453462,-0.00012838
-179.428462,-0.00012812
-179.403462,-0.00012786
-179.378462,-0.00012758
-179.353462,-0.00012730
-179.328462,-0.00012701
-179.303462,-0.00012671
-179.278462,-0.00012639
-179.253462,-0.00012607
-179.228462,-0.00012574
-179.203462,-0.00012539
-179.178462,-0.00012503
-179.153462,-0.00012465
-179.128462,-0.00012426
-179.103462,-0.00012386
-179.078462,-0.00012344
-179.053462,-0.00012301
-179.028462,-0.00012256
-179.003462,-0.00012210
-178.978462,-0.00012161
-178.953462,-0.00012112
-178.928462,-0.00012061
-178.903462,-0.00012008
-178.878462,-0.00011954
-178.853462,-0.00011898
-178.828462,-0.00011841
-178.803462,-0.00011782
-178.778462,-0.00011721
-178.753462,-0.00011658
-178.728462,-0.00011594
-178.703462,-0.00011528
-178.678462,-0.00011460
-178.653462,-0.00011391
-178.628462,-0.00011319
-178.603462,-0.00011246
-178.578462,-0.00011170
-178.553462,-0.00011093
-178.528462,-0.00011013
-178.503462,-0.00010932
-178.478462,-0.00010848
-178.453462,-0.00010762
-178.428462,-0.00010674
-178.403462,-0.00010584
-178.378462,-0.00010491
-178.353462,-0.00010396
-178.328462,-0.00010299
-178.303462,-0.00010200
-178.278462,-0.00010099
-178.253462,-0.00009995
-178.228462,-0.00009889
-178.203462,-0.00009781
-178.178462,-0.00009671
-178.153462,-0.00009558
-178.128462,-0.00009444
-178.103462,-0.00009327
-178.078462,-0.00009208
-178.053462,-0.00009087
-178.028462,-0.00008965
-178.003462,-0.00008842
-177.978462,-0.00008717
-177.953462,-0.00008591
-177.928462,-0.00008463
-177.903462,-0.00008335
-177.878462,-0.00008205
-177.853462,-0.00008074
-177.828462,-0.00007943
-177.803462,-0.00007810
-177.778462,-0.00007677
-177.753462,-0.00007543
-177.728462,-0.00007408
-177.703462,-0.00007272
-177.678462,-0.00007136
-177.653462,-0.00006998
-177.628462,-0.00006860
-177.603462,-0.00006722
-177.578462,-0.00006583
-177.553462,-0.00006444
-177.528462,-0.00006304
-177.503462,-0.00006164
-177.478462,-0.00006024
-177.453462,-0.00005883
-177.428462,-0.00005742
-177.403462,-0.00005601
-177.378462,-0.00005459
-177.353462,-0.00005317
-177.328462,-0.00005175
-177.303462,-0.00005033
-177.278462,-0.00004890
-177.253462,-0.00004747
-177.228462,-0.00004604
-177.203462,-0.00004461
-177.178462,-0.00004318
-177.153462,-0.00004175
-177.128462,-0.00004032
-177.103462,-0.00003889
-177.078462,-0.00003747
-177.053462,-0.00003605
-177.028462,-0.00003463
-177.003462,-0.00003320
-176.978462,-0.00003178
-176.953462,-0.00003036
-176.928462,-0.00002893
-176.903462,-0.00002750
-176.878462,-0.00002607
-176.853462,-0.00002463
-176.828462,-0.00002318
-176.803462,-0.00002173
-176.778462,-0.00002027
-176.753462,-0.00001880
-176.728462,-0.00001733
-176.703462,-0.00001584
-176.678462,-0.00001435
-176.653462,-0.00001285
-176.628462,-0.00001135
-176.603462,-0.00000983
-176.578462,-0.00000830
-176.553462,-0.00000677
-176.528462,-0.00000523
-176.503462,-0.00000367
-176.478462,-0.00000209
-176.453462,-0.00000050
-176.428462,0.00000108
-176.403462,0.00000267
-176.378462,0.00000428
-176.353462,0.00000590
-176.328462,0.00000753
-176.303462,0.00000917
-176.278462,0.00001081
-176.253462,0.00001246
-176.228462,0.00001411
-176.203462,0.00001576
-176.178462,0.00001741
-176.153462,0.00001905
-176.128462,0.00002068
-176.103462,0.00002232
-176.078462,0.00002396
-176.053462,0.00002559
-176.028462,0.00002720
-176.003462,0.00002882
-175.978462,0.00003044
-175.953462,0.00003205
-175.928462,0.00003365
-175.903462,0.00003525
-175.878462,0.00003685
-175.853462,0.00003846
-175.828462,0.00004009
-175.803462,0.00004172
-175.778462,0.00004333
-175.753462,0.00004494
-175.728462,0.00004656
-175.703462,0.00004819
-175.678462,0.00004983
-175.653462,0.00005147
-175.628462,0.00005311
-175.603462,0.00005476
-175.578462,0.00005640
-175.553462,0.00005804
-175.528462,0.00005969
-175.503462,0.00006133
-175.478462,0.00006298
-175.453462,0.00006463
-175.428462,0.00006628
-175.403462,0.00006793
-175.378462,0.00006960
-175.353462,0.00007127
-175.328462,0.00007295
-175.303462,0.00007463
-175.278462,0.00007631
-175.253462,0.00007799
-175.228462,0.00007967
-175.203462,0.00008134
-175.178462,0.00008301
-175.153462,0.00008466
-175.128462,0.00008630
-175.103462,0.00008793
-175.078462,0.00008955
-175.053462,0.00009115
-175.028462,0.00009275
-175.003462,0.00009433
-174.978462,0.00009590
-174.953462,0.00009743
-174.928462,0.00009895
-174.903462,0.00010044
-174.878462,0.00010192
-174.853462,0.00010338
-174.828462,0.00010482
-174.803462,0.00010623
-174.778462,0.00010763
-174.753462,0.00010901
-174.728462,0.00011039
-174.703462,0.00011175
-174.678462,0.00011310
-174.653462,0.00011444
-174.628462,0.00011578
-174.603462,0.00011714
-174.578462,0.00011849
-174.553462,0.00011983
-174.528462,0.00012118
-174.503462,0.00012254
-174.478462,0.00012390
-174.453462,0.00012528
-174.428462,0.00012668
-174.403462,0.00012809
-174.378462,0.00012951
-174.353462,0.00013097
-174.328462,0.00013245
-174.303462,0.00013395
-174.278462,0.00013548
-174.253462,0.00013704
-174.228462,0.00013864
-174.203462,0.00014029
-174.178462,0.00014195
-174.153462,0.00014366
-174.128462,0.00014541
-174.103462,0.00014719
-174.078462,0.00014900
-174.053462,0.00015085
-174.028462,0.00015273
-174.003462,0.00015464
-173.978462,0.00015658
-173.953462,0.00015855
-173.928462,0.00016054
-173.903462,0.00016255
-173.878462,0.00016458
-173.853462,0.00016663
-173.828462,0.00016869
-173.803462,0.00017077
-173.778462,0.00017285
-173.753462,0.00017494
-173.728462,0.00017703
-173.703462,0.00017912
-173.678462,0.00018121
-173.653462,0.00018330
-173.628462,0.00018538
-173.603462,0.00018746
-173.578462,0.00018954
-173.553462,0.00019160
-173.528462,0.00019365
-173.503462,0.00019568
-173.478462,0.00019769
-173.453462,0.00019969
-173.428462,0.00020166
-173.403462,0.00020361
-173.378462,0.00020554
-173.353462,0.00020745
-173.328462,0.00020933
-173.303462,0.00021117
-173.278462,0.00021301
-173.253462,0.00021484
-173.228462,0.00021665
-173.203462,0.00021846
-173.178462,0.00022027
-173.153462,0.00022205
-173.128462,0.00022384
-173.103462,0.00022563
-173.078462,0.00022741
-173.053462,0.00022920
-173.028462,0.00023099
-173.003462,0.00023276
-172.978462,0.00023454
-172.953462,0.00023631
-172.928462,0.00023808
-172.903462,0.00023985
-172.878462,0.00024163
-172.853462,0.00024339
-172.828462,0.00024514
-172.803462,0.00024687
-172.778462,0.00024861
-172.753462,0.00025039
-172.728462,0.00025219
-172.703462,0.00025397
-172.678462,0.00025574
-172.653462,0.00025752
-172.628462,0.00025933
-172.603462,0.00026118
-172.578462,0.00026302
-172.553462,0.00026485
-172.528462,0.00026668
-172.503462,0.00026852
-172.478462,0.00027035
-172.453462,0.00027217
-172.428462,0.00027396
-172.403462,0.00027573
-172.378462,0.00027746
-172.353462,0.00027915
-172.328462,0.00028081
-172.303462,0.00028240
-172.278462,0.00028395
-172.253462,0.00028545
-172.228462,0.00028688
-172.203462,0.00028822
-172.178462,0.00028947
-172.153462,0.00029063
-172.128462,0.00029171
-172.103462,0.00029270
-172.078462,0.00029357
-172.053462,0.00029434
-172.028462,0.00029502
-172.003462,0.00029560
-171.978462,0.00029607
-171.953462,0.00029646
-171.928462,0.00029677
-171.903462,0.00029698
-171.878462,0.00029710
-171.853462,0.00029714
-171.828462,0.00029710
-171.803462,0.00029699
-171.778462,0.00029681
-171.753462,0.00029655
-171.728462,0.00029623
-171.703462,0.00029585
-171.678462,0.00029540
-171.653462,0.00029492
-171.628462,0.00029439
-171.603462,0.00029380
-171.578462,0.00029317
-171.553462,0.00029252
-171.528462,0.00029181
-171.503462,0.00029107
-171.478462,0.00029029
-171.453462,0.00028946
-171.428462,0.00028861
-171.403462,0.00028772
-171.378462,0.00028680
-171.353462,0.00028584
-171.328462,0.00028485
-171.303462,0.00028382
-171.278462,0.00028276
-171.253462,0.00028168
-171.228462,0.00028057
-171.203462,0.00027943
-171.178462,0.00027824
-171.153462,0.00027702
-171.128462,0.00027578
-171.103462,0.00027449
-171.078462,0.00027315
-171.053462,0.00027180
-171.028462,0.00027041
-171.003462,0.00026899
-170.978462,0.00026754
-170.953462,0.00026607
-170.928462,0.00026461
-170.903462,0.00026314
-170.878462,0.00026167
-170.853462,0.00026022
-170.828462,0.00025879
-170.803462,0.00025738
-170.778462,0.00025597
-170.753462,0.00025459
-170.728462,0.00025325
-170.703462,0.00025193
-170.678462,0.00025061
-170.653462,0.00024929
-170.628462,0.00024801
-170.603462,0.00024672
-170.578462,0.00024545
-170.553462,0.00024419
-170.528462,0.00024298
-170.503462,0.00024178
-170.478462,0.00024060
-170.453462,0.00023948
-170.428462,0.00023841
-170.403462,0.00023737
-170.378462,0.00023638
-170.353462,0.00023544
-170.328462,0.00023453
-170.303462,0.00023367
-170.278462,0.00023283
-170.253462,0.00023201
-170.228462,0.00023121
-170.203462,0.00023043
-170.178462,0.00022967
-170.153462,0.00022891
-170.128462,0.00022816
-170.103462,0.00022743
-170.078462,0.00022669
-170.053462,0.00022594
-170.028462,0.00022522
-170.003462,0.00022450
-169.978462,0.00022378
-169.953462,0.00022308
-169.928462,0.00022239
-169.903462,0.00022171
-169.878462,0.00022103
-169.853462,0.00022033
-169.828462,0.00021962
-169.803462,0.00021891
-169.778462,0.00021821
-169.753462,0.00021746
-169.728462,0.00021668
-169.703462,0.00021589
-169.678462,0.00021506
-169.653462,0.00021418
-169.628462,0.00021326
-169.603462,0.00021230
-169.578462,0.00021129
-169.553462,0.00021021
-169.528462,0.00020907
-169.503462,0.00020789
-169.478462,0.00020668
-169.453462,0.00020540
-169.428462,0.00020405
-169.403462,0.00020265
-169.378462,0.00020120
-169.353462,0.00019969
-169.328462,0.00019811
-169.303462,0.00019647
-169.278462,0.00019476
-169.253462,0.00019299
-169.228462,0.00019115
-169.203462,0.00018925
-169.178462,0.00018728
-169.153462,0.00018526
-169.128462,0.00018318
-169.103462,0.00018104
-169.078462,0.00017887
-169.053462,0.00017666
-169.028462,0.00017441
-169.003462,0.00017213
-168.978462,0.00016981
-168.953462,0.00016747
-168.928462,0.00016508
-168.903462,0.00016265
-168.878462,0.00016019
-168.853462,0.00015771
-168.828462,0.00015521
-168.803462,0.00015267
-168.778462,0.00015010
-168.753462,0.00014751
-168.728462,0.00014490
-168.703462,0.00014227
-168.678462,0.00013961
-168.653462,0.00013694
-168.628462,0.00013425
-168.603462,0.00013152
-168.578462,0.00012877
-168.553462,0.00012600
-168.528462,0.00012320
-168.503462,0.00012036
-168.478462,0.00011749
-168.453462,0.00011458
-168.428462,0.00011163
-168.403462,0.00010863
-168.378462,0.00010562
-168.353462,0.00010257
-168.328462,0.00009949
-168.303462,0.00009638
-168.278462,0.00009321
-168.253462,0.00009003
-168.228462,0.00008683
-168.203462,0.00008360
-168.178462,0.00008034
-168.153462,0.00007707
-168.128462,0.00007377
-168.103462,0.00007042
-168.078462,0.00006702
-168.053462,0.00006359
-168.028462,0.00006017
-168.003462,0.00005673
-167.978462,0.00005327
-167.953462,0.00004977
-167.928462,0.00004624
-167.903462,0.00004270
-167.878462,0.00003916
-167.853462,0.00003564
-167.828462,0.00003209
-167.803462,0.00002852
-167.778462,0.00002496
-167.753462,0.00002136
-167.728462,0.00001775
-167.703462,0.00001417
-167.678462,0.00001062
-167.653462,0.00000708
-167.628462,0.00000359
-167.603462,0.00000014
-167.578462,-0.00000322
-167.553462,-0.00000652
-167.528462,-0.00000977
-167.503462,-0.00001296
-167.478462,-0.00001608
-167.453462,-0.00001911
-167.428462,-0.00002202
-167.403462,-0.00002483
-167.378462,-0.00002757
-167.353462,-0.00003024
-167.328462,-0.00003283
-167.303462,-0.00003532
-167.278462,-0.00003772
-167.253462,-0.00004002
-167.228462,-0.00004222
-167.203462,-0.00004431
-167.178462,-0.00004632
-167.153462,-0.00004827
-167.128462,-0.00005012
-167.103462,-0.00005185
-167.078462,-0.00005347
-167.053462,-0.00005501
-167.028462,-0.00005648
-167.003462,-0.00005787
-166.978462,-0.00005916
-166.953462,-0.00006039
-166.928462,-0.00006155
-166.903462,-0.00006268
-166.878462,-0.00006378
-166.853462,-0.00006487
-166.828462,-0.00006593
-166.803462,-0.00006696
-166.778462,-0.00006799
-166.753462,-0.00006905
-166.728462,-0.00007014
-166.703462,-0.00007125
-166.678462,-0.00007237
-166.653462,-0.00007351
-166.628462,-0.00007469
-166.603462,-0.00007593
-166.578462,-0.00007723
-166.553462,-0.00007861
-166.528462,-0.00008005
-166.503462,-0.00008153
-166.478462,-0.00008309
-166.453462,-0.00008474
-166.428462,-0.00008646
-166.403462,-0.00008823
-166.378462,-0.00009005
-166.353462,-0.00009194
-166.328462,-0.00009392
-166.303462,-0.00009595
-166.278462,-0.00009803
-166.253462,-0.00010011
-166.228462,-0.00010223
-166.203462,-0.00010438
-166.178462,-0.00010656
-166.153462,-0.00010875
-166.128462,-0.00011095
-166.103462,-0.00011319
-166.078462,-0.00011547
-166.053462,-0.00011777
-166.028462,-0.00012010
-166.003462,-0.00012245
-165.978462,-0.00012482
-165.953462,-0.00012721
-165.928462,-0.00012965
-165.903462,-0.00013211
-165.878462,-0.00013459
-165.853462,-0.00013710
-165.828462,-0.00013965
-165.803462,-0.00014223
-165.778462,-0.00014479
-165.753462,-0.00014734
-165.728462,-0.00014991
-165.703462,-0.00015251
-165.678462,-0.00015510
-165.653462,-0.00015765
-165.628462,-0.00016017
-165.603462,-0.00016266
-165.578462,-0.00016511
-165.553462,-0.00016752
-165.528462,-0.00016992
-165.503462,-0.00017231
-165.478462,-0.00017461
-165.453462,-0.00017683
-165.428462,-0.00017903
-165.403462,-0.00018121
-165.378462,-0.00018332
-165.353462,-0.00018533
-165.328462,-0.00018727
-165.303462,-0.00018914
-165.278462,-0.00019094
-165.253462,-0.00019268
-165.228462,-0.00019433
-165.203462,-0.00019585
-165.178462,-0.00019723
-165.153462,-0.00019849
-165.128462,-0.00019963
-165.103462,-0.00020063
-165.078462,-0.00020151
