time,displacement
-179.978462,-0.00033318
-179.953462,-0.00033358
-179.928462,-0.00033399
-179.903462,-0.00033439
-179.878462,-0.00033479
-179.853462,-0.00033519
-179.828462,-0.00033559
-179.803462,-0.00033599
-179.778462,-0.00033639
-179.753462,-0.00033679
-179.728462,-0.00033719
-179.703462,-0.00033758
-179.678462,-0.00033798
-179.653462,-0.00033838
-179.628462,-0.00033878
-179.603462,-0.00033917
-179.578462,-0.00033957
-179.553462,-0.00033996
-179.528462,-0.00034036
-179.503462,-0.00034075
-179.478462,-0.00034114
-179.453462,-0.00034153
-179.428462,-0.00034192
-179.403462,-0.00034231
-179.378462,-0.00034270
-179.353462,-0.00034308
-179.328462,-0.00034347
-179.303462,-0.00034385
-179.278462,-0.00034424
-179.253462,-0.00034462
-179.228462,-0.00034501
-179.203462,-0.00034540
-179.178462,-0.00034578
-179.153462,-0.00034617
-179.128462,-0.00034656
-179.103462,-0.00034694
-179.078462,-0.00034733
-179.053462,-0.00034772
-179.028462,-0.00034810
-179.003462,-0.00034849
-178.978462,-0.00034887
-178.953462,-0.00034926
-178.928462,-0.00034964
-178.903462,-0.00035003
-178.878462,-0.00035041
-178.853462,-0.00035080
-178.828462,-0.00035118
-178.803462,-0.00035156
-178.778462,-0.00035194
-178.753462,-0.00035232
-178.728462,-0.00035269
-178.703462,-0.00035307
-178.678462,-0.00035344
-178.653462,-0.00035381
-178.628462,-0.00035418
-178.603462,-0.00035454
-178.578462,-0.00035491
-178.553462,-0.00035527
-178.528462,-0.00035562
-178.503462,-0.00035598
-178.478462,-0.00035633
-178.453462,-0.00035668
-178.428462,-0.00035702
-178.403462,-0.00035737
-178.378462,-0.00035771
-178.353462,-0.00035805
-178.328462,-0.00035839
-178.303462,-0.00035873
-178.278462,-0.00035907
-178.253462,-0.00035941
-178.228462,-0.00035975
-178.203462,-0.00036009
-178.178462,-0.00036044
-178.153462,-0.00036078
-178.128462,-0.00036114
-178.103462,-0.00036150
-178.078462,-0.00036186
-178.053462,-0.00036223
-178.028462,-0.00036260
-178.003462,-0.00036298
-177.978462,-0.00036337
-177.953462,-0.00036376
-177.928462,-0.00036416
-177.903462,-0.00036456
-177.878462,-0.00036497
-177.853462,-0.00036539
-177.828462,-0.00036581
-177.803462,-0.00036623
-177.778462,-0.00036666
-177.753462,-0.00036709
-177.728462,-0.00036753
-177.703462,-0.00036797
-177.678462,-0.00036840
-177.653462,-0.00036884
-177.628462,-0.00036927
-177.603462,-0.00036970
-177.578462,-0.00037012
-177.553462,-0.00037053
-177.528462,-0.00037094
-177.503462,-0.00037135
-177.478462,-0.00037175
-177.453462,-0.00037214
-177.428462,-0.00037253
-177.403462,-0.00037291
-177.378462,-0.00037330
-177.353462,-0.00037368
-177.328462,-0.00037405
-177.303462,-0.00037443
-177.278462,-0.00037481
-177.253462,-0.00037518
-177.228462,-0.00037555
-177.203462,-0.00037592
-177.178462,-0.00037629
-177.153462,-0.00037665
-177.128462,-0.00037701
-177.103462,-0.00037736
-177.078462,-0.00037770
-177.053462,-0.00037804
-177.028462,-0.00037837
-177.003462,-0.00037870
-176.978462,-0.00037901
-176.953462,-0.00037931
-176.928462,-0.00037961
-176.903462,-0.00037991
-176.878462,-0.00038019
-176.853462,-0.00038046
-176.828462,-0.00038073
-176.803462,-0.00038100
-176.778462,-0.00038126
-176.753462,-0.00038152
-176.728462,-0.00038176
-176.703462,-0.00038200
-176.678462,-0.00038222
-176.653462,-0.00038244
-176.628462,-0.00038265
-176.603462,-0.00038286
-176.578462,-0.00038305
-176.553462,-0.00038324
-176.528462,-0.00038343
-176.503462,-0.00038361
-176.478462,-0.00038379
-176.453462,-0.00038397
-176.428462,-0.00038417
-176.403462,-0.00038437
-176.378462,-0.00038457
-176.353462,-0.00038478
-176.328462,-0.00038499
-176.303462,-0.00038521
-176.278462,-0.00038543
-176.253462,-0.00038564
-176.228462,-0.00038586
-176.203462,-0.00038607
-176.178462,-0.00038628
-176.153462,-0.00038649
-176.128462,-0.00038669
-176.103462,-0.00038688
-176.078462,-0.00038706
-176.053462,-0.00038725
-176.028462,-0.00038744
-176.003462,-0.00038761
-175.978462,-0.00038779
-175.953462,-0.00038797
-175.928462,-0.00038815
-175.903462,-0.00038833
-175.878462,-0.00038851
-175.853462,-0.00038869
-175.828462,-0.00038887
-175.803462,-0.00038906
-175.778462,-0.00038924
-175.753462,-0.00038943
-175.728462,-0.00038961
-175.703462,-0.00038979
-175.678462,-0.00038997
-175.653462,-0.00039014
-175.628462,-0.00039029
-175.603462,-0.00039044
-175.578462,-0.00039059
-175.553462,-0.00039072
-175.528462,-0.00039085
-175.503462,-0.00039098
-175.478462,-0.00039111
-175.453462,-0.00039123
-175.428462,-0.00039136
-175.403462,-0.00039150
-175.378462,-0.00039164
-175.353462,-0.00039177
-175.328462,-0.00039190
-175.303462,-0.00039204
-175.278462,-0.00039217
-175.253462,-0.00039228
-175.228462,-0.00039238
