time,displacement
-179.978462,0.00008738
-179.953462,0.00008782
-179.928462,0.00008827
-179.903462,0.00008873
-179.878462,0.00008919
-179.853462,0.00008967
-179.828462,0.00009015
-179.803462,0.00009064
-179.778462,0.00009113
-179.753462,0.00009164
-179.728462,0.00009215
-179.703462,0.00009267
-179.678462,0.00009320
-179.653462,0.00009373
-179.628462,0.00009428
-179.603462,0.00009484
-179.578462,0.00009540
-179.553462,0.00009597
-179.528462,0.00009656
-179.503462,0.00009715
-179.478462,0.00009776
-179.453462,0.00009838
-179.428462,0.00009901
-179.403462,0.00009965
-179.378462,0.00010030
-179.353462,0.00010097
-179.328462,0.00010165
-179.303462,0.00010234
-179.278462,0.00010305
-179.253462,0.00010377
-179.228462,0.00010450
-179.203462,0.00010525
-179.178462,0.00010602
-179.153462,0.00010680
-179.128462,0.00010759
-179.103462,0.00010841
-179.078462,0.00010923
-179.053462,0.00011008
-179.028462,0.00011094
-179.003462,0.00011182
-178.978462,0.00011272
-178.953462,0.00011364
-178.928462,0.00011458
-178.903462,0.00011553
-178.878462,0.00011651
-178.853462,0.00011750
-178.828462,0.00011851
-178.803462,0.00011954
-178.778462,0.00012058
-178.753462,0.00012164
-178.728462,0.00012272
-178.703462,0.00012381
-178.678462,0.00012492
-178.653462,0.00012604
-178.628462,0.00012716
-178.603462,0.00012830
-178.578462,0.00012945
-178.553462,0.00013060
-178.528462,0.00013176
-178.503462,0.00013292
-178.478462,0.00013409
-178.453462,0.00013526
-178.428462,0.00013643
-178.403462,0.00013761
-178.378462,0.00013879
-178.353462,0.00013998
-178.328462,0.00014117
-178.303462,0.00014237
-178.278462,0.00014358
-178.253462,0.00014480
-178.228462,0.00014602
-178.203462,0.00014726
-178.178462,0.00014850
-178.153462,0.00014975
-178.128462,0.00015100
-178.103462,0.00015226
-178.078462,0.00015353
-178.053462,0.00015481
-178.028462,0.00015609
-178.003462,0.00015738
-177.978462,0.00015866
-177.953462,0.00015996
-177.928462,0.00016125
-177.903462,0.00016256
-177.878462,0.00016386
-177.853462,0.00016516
-177.828462,0.00016647
-177.803462,0.00016776
-177.778462,0.00016906
-177.753462,0.00017036
-177.728462,0.00017165
-177.703462,0.00017294
-177.678462,0.00017423
-177.653462,0.00017550
