time,displacement
-179.978462,-0.01096845
-179.953462,-0.01101282
-179.928462,-0.01105718
-179.903462,-0.01110155
-179.878462,-0.01114591
-179.853462,-0.01119028
-179.828462,-0.01123463
-179.803462,-0.01127897
-179.778462,-0.01132334
-179.753462,-0.01136772
-179.728462,-0.01141208
-179.703462,-0.01145641
-179.678462,-0.01150072
-179.653462,-0.01154507
-179.628462,-0.01158948
-179.603462,-0.01163392
-179.578462,-0.01167838
-179.553462,-0.01172286
-179.528462,-0.01176741
-179.503462,-0.01181202
-179.478462,-0.01185668
-179.453462,-0.01190137
-179.428462,-0.01194608
-179.403462,-0.01199085
-179.378462,-0.01203567
-179.353462,-0.01208053
-179.328462,-0.01212543
-179.303462,-0.01217038
-179.278462,-0.01221544
-179.253462,-0.01226059
-179.228462,-0.01230579
-179.203462,-0.01235102
-179.178462,-0.01239629
-179.153462,-0.01244167
-179.128462,-0.01248720
-179.103462,-0.01253287
-179.078462,-0.01257862
-179.053462,-0.01262443
-179.028462,-0.01267027
-179.003462,-0.01271612
-178.978462,-0.01276197
-178.953462,-0.01280782
-178.928462,-0.01285372
-178.903462,-0.01289974
-178.878462,-0.01294589
-178.853462,-0.01299213
-178.828462,-0.01303840
-178.803462,-0.01308468
-178.778462,-0.01313100
-178.753462,-0.01317738
-178.728462,-0.01322381
-178.703462,-0.01327021
-178.678462,-0.01331652
-178.653462,-0.01336274
-178.628462,-0.01340895
-178.603462,-0.01345519
-178.578462,-0.01350143
-178.553462,-0.01354765
-178.528462,-0.01359387
-178.503462,-0.01364015
-178.478462,-0.01368659
-178.453462,-0.01373316
-178.428462,-0.01377976
-178.403462,-0.01382626
-178.378462,-0.01387258
-178.353462,-0.01391876
-178.328462,-0.01396485
-178.303462,-0.01401087
-178.278462,-0.01405678
-178.253462,-0.01410256
-178.228462,-0.01414820
-178.203462,-0.01419376
-178.178462,-0.01423929
-178.153462,-0.01428479
-178.128462,-0.01433023
-178.103462,-0.01437557
-178.078462,-0.01442083
-178.053462,-0.01446602
-178.028462,-0.01451115
-178.003462,-0.01455618
-177.978462,-0.01460104
-177.953462,-0.01464571
-177.928462,-0.01469020
-177.903462,-0.01473456
-177.878462,-0.01477878
-177.853462,-0.01482285
-177.828462,-0.01486675
-177.803462,-0.01491046
-177.778462,-0.01495403
-177.753462,-0.01499741
-177.728462,-0.01504056
-177.703462,-0.01508343
-177.678462,-0.01512604
-177.653462,-0.01516848
-177.628462,-0.01521084
-177.603462,-0.01525313
-177.578462,-0.01529530
-177.553462,-0.01533731
-177.528462,-0.01537914
-177.503462,-0.01542078
-177.478462,-0.01546220
-177.453462,-0.01550339
-177.428462,-0.01554435
-177.403462,-0.01558514
-177.378462,-0.01562579
-177.353462,-0.01566635
-177.328462,-0.01570684
-177.303462,-0.01574731
-177.278462,-0.01578783
-177.253462,-0.01582841
-177.228462,-0.01586906
-177.203462,-0.01590975
-177.178462,-0.01595046
-177.153462,-0.01599112
-177.128462,-0.01603168
-177.103462,-0.01607208
-177.078462,-0.01611238
-177.053462,-0.01615271
-177.028462,-0.01619312
-177.003462,-0.01623358
-176.978462,-0.01627400
-176.953462,-0.01631436
-176.928462,-0.01635469
-176.903462,-0.01639507
-176.878462,-0.01643551
-176.853462,-0.01647599
-176.828462,-0.01651650
-176.803462,-0.01655702
-176.778462,-0.01659753
-176.753462,-0.01663796
-176.728462,-0.01667822
-176.703462,-0.01671833
-176.678462,-0.01675838
-176.653462,-0.01679852
-176.628462,-0.01683885
-176.603462,-0.01687940
-176.578462,-0.01692014
-176.553462,-0.01696098
-176.528462,-0.01700185
