time,displacement
-179.980462,1.01530085
-179.955462,1.01274221
-179.930462,1.01018397
-179.905462,1.00762636
-179.880462,1.00506899
-179.855462,1.00251233
-179.830462,0.99995592
-179.805462,0.99740015
-179.780462,0.99484478
-179.755462,0.99228989
-179.730462,0.98973557
-179.705462,0.98718165
-179.680462,0.98462836
-179.655462,0.98207551
-179.630462,0.97952324
-179.605462,0.97697147
-179.580462,0.97442023
-179.555462,0.97186953
-179.530462,0.96931934
-179.505462,0.96676972
-179.480462,0.96422061
-179.455462,0.96167207
-179.430462,0.95912404
-179.405462,0.95657658
-179.380462,0.95402966
-179.355462,0.95148330
-179.330462,0.94893750
-179.305462,0.94639226
-179.280462,0.94384759
-179.255462,0.94130348
-179.230462,0.93875996
-179.205462,0.93621700
-179.180462,0.93367463
-179.155462,0.93113284
-179.130462,0.92859165
-179.105462,0.92605105
-179.080462,0.92351104
-179.055462,0.92097164
-179.030462,0.91843284
-179.005462,0.91589465
-178.980462,0.91335707
-178.955462,0.91082011
-178.930462,0.90828377
-178.905462,0.90574805
-178.880462,0.90321295
-178.855462,0.90067849
-178.830462,0.89814466
-178.805462,0.89561146
-178.780462,0.89307892
-178.755462,0.89054701
-178.730462,0.88801577
-178.705462,0.88548517
-178.680462,0.88295523
-178.655462,0.88042595
-178.630462,0.87789733
-178.605462,0.87536939
-178.580462,0.87284211
-178.555462,0.87031552
-178.530462,0.86778960
-178.505462,0.86526436
-178.480462,0.86273981
-178.455462,0.86021595
-178.430462,0.85769278
-178.405462,0.85517031
-178.380462,0.85264852
-178.355462,0.85012744
-178.330462,0.84760706
-178.305462,0.84508738
-178.280462,0.84256841
-178.255462,0.84005015
-178.230462,0.83753260
-178.205462,0.83501575
-178.180462,0.83249962
-178.155462,0.82998420
-178.130462,0.82746950
-178.105462,0.82495552
-178.080462,0.82244227
-178.055462,0.81992974
-178.030462,0.81741794
-178.005462,0.81490687
-177.980462,0.81239654
-177.955462,0.80988695
-177.930462,0.80737810
-177.905462,0.80487002
-177.880462,0.80236269
-177.855462,0.79985612
-177.830462,0.79735032
-177.805462,0.79484530
-177.780462,0.79234104
-177.755462,0.78983756
-177.730462,0.78733485
-177.705462,0.78483292
-177.680462,0.78233176
-177.655462,0.77983138
-177.630462,0.77733178
-177.605462,0.77483295
-177.580462,0.77233490
-177.555462,0.76983761
-177.530462,0.76734111
-177.505462,0.76484538
