time,displacement
-179.980462,0.79121372
-179.955462,0.78922376
-179.930462,0.78723423
-179.905462,0.78524528
-179.880462,0.78325663
-179.855462,0.78126863
-179.830462,0.77928094
-179.805462,0.77729385
-179.780462,0.77530718
-179.755462,0.77332099
-179.730462,0.77133535
-179.705462,0.76935013
-179.680462,0.76736551
-179.655462,0.76538134
-179.630462,0.76339773
-179.605462,0.76141461
-179.580462,0.75943203
-179.555462,0.75744998
-179.530462,0.75546843
-179.505462,0.75348744
-179.480462,0.75150696
-179.455462,0.74952704
-179.430462,0.74754765
-179.405462,0.74556880
-179.380462,0.74359050
-179.355462,0.74161274
-179.330462,0.73963554
-179.305462,0.73765889
-179.280462,0.73568281
-179.255462,0.73370727
-179.230462,0.73173230
-179.205462,0.72975789
-179.180462,0.72778405
-179.155462,0.72581077
-179.130462,0.72383806
-179.105462,0.72186593
-179.080462,0.71989436
-179.055462,0.71792338
-179.030462,0.71595298
-179.005462,0.71398316
-178.980462,0.71201392
-178.955462,0.71004527
-178.930462,0.70807721
-178.905462,0.70610975
-178.880462,0.70414288
-178.855462,0.70217661
-178.830462,0.70021094
-178.805462,0.69824588
-178.780462,0.69628141
-178.755462,0.69431755
-178.730462,0.69235430
-178.705462,0.69039165
-178.680462,0.68842961
-178.655462,0.68646818
-178.630462,0.68450736
-178.605462,0.68254716
-178.580462,0.68058757
-178.555462,0.67862861
-178.530462,0.67667026
-178.505462,0.67471254
-178.480462,0.67275545
-178.455462,0.67079899
-178.430462,0.66884316
-178.405462,0.66688797
-178.380462,0.66493342
-178.355462,0.66297951
-178.330462,0.66102624
-178.305462,0.65907361
-178.280462,0.65712164
-178.255462,0.65517031
-178.230462,0.65321964
-178.205462,0.65126962
-178.180462,0.64932026
-178.155462,0.64737155
-178.130462,0.64542351
-178.105462,0.64347613
-178.080462,0.64152941
-178.055462,0.63958336
-178.030462,0.63763798
-178.005462,0.63569328
-177.980462,0.63374926
-177.955462,0.63180592
-177.930462,0.62986328
-177.905462,0.62792133
-177.880462,0.62598008
-177.855462,0.62403954
-177.830462,0.62209970
-177.805462,0.62016057
-177.780462,0.61822216
-177.755462,0.61628447
-177.730462,0.61434751
-177.705462,0.61241128
-177.680462,0.61047579
-177.655462,0.60854104
-177.630462,0.60660703
-177.605462,0.60467376
-177.580462,0.60274125
-177.555462,0.60080948
-177.530462,0.59887847
-177.505462,0.59694821
-177.480462,0.59501869
-177.455462,0.59308992
-177.430462,0.59116190
-177.405462,0.58923462
-177.380462,0.58730809
-177.355462,0.58538231
-177.330462,0.58345729
-177.305462,0.58153301
-177.280462,0.57960948
-177.255462,0.57768671
-177.230462,0.57576470
-177.205462,0.57384345
-177.180462,0.57192296
-177.155462,0.57000323
-177.130462,0.56808428
-177.105462,0.56616611
-177.080462,0.56424870
-177.055462,0.56233208
-177.030462,0.56041625
-177.005462,0.55850119
-176.980462,0.55658692
-176.955462,0.55467343
-176.930462,0.55276073
-176.905462,0.55084881
-176.880462,0.54893768
-176.855462,0.54702734
-176.830462,0.54511778
-176.805462,0.54320901
-176.780462,0.54130103
-176.755462,0.53939384
-176.730462,0.53748744
-176.705462,0.53558184
-176.680462,0.53367703
-176.655462,0.53177303
-176.630462,0.52986983
-176.605462,0.52796744
-176.580462,0.52606587
-176.555462,0.52416512
-176.530462,0.52226519
-176.505462,0.52036609
-176.480462,0.51846783
-176.455462,0.51657042
-176.430462,0.51467386
-176.405462,0.51277815
-176.380462,0.51088328
-176.355462,0.50898928
-176.330462,0.50709611
-176.305462,0.50520380
-176.280462,0.50331234
-176.255462,0.50142172
-176.230462,0.49953196
-176.205462,0.49764304
-176.180462,0.49575498
-176.155462,0.49386778
-176.130462,0.49198143
-176.105462,0.49009595
-176.080462,0.48821135
-176.055462,0.48632764
-176.030462,0.48444483
-176.005462,0.48256291
-175.980462,0.48068190
-175.955462,0.47880179
-175.930462,0.47692259
-175.905462,0.47504431
-175.880462,0.47316694
-175.855462,0.47129049
-175.830462,0.46941496
-175.805462,0.46754034
-175.780462,0.46566666
-175.755462,0.46379389
-175.730462,0.46192206
-175.705462,0.46005115
-175.680462,0.45818119
-175.655462,0.45631216
-175.630462,0.45444407
-175.605462,0.45257691
-175.580462,0.45071068
-175.555462,0.44884537
-175.530462,0.44698099
-175.505462,0.44511753
-175.480462,0.44325499
-175.455462,0.44139338
-175.430462,0.43953269
-175.405462,0.43767292
-175.380462,0.43581410
-175.355462,0.43395621
-175.330462,0.43209927
-175.305462,0.43024328
-175.280462,0.42838825
-175.255462,0.42653417
-175.230462,0.42468107
-175.205462,0.42282892
-175.180462,0.42097775
-175.155462,0.41912755
-175.130462,0.41727832
-175.105462,0.41543006
-175.080462,0.41358278
-175.055462,0.41173646
-175.030462,0.40989111
-175.005462,0.40804674
-174.980462,0.40620335
-174.955462,0.40436095
-174.930462,0.40251955
-174.905462,0.40067913
-174.880462,0.39883971
-174.855462,0.39700129
-174.830462,0.39516386
-174.805462,0.39332744
-174.780462,0.39149202
-174.755462,0.38965760
-174.730462,0.38782419
-174.705462,0.38599179
-174.680462,0.38416039
-174.655462,0.38233002
-174.630462,0.38050067
-174.605462,0.37867234
-174.580462,0.37684504
-174.555462,0.37501877
-174.530462,0.37319353
-174.505462,0.37136934
-174.480462,0.36954618
-174.455462,0.36772405
-174.430462,0.36590295
-174.405462,0.36408288
-174.380462,0.36226384
-174.355462,0.36044584
-174.330462,0.35862887
-174.305462,0.35681295
-174.280462,0.35499807
-174.255462,0.35318423
