time,displacement
-179.980462,0.00658162
-179.955462,0.00655114
-179.930462,0.00652066
-179.905462,0.00649018
-179.880462,0.00645971
-179.855462,0.00642926
-179.830462,0.00639880
-179.805462,0.00636836
-179.780462,0.00633792
-179.755462,0.00630749
-179.730462,0.00627706
-179.705462,0.00624665
-179.680462,0.00621624
-179.655462,0.00618583
-179.630462,0.00615544
-179.605462,0.00612505
-179.580462,0.00609467
-179.555462,0.00606429
-179.530462,0.00603392
-179.505462,0.00600356
-179.480462,0.00597320
-179.455462,0.00594284
-179.430462,0.00591249
-179.405462,0.00588215
-179.380462,0.00585182
-179.355462,0.00582149
-179.330462,0.00579117
-179.305462,0.00576084
-179.280462,0.00573052
-179.255462,0.00570020
-179.230462,0.00566988
-179.205462,0.00563956
-179.180462,0.00560924
-179.155462,0.00557892
-179.130462,0.00554859
-179.105462,0.00551826
-179.080462,0.00548793
-179.055462,0.00545760
-179.030462,0.00542726
-179.005462,0.00539691
-178.980462,0.00536655
-178.955462,0.00533619
-178.930462,0.00530582
-178.905462,0.00527545
-178.880462,0.00524507
-178.855462,0.00521469
-178.830462,0.00518431
-178.805462,0.00515392
-178.780462,0.00512353
-178.755462,0.00509313
-178.730462,0.00506273
-178.705462,0.00503232
-178.680462,0.00500191
-178.655462,0.00497150
-178.630462,0.00494109
-178.605462,0.00491068
-178.580462,0.00488028
-178.555462,0.00484988
-178.530462,0.00481949
-178.505462,0.00478910
-178.480462,0.00475873
-178.455462,0.00472836
-178.430462,0.00469801
-178.405462,0.00466767
-178.380462,0.00463734
-178.355462,0.00460702
-178.330462,0.00457671
-178.305462,0.00454642
-178.280462,0.00451614
-178.255462,0.00448588
-178.230462,0.00445565
-178.205462,0.00442543
-178.180462,0.00439524
-178.155462,0.00436507
-178.130462,0.00433492
-178.105462,0.00430479
-178.080462,0.00427468
-178.055462,0.00424458
-178.030462,0.00421452
-178.005462,0.00418447
-177.980462,0.00415446
-177.955462,0.00412447
-177.930462,0.00409451
-177.905462,0.00406459
-177.880462,0.00403469
-177.855462,0.00400482
-177.830462,0.00397499
-177.805462,0.00394519
-177.780462,0.00391543
-177.755462,0.00388570
-177.730462,0.00385601
-177.705462,0.00382635
-177.680462,0.00379673
-177.655462,0.00376714
-177.630462,0.00373759
-177.605462,0.00370808
-177.580462,0.00367861
-177.555462,0.00364919
-177.530462,0.00361981
-177.505462,0.00359048
-177.480462,0.00356119
-177.455462,0.00353196
-177.430462,0.00350277
-177.405462,0.00347363
-177.380462,0.00344453
-177.355462,0.00341547
-177.330462,0.00338644
-177.305462,0.00335745
-177.280462,0.00332850
-177.255462,0.00329958
-177.230462,0.00327069
-177.205462,0.00324184
-177.180462,0.00321304
-177.155462,0.00318427
-177.130462,0.00315555
-177.105462,0.00312688
-177.080462,0.00309825
-177.055462,0.00306967
-177.030462,0.00304112
-177.005462,0.00301261
-176.980462,0.00298412
-176.955462,0.00295566
-176.930462,0.00292722
-176.905462,0.00289880
-176.880462,0.00287040
-176.855462,0.00284201
-176.830462,0.00281362
-176.805462,0.00278523
-176.780462,0.00275686
-176.755462,0.00272849
-176.730462,0.00270012
-176.705462,0.00267176
-176.680462,0.00264339
-176.655462,0.00261503
-176.630462,0.00258667
-176.605462,0.00255830
-176.580462,0.00252992
-176.555462,0.00250151
-176.530462,0.00247307
-176.505462,0.00244460
-176.480462,0.00241608
-176.455462,0.00238753
-176.430462,0.00235895
-176.405462,0.00233031
-176.380462,0.00230162
-176.355462,0.00227288
-176.330462,0.00224408
-176.305462,0.00221523
-176.280462,0.00218631
-176.255462,0.00215733
-176.230462,0.00212827
-176.205462,0.00209915
-176.180462,0.00206996
-176.155462,0.00204070
-176.130462,0.00201136
-176.105462,0.00198195
-176.080462,0.00195248
-176.055462,0.00192295
-176.030462,0.00189337
-176.005462,0.00186376
-175.980462,0.00183410
-175.955462,0.00180441
-175.930462,0.00177470
-175.905462,0.00174499
-175.880462,0.00171526
-175.855462,0.00168554
-175.830462,0.00165582
-175.805462,0.00162609
-175.780462,0.00159637
-175.755462,0.00156665
-175.730462,0.00153695
-175.705462,0.00150729
-175.680462,0.00147766
-175.655462,0.00144807
-175.630462,0.00141854
-175.605462,0.00138907
-175.580462,0.00135967
-175.555462,0.00133034
-175.530462,0.00130110
-175.505462,0.00127194
-175.480462,0.00124285
-175.455462,0.00121383
-175.430462,0.00118488
-175.405462,0.00115598
-175.380462,0.00112716
-175.355462,0.00109841
-175.330462,0.00106976
-175.305462,0.00104117
-175.280462,0.00101265
-175.255462,0.00098419
-175.230462,0.00095579
-175.205462,0.00092744
-175.180462,0.00089913
-175.155462,0.00087087
-175.130462,0.00084264
-175.105462,0.00081445
-175.080462,0.00078629
-175.055462,0.00075816
-175.030462,0.00073002
-175.005462,0.00070190
-174.980462,0.00067376
-174.955462,0.00064561
-174.930462,0.00061744
-174.905462,0.00058926
-174.880462,0.00056106
-174.855462,0.00053285
-174.830462,0.00050463
-174.805462,0.00047639
-174.780462,0.00044811
-174.755462,0.00041982
-174.730462,0.00039151
-174.705462,0.00036318
-174.680462,0.00033483
-174.655462,0.00030647
-174.630462,0.00027811
-174.605462,0.00024973
-174.580462,0.00022136
-174.555462,0.00019298
-174.530462,0.00016459
-174.505462,0.00013619
-174.480462,0.00010777
-174.455462,0.00007936
-174.430462,0.00005096
-174.405462,0.00002258
-174.380462,-0.00000580
-174.355462,-0.00003418
-174.330462,-0.00006256
-174.305462,-0.00009094
-174.280462,-0.00011932
-174.255462,-0.00014770
-174.230462,-0.00017606
-174.205462,-0.00020439
-174.180462,-0.00023270
-174.155462,-0.00026099
-174.130462,-0.00028925
-174.105462,-0.00031745
-174.080462,-0.00034560
-174.055462,-0.00037371
-174.030462,-0.00040179
-174.005462,-0.00042986
-173.980462,-0.00045789
-173.955462,-0.00048585
-173.930462,-0.00051377
-173.905462,-0.00054166
-173.880462,-0.00056951
-173.855462,-0.00059733
-173.830462,-0.00062511
-173.805462,-0.00065283
-173.780462,-0.00068050
-173.755462,-0.00070810
-173.730462,-0.00073561
-173.705462,-0.00076306
-173.680462,-0.00079044
-173.655462,-0.00081777
-173.630462,-0.00084505
-173.605462,-0.00087228
-173.580462,-0.00089947
-173.555462,-0.00092664
-173.530462,-0.00095378
-173.505462,-0.00098090
-173.480462,-0.00100799
-173.455462,-0.00103504
-173.430462,-0.00106206
-173.405462,-0.00108903
-173.380462,-0.00111597
-173.355462,-0.00114287
-173.330462,-0.00116970
-173.305462,-0.00119648
-173.280462,-0.00122320
-173.255462,-0.00124986
-173.230462,-0.00127649
-173.205462,-0.00130307
-173.180462,-0.00132963
-173.155462,-0.00135616
-173.130462,-0.00138268
-173.105462,-0.00140919
-173.080462,-0.00143571
-173.055462,-0.00146223
-173.030462,-0.00148876
-173.005462,-0.00151530
-172.980462,-0.00154186
-172.955462,-0.00156845
-172.930462,-0.00159506
-172.905462,-0.00162168
-172.880462,-0.00164834
-172.855462,-0.00167505
-172.830462,-0.00170183
-172.805462,-0.00172867
-172.780462,-0.00175558
-172.755462,-0.00178257
-172.730462,-0.00180964
-172.705462,-0.00183678
-172.680462,-0.00186401
-172.655462,-0.00189130
-172.630462,-0.00191868
-172.605462,-0.00194614
-172.580462,-0.00197367
-172.555462,-0.00200126
-172.530462,-0.00202889
-172.505462,-0.00205657
-172.480462,-0.00208432
-172.455462,-0.00211212
-172.430462,-0.00213998
-172.405462,-0.00216789
-172.380462,-0.00219586
-172.355462,-0.00222388
-172.330462,-0.00225190
-172.305462,-0.00227995
-172.280462,-0.00230801
-172.255462,-0.00233610
-172.230462,-0.00236420
-172.205462,-0.00239230
-172.180462,-0.00242042
-172.155462,-0.00244856
-172.130462,-0.00247671
-172.105462,-0.00250485
-172.080462,-0.00253299
-172.055462,-0.00256113
-172.030462,-0.00258926
-172.005462,-0.00261740
-171.980462,-0.00264552
-171.955462,-0.00267360
-171.930462,-0.00270164
-171.905462,-0.00272963
-171.880462,-0.00275759
-171.855462,-0.00278552
-171.830462,-0.00281340
-171.805462,-0.00284121
