time,displacement
-179.980461,-0.00399439
-179.955461,-0.00400197
-179.930461,-0.00400954
-179.905461,-0.00401708
-179.880461,-0.00402461
-179.855461,-0.00403213
-179.830461,-0.00403962
-179.805461,-0.00404710
-179.780461,-0.00405455
-179.755461,-0.00406199
-179.730461,-0.00406941
-179.705461,-0.00407681
-179.680461,-0.00408419
-179.655461,-0.00409156
-179.630461,-0.00409890
-179.605461,-0.00410623
-179.580461,-0.00411353
-179.555461,-0.00412082
-179.530461,-0.00412809
-179.505461,-0.00413534
-179.480461,-0.00414257
-179.455461,-0.00414978
-179.430461,-0.00415697
-179.405461,-0.00416414
-179.380461,-0.00417129
-179.355461,-0.00417842
-179.330461,-0.00418553
-179.305461,-0.00419263
-179.280461,-0.00419970
-179.255461,-0.00420675
-179.230461,-0.00421378
-179.205461,-0.00422079
-179.180461,-0.00422778
-179.155461,-0.00423475
-179.130461,-0.00424171
-179.105461,-0.00424864
-179.080461,-0.00425556
-179.055461,-0.00426245
-179.030461,-0.00426933
-179.005461,-0.00427619
-178.980461,-0.00428302
-178.955461,-0.00428984
-178.930461,-0.00429664
-178.905461,-0.00430342
-178.880461,-0.00431018
-178.855461,-0.00431693
-178.830461,-0.00432366
-178.805461,-0.00433037
-178.780461,-0.00433706
-178.755461,-0.00434374
-178.730461,-0.00435041
-178.705461,-0.00435705
-178.680461,-0.00436367
-178.655461,-0.00437028
-178.630461,-0.00437687
-178.605461,-0.00438345
-178.580461,-0.00439001
-178.555461,-0.00439655
-178.530461,-0.00440306
-178.505461,-0.00440956
-178.480461,-0.00441605
-178.455461,-0.00442253
-178.430461,-0.00442898
-178.405461,-0.00443540
-178.380461,-0.00444181
-178.355461,-0.00444820
-178.330461,-0.00445458
-178.305461,-0.00446095
-178.280461,-0.00446729
-178.255461,-0.00447362
-178.230461,-0.00447994
-178.205461,-0.00448624
-178.180461,-0.00449252
-178.155461,-0.00449878
-178.130461,-0.00450504
-178.105461,-0.00451129
-178.080461,-0.00451752
-178.055461,-0.00452372
-178.030461,-0.00452990
-178.005461,-0.00453607
-177.980461,-0.00454223
-177.955461,-0.00454837
-177.930461,-0.00455448
-177.905461,-0.00456057
-177.880461,-0.00456665
-177.855461,-0.00457271
-177.830461,-0.00457876
-177.805461,-0.00458479
-177.780461,-0.00459080
-177.755461,-0.00459680
-177.730461,-0.00460277
-177.705461,-0.00460873
-177.680461,-0.00461467
-177.655461,-0.00462057
-177.630461,-0.00462645
-177.605461,-0.00463230
-177.580461,-0.00463813
-177.555461,-0.00464394
-177.530461,-0.00464971
-177.505461,-0.00465545
-177.480461,-0.00466115
-177.455461,-0.00466682
-177.430461,-0.00467246
-177.405461,-0.00467807
-177.380461,-0.00468366
-177.355461,-0.00468923
-177.330461,-0.00469476
-177.305461,-0.00470026
-177.280461,-0.00470572
-177.255461,-0.00471114
-177.230461,-0.00471652
-177.205461,-0.00472186
-177.180461,-0.00472717
-177.155461,-0.00473244
-177.130461,-0.00473767
-177.105461,-0.00474289
-177.080461,-0.00474808
-177.055461,-0.00475325
-177.030461,-0.00475838
-177.005461,-0.00476348
-176.980461,-0.00476854
-176.955461,-0.00477356
-176.930461,-0.00477855
-176.905461,-0.00478349
-176.880461,-0.00478840
-176.855461,-0.00479327
-176.830461,-0.00479811
-176.805461,-0.00480292
-176.780461,-0.00480770
-176.755461,-0.00481245
-176.730461,-0.00481717
-176.705461,-0.00482186
-176.680461,-0.00482651
-176.655461,-0.00483112
-176.630461,-0.00483569
-176.605461,-0.00484023
-176.580461,-0.00484474
-176.555461,-0.00484921
-176.530461,-0.00485363
-176.505461,-0.00485801
-176.480461,-0.00486234
-176.455461,-0.00486662
-176.430461,-0.00487086
-176.405461,-0.00487506
-176.380461,-0.00487923
-176.355461,-0.00488336
-176.330461,-0.00488744
-176.305461,-0.00489148
-176.280461,-0.00489549
-176.255461,-0.00489947
-176.230461,-0.00490343
-176.205461,-0.00490735
-176.180461,-0.00491124
-176.155461,-0.00491508
-176.130461,-0.00491886
-176.105461,-0.00492260
-176.080461,-0.00492629
-176.055461,-0.00492995
-176.030461,-0.00493357
-176.005461,-0.00493717
-175.980461,-0.00494071
-175.955461,-0.00494422
-175.930461,-0.00494769
-175.905461,-0.00495114
-175.880461,-0.00495457
-175.855461,-0.00495795
-175.830461,-0.00496128
-175.805461,-0.00496456
-175.780461,-0.00496781
-175.755461,-0.00497102
-175.730461,-0.00497420
-175.705461,-0.00497735
-175.680461,-0.00498049
-175.655461,-0.00498361
-175.630461,-0.00498671
-175.605461,-0.00498976
-175.580461,-0.00499276
-175.555461,-0.00499573
-175.530461,-0.00499868
-175.505461,-0.00500160
-175.480461,-0.00500449
-175.455461,-0.00500735
-175.430461,-0.00501017
-175.405461,-0.00501298
-175.380461,-0.00501577
-175.355461,-0.00501855
-175.330461,-0.00502130
-175.305461,-0.00502402
-175.280461,-0.00502672
-175.255461,-0.00502939
-175.230461,-0.00503203
-175.205461,-0.00503465
-175.180461,-0.00503726
-175.155461,-0.00503985
-175.130461,-0.00504243
-175.105461,-0.00504499
-175.080461,-0.00504753
-175.055461,-0.00505004
-175.030461,-0.00505253
-175.005461,-0.00505501
-174.980461,-0.00505748
-174.955461,-0.00505991
-174.930461,-0.00506232
-174.905461,-0.00506471
-174.880461,-0.00506710
-174.855461,-0.00506947
-174.830461,-0.00507183
-174.805461,-0.00507416
-174.780461,-0.00507647
-174.755461,-0.00507877
-174.730461,-0.00508104
-174.705461,-0.00508330
-174.680461,-0.00508553
-174.655461,-0.00508775
-174.630461,-0.00508996
-174.605461,-0.00509215
-174.580461,-0.00509433
-174.555461,-0.00509650
-174.530461,-0.00509865
-174.505461,-0.00510077
-174.480461,-0.00510287
-174.455461,-0.00510495
-174.430461,-0.00510700
-174.405461,-0.00510903
-174.380461,-0.00511104
-174.355461,-0.00511305
-174.330461,-0.00511504
-174.305461,-0.00511702
-174.280461,-0.00511899
-174.255461,-0.00512093
-174.230461,-0.00512284
-174.205461,-0.00512471
