time,displacement
-179.980461,0.00498138
-179.955461,0.00496961
-179.930461,0.00495781
-179.905461,0.00494598
-179.880461,0.00493411
-179.855461,0.00492221
-179.830461,0.00491027
-179.805461,0.00489830
-179.780461,0.00488630
-179.755461,0.00487426
-179.730461,0.00486219
-179.705461,0.00485009
-179.680461,0.00483795
-179.655461,0.00482578
-179.630461,0.00481357
-179.605461,0.00480134
-179.580461,0.00478907
-179.555461,0.00477677
-179.530461,0.00476443
-179.505461,0.00475206
-179.480461,0.00473966
-179.455461,0.00472723
-179.430461,0.00471477
-179.405461,0.00470227
-179.380461,0.00468973
-179.355461,0.00467717
-179.330461,0.00466457
-179.305461,0.00465194
-179.280461,0.00463928
-179.255461,0.00462659
-179.230461,0.00461386
-179.205461,0.00460110
-179.180461,0.00458830
-179.155461,0.00457547
-179.130461,0.00456260
-179.105461,0.00454971
-179.080461,0.00453677
-179.055461,0.00452380
-179.030461,0.00451080
-179.005461,0.00449778
-178.980461,0.00448472
-178.955461,0.00447163
-178.930461,0.00445850
-178.905461,0.00444533
-178.880461,0.00443213
-178.855461,0.00441889
-178.830461,0.00440562
-178.805461,0.00439231
-178.780461,0.00437896
-178.755461,0.00436557
-178.730461,0.00435216
-178.705461,0.00433870
-178.680461,0.00432521
-178.655461,0.00431169
-178.630461,0.00429813
-178.605461,0.00428454
-178.580461,0.00427090
-178.555461,0.00425723
-178.530461,0.00424353
-178.505461,0.00422979
-178.480461,0.00421603
-178.455461,0.00420222
-178.430461,0.00418838
-178.405461,0.00417452
-178.380461,0.00416062
-178.355461,0.00414670
-178.330461,0.00413274
-178.305461,0.00411875
-178.280461,0.00410472
-178.255461,0.00409065
-178.230461,0.00407656
-178.205461,0.00406243
-178.180461,0.00404827
-178.155461,0.00403408
-178.130461,0.00401986
-178.105461,0.00400560
-178.080461,0.00399132
-178.055461,0.00397701
-178.030461,0.00396267
-178.005461,0.00394829
-177.980461,0.00393388
-177.955461,0.00391943
