time,displacement
-179.980461,0.00343847
-179.955461,0.00344238
-179.930461,0.00344626
-179.905461,0.00345012
-179.880461,0.00345394
-179.855461,0.00345774
-179.830461,0.00346151
-179.805461,0.00346525
-179.780461,0.00346897
-179.755461,0.00347265
-179.730461,0.00347631
-179.705461,0.00347994
-179.680461,0.00348354
-179.655461,0.00348712
-179.630461,0.00349067
-179.605461,0.00349419
-179.580461,0.00349768
-179.555461,0.00350114
-179.530461,0.00350458
-179.505461,0.00350798
-179.480461,0.00351136
-179.455461,0.00351471
-179.430461,0.00351803
-179.405461,0.00352133
-179.380461,0.00352461
-179.355461,0.00352786
-179.330461,0.00353109
-179.305461,0.00353429
-179.280461,0.00353746
-179.255461,0.00354060
-179.230461,0.00354372
-179.205461,0.00354681
-179.180461,0.00354989
-179.155461,0.00355294
-179.130461,0.00355596
-179.105461,0.00355896
-179.080461,0.00356195
-179.055461,0.00356492
-179.030461,0.00356786
-179.005461,0.00357078
-178.980461,0.00357368
-178.955461,0.00357654
-178.930461,0.00357939
-178.905461,0.00358221
-178.880461,0.00358501
-178.855461,0.00358780
-178.830461,0.00359057
-178.805461,0.00359334
-178.780461,0.00359609
-178.755461,0.00359881
-178.730461,0.00360152
-178.705461,0.00360422
-178.680461,0.00360689
-178.655461,0.00360955
-178.630461,0.00361218
-178.605461,0.00361479
-178.580461,0.00361739
-178.555461,0.00361998
-178.530461,0.00362256
-178.505461,0.00362513
-178.480461,0.00362768
-178.455461,0.00363023
-178.430461,0.00363276
-178.405461,0.00363529
-178.380461,0.00363779
-178.355461,0.00364028
-178.330461,0.00364274
-178.305461,0.00364519
-178.280461,0.00364761
-178.255461,0.00365002
-178.230461,0.00365242
-178.205461,0.00365481
-178.180461,0.00365719
-178.155461,0.00365956
-178.130461,0.00366192
-178.105461,0.00366425
-178.080461,0.00366657
-178.055461,0.00366886
-178.030461,0.00367111
-178.005461,0.00367333
-177.980461,0.00367551
-177.955461,0.00367768
-177.930461,0.00367983
-177.905461,0.00368196
-177.880461,0.00368408
-177.855461,0.00368619
-177.830461,0.00368827
-177.805461,0.00369034
-177.780461,0.00369237
-177.755461,0.00369436
-177.730461,0.00369632
-177.705461,0.00369825
-177.680461,0.00370015
-177.655461,0.00370201
-177.630461,0.00370385
-177.605461,0.00370565
-177.580461,0.00370743
-177.555461,0.00370918
-177.530461,0.00371089
-177.505461,0.00371257
-177.480461,0.00371422
-177.455461,0.00371582
-177.430461,0.00371737
-177.405461,0.00371888
-177.380461,0.00372033
-177.355461,0.00372175
-177.330461,0.00372313
-177.305461,0.00372449
-177.280461,0.00372582
-177.255461,0.00372711
-177.230461,0.00372836
-177.205461,0.00372957
-177.180461,0.00373073
-177.155461,0.00373186
-177.130461,0.00373294
-177.105461,0.00373399
-177.080461,0.00373500
-177.055461,0.00373597
-177.030461,0.00373689
-177.005461,0.00373776
-176.980461,0.00373858
-176.955461,0.00373938
-176.930461,0.00374014
-176.905461,0.00374088
-176.880461,0.00374158
-176.855461,0.00374223
-176.830461,0.00374284
-176.805461,0.00374341
-176.780461,0.00374392
-176.755461,0.00374439
-176.730461,0.00374481
-176.705461,0.00374520
-176.680461,0.00374556
-176.655461,0.00374589
-176.630461,0.00374620
-176.605461,0.00374649
-176.580461,0.00374675
-176.555461,0.00374698
-176.530461,0.00374716
-176.505461,0.00374729
-176.480461,0.00374737
-176.455461,0.00374739
-176.430461,0.00374736
-176.405461,0.00374731
-176.380461,0.00374722
-176.355461,0.00374711
-176.330461,0.00374697
-176.305461,0.00374681
-176.280461,0.00374663
-176.255461,0.00374642
-176.230461,0.00374618
-176.205461,0.00374590
-176.180461,0.00374556
-176.155461,0.00374519
-176.130461,0.00374478
-176.105461,0.00374433
-176.080461,0.00374385
-176.055461,0.00374333
-176.030461,0.00374279
-176.005461,0.00374223
-175.980461,0.00374164
-175.955461,0.00374102
-175.930461,0.00374037
-175.905461,0.00373967
-175.880461,0.00373893
-175.855461,0.00373812
-175.830461,0.00373727
-175.805461,0.00373638
-175.780461,0.00373547
-175.755461,0.00373454
-175.730461,0.00373358
-175.705461,0.00373260
-175.680461,0.00373161
-175.655461,0.00373059
-175.630461,0.00372956
-175.605461,0.00372850
-175.580461,0.00372741
-175.555461,0.00372629
-175.530461,0.00372515
-175.505461,0.00372398
-175.480461,0.00372280
-175.455461,0.00372161
-175.430461,0.00372041
-175.405461,0.00371920
-175.380461,0.00371797
-175.355461,0.00371672
-175.330461,0.00371545
-175.305461,0.00371416
-175.280461,0.00371285
-175.255461,0.00371152
-175.230461,0.00371015
-175.205461,0.00370876
-175.180461,0.00370736
-175.155461,0.00370594
-175.130461,0.00370451
-175.105461,0.00370307
-175.080461,0.00370159
-175.055461,0.00370009
-175.030461,0.00369856
-175.005461,0.00369700
-174.980461,0.00369541
-174.955461,0.00369380
-174.930461,0.00369216
-174.905461,0.00369049
-174.880461,0.00368880
-174.855461,0.00368710
-174.830461,0.00368538
-174.805461,0.00368366
-174.780461,0.00368194
-174.755461,0.00368020
-174.730461,0.00367842
-174.705461,0.00367661
-174.680461,0.00367475
-174.655461,0.00367286
-174.630461,0.00367096
-174.605461,0.00366904
-174.580461,0.00366712
-174.555461,0.00366519
-174.530461,0.00366327
-174.505461,0.00366133
-174.480461,0.00365938
-174.455461,0.00365741
-174.430461,0.00365542
-174.405461,0.00365341
-174.380461,0.00365137
-174.355461,0.00364930
-174.330461,0.00364719
-174.305461,0.00364506
-174.280461,0.00364292
-174.255461,0.00364075
-174.230461,0.00363856
-174.205461,0.00363634
-174.180461,0.00363408
-174.155461,0.00363180
-174.130461,0.00362950
-174.105461,0.00362719
-174.080461,0.00362485
-174.055461,0.00362248
-174.030461,0.00362010
-174.005461,0.00361770
-173.980461,0.00361529
-173.955461,0.00361286
-173.930461,0.00361042
-173.905461,0.00360796
-173.880461,0.00360550
-173.855461,0.00360303
-173.830461,0.00360054
-173.805461,0.00359800
-173.780461,0.00359543
-173.755461,0.00359281
-173.730461,0.00359017
-173.705461,0.00358749
-173.680461,0.00358478
-173.655461,0.00358203
-173.630461,0.00357927
-173.605461,0.00357651
-173.580461,0.00357377
-173.555461,0.00357102
-173.530461,0.00356825
-173.505461,0.00356542
-173.480461,0.00356253
-173.455461,0.00355958
-173.430461,0.00355658
-173.405461,0.00355354
-173.380461,0.00355044
-173.355461,0.00354730
-173.330461,0.00354413
-173.305461,0.00354094
-173.280461,0.00353773
-173.255461,0.00353451
-173.230461,0.00353127
-173.205461,0.00352798
-173.180461,0.00352462
-173.155461,0.00352118
-173.130461,0.00351767
-173.105461,0.00351412
-173.080461,0.00351052
-173.055461,0.00350687
-173.030461,0.00350319
-173.005461,0.00349949
-172.980461,0.00349576
-172.955461,0.00349201
-172.930461,0.00348822
-172.905461,0.00348438
-172.880461,0.00348051
-172.855461,0.00347658
-172.830461,0.00347259
-172.805461,0.00346852
-172.780461,0.00346435
-172.755461,0.00346012
-172.730461,0.00345586
-172.705461,0.00345158
-172.680461,0.00344730
-172.655461,0.00344297
-172.630461,0.00343859
-172.605461,0.00343414
-172.580461,0.00342962
-172.555461,0.00342501
-172.530461,0.00342032
-172.505461,0.00341553
-172.480461,0.00341065
-172.455461,0.00340568
-172.430461,0.00340062
-172.405461,0.00339551
-172.380461,0.00339037
-172.355461,0.00338524
-172.330461,0.00338009
-172.305461,0.00337490
-172.280461,0.00336964
-172.255461,0.00336429
-172.230461,0.00335886
-172.205461,0.00335334
-172.180461,0.00334774
-172.155461,0.00334205
-172.130461,0.00333630
-172.105461,0.00333050
-172.080461,0.00332468
-172.055461,0.00331885
-172.030461,0.00331301
-172.005461,0.00330715
-171.980461,0.00330124
-171.955461,0.00329525
-171.930461,0.00328915
-171.905461,0.00328296
-171.880461,0.00327670
-171.855461,0.00327040
-171.830461,0.00326408
-171.805461,0.00325776
-171.780461,0.00325146
-171.755461,0.00324517
-171.730461,0.00323888
-171.705461,0.00323259
-171.680461,0.00322631
-171.655461,0.00322002
-171.630461,0.00321370
-171.605461,0.00320733
-171.580461,0.00320088
-171.555461,0.00319440
-171.530461,0.00318790
-171.505461,0.00318140
-171.480461,0.00317491
-171.455461,0.00316843
-171.430461,0.00316196
-171.405461,0.00315551
-171.380461,0.00314907
-171.355461,0.00314264
-171.330461,0.00313623
-171.305461,0.00312984
-171.280461,0.00312345
-171.255461,0.00311703
-171.230461,0.00311058
-171.205461,0.00310414
-171.180461,0.00309775
-171.155461,0.00309142
-171.130461,0.00308515
-171.105461,0.00307893
-171.080461,0.00307276
-171.055461,0.00306661
-171.030461,0.00306045
-171.005461,0.00305426
-170.980461,0.00304805
-170.955461,0.00304183
-170.930461,0.00303557
-170.905461,0.00302928
-170.880461,0.00302298
-170.855461,0.00301671
-170.830461,0.00301051
-170.805461,0.00300437
-170.780461,0.00299825
-170.755461,0.00299211
-170.730461,0.00298596
-170.705461,0.00297979
-170.680461,0.00297364
-170.655461,0.00296750
-170.630461,0.00296139
-170.605461,0.00295528
-170.580461,0.00294917
-170.555461,0.00294305
-170.530461,0.00293695
-170.505461,0.00293086
-170.480461,0.00292478
-170.455461,0.00291869
-170.430461,0.00291259
-170.405461,0.00290651
-170.380461,0.00290042
-170.355461,0.00289427
-170.330461,0.00288805
-170.305461,0.00288180
-170.280461,0.00287556
-170.255461,0.00286933
-170.230461,0.00286308
-170.205461,0.00285683
-170.180461,0.00285060
-170.155461,0.00284443
-170.130461,0.00283826
-170.105461,0.00283205
-170.080461,0.00282579
-170.055461,0.00281953
-170.030461,0.00281325
-170.005461,0.00280689
-169.980461,0.00280044
-169.955461,0.00279395
-169.930461,0.00278749
-169.905461,0.00278103
-169.880461,0.00277447
-169.855461,0.00276779
-169.830461,0.00276106
-169.805461,0.00275439
-169.780461,0.00274774
-169.755461,0.00274100
-169.730461,0.00273415
-169.705461,0.00272724
-169.680461,0.00272039
-169.655461,0.00271358
-169.630461,0.00270672
-169.605461,0.00269978
-169.580461,0.00269277
-169.555461,0.00268571
-169.530461,0.00267862
-169.505461,0.00267149
-169.480461,0.00266439
-169.455461,0.00265732
-169.430461,0.00265021
-169.405461,0.00264296
-169.380461,0.00263555
-169.355461,0.00262805
-169.330461,0.00262056
-169.305461,0.00261304
-169.280461,0.00260541
-169.255461,0.00259766
-169.230461,0.00258987
-169.205461,0.00258208
-169.180461,0.00257426
-169.155461,0.00256635
-169.130461,0.00255837
-169.105461,0.00255037
-169.080461,0.00254237
-169.055461,0.00253430
-169.030461,0.00252612
-169.005461,0.00251785
-168.980461,0.00250958
-168.955461,0.00250134
-168.930461,0.00249307
-168.905461,0.00248469
-168.880461,0.00247621
-168.855461,0.00246770
-168.830461,0.00245915
-168.805461,0.00245051
-168.780461,0.00244173
-168.755461,0.00243281
-168.730461,0.00242385
-168.705461,0.00241492
-168.680461,0.00240603
-168.655461,0.00239714
-168.630461,0.00238822
-168.605461,0.00237927
-168.580461,0.00237032
-168.555461,0.00236138
-168.530461,0.00235243
-168.505461,0.00234346
-168.480461,0.00233443
-168.455461,0.00232537
-168.430461,0.00231629
-168.405461,0.00230720
-168.380461,0.00229812
-168.355461,0.00228905
-168.330461,0.00228000
-168.305461,0.00227096
-168.280461,0.00226190
-168.255461,0.00225279
-168.230461,0.00224365
-168.205461,0.00223449
-168.180461,0.00222531
-168.155461,0.00221607
-168.130461,0.00220678
-168.105461,0.00219746
-168.080461,0.00218816
-168.055461,0.00217889
-168.030461,0.00216964
-168.005461,0.00216041
-167.980461,0.00215124
-167.955461,0.00214215
-167.930461,0.00213308
-167.905461,0.00212397
-167.880461,0.00211481
-167.855461,0.00210566
-167.830461,0.00209653
-167.805461,0.00208741
-167.780461,0.00207821
-167.755461,0.00206895
-167.730461,0.00205967
-167.705461,0.00205046
-167.680461,0.00204129
-167.655461,0.00203210
-167.630461,0.00202286
-167.605461,0.00201359
-167.580461,0.00200432
-167.555461,0.00199504
-167.530461,0.00198571
-167.505461,0.00197632
-167.480461,0.00196688
-167.455461,0.00195741
-167.430461,0.00194789
-167.405461,0.00193831
-167.380461,0.00192873
-167.355461,0.00191918
-167.330461,0.00190968
-167.305461,0.00190015
-167.280461,0.00189056
-167.255461,0.00188090
-167.230461,0.00187120
-167.205461,0.00186148
-167.180461,0.00185168
-167.155461,0.00184176
-167.130461,0.00183174
-167.105461,0.00182170
-167.080461,0.00181169
-167.055461,0.00180169
-167.030461,0.00179168
-167.005461,0.00178165
-166.980461,0.00177158
-166.955461,0.00176147
-166.930461,0.00175131
-166.905461,0.00174111
-166.880461,0.00173088
-166.855461,0.00172061
-166.830461,0.00171028
-166.805461,0.00169983
-166.780461,0.00168930
-166.755461,0.00167874
-166.730461,0.00166823
-166.705461,0.00165778
-166.680461,0.00164735
-166.655461,0.00163689
-166.630461,0.00162640
-166.605461,0.00161588
-166.580461,0.00160535
-166.555461,0.00159480
-166.530461,0.00158426
-166.505461,0.00157375
-166.480461,0.00156329
-166.455461,0.00155287
-166.430461,0.00154248
-166.405461,0.00153213
-166.380461,0.00152182
-166.355461,0.00151154
-166.330461,0.00150130
-166.305461,0.00149109
-166.280461,0.00148090
-166.255461,0.00147073
-166.230461,0.00146059
-166.205461,0.00145046
-166.180461,0.00144034
-166.155461,0.00143025
-166.130461,0.00142015
-166.105461,0.00141001
-166.080461,0.00139982
-166.055461,0.00138956
-166.030461,0.00137926
-166.005461,0.00136894
-165.980461,0.00135860
-165.955461,0.00134822
-165.930461,0.00133780
-165.905461,0.00132738
-165.880461,0.00131696
-165.855461,0.00130655
-165.830461,0.00129612
-165.805461,0.00128568
-165.780461,0.00127521
-165.755461,0.00126473
-165.730461,0.00125423
-165.705461,0.00124371
-165.680461,0.00123313
-165.655461,0.00122250
-165.630461,0.00121180
-165.605461,0.00120104
-165.580461,0.00119025
-165.555461,0.00117943
-165.530461,0.00116860
-165.505461,0.00115775
-165.480461,0.00114685
-165.455461,0.00113591
-165.430461,0.00112495
-165.405461,0.00111399
-165.380461,0.00110304
-165.355461,0.00109208
-165.330461,0.00108106
-165.305461,0.00106998
-165.280461,0.00105882
-165.255461,0.00104762
-165.230461,0.00103640
-165.205461,0.00102518
-165.180461,0.00101396
-165.155461,0.00100275
-165.130461,0.00099157
-165.105461,0.00098042
-165.080461,0.00096928
-165.055461,0.00095811
-165.030461,0.00094689
-165.005461,0.00093561
-164.980461,0.00092425
-164.955461,0.00091286
-164.930461,0.00090146
-164.905461,0.00089009
-164.880461,0.00087877
-164.855461,0.00086748
-164.830461,0.00085620
-164.805461,0.00084490
-164.780461,0.00083356
-164.755461,0.00082215
-164.730461,0.00081066
-164.705461,0.00079911
-164.680461,0.00078755
-164.655461,0.00077602
-164.630461,0.00076455
-164.605461,0.00075311
-164.580461,0.00074172
-164.555461,0.00073036
-164.530461,0.00071896
-164.505461,0.00070748
-164.480461,0.00069587
-164.455461,0.00068416
-164.430461,0.00067239
-164.405461,0.00066056
-164.380461,0.00064865
-164.355461,0.00063666
-164.330461,0.00062465
-164.305461,0.00061265
-164.280461,0.00060064
-164.255461,0.00058862
-164.230461,0.00057659
-164.205461,0.00056462
-164.180461,0.00055268
-164.155461,0.00054070
-164.130461,0.00052861
-164.105461,0.00051639
-164.080461,0.00050411
-164.055461,0.00049178
-164.030461,0.00047938
-164.005461,0.00046686
-163.980461,0.00045428
-163.955461,0.00044172
-163.930461,0.00042918
-163.905461,0.00041657
-163.880461,0.00040380
-163.855461,0.00039087
-163.830461,0.00037788
-163.805461,0.00036487
-163.780461,0.00035180
-163.755461,0.00033864
-163.730461,0.00032541
-163.705461,0.00031212
-163.680461,0.00029875
-163.655461,0.00028531
-163.630461,0.00027183
-163.605461,0.00025837
-163.580461,0.00024492
-163.555461,0.00023139
-163.530461,0.00021773
-163.505461,0.00020397
-163.480461,0.00019021
-163.455461,0.00017646
-163.430461,0.00016265
-163.405461,0.00014873
-163.380461,0.00013477
-163.355461,0.00012085
-163.330461,0.00010702
-163.305461,0.00009319
-163.280461,0.00007934
-163.255461,0.00006550
-163.230461,0.00005174
-163.205461,0.00003804
-163.180461,0.00002435
-163.155461,0.00001062
-163.130461,-0.00000312
-163.105461,-0.00001685
-163.080461,-0.00003058
-163.055461,-0.00004435
-163.030461,-0.00005812
-163.005461,-0.00007182
-162.980461,-0.00008538
-162.955461,-0.00009879
-162.930461,-0.00011211
-162.905461,-0.00012536
-162.880461,-0.00013853
-162.855461,-0.00015164
-162.830461,-0.00016470
-162.805461,-0.00017775
