time,displacement
-179.980464,0.00096908
-179.955464,0.00096971
-179.930464,0.00097034
-179.905464,0.00097096
-179.880464,0.00097158
-179.855464,0.00097220
-179.830464,0.00097281
-179.805464,0.00097341
-179.780464,0.00097401
-179.755464,0.00097460
-179.730464,0.00097519
-179.705464,0.00097578
-179.680464,0.00097635
-179.655464,0.00097692
-179.630464,0.00097749
-179.605464,0.00097805
-179.580464,0.00097860
-179.555464,0.00097915
-179.530464,0.00097970
-179.505464,0.00098023
-179.480464,0.00098077
-179.455464,0.00098129
-179.430464,0.00098181
-179.405464,0.00098232
-179.380464,0.00098283
-179.355464,0.00098333
-179.330464,0.00098383
-179.305464,0.00098432
-179.280464,0.00098480
-179.255464,0.00098528
-179.230464,0.00098576
-179.205464,0.00098623
-179.180464,0.00098669
-179.155464,0.00098715
-179.130464,0.00098760
-179.105464,0.00098805
-179.080464,0.00098850
-179.055464,0.00098894
-179.030464,0.00098937
-179.005464,0.00098981
-178.980464,0.00099024
-178.955464,0.00099066
-178.930464,0.00099108
-178.905464,0.00099150
-178.880464,0.00099191
-178.855464,0.00099232
-178.830464,0.00099272
-178.805464,0.00099313
-178.780464,0.00099353
-178.755464,0.00099392
-178.730464,0.00099431
-178.705464,0.00099470
-178.680464,0.00099509
-178.655464,0.00099547
-178.630464,0.00099585
-178.605464,0.00099623
-178.580464,0.00099660
-178.555464,0.00099697
-178.530464,0.00099734
-178.505464,0.00099771
-178.480464,0.00099807
-178.455464,0.00099843
-178.430464,0.00099879
-178.405464,0.00099914
-178.380464,0.00099949
-178.355464,0.00099983
-178.330464,0.00100018
-178.305464,0.00100052
-178.280464,0.00100086
-178.255464,0.00100120
-178.230464,0.00100154
-178.205464,0.00100187
-178.180464,0.00100220
-178.155464,0.00100253
-178.130464,0.00100285
-178.105464,0.00100317
-178.080464,0.00100349
-178.055464,0.00100380
-178.030464,0.00100411
-178.005464,0.00100441
-177.980464,0.00100471
-177.955464,0.00100500
-177.930464,0.00100529
-177.905464,0.00100558
-177.880464,0.00100586
-177.855464,0.00100614
-177.830464,0.00100641
-177.805464,0.00100668
-177.780464,0.00100694
-177.755464,0.00100720
-177.730464,0.00100746
-177.705464,0.00100771
-177.680464,0.00100796
-177.655464,0.00100820
-177.630464,0.00100844
-177.605464,0.00100867
-177.580464,0.00100889
-177.555464,0.00100911
-177.530464,0.00100933
-177.505464,0.00100955
-177.480464,0.00100976
-177.455464,0.00100997
-177.430464,0.00101018
-177.405464,0.00101038
-177.380464,0.00101058
-177.355464,0.00101077
-177.330464,0.00101095
-177.305464,0.00101113
-177.280464,0.00101130
-177.255464,0.00101147
-177.230464,0.00101164
-177.205464,0.00101181
-177.180464,0.00101197
-177.155464,0.00101213
-177.130464,0.00101228
-177.105464,0.00101243
-177.080464,0.00101257
-177.055464,0.00101272
-177.030464,0.00101285
-177.005464,0.00101298
-176.980464,0.00101311
-176.955464,0.00101323
-176.930464,0.00101335
-176.905464,0.00101346
-176.880464,0.00101358
-176.855464,0.00101369
-176.830464,0.00101379
-176.805464,0.00101389
-176.780464,0.00101399
-176.755464,0.00101408
-176.730464,0.00101417
-176.705464,0.00101426
-176.680464,0.00101434
-176.655464,0.00101442
-176.630464,0.00101449
-176.605464,0.00101456
-176.580464,0.00101463
-176.555464,0.00101470
-176.530464,0.00101476
-176.505464,0.00101482
-176.480464,0.00101488
-176.455464,0.00101493
-176.430464,0.00101498
-176.405464,0.00101504
-176.380464,0.00101509
-176.355464,0.00101513
-176.330464,0.00101517
-176.305464,0.00101521
-176.280464,0.00101526
-176.255464,0.00101530
-176.230464,0.00101535
-176.205464,0.00101540
-176.180464,0.00101545
-176.155464,0.00101549
-176.130464,0.00101553
-176.105464,0.00101556
-176.080464,0.00101559
-176.055464,0.00101562
-176.030464,0.00101565
-176.005464,0.00101568
-175.980464,0.00101571
-175.955464,0.00101574
-175.930464,0.00101577
-175.905464,0.00101580
-175.880464,0.00101582
-175.855464,0.00101584
-175.830464,0.00101584
-175.805464,0.00101585
-175.780464,0.00101585
-175.755464,0.00101586
-175.730464,0.00101587
-175.705464,0.00101588
-175.680464,0.00101589
-175.655464,0.00101589
-175.630464,0.00101589
-175.605464,0.00101588
-175.580464,0.00101588
-175.555464,0.00101588
-175.530464,0.00101587
-175.505464,0.00101586
-175.480464,0.00101584
-175.455464,0.00101580
-175.430464,0.00101577
-175.405464,0.00101574
-175.380464,0.00101571
-175.355464,0.00101569
-175.330464,0.00101566
-175.305464,0.00101563
-175.280464,0.00101559
-175.255464,0.00101554
-175.230464,0.00101548
-175.205464,0.00101542
-175.180464,0.00101536
-175.155464,0.00101529
-175.130464,0.00101521
-175.105464,0.00101512
-175.080464,0.00101503
-175.055464,0.00101494
-175.030464,0.00101485
-175.005464,0.00101476
-174.980464,0.00101465
-174.955464,0.00101452
-174.930464,0.00101439
-174.905464,0.00101424
-174.880464,0.00101409
-174.855464,0.00101393
-174.830464,0.00101375
-174.805464,0.00101355
-174.780464,0.00101334
-174.755464,0.00101313
-174.730464,0.00101290
-174.705464,0.00101266
-174.680464,0.00101242
-174.655464,0.00101217
-174.630464,0.00101191
-174.605464,0.00101165
-174.580464,0.00101137
-174.555464,0.00101109
-174.530464,0.00101079
-174.505464,0.00101049
-174.480464,0.00101018
-174.455464,0.00100987
-174.430464,0.00100954
-174.405464,0.00100920
-174.380464,0.00100886
-174.355464,0.00100851
-174.330464,0.00100816
-174.305464,0.00100779
-174.280464,0.00100742
-174.255464,0.00100704
-174.230464,0.00100664
-174.205464,0.00100623
-174.180464,0.00100581
-174.155464,0.00100539
-174.130464,0.00100495
-174.105464,0.00100450
-174.080464,0.00100404
-174.055464,0.00100358
-174.030464,0.00100312
-174.005464,0.00100265
-173.980464,0.00100217
-173.955464,0.00100167
-173.930464,0.00100115
-173.905464,0.00100062
-173.880464,0.00100009
-173.855464,0.00099957
-173.830464,0.00099905
-173.805464,0.00099852
-173.780464,0.00099799
-173.755464,0.00099745
-173.730464,0.00099691
-173.705464,0.00099636
-173.680464,0.00099580
-173.655464,0.00099524
-173.630464,0.00099467
-173.605464,0.00099408
-173.580464,0.00099348
-173.555464,0.00099287
-173.530464,0.00099226
-173.505464,0.00099165
-173.480464,0.00099103
-173.455464,0.00099042
-173.430464,0.00098979
-173.405464,0.00098916
-173.380464,0.00098852
-173.355464,0.00098787
-173.330464,0.00098723
-173.305464,0.00098658
-173.280464,0.00098592
-173.255464,0.00098524
-173.230464,0.00098456
-173.205464,0.00098386
-173.180464,0.00098317
-173.155464,0.00098248
-173.130464,0.00098180
-173.105464,0.00098112
-173.080464,0.00098044
-173.055464,0.00097976
-173.030464,0.00097907
-173.005464,0.00097838
-172.980464,0.00097768
-172.955464,0.00097699
-172.930464,0.00097629
-172.905464,0.00097560
-172.880464,0.00097490
-172.855464,0.00097419
-172.830464,0.00097348
-172.805464,0.00097277
-172.780464,0.00097205
-172.755464,0.00097133
-172.730464,0.00097060
-172.705464,0.00096986
-172.680464,0.00096911
-172.655464,0.00096835
-172.630464,0.00096759
-172.605464,0.00096683
-172.580464,0.00096607
-172.555464,0.00096530
-172.530464,0.00096454
-172.505464,0.00096377
-172.480464,0.00096299
-172.455464,0.00096221
-172.430464,0.00096141
-172.405464,0.00096061
-172.380464,0.00095980
-172.355464,0.00095898
-172.330464,0.00095817
-172.305464,0.00095735
-172.280464,0.00095651
-172.255464,0.00095566
-172.230464,0.00095480
-172.205464,0.00095393
-172.180464,0.00095306
-172.155464,0.00095219
-172.130464,0.00095130
-172.105464,0.00095041
-172.080464,0.00094950
-172.055464,0.00094857
-172.030464,0.00094763
-172.005464,0.00094668
-171.980464,0.00094572
-171.955464,0.00094474
-171.930464,0.00094376
-171.905464,0.00094276
-171.880464,0.00094176
-171.855464,0.00094075
-171.830464,0.00093973
-171.805464,0.00093871
-171.780464,0.00093767
-171.755464,0.00093662
-171.730464,0.00093555
-171.705464,0.00093446
-171.680464,0.00093336
-171.655464,0.00093226
-171.630464,0.00093116
-171.605464,0.00093006
-171.580464,0.00092895
-171.555464,0.00092783
-171.530464,0.00092670
-171.505464,0.00092555
-171.480464,0.00092439
-171.455464,0.00092322
-171.430464,0.00092204
-171.405464,0.00092086
-171.380464,0.00091965
-171.355464,0.00091844
-171.330464,0.00091721
-171.305464,0.00091598
-171.280464,0.00091475
-171.255464,0.00091352
-171.230464,0.00091227
-171.205464,0.00091101
-171.180464,0.00090975
-171.155464,0.00090848
-171.130464,0.00090722
-171.105464,0.00090595
-171.080464,0.00090467
-171.055464,0.00090337
-171.030464,0.00090206
-171.005464,0.00090074
-170.980464,0.00089944
-170.955464,0.00089813
-170.930464,0.00089683
-170.905464,0.00089553
-170.880464,0.00089422
-170.855464,0.00089292
-170.830464,0.00089163
-170.805464,0.00089033
-170.780464,0.00088903
-170.755464,0.00088774
-170.730464,0.00088644
-170.705464,0.00088514
-170.680464,0.00088385
-170.655464,0.00088255
