time,displacement
-179.980464,0.00073136
-179.955464,0.00072873
-179.930464,0.00072611
-179.905464,0.00072348
-179.880464,0.00072085
-179.855464,0.00071822
-179.830464,0.00071558
-179.805464,0.00071294
-179.780464,0.00071030
-179.755464,0.00070766
-179.730464,0.00070501
-179.705464,0.00070237
-179.680464,0.00069971
-179.655464,0.00069706
-179.630464,0.00069441
-179.605464,0.00069175
-179.580464,0.00068909
-179.555464,0.00068643
-179.530464,0.00068377
-179.505464,0.00068110
-179.480464,0.00067844
-179.455464,0.00067577
-179.430464,0.00067310
-179.405464,0.00067042
-179.380464,0.00066775
-179.355464,0.00066507
-179.330464,0.00066240
-179.305464,0.00065972
-179.280464,0.00065704
-179.255464,0.00065436
-179.230464,0.00065167
-179.205464,0.00064899
-179.180464,0.00064631
-179.155464,0.00064362
-179.130464,0.00064093
-179.105464,0.00063823
-179.080464,0.00063553
-179.055464,0.00063284
-179.030464,0.00063014
-179.005464,0.00062744
-178.980464,0.00062473
-178.955464,0.00062203
-178.930464,0.00061932
-178.905464,0.00061661
-178.880464,0.00061390
-178.855464,0.00061118
-178.830464,0.00060847
-178.805464,0.00060575
-178.780464,0.00060303
-178.755464,0.00060030
-178.730464,0.00059757
-178.705464,0.00059484
-178.680464,0.00059210
-178.655464,0.00058936
-178.630464,0.00058662
-178.605464,0.00058388
-178.580464,0.00058113
-178.555464,0.00057838
-178.530464,0.00057563
-178.505464,0.00057287
-178.480464,0.00057011
-178.455464,0.00056735
-178.430464,0.00056458
-178.405464,0.00056181
-178.380464,0.00055904
-178.355464,0.00055627
-178.330464,0.00055349
-178.305464,0.00055071
-178.280464,0.00054793
-178.255464,0.00054514
-178.230464,0.00054234
-178.205464,0.00053955
-178.180464,0.00053674
-178.155464,0.00053394
-178.130464,0.00053113
-178.105464,0.00052832
-178.080464,0.00052550
-178.055464,0.00052268
-178.030464,0.00051985
-178.005464,0.00051701
-177.980464,0.00051417
-177.955464,0.00051133
-177.930464,0.00050848
-177.905464,0.00050562
-177.880464,0.00050276
-177.855464,0.00049990
-177.830464,0.00049702
-177.805464,0.00049414
-177.780464,0.00049126
-177.755464,0.00048837
-177.730464,0.00048548
-177.705464,0.00048258
-177.680464,0.00047968
-177.655464,0.00047678
-177.630464,0.00047387
-177.605464,0.00047095
-177.580464,0.00046802
-177.555464,0.00046508
-177.530464,0.00046214
-177.505464,0.00045919
-177.480464,0.00045625
-177.455464,0.00045329
-177.430464,0.00045034
-177.405464,0.00044739
-177.380464,0.00044443
-177.355464,0.00044146
-177.330464,0.00043849
-177.305464,0.00043550
-177.280464,0.00043251
-177.255464,0.00042951
-177.230464,0.00042651
-177.205464,0.00042350
-177.180464,0.00042050
-177.155464,0.00041749
-177.130464,0.00041449
-177.105464,0.00041147
-177.080464,0.00040845
-177.055464,0.00040542
-177.030464,0.00040239
-177.005464,0.00039936
-176.980464,0.00039632
-176.955464,0.00039328
-176.930464,0.00039024
-176.905464,0.00038719
-176.880464,0.00038414
-176.855464,0.00038109
-176.830464,0.00037804
-176.805464,0.00037499
-176.780464,0.00037194
-176.755464,0.00036889
-176.730464,0.00036583
-176.705464,0.00036278
-176.680464,0.00035972
-176.655464,0.00035667
-176.630464,0.00035362
-176.605464,0.00035057
-176.580464,0.00034751
-176.555464,0.00034445
-176.530464,0.00034138
-176.505464,0.00033832
-176.480464,0.00033526
-176.455464,0.00033221
-176.430464,0.00032917
-176.405464,0.00032612
-176.380464,0.00032307
-176.355464,0.00032001
-176.330464,0.00031695
-176.305464,0.00031389
-176.280464,0.00031082
-176.255464,0.00030776
-176.230464,0.00030469
-176.205464,0.00030163
-176.180464,0.00029857
-176.155464,0.00029551
-176.130464,0.00029246
-176.105464,0.00028941
-176.080464,0.00028637
-176.055464,0.00028332
-176.030464,0.00028026
-176.005464,0.00027721
-175.980464,0.00027417
-175.955464,0.00027111
-175.930464,0.00026806
-175.905464,0.00026500
-175.880464,0.00026194
-175.855464,0.00025889
-175.830464,0.00025584
-175.805464,0.00025278
-175.780464,0.00024972
-175.755464,0.00024665
-175.730464,0.00024359
-175.705464,0.00024052
-175.680464,0.00023744
-175.655464,0.00023436
-175.630464,0.00023126
-175.605464,0.00022817
-175.580464,0.00022507
-175.555464,0.00022197
-175.530464,0.00021888
-175.505464,0.00021578
-175.480464,0.00021269
-175.455464,0.00020961
-175.430464,0.00020652
-175.405464,0.00020342
-175.380464,0.00020032
-175.355464,0.00019721
-175.330464,0.00019409
-175.305464,0.00019097
-175.280464,0.00018784
-175.255464,0.00018472
-175.230464,0.00018160
-175.205464,0.00017849
-175.180464,0.00017536
-175.155464,0.00017224
-175.130464,0.00016912
-175.105464,0.00016601
-175.080464,0.00016289
-175.055464,0.00015976
-175.030464,0.00015662
-175.005464,0.00015349
-174.980464,0.00015036
-174.955464,0.00014724
-174.930464,0.00014412
-174.905464,0.00014101
-174.880464,0.00013789
-174.855464,0.00013478
-174.830464,0.00013168
-174.805464,0.00012857
-174.780464,0.00012547
-174.755464,0.00012238
-174.730464,0.00011930
-174.705464,0.00011623
-174.680464,0.00011315
-174.655464,0.00011008
-174.630464,0.00010702
-174.605464,0.00010397
-174.580464,0.00010093
-174.555464,0.00009789
-174.530464,0.00009486
-174.505464,0.00009184
-174.480464,0.00008883
-174.455464,0.00008583
-174.430464,0.00008283
-174.405464,0.00007983
-174.380464,0.00007684
-174.355464,0.00007386
-174.330464,0.00007089
-174.305464,0.00006792
-174.280464,0.00006497
-174.255464,0.00006203
-174.230464,0.00005911
-174.205464,0.00005619
-174.180464,0.00005327
-174.155464,0.00005034
-174.130464,0.00004742
-174.105464,0.00004450
-174.080464,0.00004159
-174.055464,0.00003869
-174.030464,0.00003580
-174.005464,0.00003290
-173.980464,0.00003001
-173.955464,0.00002712
-173.930464,0.00002422
-173.905464,0.00002132
-173.880464,0.00001843
-173.855464,0.00001555
-173.830464,0.00001266
-173.805464,0.00000978
-173.780464,0.00000689
-173.755464,0.00000402
-173.730464,0.00000115
-173.705464,-0.00000171
-173.680464,-0.00000456
-173.655464,-0.00000742
-173.630464,-0.00001029
-173.605464,-0.00001316
-173.580464,-0.00001605
-173.555464,-0.00001894
-173.530464,-0.00002181
-173.505464,-0.00002468
-173.480464,-0.00002753
-173.455464,-0.00003038
-173.430464,-0.00003324
-173.405464,-0.00003612
-173.380464,-0.00003899
-173.355464,-0.00004187
-173.330464,-0.00004474
-173.305464,-0.00004761
-173.280464,-0.00005048
-173.255464,-0.00005336
-173.230464,-0.00005624
-173.205464,-0.00005913
-173.180464,-0.00006202
-173.155464,-0.00006492
-173.130464,-0.00006783
-173.105464,-0.00007074
-173.080464,-0.00007365
-173.055464,-0.00007655
-173.030464,-0.00007945
-173.005464,-0.00008234
-172.980464,-0.00008524
-172.955464,-0.00008813
-172.930464,-0.00009103
-172.905464,-0.00009394
-172.880464,-0.00009686
-172.855464,-0.00009980
-172.830464,-0.00010273
-172.805464,-0.00010564
-172.780464,-0.00010855
-172.755464,-0.00011145
-172.730464,-0.00011435
-172.705464,-0.00011725
-172.680464,-0.00012016
-172.655464,-0.00012308
-172.630464,-0.00012601
-172.605464,-0.00012895
-172.580464,-0.00013188
-172.555464,-0.00013480
-172.530464,-0.00013772
-172.505464,-0.00014065
-172.480464,-0.00014358
-172.455464,-0.00014650
-172.430464,-0.00014942
-172.405464,-0.00015231
-172.380464,-0.00015520
-172.355464,-0.00015808
-172.330464,-0.00016094
-172.305464,-0.00016381
-172.280464,-0.00016666
-172.255464,-0.00016952
-172.230464,-0.00017238
-172.205464,-0.00017524
-172.180464,-0.00017809
-172.155464,-0.00018093
-172.130464,-0.00018376
-172.105464,-0.00018657
-172.080464,-0.00018938
-172.055464,-0.00019218
-172.030464,-0.00019497
-172.005464,-0.00019775
-171.980464,-0.00020052
-171.955464,-0.00020328
-171.930464,-0.00020604
-171.905464,-0.00020880
-171.880464,-0.00021156
-171.855464,-0.00021430
-171.830464,-0.00021703
-171.805464,-0.00021975
-171.780464,-0.00022248
-171.755464,-0.00022521
-171.730464,-0.00022795
-171.705464,-0.00023067
-171.680464,-0.00023338
-171.655464,-0.00023609
-171.630464,-0.00023880
-171.605464,-0.00024150
-171.580464,-0.00024418
-171.555464,-0.00024686
-171.530464,-0.00024953
-171.505464,-0.00025221
-171.480464,-0.00025489
-171.455464,-0.00025756
-171.430464,-0.00026022
-171.405464,-0.00026286
-171.380464,-0.00026551
-171.355464,-0.00026815
-171.330464,-0.00027081
-171.305464,-0.00027347
-171.280464,-0.00027612
-171.255464,-0.00027877
-171.230464,-0.00028143
-171.205464,-0.00028410
-171.180464,-0.00028677
-171.155464,-0.00028945
-171.130464,-0.00029211
-171.105464,-0.00029476
-171.080464,-0.00029740
-171.055464,-0.00030004
-171.030464,-0.00030269
-171.005464,-0.00030537
-170.980464,-0.00030806
-170.955464,-0.00031076
-170.930464,-0.00031347
-170.905464,-0.00031619
-170.880464,-0.00031890
-170.855464,-0.00032161
-170.830464,-0.00032432
-170.805464,-0.00032702
-170.780464,-0.00032972
-170.755464,-0.00033243
-170.730464,-0.00033518
-170.705464,-0.00033795
-170.680464,-0.00034073
-170.655464,-0.00034353
-170.630464,-0.00034635
-170.605464,-0.00034918
-170.580464,-0.00035203
-170.555464,-0.00035488
-170.530464,-0.00035774
-170.505464,-0.00036061
-170.480464,-0.00036349
-170.455464,-0.00036639
-170.430464,-0.00036930
-170.405464,-0.00037222
-170.380464,-0.00037517
-170.355464,-0.00037813
-170.330464,-0.00038112
-170.305464,-0.00038412
-170.280464,-0.00038715
-170.255464,-0.00039020
-170.230464,-0.00039327
-170.205464,-0.00039636
-170.180464,-0.00039945
-170.155464,-0.00040256
-170.130464,-0.00040568
-170.105464,-0.00040881
-170.080464,-0.00041196
-170.055464,-0.00041514
-170.030464,-0.00041834
-170.005464,-0.00042158
-169.980464,-0.00042484
-169.955464,-0.00042809
-169.930464,-0.00043135
-169.905464,-0.00043463
-169.880464,-0.00043793
-169.855464,-0.00044125
-169.830464,-0.00044459
-169.805464,-0.00044795
-169.780464,-0.00045132
-169.755464,-0.00045471
-169.730464,-0.00045812
-169.705464,-0.00046156
-169.680464,-0.00046502
-169.655464,-0.00046849
-169.630464,-0.00047196
-169.605464,-0.00047544
-169.580464,-0.00047893
-169.555464,-0.00048244
-169.530464,-0.00048598
-169.505464,-0.00048956
-169.480464,-0.00049316
-169.455464,-0.00049676
-169.430464,-0.00050036
-169.405464,-0.00050396
-169.380464,-0.00050757
-169.355464,-0.00051121
-169.330464,-0.00051486
-169.305464,-0.00051852
-169.280464,-0.00052220
-169.255464,-0.00052589
-169.230464,-0.00052958
-169.205464,-0.00053327
-169.180464,-0.00053696
-169.155464,-0.00054064
-169.130464,-0.00054434
-169.105464,-0.00054806
-169.080464,-0.00055178
-169.055464,-0.00055550
-169.030464,-0.00055920
-169.005464,-0.00056289
-168.980464,-0.00056658
-168.955464,-0.00057028
-168.930464,-0.00057396
-168.905464,-0.00057764
-168.880464,-0.00058130
-168.855464,-0.00058494
-168.830464,-0.00058857
