time,displacement
-179.980464,0.00094160
-179.955464,0.00094250
-179.930464,0.00094339
-179.905464,0.00094427
-179.880464,0.00094515
-179.855464,0.00094602
-179.830464,0.00094688
-179.805464,0.00094774
-179.780464,0.00094859
-179.755464,0.00094943
-179.730464,0.00095027
-179.705464,0.00095110
-179.680464,0.00095192
-179.655464,0.00095274
-179.630464,0.00095355
-179.605464,0.00095435
-179.580464,0.00095515
-179.555464,0.00095593
-179.530464,0.00095672
-179.505464,0.00095749
-179.480464,0.00095826
-179.455464,0.00095902
-179.430464,0.00095977
-179.405464,0.00096052
-179.380464,0.00096126
-179.355464,0.00096199
-179.330464,0.00096271
-179.305464,0.00096343
-179.280464,0.00096414
-179.255464,0.00096485
-179.230464,0.00096554
-179.205464,0.00096624
-179.180464,0.00096692
-179.155464,0.00096760
-179.130464,0.00096828
-179.105464,0.00096894
-179.080464,0.00096960
-179.055464,0.00097025
-179.030464,0.00097090
-179.005464,0.00097154
-178.980464,0.00097217
-178.955464,0.00097280
-178.930464,0.00097342
-178.905464,0.00097404
-178.880464,0.00097465
-178.855464,0.00097525
-178.830464,0.00097585
-178.805464,0.00097644
-178.780464,0.00097702
-178.755464,0.00097760
-178.730464,0.00097817
-178.705464,0.00097874
-178.680464,0.00097930
-178.655464,0.00097986
-178.630464,0.00098041
-178.605464,0.00098095
-178.580464,0.00098150
-178.555464,0.00098203
-178.530464,0.00098256
-178.505464,0.00098309
-178.480464,0.00098362
-178.455464,0.00098414
-178.430464,0.00098465
-178.405464,0.00098516
-178.380464,0.00098567
-178.355464,0.00098617
-178.330464,0.00098667
-178.305464,0.00098717
-178.280464,0.00098766
-178.255464,0.00098816
-178.230464,0.00098865
-178.205464,0.00098913
-178.180464,0.00098961
-178.155464,0.00099009
-178.130464,0.00099057
-178.105464,0.00099104
-178.080464,0.00099151
-178.055464,0.00099197
-178.030464,0.00099244
-178.005464,0.00099290
-177.980464,0.00099336
-177.955464,0.00099382
-177.930464,0.00099429
-177.905464,0.00099475
-177.880464,0.00099520
-177.855464,0.00099565
-177.830464,0.00099610
-177.805464,0.00099654
-177.780464,0.00099699
-177.755464,0.00099743
-177.730464,0.00099787
-177.705464,0.00099832
-177.680464,0.00099875
-177.655464,0.00099919
-177.630464,0.00099962
-177.605464,0.00100005
-177.580464,0.00100049
-177.555464,0.00100092
-177.530464,0.00100135
-177.505464,0.00100177
-177.480464,0.00100218
-177.455464,0.00100260
-177.430464,0.00100301
-177.405464,0.00100342
-177.380464,0.00100384
-177.355464,0.00100425
-177.330464,0.00100466
-177.305464,0.00100506
-177.280464,0.00100545
-177.255464,0.00100584
-177.230464,0.00100622
-177.205464,0.00100661
-177.180464,0.00100698
-177.155464,0.00100735
-177.130464,0.00100771
-177.105464,0.00100806
-177.080464,0.00100841
-177.055464,0.00100876
-177.030464,0.00100910
-177.005464,0.00100943
-176.980464,0.00100975
-176.955464,0.00101006
-176.930464,0.00101037
-176.905464,0.00101068
-176.880464,0.00101097
-176.855464,0.00101126
-176.830464,0.00101154
-176.805464,0.00101181
-176.780464,0.00101207
-176.755464,0.00101232
-176.730464,0.00101256
-176.705464,0.00101280
-176.680464,0.00101302
-176.655464,0.00101324
-176.630464,0.00101345
-176.605464,0.00101366
-176.580464,0.00101386
-176.555464,0.00101405
-176.530464,0.00101423
-176.505464,0.00101440
-176.480464,0.00101455
-176.455464,0.00101469
-176.430464,0.00101483
-176.405464,0.00101495
-176.380464,0.00101507
-176.355464,0.00101518
-176.330464,0.00101528
-176.305464,0.00101537
-176.280464,0.00101545
-176.255464,0.00101552
-176.230464,0.00101558
-176.205464,0.00101563
-176.180464,0.00101567
-176.155464,0.00101570
-176.130464,0.00101571
-176.105464,0.00101571
-176.080464,0.00101570
-176.055464,0.00101567
-176.030464,0.00101563
-176.005464,0.00101557
-175.980464,0.00101550
-175.955464,0.00101542
-175.930464,0.00101533
-175.905464,0.00101522
-175.880464,0.00101509
-175.855464,0.00101494
-175.830464,0.00101477
-175.805464,0.00101459
-175.780464,0.00101440
-175.755464,0.00101420
-175.730464,0.00101399
-175.705464,0.00101377
-175.680464,0.00101353
-175.655464,0.00101327
-175.630464,0.00101299
-175.605464,0.00101270
-175.580464,0.00101239
-175.555464,0.00101206
-175.530464,0.00101171
-175.505464,0.00101135
-175.480464,0.00101097
-175.455464,0.00101057
-175.430464,0.00101015
-175.405464,0.00100971
-175.380464,0.00100925
-175.355464,0.00100877
-175.330464,0.00100827
-175.305464,0.00100775
-175.280464,0.00100720
-175.255464,0.00100663
-175.230464,0.00100605
-175.205464,0.00100545
-175.180464,0.00100484
-175.155464,0.00100422
-175.130464,0.00100358
-175.105464,0.00100292
-175.080464,0.00100225
-175.055464,0.00100156
-175.030464,0.00100086
-175.005464,0.00100015
-174.980464,0.00099943
-174.955464,0.00099869
-174.930464,0.00099793
-174.905464,0.00099716
-174.880464,0.00099639
-174.855464,0.00099560
-174.830464,0.00099482
-174.805464,0.00099403
-174.780464,0.00099323
