time,displacement
-179.980462,-0.00178930
-179.955462,-0.00178854
-179.930462,-0.00178777
-179.905462,-0.00178698
-179.880462,-0.00178618
-179.855462,-0.00178537
-179.830462,-0.00178455
-179.805462,-0.00178371
-179.780462,-0.00178286
-179.755462,-0.00178200
-179.730462,-0.00178114
-179.705462,-0.00178026
-179.680462,-0.00177936
-179.655462,-0.00177846
-179.630462,-0.00177754
-179.605462,-0.00177662
-179.580462,-0.00177568
-179.555462,-0.00177473
-179.530462,-0.00177377
-179.505462,-0.00177280
-179.480462,-0.00177182
-179.455462,-0.00177083
-179.430462,-0.00176982
-179.405462,-0.00176881
-179.380462,-0.00176778
-179.355462,-0.00176675
-179.330462,-0.00176570
-179.305462,-0.00176464
-179.280462,-0.00176357
-179.255462,-0.00176249
-179.230462,-0.00176140
-179.205462,-0.00176031
-179.180462,-0.00175920
-179.155462,-0.00175808
-179.130462,-0.00175695
-179.105462,-0.00175581
-179.080462,-0.00175466
-179.055462,-0.00175351
-179.030462,-0.00175234
-179.005462,-0.00175116
-178.980462,-0.00174998
-178.955462,-0.00174880
-178.930462,-0.00174760
-178.905462,-0.00174638
-178.880462,-0.00174514
-178.855462,-0.00174390
-178.830462,-0.00174266
-178.805462,-0.00174141
-178.780462,-0.00174014
-178.755462,-0.00173887
-178.730462,-0.00173760
-178.705462,-0.00173632
-178.680462,-0.00173502
-178.655462,-0.00173371
-178.630462,-0.00173239
-178.605462,-0.00173107
-178.580462,-0.00172975
-178.555462,-0.00172841
-178.530462,-0.00172706
-178.505462,-0.00172571
-178.480462,-0.00172435
-178.455462,-0.00172299
-178.430462,-0.00172161
-178.405462,-0.00172022
-178.380462,-0.00171882
-178.355462,-0.00171742
-178.330462,-0.00171602
-178.305462,-0.00171459
-178.280462,-0.00171316
-178.255462,-0.00171172
-178.230462,-0.00171028
-178.205462,-0.00170883
-178.180462,-0.00170736
-178.155462,-0.00170587
-178.130462,-0.00170435
-178.105462,-0.00170283
-178.080462,-0.00170130
-178.055462,-0.00169974
-178.030462,-0.00169817
-178.005462,-0.00169659
-177.980462,-0.00169502
-177.955462,-0.00169343
-177.930462,-0.00169182
-177.905462,-0.00169018
-177.880462,-0.00168852
-177.855462,-0.00168684
-177.830462,-0.00168516
-177.805462,-0.00168345
-177.780462,-0.00168172
-177.755462,-0.00167997
-177.730462,-0.00167821
-177.705462,-0.00167643
-177.680462,-0.00167464
-177.655462,-0.00167282
-177.630462,-0.00167098
-177.605462,-0.00166913
-177.580462,-0.00166726
-177.555462,-0.00166537
-177.530462,-0.00166346
-177.505462,-0.00166151
-177.480462,-0.00165955
-177.455462,-0.00165756
-177.430462,-0.00165557
-177.405462,-0.00165356
-177.380462,-0.00165153
-177.355462,-0.00164947
-177.330462,-0.00164737
-177.305462,-0.00164527
-177.280462,-0.00164316
-177.255462,-0.00164104
-177.230462,-0.00163888
-177.205462,-0.00163667
-177.180462,-0.00163444
-177.155462,-0.00163222
-177.130462,-0.00162999
-177.105462,-0.00162773
-177.080462,-0.00162542
-177.055462,-0.00162308
-177.030462,-0.00162072
-177.005462,-0.00161836
-176.980462,-0.00161598
-176.955462,-0.00161356
-176.930462,-0.00161110
-176.905462,-0.00160862
-176.880462,-0.00160611
-176.855462,-0.00160357
-176.830462,-0.00160099
-176.805462,-0.00159839
-176.780462,-0.00159577
-176.755462,-0.00159315
-176.730462,-0.00159050
-176.705462,-0.00158781
-176.680462,-0.00158508
-176.655462,-0.00158234
-176.630462,-0.00157960
-176.605462,-0.00157683
-176.580462,-0.00157403
-176.555462,-0.00157119
-176.530462,-0.00156832
-176.505462,-0.00156544
-176.480462,-0.00156252
-176.455462,-0.00155958
-176.430462,-0.00155662
-176.405462,-0.00155365
-176.380462,-0.00155067
-176.355462,-0.00154766
-176.330462,-0.00154461
-176.305462,-0.00154153
-176.280462,-0.00153842
-176.255462,-0.00153530
-176.230462,-0.00153217
-176.205462,-0.00152904
-176.180462,-0.00152591
-176.155462,-0.00152276
-176.130462,-0.00151959
-176.105462,-0.00151640
-176.080462,-0.00151319
-176.055462,-0.00150997
-176.030462,-0.00150676
-176.005462,-0.00150353
-175.980462,-0.00150030
-175.955462,-0.00149706
-175.930462,-0.00149382
-175.905462,-0.00149057
-175.880462,-0.00148733
-175.855462,-0.00148407
-175.830462,-0.00148082
-175.805462,-0.00147757
-175.780462,-0.00147432
-175.755462,-0.00147107
-175.730462,-0.00146780
-175.705462,-0.00146454
-175.680462,-0.00146129
-175.655462,-0.00145806
-175.630462,-0.00145481
-175.605462,-0.00145155
-175.580462,-0.00144828
-175.555462,-0.00144500
-175.530462,-0.00144173
-175.505462,-0.00143846
-175.480462,-0.00143519
-175.455462,-0.00143192
-175.430462,-0.00142866
-175.405462,-0.00142541
-175.380462,-0.00142216
-175.355462,-0.00141889
-175.330462,-0.00141560
-175.305462,-0.00141232
-175.280462,-0.00140906
-175.255462,-0.00140584
