time,displacement
-179.980462,0.00338271
-179.955462,0.00338471
-179.930462,0.00338668
-179.905462,0.00338862
-179.880462,0.00339055
-179.855462,0.00339245
-179.830462,0.00339433
-179.805462,0.00339619
-179.780462,0.00339802
-179.755462,0.00339984
-179.730462,0.00340163
-179.705462,0.00340340
-179.680462,0.00340515
-179.655462,0.00340689
-179.630462,0.00340860
-179.605462,0.00341028
-179.580462,0.00341195
-179.555462,0.00341360
-179.530462,0.00341523
-179.505462,0.00341684
-179.480462,0.00341842
-179.455462,0.00341999
-179.430462,0.00342153
-179.405462,0.00342307
-179.380462,0.00342458
-179.355462,0.00342607
-179.330462,0.00342754
-179.305462,0.00342899
-179.280462,0.00343042
-179.255462,0.00343184
-179.230462,0.00343323
-179.205462,0.00343461
-179.180462,0.00343598
-179.155462,0.00343733
-179.130462,0.00343866
-179.105462,0.00343995
-179.080462,0.00344123
-179.055462,0.00344250
-179.030462,0.00344376
-179.005462,0.00344499
-178.980462,0.00344620
-178.955462,0.00344738
-178.930462,0.00344855
-178.905462,0.00344971
-178.880462,0.00345086
-178.855462,0.00345198
-178.830462,0.00345307
-178.805462,0.00345414
-178.780462,0.00345520
-178.755462,0.00345625
-178.730462,0.00345727
-178.705462,0.00345827
-178.680462,0.00345924
-178.655462,0.00346021
-178.630462,0.00346116
-178.605462,0.00346210
-178.580462,0.00346302
-178.555462,0.00346391
-178.530462,0.00346478
-178.505462,0.00346561
-178.480462,0.00346643
-178.455462,0.00346724
-178.430462,0.00346805
-178.405462,0.00346884
-178.380462,0.00346960
-178.355462,0.00347032
-178.330462,0.00347101
-178.305462,0.00347170
-178.280462,0.00347239
-178.255462,0.00347305
-178.230462,0.00347369
-178.205462,0.00347430
-178.180462,0.00347489
-178.155462,0.00347547
-178.130462,0.00347603
-178.105462,0.00347657
-178.080462,0.00347709
-178.055462,0.00347760
-178.030462,0.00347809
-178.005462,0.00347855
-177.980462,0.00347899
-177.955462,0.00347941
-177.930462,0.00347983
-177.905462,0.00348024
-177.880462,0.00348062
-177.855462,0.00348098
-177.830462,0.00348133
-177.805462,0.00348167
-177.780462,0.00348198
-177.755462,0.00348226
-177.730462,0.00348252
-177.705462,0.00348278
-177.680462,0.00348302
-177.655462,0.00348326
-177.630462,0.00348347
-177.605462,0.00348367
-177.580462,0.00348385
-177.555462,0.00348400
-177.530462,0.00348412
-177.505462,0.00348422
-177.480462,0.00348432
-177.455462,0.00348441
-177.430462,0.00348448
-177.405462,0.00348451
-177.380462,0.00348453
-177.355462,0.00348454
-177.330462,0.00348454
-177.305462,0.00348452
-177.280462,0.00348446
-177.255462,0.00348438
-177.230462,0.00348427
-177.205462,0.00348414
-177.180462,0.00348399
-177.155462,0.00348381
-177.130462,0.00348361
-177.105462,0.00348338
-177.080462,0.00348313
-177.055462,0.00348287
-177.030462,0.00348259
-177.005462,0.00348228
