time,displacement
-179.980462,-0.00051320
-179.955462,-0.00050625
-179.930462,-0.00049929
-179.905462,-0.00049233
-179.880462,-0.00048536
-179.855462,-0.00047838
-179.830462,-0.00047140
-179.805462,-0.00046441
-179.780462,-0.00045742
-179.755462,-0.00045041
-179.730462,-0.00044340
-179.705462,-0.00043639
-179.680462,-0.00042936
-179.655462,-0.00042233
-179.630462,-0.00041529
-179.605462,-0.00040824
-179.580462,-0.00040118
-179.555462,-0.00039411
-179.530462,-0.00038704
-179.505462,-0.00037995
-179.480462,-0.00037286
-179.455462,-0.00036576
-179.430462,-0.00035865
-179.405462,-0.00035152
-179.380462,-0.00034439
-179.355462,-0.00033724
-179.330462,-0.00033009
-179.305462,-0.00032292
-179.280462,-0.00031574
-179.255462,-0.00030855
-179.230462,-0.00030135
-179.205462,-0.00029414
-179.180462,-0.00028692
-179.155462,-0.00027968
-179.130462,-0.00027244
-179.105462,-0.00026519
-179.080462,-0.00025793
-179.055462,-0.00025066
-179.030462,-0.00024338
-179.005462,-0.00023609
-178.980462,-0.00022878
-178.955462,-0.00022146
-178.930462,-0.00021413
-178.905462,-0.00020679
-178.880462,-0.00019945
-178.855462,-0.00019211
-178.830462,-0.00018475
-178.805462,-0.00017739
-178.780462,-0.00017001
-178.755462,-0.00016262
-178.730462,-0.00015523
-178.705462,-0.00014783
-178.680462,-0.00014043
-178.655462,-0.00013302
-178.630462,-0.00012561
-178.605462,-0.00011819
-178.580462,-0.00011077
-178.555462,-0.00010335
-178.530462,-0.00009592
-178.505462,-0.00008849
-178.480462,-0.00008105
-178.455462,-0.00007360
-178.430462,-0.00006615
-178.405462,-0.00005870
-178.380462,-0.00005125
-178.355462,-0.00004381
-178.330462,-0.00003636
-178.305462,-0.00002891
-178.280462,-0.00002146
-178.255462,-0.00001400
-178.230462,-0.00000654
-178.205462,0.00000092
-178.180462,0.00000839
-178.155462,0.00001586
-178.130462,0.00002334
-178.105462,0.00003081
-178.080462,0.00003828
-178.055462,0.00004575
-178.030462,0.00005322
-178.005462,0.00006071
-177.980462,0.00006821
-177.955462,0.00007572
-177.930462,0.00008322
-177.905462,0.00009072
-177.880462,0.00009822
-177.855462,0.00010572
-177.830462,0.00011323
-177.805462,0.00012075
-177.780462,0.00012825
-177.755462,0.00013574
-177.730462,0.00014323
-177.705462,0.00015072
-177.680462,0.00015820
-177.655462,0.00016568
-177.630462,0.00017315
-177.605462,0.00018061
-177.580462,0.00018806
-177.555462,0.00019549
-177.530462,0.00020292
-177.505462,0.00021033
-177.480462,0.00021774
-177.455462,0.00022514
-177.430462,0.00023253
-177.405462,0.00023991
-177.380462,0.00024728
-177.355462,0.00025464
-177.330462,0.00026199
-177.305462,0.00026932
-177.280462,0.00027664
-177.255462,0.00028395
-177.230462,0.00029126
-177.205462,0.00029856
-177.180462,0.00030585
-177.155462,0.00031313
-177.130462,0.00032039
-177.105462,0.00032765
-177.080462,0.00033490
-177.055462,0.00034216
-177.030462,0.00034943
-177.005462,0.00035670
-176.980462,0.00036395
-176.955462,0.00037119
-176.930462,0.00037840
-176.905462,0.00038562
-176.880462,0.00039286
-176.855462,0.00040011
-176.830462,0.00040737
-176.805462,0.00041464
-176.780462,0.00042191
-176.755462,0.00042917
-176.730462,0.00043644
-176.705462,0.00044372
-176.680462,0.00045102
-176.655462,0.00045831
-176.630462,0.00046561
-176.605462,0.00047290
-176.580462,0.00048021
-176.555462,0.00048753
-176.530462,0.00049486
-176.505462,0.00050221
-176.480462,0.00050955
-176.455462,0.00051689
-176.430462,0.00052423
-176.405462,0.00053157
-176.380462,0.00053890
-176.355462,0.00054625
-176.330462,0.00055360
-176.305462,0.00056097
-176.280462,0.00056834
-176.255462,0.00057571
-176.230462,0.00058307
-176.205462,0.00059043
-176.180462,0.00059780
-176.155462,0.00060518
-176.130462,0.00061255
-176.105462,0.00061993
-176.080462,0.00062732
-176.055462,0.00063475
-176.030462,0.00064219
-176.005462,0.00064963
-175.980462,0.00065704
-175.955462,0.00066445
-175.930462,0.00067188
-175.905462,0.00067933
-175.880462,0.00068681
-175.855462,0.00069430
-175.830462,0.00070179
-175.805462,0.00070930
-175.780462,0.00071683
-175.755462,0.00072436
-175.730462,0.00073189
-175.705462,0.00073942
-175.680462,0.00074696
-175.655462,0.00075453
-175.630462,0.00076212
-175.605462,0.00076972
-175.580462,0.00077732
-175.555462,0.00078494
-175.530462,0.00079256
-175.505462,0.00080018
-175.480462,0.00080781
-175.455462,0.00081544
-175.430462,0.00082310
-175.405462,0.00083076
-175.380462,0.00083842
-175.355462,0.00084608
-175.330462,0.00085376
-175.305462,0.00086145
-175.280462,0.00086916
-175.255462,0.00087688
-175.230462,0.00088462
-175.205462,0.00089239
-175.180462,0.00090017
-175.155462,0.00090796
-175.130462,0.00091574
-175.105462,0.00092353
-175.080462,0.00093132
-175.055462,0.00093913
-175.030462,0.00094695
-175.005462,0.00095477
-174.980462,0.00096259
-174.955462,0.00097041
-174.930462,0.00097825
-174.905462,0.00098609
-174.880462,0.00099392
-174.855462,0.00100174
-174.830462,0.00100957
-174.805462,0.00101738
-174.780462,0.00102518
-174.755462,0.00103297
-174.730462,0.00104075
-174.705462,0.00104853
-174.680462,0.00105630
-174.655462,0.00106405
-174.630462,0.00107178
-174.605462,0.00107950
-174.580462,0.00108722
-174.555462,0.00109491
-174.530462,0.00110258
-174.505462,0.00111021
-174.480462,0.00111781
-174.455462,0.00112540
-174.430462,0.00113298
-174.405462,0.00114055
-174.380462,0.00114808
-174.355462,0.00115557
-174.330462,0.00116303
-174.305462,0.00117047
-174.280462,0.00117787
-174.255462,0.00118524
-174.230462,0.00119257
-174.205462,0.00119988
-174.180462,0.00120717
-174.155462,0.00121442
-174.130462,0.00122163
-174.105462,0.00122877
-174.080462,0.00123587
-174.055462,0.00124293
-174.030462,0.00124997
-174.005462,0.00125696
-173.980462,0.00126389
-173.955462,0.00127075
-173.930462,0.00127756
-173.905462,0.00128432
-173.880462,0.00129103
-173.855462,0.00129768
-173.830462,0.00130429
-173.805462,0.00131087
-173.780462,0.00131741
-173.755462,0.00132392
-173.730462,0.00133039
-173.705462,0.00133680
-173.680462,0.00134318
-173.655462,0.00134950
-173.630462,0.00135577
-173.605462,0.00136199
-173.580462,0.00136818
-173.555462,0.00137432
-173.530462,0.00138042
-173.505462,0.00138648
-173.480462,0.00139250
-173.455462,0.00139849
-173.430462,0.00140444
-173.405462,0.00141034
-173.380462,0.00141621
-173.355462,0.00142206
-173.330462,0.00142789
-173.305462,0.00143370
-173.280462,0.00143949
-173.255462,0.00144526
-173.230462,0.00145101
-173.205462,0.00145677
-173.180462,0.00146253
-173.155462,0.00146828
-173.130462,0.00147401
-173.105462,0.00147973
-173.080462,0.00148543
-173.055462,0.00149114
-173.030462,0.00149686
-173.005462,0.00150258
-172.980462,0.00150831
-172.955462,0.00151406
-172.930462,0.00151983
-172.905462,0.00152561
-172.880462,0.00153140
-172.855462,0.00153717
