time,displacement
-179.980462,0.00000394
-179.955462,0.00000607
-179.930462,0.00000821
-179.905462,0.00001035
-179.880462,0.00001248
-179.855462,0.00001462
-179.830462,0.00001675
-179.805462,0.00001889
-179.780462,0.00002103
-179.755462,0.00002316
-179.730462,0.00002530
-179.705462,0.00002744
-179.680462,0.00002958
-179.655462,0.00003172
-179.630462,0.00003385
-179.605462,0.00003599
-179.580462,0.00003813
-179.555462,0.00004028
-179.530462,0.00004242
-179.505462,0.00004457
-179.480462,0.00004671
-179.455462,0.00004886
-179.430462,0.00005101
-179.405462,0.00005317
-179.380462,0.00005532
-179.355462,0.00005747
-179.330462,0.00005963
-179.305462,0.00006178
-179.280462,0.00006394
-179.255462,0.00006610
-179.230462,0.00006827
-179.205462,0.00007044
-179.180462,0.00007261
-179.155462,0.00007478
-179.130462,0.00007696
-179.105462,0.00007914
-179.080462,0.00008131
-179.055462,0.00008350
-179.030462,0.00008568
-179.005462,0.00008787
-178.980462,0.00009006
-178.955462,0.00009225
-178.930462,0.00009445
-178.905462,0.00009664
-178.880462,0.00009884
-178.855462,0.00010104
-178.830462,0.00010324
-178.805462,0.00010544
-178.780462,0.00010763
-178.755462,0.00010983
-178.730462,0.00011202
-178.705462,0.00011422
-178.680462,0.00011641
-178.655462,0.00011860
-178.630462,0.00012079
-178.605462,0.00012297
-178.580462,0.00012516
-178.555462,0.00012734
-178.530462,0.00012951
-178.505462,0.00013168
-178.480462,0.00013385
-178.455462,0.00013602
-178.430462,0.00013819
-178.405462,0.00014036
-178.380462,0.00014253
-178.355462,0.00014469
-178.330462,0.00014686
-178.305462,0.00014903
-178.280462,0.00015120
-178.255462,0.00015336
-178.230462,0.00015552
-178.205462,0.00015767
-178.180462,0.00015982
-178.155462,0.00016197
-178.130462,0.00016413
-178.105462,0.00016630
-178.080462,0.00016848
-178.055462,0.00017065
-178.030462,0.00017283
-178.005462,0.00017500
-177.980462,0.00017718
-177.955462,0.00017936
-177.930462,0.00018155
-177.905462,0.00018375
-177.880462,0.00018597
-177.855462,0.00018819
-177.830462,0.00019041
-177.805462,0.00019265
-177.780462,0.00019490
-177.755462,0.00019716
-177.730462,0.00019942
-177.705462,0.00020168
-177.680462,0.00020393
-177.655462,0.00020620
-177.630462,0.00020847
-177.605462,0.00021075
-177.580462,0.00021303
-177.555462,0.00021532
-177.530462,0.00021762
-177.505462,0.00021993
-177.480462,0.00022224
-177.455462,0.00022454
-177.430462,0.00022685
-177.405462,0.00022915
-177.380462,0.00023147
-177.355462,0.00023379
-177.330462,0.00023613
-177.305462,0.00023849
-177.280462,0.00024085
-177.255462,0.00024322
-177.230462,0.00024560
-177.205462,0.00024799
-177.180462,0.00025037
-177.155462,0.00025276
-177.130462,0.00025515
-177.105462,0.00025755
-177.080462,0.00025995
-177.055462,0.00026236
-177.030462,0.00026478
-177.005462,0.00026719
-176.980462,0.00026961
-176.955462,0.00027203
-176.930462,0.00027444
-176.905462,0.00027683
-176.880462,0.00027921
-176.855462,0.00028159
-176.830462,0.00028397
-176.805462,0.00028634
-176.780462,0.00028871
-176.755462,0.00029108
-176.730462,0.00029344
-176.705462,0.00029579
-176.680462,0.00029814
-176.655462,0.00030047
-176.630462,0.00030277
-176.605462,0.00030506
-176.580462,0.00030734
-176.555462,0.00030961
-176.530462,0.00031187
-176.505462,0.00031412
-176.480462,0.00031635
-176.455462,0.00031858
-176.430462,0.00032079
-176.405462,0.00032299
-176.380462,0.00032516
-176.355462,0.00032732
-176.330462,0.00032946
-176.305462,0.00033157
-176.280462,0.00033365
-176.255462,0.00033572
-176.230462,0.00033778
-176.205462,0.00033985
-176.180462,0.00034189
-176.155462,0.00034390
-176.130462,0.00034589
-176.105462,0.00034786
-176.080462,0.00034982
-176.055462,0.00035175
-176.030462,0.00035364
-176.005462,0.00035549
-175.980462,0.00035733
-175.955462,0.00035916
-175.930462,0.00036098
-175.905462,0.00036277
-175.880462,0.00036452
-175.855462,0.00036625
-175.830462,0.00036797
-175.805462,0.00036969
-175.780462,0.00037139
-175.755462,0.00037306
-175.730462,0.00037471
-175.705462,0.00037637
-175.680462,0.00037802
-175.655462,0.00037967
-175.630462,0.00038130
-175.605462,0.00038291
-175.580462,0.00038450
-175.555462,0.00038611
-175.530462,0.00038770
-175.505462,0.00038927
-175.480462,0.00039081
-175.455462,0.00039234
-175.430462,0.00039388
-175.405462,0.00039543
-175.380462,0.00039700
-175.355462,0.00039856
-175.330462,0.00040011
-175.305462,0.00040166
-175.280462,0.00040321
-175.255462,0.00040476
-175.230462,0.00040631
-175.205462,0.00040786
-175.180462,0.00040942
-175.155462,0.00041099
-175.130462,0.00041257
-175.105462,0.00041416
-175.080462,0.00041576
-175.055462,0.00041738
-175.030462,0.00041902
-175.005462,0.00042068
-174.980462,0.00042235
-174.955462,0.00042401
-174.930462,0.00042566
-174.905462,0.00042734
-174.880462,0.00042905
-174.855462,0.00043077
-174.830462,0.00043249
-174.805462,0.00043421
-174.780462,0.00043594
-174.755462,0.00043770
-174.730462,0.00043946
-174.705462,0.00044120
-174.680462,0.00044291
-174.655462,0.00044459
-174.630462,0.00044629
-174.605462,0.00044802
-174.580462,0.00044975
-174.555462,0.00045146
-174.530462,0.00045313
-174.505462,0.00045479
-174.480462,0.00045645
-174.455462,0.00045810
-174.430462,0.00045972
-174.405462,0.00046128
-174.380462,0.00046281
-174.355462,0.00046431
-174.330462,0.00046581
-174.305462,0.00046731
-174.280462,0.00046877
-174.255462,0.00047020
-174.230462,0.00047161
-174.205462,0.00047302
-174.180462,0.00047440
-174.155462,0.00047572
-174.130462,0.00047700
-174.105462,0.00047825
-174.080462,0.00047951
-174.055462,0.00048077
-174.030462,0.00048200
-174.005462,0.00048322
-173.980462,0.00048442
-173.955462,0.00048563
-173.930462,0.00048685
-173.905462,0.00048805
-173.880462,0.00048923
-173.855462,0.00049037
-173.830462,0.00049151
-173.805462,0.00049265
-173.780462,0.00049381
-173.755462,0.00049499
-173.730462,0.00049621
-173.705462,0.00049743
-173.680462,0.00049864
-173.655462,0.00049985
-173.630462,0.00050105
-173.605462,0.00050226
-173.580462,0.00050349
-173.555462,0.00050472
-173.530462,0.00050595
-173.505462,0.00050719
-173.480462,0.00050847
-173.455462,0.00050977
-173.430462,0.00051108
-173.405462,0.00051239
-173.380462,0.00051370
-173.355462,0.00051503
-173.330462,0.00051637
-173.305462,0.00051771
-173.280462,0.00051904
-173.255462,0.00052039
-173.230462,0.00052179
-173.205462,0.00052322
-173.180462,0.00052469
-173.155462,0.00052615
-173.130462,0.00052760
-173.105462,0.00052905
-173.080462,0.00053049
-173.055462,0.00053194
-173.030462,0.00053339
-173.005462,0.00053484
-172.980462,0.00053628
-172.955462,0.00053774
-172.930462,0.00053922
-172.905462,0.00054070
-172.880462,0.00054219
-172.855462,0.00054368
-172.830462,0.00054517
-172.805462,0.00054665
-172.780462,0.00054813
-172.755462,0.00054959
-172.730462,0.00055105
-172.705462,0.00055252
-172.680462,0.00055401
-172.655462,0.00055552
-172.630462,0.00055703
-172.605462,0.00055853
-172.580462,0.00056003
-172.555462,0.00056155
-172.530462,0.00056307
-172.505462,0.00056459
-172.480462,0.00056610
-172.455462,0.00056763
-172.430462,0.00056919
-172.405462,0.00057078
-172.380462,0.00057239
-172.355462,0.00057400
-172.330462,0.00057562
-172.305462,0.00057727
-172.280462,0.00057897
-172.255462,0.00058068
-172.230462,0.00058239
-172.205462,0.00058409
-172.180462,0.00058582
-172.155462,0.00058757
-172.130462,0.00058933
-172.105462,0.00059109
-172.080462,0.00059284
-172.055462,0.00059459
-172.030462,0.00059634
-172.005462,0.00059807
-171.980462,0.00059976
-171.955462,0.00060142
-171.930462,0.00060304
-171.905462,0.00060464
-171.880462,0.00060622
-171.855462,0.00060777
-171.830462,0.00060927
-171.805462,0.00061072
-171.780462,0.00061214
-171.755462,0.00061352
-171.730462,0.00061488
-171.705462,0.00061619
-171.680462,0.00061743
-171.655462,0.00061858
-171.630462,0.00061970
-171.605462,0.00062080
-171.580462,0.00062190
-171.555462,0.00062294
-171.530462,0.00062390
-171.505462,0.00062479
-171.480462,0.00062565
-171.455462,0.00062652
-171.430462,0.00062738
-171.405462,0.00062818
-171.380462,0.00062888
-171.355462,0.00062950
-171.330462,0.00063012
-171.305462,0.00063076
-171.280462,0.00063141
-171.255462,0.00063204
-171.230462,0.00063262
-171.205462,0.00063317
-171.180462,0.00063370
-171.155462,0.00063422
-171.130462,0.00063473
-171.105462,0.00063520
-171.080462,0.00063564
-171.055462,0.00063604
-171.030462,0.00063645
-171.005462,0.00063686
-170.980462,0.00063729
-170.955462,0.00063773
-170.930462,0.00063815
-170.905462,0.00063856
-170.880462,0.00063894
-170.855462,0.00063932
-170.830462,0.00063968
-170.805462,0.00064004
-170.780462,0.00064040
-170.755462,0.00064079
-170.730462,0.00064122
-170.705462,0.00064166
-170.680462,0.00064210
-170.655462,0.00064253
-170.630462,0.00064295
-170.605462,0.00064339
-170.580462,0.00064388
-170.555462,0.00064439
-170.530462,0.00064492
-170.505462,0.00064547
-170.480462,0.00064604
-170.455462,0.00064667
-170.430462,0.00064738
-170.405462,0.00064817
-170.380462,0.00064901
-170.355462,0.00064988
-170.330462,0.00065078
-170.305462,0.00065169
-170.280462,0.00065261
-170.255462,0.00065358
-170.230462,0.00065461
-170.205462,0.00065571
-170.180462,0.00065685
-170.155462,0.00065801
-170.130462,0.00065918
-170.105462,0.00066035
-170.080462,0.00066155
-170.055462,0.00066277
-170.030462,0.00066398
-170.005462,0.00066517
-169.980462,0.00066634
-169.955462,0.00066754
-169.930462,0.00066877
-169.905462,0.00067003
-169.880462,0.00067130
-169.855462,0.00067255
-169.830462,0.00067377
-169.805462,0.00067496
-169.780462,0.00067613
-169.755462,0.00067729
-169.730462,0.00067843
-169.705462,0.00067954
-169.680462,0.00068062
-169.655462,0.00068167
-169.630462,0.00068274
-169.605462,0.00068384
-169.580462,0.00068494
-169.555462,0.00068600
-169.530462,0.00068701
-169.505462,0.00068800
-169.480462,0.00068897
-169.455462,0.00068991
-169.430462,0.00069083
-169.405462,0.00069173
-169.380462,0.00069265
-169.355462,0.00069361
-169.330462,0.00069459
-169.305462,0.00069556
-169.280462,0.00069648
-169.255462,0.00069737
-169.230462,0.00069826
-169.205462,0.00069913
-169.180462,0.00069997
-169.155462,0.00070077
-169.130462,0.00070158
-169.105462,0.00070240
-169.080462,0.00070324
-169.055462,0.00070407
-169.030462,0.00070488
-169.005462,0.00070567
-168.980462,0.00070647
-168.955462,0.00070726
-168.930462,0.00070807
-168.905462,0.00070891
-168.880462,0.00070976
-168.855462,0.00071064
-168.830462,0.00071155
-168.805462,0.00071250
-168.780462,0.00071351
-168.755462,0.00071456
-168.730462,0.00071561
-168.705462,0.00071667
-168.680462,0.00071775
-168.655462,0.00071888
-168.630462,0.00072004
-168.605462,0.00072121
-168.580462,0.00072235
-168.555462,0.00072351
-168.530462,0.00072472
-168.505462,0.00072599
-168.480462,0.00072724
-168.455462,0.00072844
-168.430462,0.00072958
-168.405462,0.00073072
-168.380462,0.00073191
-168.355462,0.00073312
-168.330462,0.00073430
-168.305462,0.00073546
-168.280462,0.00073661
-168.255462,0.00073780
-168.230462,0.00073902
-168.205462,0.00074024
-168.180462,0.00074142
-168.155462,0.00074257
-168.130462,0.00074374
-168.105462,0.00074493
-168.080462,0.00074613
-168.055462,0.00074726
-168.030462,0.00074832
-168.005462,0.00074932
-167.980462,0.00075034
-167.955462,0.00075141
-167.930462,0.00075247
-167.905462,0.00075348
-167.880462,0.00075443
-167.855462,0.00075536
-167.830462,0.00075632
-167.805462,0.00075726
-167.780462,0.00075815
-167.755462,0.00075898
-167.730462,0.00075979
-167.705462,0.00076065
-167.680462,0.00076155
-167.655462,0.00076246
-167.630462,0.00076334
-167.605462,0.00076417
-167.580462,0.00076498
-167.555462,0.00076577
-167.530462,0.00076652
-167.505462,0.00076723
-167.480462,0.00076791
-167.455462,0.00076861
-167.430462,0.00076934
-167.405462,0.00077006
-167.380462,0.00077074
-167.355462,0.00077135
-167.330462,0.00077191
-167.305462,0.00077244
-167.280462,0.00077294
-167.255462,0.00077339
-167.230462,0.00077377
-167.205462,0.00077411
-167.180462,0.00077443
-167.155462,0.00077476
-167.130462,0.00077512
-167.105462,0.00077546
-167.080462,0.00077576
-167.055462,0.00077601
-167.030462,0.00077621
-167.005462,0.00077635
-166.980462,0.00077643
-166.955462,0.00077646
-166.930462,0.00077645
-166.905462,0.00077646
-166.880462,0.00077648
-166.855462,0.00077647
-166.830462,0.00077639
-166.805462,0.00077624
-166.780462,0.00077603
-166.755462,0.00077581
-166.730462,0.00077556
-166.705462,0.00077529
-166.680462,0.00077500
-166.655462,0.00077471
-166.630462,0.00077444
-166.605462,0.00077420
-166.580462,0.00077398
-166.555462,0.00077376
-166.530462,0.00077354
-166.505462,0.00077331
-166.480462,0.00077307
-166.455462,0.00077284
-166.430462,0.00077262
-166.405462,0.00077241
-166.380462,0.00077220
-166.355462,0.00077198
-166.330462,0.00077180
-166.305462,0.00077167
-166.280462,0.00077159
-166.255462,0.00077149
-166.230462,0.00077132
-166.205462,0.00077109
-166.180462,0.00077089
-166.155462,0.00077075
-166.130462,0.00077068
-166.105462,0.00077061
-166.080462,0.00077051
-166.055462,0.00077040
-166.030462,0.00077033
-166.005462,0.00077029
-165.980462,0.00077025
-165.955462,0.00077019
-165.930462,0.00077010
-165.905462,0.00077001
-165.880462,0.00076994
-165.855462,0.00076988
-165.830462,0.00076982
-165.805462,0.00076974
-165.780462,0.00076968
-165.755462,0.00076965
-165.730462,0.00076965
-165.705462,0.00076964
-165.680462,0.00076958
-165.655462,0.00076946
-165.630462,0.00076932
-165.605462,0.00076918
-165.580462,0.00076904
-165.555462,0.00076887
-165.530462,0.00076864
-165.505462,0.00076839
-165.480462,0.00076815
-165.455462,0.00076793
-165.430462,0.00076767
-165.405462,0.00076734
-165.380462,0.00076697
-165.355462,0.00076661
-165.330462,0.00076629
-165.305462,0.00076600
-165.280462,0.00076566
-165.255462,0.00076527
-165.230462,0.00076486
-165.205462,0.00076449
-165.180462,0.00076416
-165.155462,0.00076380
-165.130462,0.00076333
-165.105462,0.00076274
-165.080462,0.00076211
-165.055462,0.00076149
-165.030462,0.00076087
-165.005462,0.00076019
-164.980462,0.00075941
-164.955462,0.00075855
-164.930462,0.00075768
-164.905462,0.00075682
-164.880462,0.00075597
-164.855462,0.00075504
-164.830462,0.00075399
-164.805462,0.00075285
-164.780462,0.00075166
-164.755462,0.00075045
-164.730462,0.00074926
-164.705462,0.00074807
-164.680462,0.00074689
-164.655462,0.00074572
-164.630462,0.00074458
-164.605462,0.00074346
-164.580462,0.00074237
-164.555462,0.00074130
-164.530462,0.00074022
-164.505462,0.00073916
-164.480462,0.00073816
-164.455462,0.00073726
-164.430462,0.00073647
-164.405462,0.00073577
-164.380462,0.00073511
-164.355462,0.00073452
-164.330462,0.00073401
-164.305462,0.00073359
