time,displacement
-179.980462,-0.00027651
-179.955462,-0.00028034
-179.930462,-0.00028416
-179.905462,-0.00028798
-179.880462,-0.00029179
-179.855462,-0.00029560
-179.830462,-0.00029940
-179.805462,-0.00030319
-179.780462,-0.00030698
-179.755462,-0.00031077
-179.730462,-0.00031454
-179.705462,-0.00031832
-179.680462,-0.00032208
-179.655462,-0.00032584
-179.630462,-0.00032959
-179.605462,-0.00033334
-179.580462,-0.00033708
-179.555462,-0.00034082
-179.530462,-0.00034455
-179.505462,-0.00034827
-179.480462,-0.00035198
-179.455462,-0.00035569
-179.430462,-0.00035939
-179.405462,-0.00036308
-179.380462,-0.00036677
-179.355462,-0.00037044
-179.330462,-0.00037411
-179.305462,-0.00037777
-179.280462,-0.00038143
-179.255462,-0.00038508
-179.230462,-0.00038871
-179.205462,-0.00039234
-179.180462,-0.00039596
-179.155462,-0.00039956
-179.130462,-0.00040316
-179.105462,-0.00040675
-179.080462,-0.00041033
-179.055462,-0.00041389
-179.030462,-0.00041745
-179.005462,-0.00042100
-178.980462,-0.00042455
-178.955462,-0.00042808
-178.930462,-0.00043159
-178.905462,-0.00043510
-178.880462,-0.00043859
-178.855462,-0.00044207
-178.830462,-0.00044554
-178.805462,-0.00044900
-178.780462,-0.00045245
-178.755462,-0.00045589
-178.730462,-0.00045932
-178.705462,-0.00046273
-178.680462,-0.00046613
-178.655462,-0.00046953
-178.630462,-0.00047290
-178.605462,-0.00047627
-178.580462,-0.00047963
-178.555462,-0.00048297
-178.530462,-0.00048630
-178.505462,-0.00048963
-178.480462,-0.00049295
-178.455462,-0.00049626
-178.430462,-0.00049957
-178.405462,-0.00050286
-178.380462,-0.00050615
-178.355462,-0.00050943
-178.330462,-0.00051270
-178.305462,-0.00051597
-178.280462,-0.00051923
-178.255462,-0.00052250
-178.230462,-0.00052576
-178.205462,-0.00052902
-178.180462,-0.00053228
-178.155462,-0.00053555
-178.130462,-0.00053881
-178.105462,-0.00054206
-178.080462,-0.00054530
-178.055462,-0.00054853
-178.030462,-0.00055176
-178.005462,-0.00055500
-177.980462,-0.00055823
-177.955462,-0.00056145
-177.930462,-0.00056466
-177.905462,-0.00056786
-177.880462,-0.00057106
-177.855462,-0.00057425
-177.830462,-0.00057744
-177.805462,-0.00058062
-177.780462,-0.00058378
-177.755462,-0.00058694
-177.730462,-0.00059010
-177.705462,-0.00059325
-177.680462,-0.00059640
-177.655462,-0.00059955
-177.630462,-0.00060268
-177.605462,-0.00060581
-177.580462,-0.00060893
-177.555462,-0.00061203
-177.530462,-0.00061514
-177.505462,-0.00061823
-177.480462,-0.00062131
-177.455462,-0.00062439
-177.430462,-0.00062747
-177.405462,-0.00063054
-177.380462,-0.00063361
-177.355462,-0.00063667
-177.330462,-0.00063973
-177.305462,-0.00064279
-177.280462,-0.00064584
-177.255462,-0.00064889
-177.230462,-0.00065194
-177.205462,-0.00065498
-177.180462,-0.00065802
-177.155462,-0.00066106
-177.130462,-0.00066409
-177.105462,-0.00066713
-177.080462,-0.00067016
-177.055462,-0.00067318
-177.030462,-0.00067620
-177.005462,-0.00067922
-176.980462,-0.00068223
-176.955462,-0.00068524
-176.930462,-0.00068823
-176.905462,-0.00069121
-176.880462,-0.00069418
-176.855462,-0.00069714
-176.830462,-0.00070008
-176.805462,-0.00070301
-176.780462,-0.00070593
-176.755462,-0.00070883
-176.730462,-0.00071171
-176.705462,-0.00071457
-176.680462,-0.00071740
-176.655462,-0.00072020
-176.630462,-0.00072298
-176.605462,-0.00072574
-176.580462,-0.00072849
-176.555462,-0.00073120
-176.530462,-0.00073389
-176.505462,-0.00073656
-176.480462,-0.00073921
-176.455462,-0.00074183
-176.430462,-0.00074440
-176.405462,-0.00074694
-176.380462,-0.00074944
-176.355462,-0.00075190
