time,displacement
-179.980462,0.00059162
-179.955462,0.00059121
-179.930462,0.00059080
-179.905462,0.00059039
-179.880462,0.00058998
-179.855462,0.00058956
-179.830462,0.00058915
-179.805462,0.00058873
-179.780462,0.00058832
-179.755462,0.00058790
-179.730462,0.00058748
-179.705462,0.00058706
-179.680462,0.00058664
-179.655462,0.00058622
-179.630462,0.00058580
-179.605462,0.00058538
-179.580462,0.00058496
-179.555462,0.00058454
-179.530462,0.00058412
-179.505462,0.00058369
-179.480462,0.00058327
-179.455462,0.00058286
-179.430462,0.00058244
-179.405462,0.00058202
-179.380462,0.00058161
-179.355462,0.00058119
-179.330462,0.00058077
-179.305462,0.00058035
-179.280462,0.00057994
-179.255462,0.00057952
-179.230462,0.00057911
-179.205462,0.00057869
-179.180462,0.00057828
-179.155462,0.00057786
-179.130462,0.00057743
-179.105462,0.00057701
-179.080462,0.00057658
-179.055462,0.00057615
-179.030462,0.00057572
-179.005462,0.00057529
-178.980462,0.00057485
-178.955462,0.00057441
-178.930462,0.00057398
-178.905462,0.00057354
-178.880462,0.00057310
-178.855462,0.00057265
-178.830462,0.00057219
-178.805462,0.00057172
-178.780462,0.00057126
-178.755462,0.00057079
-178.730462,0.00057031
-178.705462,0.00056983
-178.680462,0.00056933
-178.655462,0.00056883
-178.630462,0.00056833
-178.605462,0.00056782
-178.580462,0.00056730
-178.555462,0.00056677
-178.530462,0.00056622
-178.505462,0.00056567
-178.480462,0.00056511
-178.455462,0.00056454
-178.430462,0.00056397
-178.405462,0.00056339
-178.380462,0.00056282
-178.355462,0.00056224
-178.330462,0.00056165
-178.305462,0.00056104
-178.280462,0.00056043
-178.255462,0.00055981
-178.230462,0.00055918
-178.205462,0.00055855
-178.180462,0.00055791
-178.155462,0.00055727
-178.130462,0.00055664
-178.105462,0.00055599
-178.080462,0.00055533
-178.055462,0.00055465
-178.030462,0.00055394
-178.005462,0.00055323
-177.980462,0.00055251
-177.955462,0.00055178
-177.930462,0.00055104
-177.905462,0.00055029
-177.880462,0.00054953
-177.855462,0.00054875
-177.830462,0.00054797
-177.805462,0.00054717
-177.780462,0.00054635
-177.755462,0.00054551
-177.730462,0.00054465
-177.705462,0.00054377
-177.680462,0.00054289
-177.655462,0.00054200
-177.630462,0.00054110
-177.605462,0.00054020
-177.580462,0.00053929
-177.555462,0.00053836
-177.530462,0.00053741
-177.505462,0.00053644
-177.480462,0.00053544
-177.455462,0.00053442
-177.430462,0.00053339
-177.405462,0.00053234
-177.380462,0.00053129
-177.355462,0.00053024
-177.330462,0.00052918
-177.305462,0.00052810
-177.280462,0.00052701
-177.255462,0.00052589
-177.230462,0.00052476
-177.205462,0.00052361
-177.180462,0.00052247
-177.155462,0.00052131
-177.130462,0.00052015
-177.105462,0.00051899
-177.080462,0.00051784
-177.055462,0.00051668
-177.030462,0.00051551
-177.005462,0.00051433
-176.980462,0.00051313
-176.955462,0.00051193
-176.930462,0.00051071
-176.905462,0.00050950
-176.880462,0.00050829
-176.855462,0.00050708
-176.830462,0.00050587
-176.805462,0.00050466
-176.780462,0.00050346
-176.755462,0.00050227
-176.730462,0.00050108
-176.705462,0.00049990
-176.680462,0.00049870
-176.655462,0.00049750
-176.630462,0.00049632
-176.605462,0.00049516
-176.580462,0.00049403
-176.555462,0.00049290
-176.530462,0.00049178
-176.505462,0.00049068
-176.480462,0.00048959
-176.455462,0.00048852
-176.430462,0.00048747
-176.405462,0.00048642
-176.380462,0.00048537
-176.355462,0.00048432
-176.330462,0.00048327
-176.305462,0.00048223
-176.280462,0.00048122
-176.255462,0.00048023
-176.230462,0.00047927
-176.205462,0.00047831
-176.180462,0.00047735
-176.155462,0.00047641
-176.130462,0.00047549
-176.105462,0.00047460
-176.080462,0.00047371
-176.055462,0.00047280
-176.030462,0.00047190
-176.005462,0.00047103
-175.980462,0.00047019
-175.955462,0.00046936
-175.930462,0.00046851
-175.905462,0.00046766
-175.880462,0.00046682
-175.855462,0.00046601
-175.830462,0.00046520
-175.805462,0.00046437
-175.780462,0.00046352
-175.755462,0.00046268
-175.730462,0.00046185
-175.705462,0.00046103
-175.680462,0.00046020
-175.655462,0.00045936
-175.630462,0.00045852
-175.605462,0.00045769
-175.580462,0.00045687
-175.555462,0.00045604
-175.530462,0.00045518
-175.505462,0.00045430
-175.480462,0.00045343
-175.455462,0.00045257
-175.430462,0.00045174
-175.405462,0.00045092
-175.380462,0.00045009
-175.355462,0.00044924
-175.330462,0.00044839
-175.305462,0.00044753
-175.280462,0.00044667
-175.255462,0.00044581
-175.230462,0.00044492
-175.205462,0.00044402
-175.180462,0.00044313
-175.155462,0.00044223
-175.130462,0.00044133
-175.105462,0.00044042
-175.080462,0.00043950
-175.055462,0.00043858
-175.030462,0.00043764
-175.005462,0.00043667
-174.980462,0.00043567
-174.955462,0.00043465
-174.930462,0.00043362
-174.905462,0.00043261
-174.880462,0.00043158
-174.855462,0.00043052
-174.830462,0.00042945
-174.805462,0.00042837
-174.780462,0.00042728
-174.755462,0.00042616
-174.730462,0.00042499
-174.705462,0.00042377
-174.680462,0.00042254
-174.655462,0.00042134
-174.630462,0.00042016
-174.605462,0.00041897
-174.580462,0.00041774
-174.555462,0.00041649
-174.530462,0.00041524
-174.505462,0.00041399
-174.480462,0.00041275
-174.455462,0.00041147
-174.430462,0.00041015
-174.405462,0.00040883
-174.380462,0.00040754
-174.355462,0.00040630
-174.330462,0.00040507
-174.305462,0.00040383
-174.280462,0.00040258
-174.255462,0.00040135
-174.230462,0.00040013
-174.205462,0.00039889
-174.180462,0.00039761
-174.155462,0.00039629
-174.130462,0.00039500
-174.105462,0.00039376
-174.080462,0.00039255
-174.055462,0.00039133
-174.030462,0.00039010
-174.005462,0.00038890
-173.980462,0.00038773
-173.955462,0.00038658
-173.930462,0.00038542
-173.905462,0.00038423
-173.880462,0.00038304
-173.855462,0.00038186
-173.830462,0.00038071
-173.805462,0.00037960
-173.780462,0.00037852
-173.755462,0.00037747
-173.730462,0.00037641
-173.705462,0.00037533
-173.680462,0.00037423
-173.655462,0.00037314
-173.630462,0.00037208
-173.605462,0.00037103
-173.580462,0.00036999
-173.555462,0.00036894
-173.530462,0.00036791
-173.505462,0.00036692
-173.480462,0.00036594
-173.455462,0.00036494
-173.430462,0.00036392
-173.405462,0.00036291
-173.380462,0.00036192
-173.355462,0.00036093
-173.330462,0.00035993
-173.305462,0.00035893
-173.280462,0.00035795
-173.255462,0.00035703
-173.230462,0.00035614
-173.205462,0.00035525
-173.180462,0.00035433
-173.155462,0.00035340
-173.130462,0.00035246
-173.105462,0.00035152
-173.080462,0.00035060
-173.055462,0.00034967
-173.030462,0.00034875
-173.005462,0.00034783
-172.980462,0.00034693
-172.955462,0.00034605
-172.930462,0.00034519
-172.905462,0.00034433
-172.880462,0.00034347
-172.855462,0.00034261
-172.830462,0.00034174
-172.805462,0.00034089
-172.780462,0.00034004
-172.755462,0.00033920
-172.730462,0.00033838
-172.705462,0.00033757
-172.680462,0.00033679
-172.655462,0.00033602
-172.630462,0.00033524
-172.605462,0.00033449
-172.580462,0.00033375
-172.555462,0.00033303
-172.530462,0.00033231
-172.505462,0.00033159
-172.480462,0.00033089
-172.455462,0.00033020
-172.430462,0.00032951
-172.405462,0.00032879
-172.380462,0.00032804
-172.355462,0.00032731
-172.330462,0.00032663
-172.305462,0.00032595
-172.280462,0.00032524
-172.255462,0.00032447
-172.230462,0.00032366
-172.205462,0.00032284
-172.180462,0.00032202
-172.155462,0.00032117
-172.130462,0.00032028
-172.105462,0.00031938
-172.080462,0.00031849
-172.055462,0.00031759
-172.030462,0.00031665
-172.005462,0.00031564
-171.980462,0.00031458
-171.955462,0.00031350
-171.930462,0.00031241
-171.905462,0.00031130
-171.880462,0.00031018
-171.855462,0.00030902
-171.830462,0.00030784
-171.805462,0.00030666
-171.780462,0.00030549
-171.755462,0.00030431
-171.730462,0.00030309
-171.705462,0.00030179
-171.680462,0.00030044
-171.655462,0.00029911
-171.630462,0.00029781
-171.605462,0.00029653
-171.580462,0.00029521
-171.555462,0.00029384
