time,displacement
-179.978000,-0.00135421
-179.928000,-0.00134734
-179.878000,-0.00134044
-179.828000,-0.00133353
-179.778000,-0.00132662
-179.728000,-0.00131972
-179.678000,-0.00131278
-179.628000,-0.00130584
-179.578000,-0.00129890
-179.528000,-0.00129194
-179.478000,-0.00128504
-179.428000,-0.00127812
-179.378000,-0.00127112
-179.328000,-0.00126409
-179.278000,-0.00125704
-179.228000,-0.00124995
-179.178000,-0.00124279
-179.128000,-0.00123560
-179.078000,-0.00122832
-179.028000,-0.00122081
-178.978000,-0.00121324
-178.928000,-0.00120573
-178.878000,-0.00119811
-178.828000,-0.00119036
-178.778000,-0.00118259
-178.728000,-0.00117489
-178.678000,-0.00116729
-178.628000,-0.00115961
-178.578000,-0.00115195
-178.528000,-0.00114452
-178.478000,-0.00113713
-178.428000,-0.00112984
-178.378000,-0.00112274
-178.328000,-0.00111594
-178.278000,-0.00110948
-178.228000,-0.00110298
-178.178000,-0.00109653
-178.128000,-0.00109042
-178.078000,-0.00108451
-178.028000,-0.00107885
-177.978000,-0.00107327
-177.928000,-0.00106761
-177.878000,-0.00106228
-177.828000,-0.00105715
-177.778000,-0.00105198
-177.728000,-0.00104703
-177.678000,-0.00104226
-177.628000,-0.00103763
-177.578000,-0.00103325
-177.528000,-0.00102893
-177.478000,-0.00102471
-177.428000,-0.00102046
-177.378000,-0.00101612
-177.328000,-0.00101187
-177.278000,-0.00100744
-177.228000,-0.00100266
-177.178000,-0.00099754
-177.128000,-0.00099209
-177.078000,-0.00098636
-177.028000,-0.00098038
-176.978000,-0.00097430
-176.928000,-0.00096782
-176.878000,-0.00096088
-176.828000,-0.00095411
-176.778000,-0.00094742
-176.728000,-0.00094023
-176.678000,-0.00093270
-176.628000,-0.00092542
-176.578000,-0.00091819
-176.528000,-0.00091065
-176.478000,-0.00090300
-176.428000,-0.00089515
-176.378000,-0.00088745
-176.328000,-0.00087981
-176.278000,-0.00087187
-176.228000,-0.00086395
-176.178000,-0.00085592
-176.128000,-0.00084807
-176.078000,-0.00084042
-176.028000,-0.00083274
-175.978000,-0.00082543
-175.928000,-0.00081841
-175.878000,-0.00081190
-175.828000,-0.00080589
-175.778000,-0.00080008
-175.728000,-0.00079417
-175.678000,-0.00078809
-175.628000,-0.00078270
-175.578000,-0.00077779
-175.528000,-0.00077283
-175.478000,-0.00076781
-175.428000,-0.00076254
-175.378000,-0.00075759
-175.328000,-0.00075312
-175.278000,-0.00074850
-175.228000,-0.00074359
