time,displacement
-179.978000,-0.00448950
-179.928000,-0.00450122
-179.878000,-0.00451293
-179.828000,-0.00452458
-179.778000,-0.00453620
-179.728000,-0.00454779
-179.678000,-0.00455929
-179.628000,-0.00457076
-179.578000,-0.00458217
-179.528000,-0.00459349
-179.478000,-0.00460474
-179.428000,-0.00461585
-179.378000,-0.00462695
-179.328000,-0.00463801
-179.278000,-0.00464891
-179.228000,-0.00465969
-179.178000,-0.00467036
-179.128000,-0.00468092
-179.078000,-0.00469136
-179.028000,-0.00470170
-178.978000,-0.00471192
-178.928000,-0.00472202
-178.878000,-0.00473200
-178.828000,-0.00474190
-178.778000,-0.00475181
-178.728000,-0.00476168
-178.678000,-0.00477155
-178.628000,-0.00478138
-178.578000,-0.00479116
-178.528000,-0.00480089
-178.478000,-0.00481070
-178.428000,-0.00482066
-178.378000,-0.00483038
-178.328000,-0.00483998
-178.278000,-0.00484964
-178.228000,-0.00485923
-178.178000,-0.00486882
-178.128000,-0.00487838
-178.078000,-0.00488789
-178.028000,-0.00489735
-177.978000,-0.00490699
-177.928000,-0.00491657
-177.878000,-0.00492590
-177.828000,-0.00493536
-177.778000,-0.00494472
-177.728000,-0.00495386
-177.678000,-0.00496294
-177.628000,-0.00497190
-177.578000,-0.00498062
-177.528000,-0.00498905
-177.478000,-0.00499751
-177.428000,-0.00500571
-177.378000,-0.00501343
-177.328000,-0.00502127
-177.278000,-0.00502902
-177.228000,-0.00503642
-177.178000,-0.00504346
-177.128000,-0.00505029
-177.078000,-0.00505732
-177.028000,-0.00506403
-176.978000,-0.00507047
-176.928000,-0.00507683
-176.878000,-0.00508274
-176.828000,-0.00508864
-176.778000,-0.00509449
-176.728000,-0.00510047
-176.678000,-0.00510657
-176.628000,-0.00511248
-176.578000,-0.00511864
-176.528000,-0.00512513
-176.478000,-0.00513225
-176.428000,-0.00513955
-176.378000,-0.00514670
-176.328000,-0.00515465
-176.278000,-0.00516319
-176.228000,-0.00517206
-176.178000,-0.00518113
-176.128000,-0.00519057
-176.078000,-0.00520085
-176.028000,-0.00521166
-175.978000,-0.00522303
-175.928000,-0.00523480
-175.878000,-0.00524683
-175.828000,-0.00525924
-175.778000,-0.00527187
-175.728000,-0.00528493
-175.678000,-0.00529813
-175.628000,-0.00531118
-175.578000,-0.00532408
-175.528000,-0.00533688
-175.478000,-0.00534972
-175.428000,-0.00536240
-175.378000,-0.00537454
-175.328000,-0.00538603
-175.278000,-0.00539743
-175.228000,-0.00540876
-175.178000,-0.00541949
-175.128000,-0.00542956
-175.078000,-0.00543910
-175.028000,-0.00544862
-174.978000,-0.00545797
-174.928000,-0.00546672
-174.878000,-0.00547498
-174.828000,-0.00548271
-174.778000,-0.00549027
-174.728000,-0.00549748
-174.678000,-0.00550455
-174.628000,-0.00551165
-174.578000,-0.00551811
-174.528000,-0.00552453
-174.478000,-0.00553087
-174.428000,-0.00553676
-174.378000,-0.00554239
-174.328000,-0.00554758
-174.278000,-0.00555284
-174.228000,-0.00555828
-174.178000,-0.00556358
-174.128000,-0.00556855
-174.078000,-0.00557336
-174.028000,-0.00557807
-173.978000,-0.00558258
-173.928000,-0.00558738
-173.878000,-0.00559220
-173.828000,-0.00559709
-173.778000,-0.00560215
-173.728000,-0.00560718
-173.678000,-0.00561255
-173.628000,-0.00561784
-173.578000,-0.00562313
-173.528000,-0.00562858
-173.478000,-0.00563368
-173.428000,-0.00563890
-173.378000,-0.00564428
-173.328000,-0.00564940
-173.278000,-0.00565459
-173.228000,-0.00565955
-173.178000,-0.00566392
-173.128000,-0.00566834
-173.078000,-0.00567241
-173.028000,-0.00567574
-172.978000,-0.00567879
-172.928000,-0.00568126
-172.878000,-0.00568349
-172.828000,-0.00568546
-172.778000,-0.00568664
-172.728000,-0.00568745
-172.678000,-0.00568773
-172.628000,-0.00568742
-172.578000,-0.00568710
-172.528000,-0.00568665
-172.478000,-0.00568581
-172.428000,-0.00568439
-172.378000,-0.00568250
-172.328000,-0.00568034
-172.278000,-0.00567811
-172.228000,-0.00567587
-172.178000,-0.00567309
-172.128000,-0.00567040
-172.078000,-0.00566792
-172.028000,-0.00566517
-171.978000,-0.00566293
-171.928000,-0.00566061
-171.878000,-0.00565832
-171.828000,-0.00565681
-171.778000,-0.00565565
-171.728000,-0.00565539
-171.678000,-0.00565578
-171.628000,-0.00565676
-171.578000,-0.00565833
-171.528000,-0.00566037
-171.478000,-0.00566344
-171.428000,-0.00566688
-171.378000,-0.00567102
-171.328000,-0.00567578
-171.278000,-0.00568056
-171.228000,-0.00568619
-171.178000,-0.00569234
-171.128000,-0.00569870
-171.078000,-0.00570498
-171.028000,-0.00571201
