time,displacement
-179.978000,-0.00245807
-179.928000,-0.00245756
-179.878000,-0.00245696
-179.828000,-0.00245630
-179.778000,-0.00245558
-179.728000,-0.00245479
-179.678000,-0.00245396
-179.628000,-0.00245309
-179.578000,-0.00245217
-179.528000,-0.00245123
-179.478000,-0.00245030
-179.428000,-0.00244937
-179.378000,-0.00244845
-179.328000,-0.00244758
-179.278000,-0.00244675
-179.228000,-0.00244601
-179.178000,-0.00244539
-179.128000,-0.00244486
-179.078000,-0.00244441
-179.028000,-0.00244402
-178.978000,-0.00244367
-178.928000,-0.00244339
-178.878000,-0.00244320
-178.828000,-0.00244303
-178.778000,-0.00244286
-178.728000,-0.00244268
-178.678000,-0.00244255
-178.628000,-0.00244246
-178.578000,-0.00244221
-178.528000,-0.00244183
-178.478000,-0.00244132
-178.428000,-0.00244073
-178.378000,-0.00244012
-178.328000,-0.00243932
-178.278000,-0.00243828
-178.228000,-0.00243705
-178.178000,-0.00243564
-178.128000,-0.00243402
-178.078000,-0.00243214
-178.028000,-0.00243002
-177.978000,-0.00242770
-177.928000,-0.00242516
-177.878000,-0.00242240
-177.828000,-0.00241949
-177.778000,-0.00241645
-177.728000,-0.00241342
-177.678000,-0.00241033
-177.628000,-0.00240699
-177.578000,-0.00240353
-177.528000,-0.00239995
-177.478000,-0.00239642
-177.428000,-0.00239305
-177.378000,-0.00238964
-177.328000,-0.00238615
-177.278000,-0.00238275
-177.228000,-0.00237948
-177.178000,-0.00237604
-177.128000,-0.00237256
-177.078000,-0.00236911
-177.028000,-0.00236571
-176.978000,-0.00236258
-176.928000,-0.00235943
-176.878000,-0.00235621
-176.828000,-0.00235293
-176.778000,-0.00234960
-176.728000,-0.00234649
-176.678000,-0.00234340
-176.628000,-0.00234014
-176.578000,-0.00233677
-176.528000,-0.00233357
-176.478000,-0.00233056
-176.428000,-0.00232772
-176.378000,-0.00232519
-176.328000,-0.00232266
-176.278000,-0.00232035
-176.228000,-0.00231839
-176.178000,-0.00231653
-176.128000,-0.00231488
-176.078000,-0.00231336
-176.028000,-0.00231242
-175.978000,-0.00231205
-175.928000,-0.00231181
-175.878000,-0.00231186
-175.828000,-0.00231205
-175.778000,-0.00231273
-175.728000,-0.00231373
-175.678000,-0.00231446
-175.628000,-0.00231503
-175.578000,-0.00231539
-175.528000,-0.00231590
-175.478000,-0.00231664
-175.428000,-0.00231706
-175.378000,-0.00231711
-175.328000,-0.00231708
-175.278000,-0.00231705
-175.228000,-0.00231683
-175.178000,-0.00231675
-175.128000,-0.00231677
-175.078000,-0.00231661
-175.028000,-0.00231655
-174.978000,-0.00231665
-174.928000,-0.00231709
-174.878000,-0.00231770
-174.828000,-0.00231822
-174.778000,-0.00231864
-174.728000,-0.00231907
-174.678000,-0.00231946
-174.628000,-0.00231931
-174.578000,-0.00231891
-174.528000,-0.00231855
-174.478000,-0.00231823
-174.428000,-0.00231799
-174.378000,-0.00231731
-174.328000,-0.00231632
-174.278000,-0.00231507
-174.228000,-0.00231372
-174.178000,-0.00231250
-174.128000,-0.00231099
-174.078000,-0.00230908
-174.028000,-0.00230660
-173.978000,-0.00230382
-173.928000,-0.00230092
-173.878000,-0.00229745
-173.828000,-0.00229327
-173.778000,-0.00228858
-173.728000,-0.00228376
-173.678000,-0.00227879
-173.628000,-0.00227375
-173.578000,-0.00226842
-173.528000,-0.00226261
-173.478000,-0.00225667
-173.428000,-0.00225055
-173.378000,-0.00224432
-173.328000,-0.00223789
-173.278000,-0.00223132
-173.228000,-0.00222462
-173.178000,-0.00221726
-173.128000,-0.00220928
-173.078000,-0.00220089
-173.028000,-0.00219225
-172.978000,-0.00218337
-172.928000,-0.00217408
-172.878000,-0.00216455
-172.828000,-0.00215501
-172.778000,-0.00214567
-172.728000,-0.00213635
-172.678000,-0.00212699
-172.628000,-0.00211816
-172.578000,-0.00210987
-172.528000,-0.00210162
-172.478000,-0.00209391
-172.428000,-0.00208670
-172.378000,-0.00207948
-172.328000,-0.00207272
-172.278000,-0.00206604
-172.228000,-0.00205951
-172.178000,-0.00205352
-172.128000,-0.00204763
-172.078000,-0.00204216
-172.028000,-0.00203685
-171.978000,-0.00203151
-171.928000,-0.00202692
-171.878000,-0.00202307
-171.828000,-0.00201967
-171.778000,-0.00201649
-171.728000,-0.00201386
-171.678000,-0.00201204
-171.628000,-0.00201022
-171.578000,-0.00200820
-171.528000,-0.00200625
-171.478000,-0.00200396
-171.428000,-0.00200117
-171.378000,-0.00199839
-171.328000,-0.00199561
-171.278000,-0.00199258
-171.228000,-0.00198919
-171.178000,-0.00198523
-171.128000,-0.00198129
-171.078000,-0.00197730
-171.028000,-0.00197239
-170.978000,-0.00196714
-170.928000,-0.00196211
-170.878000,-0.00195708
-170.828000,-0.00195169
-170.778000,-0.00194624
-170.728000,-0.00194109
-170.678000,-0.00193585
-170.628000,-0.00193055
-170.578000,-0.00192540
-170.528000,-0.00192063
-170.478000,-0.00191574
-170.428000,-0.00191044
-170.378000,-0.00190532
-170.328000,-0.00189985
-170.278000,-0.00189435
-170.228000,-0.00188901
-170.178000,-0.00188338
-170.128000,-0.00187789
-170.078000,-0.00187246
-170.028000,-0.00186695
-169.978000,-0.00186073
-169.928000,-0.00185390
-169.878000,-0.00184694
-169.828000,-0.00183889
-169.778000,-0.00183013
-169.728000,-0.00182099
-169.678000,-0.00181105
-169.628000,-0.00180031
-169.578000,-0.00178888
-169.528000,-0.00177757
-169.478000,-0.00176636
-169.428000,-0.00175483
-169.378000,-0.00174329
-169.328000,-0.00173223
-169.278000,-0.00172142
-169.228000,-0.00171072
