time,displacement
-179.980000,-0.00198712
-179.930000,-0.00198431
-179.880000,-0.00198153
-179.830000,-0.00197884
-179.780000,-0.00197618
-179.730000,-0.00197356
-179.680000,-0.00197099
-179.630000,-0.00196842
-179.580000,-0.00196582
-179.530000,-0.00196308
-179.480000,-0.00196021
-179.430000,-0.00195718
-179.380000,-0.00195398
-179.330000,-0.00195071
-179.280000,-0.00194730
-179.230000,-0.00194378
-179.180000,-0.00194020
-179.130000,-0.00193647
-179.080000,-0.00193249
-179.030000,-0.00192828
-178.980000,-0.00192396
-178.930000,-0.00191948
-178.880000,-0.00191504
-178.830000,-0.00191079
-178.780000,-0.00190659
-178.730000,-0.00190240
-178.680000,-0.00189831
-178.630000,-0.00189460
-178.580000,-0.00189120
-178.530000,-0.00188824
-178.480000,-0.00188578
-178.430000,-0.00188329
-178.380000,-0.00188085
-178.330000,-0.00187874
-178.280000,-0.00187710
-178.230000,-0.00187582
-178.180000,-0.00187466
-178.130000,-0.00187369
-178.080000,-0.00187281
-178.030000,-0.00187202
-177.980000,-0.00187163
-177.930000,-0.00187170
-177.880000,-0.00187217
-177.830000,-0.00187303
-177.780000,-0.00187432
-177.730000,-0.00187563
-177.680000,-0.00187669
-177.630000,-0.00187771
-177.580000,-0.00187861
-177.530000,-0.00187906
-177.480000,-0.00187922
-177.430000,-0.00187909
-177.380000,-0.00187868
-177.330000,-0.00187811
-177.280000,-0.00187701
-177.230000,-0.00187547
-177.180000,-0.00187381
-177.130000,-0.00187196
-177.080000,-0.00186993
-177.030000,-0.00186780
-176.980000,-0.00186573
-176.930000,-0.00186362
-176.880000,-0.00186129
-176.830000,-0.00185884
-176.780000,-0.00185639
-176.730000,-0.00185361
-176.680000,-0.00185048
-176.630000,-0.00184742
-176.580000,-0.00184463
-176.530000,-0.00184212
-176.480000,-0.00183997
-176.430000,-0.00183850
-176.380000,-0.00183740
-176.330000,-0.00183656
-176.280000,-0.00183667
-176.230000,-0.00183726
-176.180000,-0.00183808
-176.130000,-0.00183921
-176.080000,-0.00183993
-176.030000,-0.00184018
-175.980000,-0.00183983
-175.930000,-0.00183853
-175.880000,-0.00183653
-175.830000,-0.00183343
-175.780000,-0.00182883
-175.730000,-0.00182291
-175.680000,-0.00181550
-175.630000,-0.00180653
-175.580000,-0.00179653
-175.530000,-0.00178554
-175.480000,-0.00177357
-175.430000,-0.00176115
-175.380000,-0.00174839
-175.330000,-0.00173480
-175.280000,-0.00172020
-175.230000,-0.00170567
-175.180000,-0.00169156
-175.130000,-0.00167726
-175.080000,-0.00166268
-175.030000,-0.00164797
-174.980000,-0.00163384
-174.930000,-0.00162031
-174.880000,-0.00160719
-174.830000,-0.00159502
-174.780000,-0.00158421
-174.730000,-0.00157455
-174.680000,-0.00156579
-174.630000,-0.00155859
-174.580000,-0.00155308
-174.530000,-0.00154918
-174.480000,-0.00154702
-174.430000,-0.00154646
-174.380000,-0.00154731
-174.330000,-0.00154861
-174.280000,-0.00155041
-174.230000,-0.00155322
-174.180000,-0.00155621
-174.130000,-0.00155965
-174.080000,-0.00156399
-174.030000,-0.00156829
-173.980000,-0.00157331
-173.930000,-0.00158019
-173.880000,-0.00158808
-173.830000,-0.00159695
-173.780000,-0.00160723
-173.730000,-0.00161855
-173.680000,-0.00162997
-173.630000,-0.00164141
-173.580000,-0.00165315
-173.530000,-0.00166391
-173.480000,-0.00167353
-173.430000,-0.00168152
-173.380000,-0.00168640
-173.330000,-0.00168919
-173.280000,-0.00169105
-173.230000,-0.00169171
-173.180000,-0.00169154
-173.130000,-0.00169174
-173.080000,-0.00169243
-173.030000,-0.00169265
-172.980000,-0.00169294
-172.930000,-0.00169468
-172.880000,-0.00169738
-172.830000,-0.00170038
-172.780000,-0.00170372
-172.730000,-0.00170718
-172.680000,-0.00171071
-172.630000,-0.00171334
-172.580000,-0.00171410
-172.530000,-0.00171247
-172.480000,-0.00170817
-172.430000,-0.00170150
-172.380000,-0.00169129
-172.330000,-0.00167692
-172.280000,-0.00165999
-172.230000,-0.00164085
-172.180000,-0.00161963
-172.130000,-0.00159801
-172.080000,-0.00157652
-172.030000,-0.00155540
-171.980000,-0.00153549
-171.930000,-0.00151644
-171.880000,-0.00149788
-171.830000,-0.00148115
-171.780000,-0.00146708
-171.730000,-0.00145481
-171.680000,-0.00144426
-171.630000,-0.00143616
-171.580000,-0.00143048
-171.530000,-0.00142730
-171.480000,-0.00142679
-171.430000,-0.00142816
-171.380000,-0.00143109
-171.330000,-0.00143512
