time,displacement
-179.980000,-0.00309128
-179.930000,-0.00309531
-179.880000,-0.00309938
-179.830000,-0.00310350
-179.780000,-0.00310760
-179.730000,-0.00311171
-179.680000,-0.00311585
-179.630000,-0.00311999
-179.580000,-0.00312415
-179.530000,-0.00312835
-179.480000,-0.00313263
-179.430000,-0.00313698
-179.380000,-0.00314136
-179.330000,-0.00314570
-179.280000,-0.00314999
-179.230000,-0.00315419
-179.180000,-0.00315815
-179.130000,-0.00316169
-179.080000,-0.00316476
-179.030000,-0.00316747
-178.980000,-0.00316978
-178.930000,-0.00317177
-178.880000,-0.00317357
-178.830000,-0.00317511
-178.780000,-0.00317647
-178.730000,-0.00317783
-178.680000,-0.00317923
-178.630000,-0.00318076
-178.580000,-0.00318245
-178.530000,-0.00318427
-178.480000,-0.00318620
-178.430000,-0.00318818
-178.380000,-0.00319001
-178.330000,-0.00319172
-178.280000,-0.00319340
-178.230000,-0.00319477
-178.180000,-0.00319583
-178.130000,-0.00319670
-178.080000,-0.00319744
-178.030000,-0.00319845
-177.980000,-0.00319991
-177.930000,-0.00320179
-177.880000,-0.00320438
-177.830000,-0.00320780
-177.780000,-0.00321210
-177.730000,-0.00321751
-177.680000,-0.00322400
-177.630000,-0.00323144
-177.580000,-0.00323952
-177.530000,-0.00324783
-177.480000,-0.00325622
-177.430000,-0.00326462
-177.380000,-0.00327329
-177.330000,-0.00328201
-177.280000,-0.00329019
-177.230000,-0.00329795
-177.180000,-0.00330538
-177.130000,-0.00331227
-177.080000,-0.00331821
-177.030000,-0.00332330
-176.980000,-0.00332779
-176.930000,-0.00333147
-176.880000,-0.00333470
-176.830000,-0.00333772
-176.780000,-0.00334062
-176.730000,-0.00334389
-176.680000,-0.00334742
-176.630000,-0.00335068
-176.580000,-0.00335394
-176.530000,-0.00335733
-176.480000,-0.00336027
-176.430000,-0.00336249
-176.380000,-0.00336371
-176.330000,-0.00336384
-176.280000,-0.00336320
-176.230000,-0.00336208
-176.180000,-0.00336046
-176.130000,-0.00335813
-176.080000,-0.00335519
-176.030000,-0.00335175
-175.980000,-0.00334802
-175.930000,-0.00334390
-175.880000,-0.00333930
-175.830000,-0.00333420
-175.780000,-0.00332795
-175.730000,-0.00332078
-175.680000,-0.00331354
-175.630000,-0.00330616
-175.580000,-0.00329863
-175.530000,-0.00329175
-175.480000,-0.00328610
-175.430000,-0.00328170
-175.380000,-0.00327858
-175.330000,-0.00327696
-175.280000,-0.00327684
-175.230000,-0.00327811
-175.180000,-0.00328101
-175.130000,-0.00328514
-175.080000,-0.00328979
-175.030000,-0.00329485
-174.980000,-0.00329989
-174.930000,-0.00330471
-174.880000,-0.00330929
-174.830000,-0.00331347
-174.780000,-0.00331770
-174.730000,-0.00332220
-174.680000,-0.00332687
-174.630000,-0.00333180
-174.580000,-0.00333710
-174.530000,-0.00334266
-174.480000,-0.00334862
-174.430000,-0.00335520
-174.380000,-0.00336253
-174.330000,-0.00337034
-174.280000,-0.00337832
-174.230000,-0.00338727
-174.180000,-0.00339685
-174.130000,-0.00340672
-174.080000,-0.00341720
-174.030000,-0.00342726
-173.980000,-0.00343683
-173.930000,-0.00344622
-173.880000,-0.00345514
-173.830000,-0.00346308
-173.780000,-0.00347038
-173.730000,-0.00347737
-173.680000,-0.00348314
-173.630000,-0.00348769
-173.580000,-0.00349055
-173.530000,-0.00349229
-173.480000,-0.00349390
-173.430000,-0.00349454
-173.380000,-0.00349407
-173.330000,-0.00349259
-173.280000,-0.00349146
-173.230000,-0.00349202
-173.180000,-0.00349470
-173.130000,-0.00349985
-173.080000,-0.00350692
-173.030000,-0.00351565
-172.980000,-0.00352580
-172.930000,-0.00353827
-172.880000,-0.00355249
-172.830000,-0.00356710
-172.780000,-0.00358220
-172.730000,-0.00359645
-172.680000,-0.00360954
-172.630000,-0.00362112
-172.580000,-0.00363044
-172.530000,-0.00363776
-172.480000,-0.00364242
-172.430000,-0.00364469
-172.380000,-0.00364358
-172.330000,-0.00363804
-172.280000,-0.00362892
-172.230000,-0.00361637
-172.180000,-0.00360122
-172.130000,-0.00358393
-172.080000,-0.00356519
-172.030000,-0.00354607
-171.980000,-0.00352712
-171.930000,-0.00350945
-171.880000,-0.00349236
-171.830000,-0.00347614
-171.780000,-0.00346176
-171.730000,-0.00344905
-171.680000,-0.00343856
-171.630000,-0.00343008
-171.580000,-0.00342454
-171.530000,-0.00342246
-171.480000,-0.00342299
-171.430000,-0.00342589
-171.380000,-0.00342995
-171.330000,-0.00343548
-171.280000,-0.00344279
-171.230000,-0.00345146
-171.180000,-0.00346224
-171.130000,-0.00347441
-171.080000,-0.00348781
-171.030000,-0.00350351
-170.980000,-0.00352142
-170.930000,-0.00354107
