time,displacement
-179.980000,-0.00127163
-179.930000,-0.00126611
-179.880000,-0.00126064
-179.830000,-0.00125527
-179.780000,-0.00124997
-179.730000,-0.00124474
-179.680000,-0.00123952
-179.630000,-0.00123427
-179.580000,-0.00122895
-179.530000,-0.00122354
-179.480000,-0.00121806
-179.430000,-0.00121245
-179.380000,-0.00120661
-179.330000,-0.00120050
-179.280000,-0.00119406
-179.230000,-0.00118723
-179.180000,-0.00118002
-179.130000,-0.00117247
-179.080000,-0.00116462
-179.030000,-0.00115649
-178.980000,-0.00114792
-178.930000,-0.00113908
-178.880000,-0.00113007
-178.830000,-0.00112104
-178.780000,-0.00111217
-178.730000,-0.00110346
-178.680000,-0.00109499
-178.630000,-0.00108686
-178.580000,-0.00107931
-178.530000,-0.00107227
-178.480000,-0.00106574
-178.430000,-0.00105993
-178.380000,-0.00105476
-178.330000,-0.00105037
-178.280000,-0.00104663
-178.230000,-0.00104349
-178.180000,-0.00104108
-178.130000,-0.00103919
-178.080000,-0.00103769
-178.030000,-0.00103650
-177.980000,-0.00103549
-177.930000,-0.00103433
-177.880000,-0.00103302
-177.830000,-0.00103157
-177.780000,-0.00102989
-177.730000,-0.00102809
-177.680000,-0.00102603
-177.630000,-0.00102362
-177.580000,-0.00102098
-177.530000,-0.00101819
-177.480000,-0.00101517
-177.430000,-0.00101190
-177.380000,-0.00100830
-177.330000,-0.00100408
-177.280000,-0.00099922
-177.230000,-0.00099353
-177.180000,-0.00098699
-177.130000,-0.00097988
-177.080000,-0.00097227
-177.030000,-0.00096430
-176.980000,-0.00095585
-176.930000,-0.00094659
-176.880000,-0.00093663
-176.830000,-0.00092618
-176.780000,-0.00091525
-176.730000,-0.00090401
-176.680000,-0.00089289
-176.630000,-0.00088161
-176.580000,-0.00087006
-176.530000,-0.00085857
-176.480000,-0.00084687
-176.430000,-0.00083531
-176.380000,-0.00082430
-176.330000,-0.00081370
-176.280000,-0.00080392
-176.230000,-0.00079487
-176.180000,-0.00078642
-176.130000,-0.00077883
-176.080000,-0.00077190
-176.030000,-0.00076556
-175.980000,-0.00075984
-175.930000,-0.00075485
-175.880000,-0.00075054
-175.830000,-0.00074673
-175.780000,-0.00074387
-175.730000,-0.00074184
-175.680000,-0.00074012
-175.630000,-0.00073858
-175.580000,-0.00073672
-175.530000,-0.00073430
-175.480000,-0.00073168
-175.430000,-0.00072880
-175.380000,-0.00072553
-175.330000,-0.00072186
-175.280000,-0.00071760
-175.230000,-0.00071293
-175.180000,-0.00070825
-175.130000,-0.00070385
-175.080000,-0.00069959
-175.030000,-0.00069498
-174.980000,-0.00069011
-174.930000,-0.00068489
-174.880000,-0.00067958
-174.830000,-0.00067436
-174.780000,-0.00066859
-174.730000,-0.00066212
-174.680000,-0.00065481
-174.630000,-0.00064674
-174.580000,-0.00063842
-174.530000,-0.00062988
-174.480000,-0.00062158
-174.430000,-0.00061368
-174.380000,-0.00060628
-174.330000,-0.00059969
-174.280000,-0.00059368
-174.230000,-0.00058830
-174.180000,-0.00058335
-174.130000,-0.00057892
-174.080000,-0.00057525
-174.030000,-0.00057193
-173.980000,-0.00056869
-173.930000,-0.00056508
-173.880000,-0.00056138
-173.830000,-0.00055705
-173.780000,-0.00055122
-173.730000,-0.00054387
-173.680000,-0.00053457
-173.630000,-0.00052363
-173.580000,-0.00051103
-173.530000,-0.00049711
-173.480000,-0.00048180
-173.430000,-0.00046478
-173.380000,-0.00044691
-173.330000,-0.00042799
-173.280000,-0.00040912
-173.230000,-0.00039168
-173.180000,-0.00037588
-173.130000,-0.00036286
-173.080000,-0.00035299
-173.030000,-0.00034612
-172.980000,-0.00034241
