time,displacement
-179.970000,0.00011469
-179.920000,0.00010798
-179.870000,0.00010131
-179.820000,0.00009468
-179.770000,0.00008811
-179.720000,0.00008158
-179.670000,0.00007511
-179.620000,0.00006869
-179.570000,0.00006233
-179.520000,0.00005601
-179.470000,0.00004972
-179.420000,0.00004348
-179.370000,0.00003731
-179.320000,0.00003120
-179.270000,0.00002511
-179.220000,0.00001902
-179.170000,0.00001294
-179.120000,0.00000690
-179.070000,0.00000090
-179.020000,-0.00000513
-178.970000,-0.00001120
-178.920000,-0.00001729
-178.870000,-0.00002337
-178.820000,-0.00002940
-178.770000,-0.00003547
-178.720000,-0.00004163
-178.670000,-0.00004784
-178.620000,-0.00005409
-178.570000,-0.00006041
-178.520000,-0.00006680
-178.470000,-0.00007318
-178.420000,-0.00007958
-178.370000,-0.00008604
-178.320000,-0.00009258
-178.270000,-0.00009921
-178.220000,-0.00010583
-178.170000,-0.00011243
-178.120000,-0.00011908
-178.070000,-0.00012586
-178.020000,-0.00013280
-177.970000,-0.00013980
-177.920000,-0.00014679
-177.870000,-0.00015386
-177.820000,-0.00016104
-177.770000,-0.00016823
-177.720000,-0.00017540
-177.670000,-0.00018266
-177.620000,-0.00019011
-177.570000,-0.00019762
-177.520000,-0.00020499
-177.470000,-0.00021222
-177.420000,-0.00021951
-177.370000,-0.00022705
-177.320000,-0.00023480
-177.270000,-0.00024251
-177.220000,-0.00025012
-177.170000,-0.00025769
-177.120000,-0.00026525
-177.070000,-0.00027288
-177.020000,-0.00028053
-176.970000,-0.00028814
-176.920000,-0.00029576
-176.870000,-0.00030343
-176.820000,-0.00031115
-176.770000,-0.00031887
-176.720000,-0.00032664
-176.670000,-0.00033447
-176.620000,-0.00034217
-176.570000,-0.00034969
-176.520000,-0.00035706
-176.470000,-0.00036439
-176.420000,-0.00037175
-176.370000,-0.00037905
-176.320000,-0.00038618
-176.270000,-0.00039313
-176.220000,-0.00039980
-176.170000,-0.00040626
-176.120000,-0.00041272
-176.070000,-0.00041911
-176.020000,-0.00042522
-175.970000,-0.00043082
-175.920000,-0.00043600
-175.870000,-0.00044093
-175.820000,-0.00044566
-175.770000,-0.00045021
-175.720000,-0.00045424
-175.670000,-0.00045765
-175.620000,-0.00046098
-175.570000,-0.00046434
-175.520000,-0.00046750
-175.470000,-0.00047030
-175.420000,-0.00047270
-175.370000,-0.00047488
-175.320000,-0.00047690
-175.270000,-0.00047873
-175.220000,-0.00048038
-175.170000,-0.00048193
-175.120000,-0.00048355
-175.070000,-0.00048525
-175.020000,-0.00048682
-174.970000,-0.00048816
-174.920000,-0.00048953
-174.870000,-0.00049127
-174.820000,-0.00049330
-174.770000,-0.00049533
-174.720000,-0.00049727
-174.670000,-0.00049914
-174.620000,-0.00050114
-174.570000,-0.00050335
-174.520000,-0.00050561
-174.470000,-0.00050797
-174.420000,-0.00051044
-174.370000,-0.00051296
-174.320000,-0.00051563
-174.270000,-0.00051862
-174.220000,-0.00052199
-174.170000,-0.00052556
-174.120000,-0.00052922
-174.070000,-0.00053322
-174.020000,-0.00053777
-173.970000,-0.00054274
-173.920000,-0.00054788
-173.870000,-0.00055312
-173.820000,-0.00055873
-173.770000,-0.00056479
-173.720000,-0.00057102
-173.670000,-0.00057734
-173.620000,-0.00058372
-173.570000,-0.00059031
-173.520000,-0.00059729
-173.470000,-0.00060475
-173.420000,-0.00061272
-173.370000,-0.00062083
-173.320000,-0.00062875
-173.270000,-0.00063646
-173.220000,-0.00064433
-173.170000,-0.00065276
-173.120000,-0.00066142
-173.070000,-0.00066985
-173.020000,-0.00067796
-172.970000,-0.00068600
-172.920000,-0.00069408
-172.870000,-0.00070190
-172.820000,-0.00070916
-172.770000,-0.00071582
-172.720000,-0.00072228
-172.670000,-0.00072901
-172.620000,-0.00073554
-172.570000,-0.00074104
-172.520000,-0.00074564
-172.470000,-0.00075023
-172.420000,-0.00075524
-172.370000,-0.00076036
-172.320000,-0.00076494
-172.270000,-0.00076853
-172.220000,-0.00077148
-172.170000,-0.00077445
-172.120000,-0.00077768
-172.070000,-0.00078079
-172.020000,-0.00078352
-171.970000,-0.00078634
-171.920000,-0.00078964
-171.870000,-0.00079322
-171.820000,-0.00079651
-171.770000,-0.00079941
-171.720000,-0.00080249
-171.670000,-0.00080581
-171.620000,-0.00080892
-171.570000,-0.00081161
-171.520000,-0.00081418
-171.470000,-0.00081712
-171.420000,-0.00082038
-171.370000,-0.00082391
-171.320000,-0.00082767
-171.270000,-0.00083144
-171.220000,-0.00083501
-171.170000,-0.00083843
-171.120000,-0.00084189
-171.070000,-0.00084538
-171.020000,-0.00084907
-170.970000,-0.00085315
-170.920000,-0.00085752
-170.870000,-0.00086176
-170.820000,-0.00086534
-170.770000,-0.00086832
-170.720000,-0.00087098
-170.670000,-0.00087347
-170.620000,-0.00087573
-170.570000,-0.00087801
-170.520000,-0.00088029
-170.470000,-0.00088146
-170.420000,-0.00088161
-170.370000,-0.00088187
-170.320000,-0.00088217
-170.270000,-0.00088224
-170.220000,-0.00088230
-170.170000,-0.00088226
-170.120000,-0.00088184
-170.070000,-0.00088135
-170.020000,-0.00088088
-169.970000,-0.00088012
-169.920000,-0.00087900
-169.870000,-0.00087748
-169.820000,-0.00087653
-169.770000,-0.00087668
-169.720000,-0.00087682
-169.670000,-0.00087665
-169.620000,-0.00087690
-169.570000,-0.00087791
-169.520000,-0.00087939
-169.470000,-0.00088137
-169.420000,-0.00088408
-169.370000,-0.00088657
-169.320000,-0.00088859
-169.270000,-0.00089148
-169.220000,-0.00089531
-169.170000,-0.00089935
-169.120000,-0.00090340
-169.070000,-0.00090769
-169.020000,-0.00091294
-168.970000,-0.00091916
-168.920000,-0.00092541
-168.870000,-0.00093122
-168.820000,-0.00093737
-168.770000,-0.00094444
-168.720000,-0.00095195
-168.670000,-0.00095950
-168.620000,-0.00096684
-168.570000,-0.00097406
-168.520000,-0.00098146
-168.470000,-0.00098896
-168.420000,-0.00099615
-168.370000,-0.00100305
-168.320000,-0.00101032
-168.270000,-0.00101795
-168.220000,-0.00102549
-168.170000,-0.00103233
-168.120000,-0.00103807
-168.070000,-0.00104355
-168.020000,-0.00104938
-167.970000,-0.00105538
-167.920000,-0.00106100
-167.870000,-0.00106609
-167.820000,-0.00107087
-167.770000,-0.00107525
-167.720000,-0.00107950
-167.670000,-0.00108350
-167.620000,-0.00108659
-167.570000,-0.00108879
-167.520000,-0.00109097
-167.470000,-0.00109366
-167.420000,-0.00109627
-167.370000,-0.00109809
-167.320000,-0.00109896
-167.270000,-0.00109971
-167.220000,-0.00110087
-167.170000,-0.00110209
-167.120000,-0.00110323
-167.070000,-0.00110346
-167.020000,-0.00110281
-166.970000,-0.00110283
-166.920000,-0.00110415
-166.870000,-0.00110633
-166.820000,-0.00110827
-166.770000,-0.00110929
-166.720000,-0.00110948
-166.670000,-0.00110943
-166.620000,-0.00110958
-166.570000,-0.00111013
-166.520000,-0.00111189
-166.470000,-0.00111459
-166.420000,-0.00111713
-166.370000,-0.00111911
-166.320000,-0.00112059
-166.270000,-0.00112250
-166.220000,-0.00112502
-166.170000,-0.00112773
-166.120000,-0.00113028
-166.070000,-0.00113186
-166.020000,-0.00113280
-165.970000,-0.00113377
-165.920000,-0.00113463
-165.870000,-0.00113575
-165.820000,-0.00113736
-165.770000,-0.00113909
-165.720000,-0.00114018
-165.670000,-0.00114035
-165.620000,-0.00114077
-165.570000,-0.00114180
-165.520000,-0.00114255
-165.470000,-0.00114273
-165.420000,-0.00114236
-165.370000,-0.00114194
-165.320000,-0.00114231
-165.270000,-0.00114227
-165.220000,-0.00114113
-165.170000,-0.00114034
-165.120000,-0.00114015
-165.070000,-0.00113970
-165.020000,-0.00113829
-164.970000,-0.00113624
-164.920000,-0.00113453
-164.870000,-0.00113319
-164.820000,-0.00113185
-164.770000,-0.00113027
-164.720000,-0.00112822
-164.670000,-0.00112540
-164.620000,-0.00112226
-164.570000,-0.00112009
-164.520000,-0.00111929
-164.470000,-0.00111868
-164.420000,-0.00111668
-164.370000,-0.00111368
-164.320000,-0.00111156
-164.270000,-0.00111093
-164.220000,-0.00111070
-164.170000,-0.00111024
-164.120000,-0.00111031
-164.070000,-0.00111145
-164.020000,-0.00111315
-163.970000,-0.00111416
-163.920000,-0.00111432
-163.870000,-0.00111486
-163.820000,-0.00111657
-163.770000,-0.00111911
-163.720000,-0.00112156
-163.670000,-0.00112375
-163.620000,-0.00112651
-163.570000,-0.00113042
-163.520000,-0.00113466
-163.470000,-0.00113842
-163.420000,-0.00114245
-163.370000,-0.00114704
-163.320000,-0.00115213
-163.270000,-0.00115803
-163.220000,-0.00116396
-163.170000,-0.00116930
-163.120000,-0.00117410
-163.070000,-0.00117889
-163.020000,-0.00118457
-162.970000,-0.00119088
-162.920000,-0.00119665
-162.870000,-0.00120207
-162.820000,-0.00120838
-162.770000,-0.00121503
-162.720000,-0.00122017
-162.670000,-0.00122377
-162.620000,-0.00122702
-162.570000,-0.00123057
-162.520000,-0.00123404
-162.470000,-0.00123692
-162.420000,-0.00123911
-162.370000,-0.00124072
-162.320000,-0.00124199
-162.270000,-0.00124238
-162.220000,-0.00124164
-162.170000,-0.00124063
-162.120000,-0.00123995
-162.070000,-0.00123927
-162.020000,-0.00123796
-161.970000,-0.00123599
-161.920000,-0.00123375
-161.870000,-0.00123206
-161.820000,-0.00123070
-161.770000,-0.00122904
-161.720000,-0.00122792
-161.670000,-0.00122754
-161.620000,-0.00122738
-161.570000,-0.00122677
-161.520000,-0.00122502
-161.470000,-0.00122312
-161.420000,-0.00122171
-161.370000,-0.00122080
-161.320000,-0.00122051
-161.270000,-0.00121970
-161.220000,-0.00121801
-161.170000,-0.00121622
-161.120000,-0.00121464
-161.070000,-0.00121341
-161.020000,-0.00121197
-160.970000,-0.00121020
-160.920000,-0.00120859
-160.870000,-0.00120743
-160.820000,-0.00120705
-160.770000,-0.00120706
-160.720000,-0.00120724
-160.670000,-0.00120755
-160.620000,-0.00120696
-160.570000,-0.00120585
-160.520000,-0.00120593
-160.470000,-0.00120690
-160.420000,-0.00120769
-160.370000,-0.00120866
-160.320000,-0.00120991
-160.270000,-0.00121089
-160.220000,-0.00121148
-160.170000,-0.00121257
-160.120000,-0.00121468
-160.070000,-0.00121679
-160.020000,-0.00121879
-159.970000,-0.00122084
-159.920000,-0.00122260
-159.870000,-0.00122405
-159.820000,-0.00122475
-159.770000,-0.00122575
-159.720000,-0.00122788
-159.670000,-0.00123014
-159.620000,-0.00123203
-159.570000,-0.00123322
-159.520000,-0.00123368
-159.470000,-0.00123370
-159.420000,-0.00123346
-159.370000,-0.00123378
-159.320000,-0.00123458
-159.270000,-0.00123464
