time,displacement
-179.954000,-0.00010515
-179.904000,-0.00010418
-179.854000,-0.00010327
-179.804000,-0.00010245
-179.754000,-0.00010168
-179.704000,-0.00010099
-179.654000,-0.00010036
-179.604000,-0.00009972
-179.554000,-0.00009916
-179.504000,-0.00009862
-179.454000,-0.00009812
-179.404000,-0.00009766
-179.354000,-0.00009710
-179.304000,-0.00009650
-179.254000,-0.00009579
-179.204000,-0.00009491
-179.154000,-0.00009401
-179.104000,-0.00009306
-179.054000,-0.00009211
-179.004000,-0.00009109
-178.954000,-0.00009001
-178.904000,-0.00008898
-178.854000,-0.00008779
-178.804000,-0.00008648
-178.754000,-0.00008518
-178.704000,-0.00008364
-178.654000,-0.00008178
-178.604000,-0.00007947
-178.554000,-0.00007676
-178.504000,-0.00007409
-178.454000,-0.00007125
-178.404000,-0.00006824
-178.354000,-0.00006516
-178.304000,-0.00006199
-178.254000,-0.00005909
-178.204000,-0.00005650
-178.154000,-0.00005382
-178.104000,-0.00005073
-178.054000,-0.00004752
-178.004000,-0.00004436
-177.954000,-0.00004101
-177.904000,-0.00003740
-177.854000,-0.00003344
-177.804000,-0.00002907
-177.754000,-0.00002445
-177.704000,-0.00001996
-177.654000,-0.00001569
-177.604000,-0.00001118
-177.554000,-0.00000667
-177.504000,-0.00000224
-177.454000,0.00000288
-177.404000,0.00000855
-177.354000,0.00001454
-177.304000,0.00002098
-177.254000,0.00002767
-177.204000,0.00003499
-177.154000,0.00004301
-177.104000,0.00005156
-177.054000,0.00006050
-177.004000,0.00006952
-176.954000,0.00007871
-176.904000,0.00008796
-176.854000,0.00009718
-176.804000,0.00010684
-176.754000,0.00011676
-176.704000,0.00012609
-176.654000,0.00013553
-176.604000,0.00014503
-176.554000,0.00015408
-176.504000,0.00016355
-176.454000,0.00017267
-176.404000,0.00018131
-176.354000,0.00018949
-176.304000,0.00019666
-176.254000,0.00020385
-176.204000,0.00021068
-176.154000,0.00021685
-176.104000,0.00022265
-176.054000,0.00022778
-176.004000,0.00023246
-175.954000,0.00023679
-175.904000,0.00024074
-175.854000,0.00024348
-175.804000,0.00024533
-175.754000,0.00024718
-175.704000,0.00024794
-175.654000,0.00024758
-175.604000,0.00024642
-175.554000,0.00024467
-175.504000,0.00024291
-175.454000,0.00024091
-175.404000,0.00023844
-175.354000,0.00023539
-175.304000,0.00023184
-175.254000,0.00022749
-175.204000,0.00022198
-175.154000,0.00021556
-175.104000,0.00020827
-175.054000,0.00020079
-175.004000,0.00019348
-174.954000,0.00018516
-174.904000,0.00017512
-174.854000,0.00016487
-174.804000,0.00015465
-174.754000,0.00014334
-174.704000,0.00013117
-174.654000,0.00011790
-174.604000,0.00010403
-174.554000,0.00008974
-174.504000,0.00007434
-174.454000,0.00005893
-174.404000,0.00004300
-174.354000,0.00002622
-174.304000,0.00001017
-174.254000,-0.00000672
-174.204000,-0.00002453
-174.154000,-0.00004144
-174.104000,-0.00005858
-174.054000,-0.00007487
-174.004000,-0.00008972
-173.954000,-0.00010394
-173.904000,-0.00011701
-173.854000,-0.00012915
-173.804000,-0.00014012
-173.754000,-0.00015084
-173.704000,-0.00016139
-173.654000,-0.00017150
-173.604000,-0.00018086
-173.554000,-0.00018895
-173.504000,-0.00019735
-173.454000,-0.00020485
-173.404000,-0.00021218
-173.354000,-0.00021948
-173.304000,-0.00022497
-173.254000,-0.00023118
-173.204000,-0.00023787
-173.154000,-0.00024510
-173.104000,-0.00025322
-173.054000,-0.00026091
-173.004000,-0.00026941
-172.954000,-0.00027852
-172.904000,-0.00028730
-172.854000,-0.00029445
-172.804000,-0.00029957
-172.754000,-0.00030410
-172.704000,-0.00030842
-172.654000,-0.00031342
-172.604000,-0.00031834
-172.554000,-0.00032215
-172.504000,-0.00032574
-172.454000,-0.00032865
-172.404000,-0.00033059
-172.354000,-0.00033088
-172.304000,-0.00032905
-172.254000,-0.00032627
-172.204000,-0.00032104
-172.154000,-0.00031320
-172.104000,-0.00030386
-172.054000,-0.00029099
-172.004000,-0.00027495
-171.954000,-0.00025620
-171.904000,-0.00023395
-171.854000,-0.00020964
-171.804000,-0.00018285
-171.754000,-0.00015405
-171.704000,-0.00012382
-171.654000,-0.00009136
-171.604000,-0.00005809
-171.554000,-0.00002348
-171.504000,0.00001187
-171.454000,0.00004739
-171.404000,0.00008492
-171.354000,0.00012409
-171.304000,0.00016383
-171.254000,0.00020168
-171.204000,0.00023838
-171.154000,0.00027558
-171.104000,0.00031235
-171.054000,0.00034866
-171.004000,0.00038297
-170.954000,0.00041658
-170.904000,0.00044977
-170.854000,0.00048095
-170.804000,0.00051100
-170.754000,0.00053862
-170.704000,0.00056403
-170.654000,0.00058950
-170.604000,0.00061546
-170.554000,0.00063999
-170.504000,0.00066261
-170.454000,0.00068372
-170.404000,0.00070463
-170.354000,0.00072764
-170.304000,0.00074918
-170.254000,0.00076926
-170.204000,0.00079118
-170.154000,0.00081132
-170.104000,0.00082791
-170.054000,0.00084274
-170.004000,0.00085547
-169.954000,0.00086531
-169.904000,0.00087388
-169.854000,0.00088075
-169.804000,0.00088421
-169.754000,0.00088701
-169.704000,0.00088932
-169.654000,0.00088885
-169.604000,0.00088570
-169.554000,0.00088013
-169.504000,0.00087463
-169.454000,0.00086865
-169.404000,0.00085914
-169.354000,0.00084820
-169.304000,0.00083524
-169.254000,0.00082032
-169.204000,0.00080581
-169.154000,0.00078861
-169.104000,0.00076845
-169.054000,0.00074692
-169.004000,0.00072347
-168.954000,0.00069865
-168.904000,0.00067373
-168.854000,0.00064960
-168.804000,0.00062502
-168.754000,0.00059950
-168.704000,0.00057362
-168.654000,0.00054804
-168.604000,0.00052161
-168.554000,0.00049410
-168.504000,0.00046663
-168.454000,0.00043747
-168.404000,0.00040747
-168.354000,0.00037618
-168.304000,0.00034336
-168.254000,0.00031032
-168.204000,0.00027593
-168.154000,0.00024027
-168.104000,0.00020191
-168.054000,0.00016343
-168.004000,0.00012623
-167.954000,0.00008743
-167.904000,0.00004842
-167.854000,0.00000839
-167.804000,-0.00003195
-167.754000,-0.00007109
-167.704000,-0.00011082
-167.654000,-0.00015005
-167.604000,-0.00018803
-167.554000,-0.00022664
-167.504000,-0.00026507
-167.454000,-0.00030270
-167.404000,-0.00034065
-167.354000,-0.00037532
-167.304000,-0.00040696
-167.254000,-0.00043768
-167.204000,-0.00046520
-167.154000,-0.00048990
-167.104000,-0.00051068
-167.054000,-0.00052799
-167.004000,-0.00054423
-166.954000,-0.00055962
-166.904000,-0.00057273
-166.854000,-0.00058078
-166.804000,-0.00058633
-166.754000,-0.00058969
-166.704000,-0.00058838
-166.654000,-0.00058481
-166.604000,-0.00057987
-166.554000,-0.00057452
-166.504000,-0.00056925
-166.454000,-0.00056159
-166.404000,-0.00055298
-166.354000,-0.00054473
-166.304000,-0.00053492
-166.254000,-0.00052569
-166.204000,-0.00051725
-166.154000,-0.00050647
-166.104000,-0.00049397
-166.054000,-0.00047975
-166.004000,-0.00046305
-165.954000,-0.00044178
-165.904000,-0.00041451
-165.854000,-0.00038416
-165.804000,-0.00035189
-165.754000,-0.00031770
-165.704000,-0.00028119
-165.654000,-0.00024127
-165.604000,-0.00019924
-165.554000,-0.00015719
-165.504000,-0.00011498
-165.454000,-0.00007090
-165.404000,-0.00002569
-165.354000,0.00002067
-165.304000,0.00007153
-165.254000,0.00012588
-165.204000,0.00018145
-165.154000,0.00023662
-165.104000,0.00029087
-165.054000,0.00034847
-165.004000,0.00040515
-164.954000,0.00045936
-164.904000,0.00051601
-164.854000,0.00057106
-164.804000,0.00062640
-164.754000,0.00068154
-164.704000,0.00073427
-164.654000,0.00078822
-164.604000,0.00084144
-164.554000,0.00089709
-164.504000,0.00095391
-164.454000,0.00100892
-164.404000,0.00106215
-164.354000,0.00111049
-164.304000,0.00115729
-164.254000,0.00119842
-164.204000,0.00123319
-164.154000,0.00126571
-164.104000,0.00129164
-164.054000,0.00131375
-164.004000,0.00133283
-163.954000,0.00134963
-163.904000,0.00136421
-163.854000,0.00137545
-163.804000,0.00138693
-163.754000,0.00139439
-163.704000,0.00139980
-163.654000,0.00140441
-163.604000,0.00140483
-163.554000,0.00140226
-163.504000,0.00139472
-163.454000,0.00138438
-163.404000,0.00137003
-163.354000,0.00135114
-163.304000,0.00132928
-163.254000,0.00130342
-163.204000,0.00127612
-163.154000,0.00124646
-163.104000,0.00121486
-163.054000,0.00118050
-163.004000,0.00114384
-162.954000,0.00110543
-162.904000,0.00106337
-162.854000,0.00102115
-162.804000,0.00097693
-162.754000,0.00092919
-162.704000,0.00088144
-162.654000,0.00083399
-162.604000,0.00078417
-162.554000,0.00073238
-162.504000,0.00068174
-162.454000,0.00063291
-162.404000,0.00058448
