time,displacement
-179.954000,-0.00005033
-179.904000,-0.00005249
-179.854000,-0.00005471
-179.804000,-0.00005695
-179.754000,-0.00005926
-179.704000,-0.00006161
-179.654000,-0.00006396
-179.604000,-0.00006635
-179.554000,-0.00006871
-179.504000,-0.00007107
-179.454000,-0.00007343
-179.404000,-0.00007573
-179.354000,-0.00007803
-179.304000,-0.00008029
-179.254000,-0.00008252
-179.204000,-0.00008472
-179.154000,-0.00008693
-179.104000,-0.00008902
-179.054000,-0.00009098
-179.004000,-0.00009305
-178.954000,-0.00009523
-178.904000,-0.00009735
-178.854000,-0.00009954
-178.804000,-0.00010189
-178.754000,-0.00010424
-178.704000,-0.00010661
-178.654000,-0.00010903
-178.604000,-0.00011138
-178.554000,-0.00011365
-178.504000,-0.00011602
-178.454000,-0.00011850
-178.404000,-0.00012108
-178.354000,-0.00012397
-178.304000,-0.00012685
-178.254000,-0.00012982
-178.204000,-0.00013320
-178.154000,-0.00013635
-178.104000,-0.00013925
-178.054000,-0.00014216
-178.004000,-0.00014490
-177.954000,-0.00014789
-177.904000,-0.00015143
-177.854000,-0.00015567
-177.804000,-0.00016040
-177.754000,-0.00016533
-177.704000,-0.00017057
-177.654000,-0.00017614
-177.604000,-0.00018171
-177.554000,-0.00018670
-177.504000,-0.00019144
-177.454000,-0.00019603
-177.404000,-0.00019975
-177.354000,-0.00020316
-177.304000,-0.00020635
-177.254000,-0.00020874
-177.204000,-0.00021071
-177.154000,-0.00021203
-177.104000,-0.00021250
-177.054000,-0.00021248
-177.004000,-0.00021188
-176.954000,-0.00021028
-176.904000,-0.00020802
-176.854000,-0.00020605
-176.804000,-0.00020321
-176.754000,-0.00019916
-176.704000,-0.00019581
-176.654000,-0.00019254
-176.604000,-0.00018926
-176.554000,-0.00018638
-176.504000,-0.00018286
-176.454000,-0.00017929
-176.404000,-0.00017607
-176.354000,-0.00017301
-176.304000,-0.00017026
-176.254000,-0.00016781
-176.204000,-0.00016556
-176.154000,-0.00016441
-176.104000,-0.00016495
-176.054000,-0.00016591
-176.004000,-0.00016810
-175.954000,-0.00017110
-175.904000,-0.00017393
-175.854000,-0.00017789
-175.804000,-0.00018156
-175.754000,-0.00018490
-175.704000,-0.00018824
-175.654000,-0.00019051
-175.604000,-0.00019262
-175.554000,-0.00019461
-175.504000,-0.00019640
-175.454000,-0.00019774
-175.404000,-0.00019900
-175.354000,-0.00020048
-175.304000,-0.00020056
-175.254000,-0.00020014
-175.204000,-0.00019973
-175.154000,-0.00019808
-175.104000,-0.00019538
-175.054000,-0.00019168
-175.004000,-0.00018738
-174.954000,-0.00018265
-174.904000,-0.00017772
-174.854000,-0.00017303
-174.804000,-0.00016725
-174.754000,-0.00016032
-174.704000,-0.00015365
-174.654000,-0.00014746
-174.604000,-0.00014016
-174.554000,-0.00013169
-174.504000,-0.00012404
-174.454000,-0.00011639
-174.404000,-0.00010825
-174.354000,-0.00010018
-174.304000,-0.00009196
-174.254000,-0.00008435
-174.204000,-0.00007775
-174.154000,-0.00007243
-174.104000,-0.00006738
-174.054000,-0.00006255
-174.004000,-0.00005905
-173.954000,-0.00005605
-173.904000,-0.00005417
-173.854000,-0.00005358
-173.804000,-0.00005362
-173.754000,-0.00005424
-173.704000,-0.00005494
-173.654000,-0.00005596
-173.604000,-0.00005844
-173.554000,-0.00006340
-173.504000,-0.00006908
-173.454000,-0.00007542
-173.404000,-0.00008343
-173.354000,-0.00009156
-173.304000,-0.00010044
-173.254000,-0.00010963
-173.204000,-0.00011944
-173.154000,-0.00013097
-173.104000,-0.00014320
-173.054000,-0.00015669
-173.004000,-0.00016984
