time,displacement
-179.954000,-0.00076133
-179.904000,-0.00075842
-179.854000,-0.00075550
-179.804000,-0.00075257
-179.754000,-0.00074965
-179.704000,-0.00074674
-179.654000,-0.00074379
-179.604000,-0.00074076
-179.554000,-0.00073766
-179.504000,-0.00073447
-179.454000,-0.00073117
-179.404000,-0.00072773
-179.354000,-0.00072410
-179.304000,-0.00072037
-179.254000,-0.00071658
-179.204000,-0.00071275
-179.154000,-0.00070891
-179.104000,-0.00070516
-179.054000,-0.00070155
-179.004000,-0.00069806
-178.954000,-0.00069467
-178.904000,-0.00069142
-178.854000,-0.00068838
-178.804000,-0.00068570
-178.754000,-0.00068345
-178.704000,-0.00068147
-178.654000,-0.00067948
-178.604000,-0.00067720
-178.554000,-0.00067455
-178.504000,-0.00067161
-178.454000,-0.00066863
-178.404000,-0.00066546
-178.354000,-0.00066197
-178.304000,-0.00065868
-178.254000,-0.00065581
-178.204000,-0.00065318
-178.154000,-0.00065097
-178.104000,-0.00064904
-178.054000,-0.00064718
-178.004000,-0.00064531
-177.954000,-0.00064315
-177.904000,-0.00064079
-177.854000,-0.00063803
-177.804000,-0.00063521
-177.754000,-0.00063278
-177.704000,-0.00063024
-177.654000,-0.00062792
-177.604000,-0.00062623
-177.554000,-0.00062527
-177.504000,-0.00062501
-177.454000,-0.00062505
-177.404000,-0.00062535
-177.354000,-0.00062562
-177.304000,-0.00062592
-177.254000,-0.00062624
-177.204000,-0.00062630
-177.154000,-0.00062629
-177.104000,-0.00062625
-177.054000,-0.00062624
-177.004000,-0.00062598
-176.954000,-0.00062555
-176.904000,-0.00062488
-176.854000,-0.00062358
-176.804000,-0.00062192
-176.754000,-0.00062018
-176.704000,-0.00061876
-176.654000,-0.00061724
-176.604000,-0.00061590
-176.554000,-0.00061587
-176.504000,-0.00061609
-176.454000,-0.00061629
-176.404000,-0.00061692
-176.354000,-0.00061743
-176.304000,-0.00061752
-176.254000,-0.00061694
-176.204000,-0.00061605
-176.154000,-0.00061429
-176.104000,-0.00061105
-176.054000,-0.00060722
-176.004000,-0.00060302
-175.954000,-0.00059805
-175.904000,-0.00059194
-175.854000,-0.00058546
-175.804000,-0.00057970
-175.754000,-0.00057500
-175.704000,-0.00057201
-175.654000,-0.00057054
-175.604000,-0.00056997
-175.554000,-0.00056979
-175.504000,-0.00057047
-175.454000,-0.00057260
-175.404000,-0.00057481
-175.354000,-0.00057600
-175.304000,-0.00057627
-175.254000,-0.00057591
-175.204000,-0.00057476
-175.154000,-0.00057215
-175.104000,-0.00056791
-175.054000,-0.00056222
-175.004000,-0.00055584
-174.954000,-0.00054885
-174.904000,-0.00054064
-174.854000,-0.00053196
-174.804000,-0.00052307
-174.754000,-0.00051369
-174.704000,-0.00050449
-174.654000,-0.00049580
-174.604000,-0.00048840
-174.554000,-0.00048236
-174.504000,-0.00047629
-174.454000,-0.00047005
-174.404000,-0.00046375
-174.354000,-0.00045750
-174.304000,-0.00045162
-174.254000,-0.00044537
-174.204000,-0.00043853
-174.154000,-0.00043081
-174.104000,-0.00042191
-174.054000,-0.00041239
-174.004000,-0.00040252
-173.954000,-0.00039212
-173.904000,-0.00038080
-173.854000,-0.00036887
