time,displacement
-179.980000,-0.00157236
-179.930000,-0.00157135
-179.880000,-0.00157021
-179.830000,-0.00156905
-179.780000,-0.00156787
-179.730000,-0.00156658
-179.680000,-0.00156538
-179.630000,-0.00156403
-179.580000,-0.00156256
-179.530000,-0.00156118
-179.480000,-0.00155950
-179.430000,-0.00155783
-179.380000,-0.00155635
-179.330000,-0.00155451
-179.280000,-0.00155257
-179.230000,-0.00155085
-179.180000,-0.00154924
-179.130000,-0.00154788
-179.080000,-0.00154594
-179.030000,-0.00154358
-178.980000,-0.00154168
-178.930000,-0.00153945
-178.880000,-0.00153745
-178.830000,-0.00153591
-178.780000,-0.00153390
-178.730000,-0.00153193
-178.680000,-0.00152989
-178.630000,-0.00152802
-178.580000,-0.00152597
-178.530000,-0.00152294
-178.480000,-0.00152072
-178.430000,-0.00151906
-178.380000,-0.00151614
-178.330000,-0.00151387
-178.280000,-0.00151246
-178.230000,-0.00150989
-178.180000,-0.00150747
-178.130000,-0.00150536
-178.080000,-0.00150307
-178.030000,-0.00150123
-177.980000,-0.00149927
-177.930000,-0.00149742
-177.880000,-0.00149525
-177.830000,-0.00149236
-177.780000,-0.00148988
-177.730000,-0.00148797
-177.680000,-0.00148607
-177.630000,-0.00148390
-177.580000,-0.00148093
-177.530000,-0.00147744
-177.480000,-0.00147443
-177.430000,-0.00147155
-177.380000,-0.00146913
-177.330000,-0.00146550
-177.280000,-0.00146037
-177.230000,-0.00145685
-177.180000,-0.00145310
-177.130000,-0.00144908
-177.080000,-0.00144558
-177.030000,-0.00144042
-176.980000,-0.00143571
-176.930000,-0.00143132
-176.880000,-0.00142579
-176.830000,-0.00142092
-176.780000,-0.00141631
-176.730000,-0.00141185
-176.680000,-0.00140730
-176.630000,-0.00140130
-176.580000,-0.00139555
-176.530000,-0.00139028
-176.480000,-0.00138420
-176.430000,-0.00137808
-176.380000,-0.00137267
-176.330000,-0.00136822
-176.280000,-0.00136331
-176.230000,-0.00135801
-176.180000,-0.00135359
-176.130000,-0.00134833
-176.080000,-0.00134382
-176.030000,-0.00134070
-175.980000,-0.00133621
-175.930000,-0.00133379
-175.880000,-0.00133124
-175.830000,-0.00132585
-175.780000,-0.00132345
-175.730000,-0.00132106
-175.680000,-0.00131755
-175.630000,-0.00131590
-175.580000,-0.00131365
-175.530000,-0.00131201
-175.480000,-0.00131002
-175.430000,-0.00130666
-175.380000,-0.00130410
-175.330000,-0.00130180
-175.280000,-0.00129853
-175.230000,-0.00129442
-175.180000,-0.00129229
-175.130000,-0.00129093
-175.080000,-0.00128600
-175.030000,-0.00128000
-174.980000,-0.00127639
-174.930000,-0.00127468
-174.880000,-0.00127350
-174.830000,-0.00126874
-174.780000,-0.00126126
-174.730000,-0.00125714
-174.680000,-0.00125278
-174.630000,-0.00124488
-174.580000,-0.00123869
-174.530000,-0.00123265
-174.480000,-0.00122471
-174.430000,-0.00121798
-174.380000,-0.00120863
-174.330000,-0.00119903
-174.280000,-0.00119234
-174.230000,-0.00118127
-174.180000,-0.00117212
-174.130000,-0.00116629
-174.080000,-0.00115479
-174.030000,-0.00114262
-173.980000,-0.00113093
-173.930000,-0.00112199
-173.880000,-0.00111729
-173.830000,-0.00110542
-173.780000,-0.00108995
-173.730000,-0.00108059
-173.680000,-0.00107329
-173.630000,-0.00106501
-173.580000,-0.00105503
-173.530000,-0.00104491
-173.480000,-0.00103864
-173.430000,-0.00103020
-173.380000,-0.00101771
-173.330000,-0.00100871
-173.280000,-0.00100209
-173.230000,-0.00099789
-173.180000,-0.00099322
-173.130000,-0.00098334
-173.080000,-0.00097705
-173.030000,-0.00097321
-172.980000,-0.00096806
-172.930000,-0.00096420
