time,displacement
-179.979200,0.01022823
-179.954200,0.01020673
-179.929200,0.01018522
-179.904200,0.01016373
-179.879200,0.01014223
-179.854200,0.01012073
-179.829200,0.01009923
-179.804200,0.01007773
-179.779200,0.01005623
-179.754200,0.01003473
-179.729200,0.01001323
-179.704200,0.00999173
-179.679200,0.00997024
-179.654200,0.00994875
-179.629200,0.00992725
-179.604200,0.00990575
-179.579200,0.00988426
-179.554200,0.00986276
-179.529200,0.00984127
-179.504200,0.00981978
-179.479201,0.00979829
-179.454201,0.00977680
-179.429201,0.00975532
-179.404201,0.00973383
-179.379201,0.00971234
-179.354201,0.00969085
-179.329201,0.00966936
-179.304201,0.00964788
-179.279201,0.00962640
-179.254201,0.00960492
-179.229201,0.00958345
-179.204201,0.00956197
-179.179201,0.00954050
-179.154201,0.00951903
-179.129201,0.00949756
-179.104201,0.00947610
-179.079201,0.00945464
-179.054201,0.00943319
-179.029201,0.00941174
-179.004201,0.00939030
-178.979201,0.00936887
-178.954201,0.00934743
-178.929201,0.00932601
-178.904201,0.00930459
-178.879201,0.00928319
-178.854201,0.00926180
-178.829201,0.00924040
-178.804201,0.00921901
-178.779201,0.00919763
-178.754201,0.00917626
-178.729201,0.00915491
-178.704201,0.00913356
-178.679201,0.00911222
-178.654201,0.00909088
-178.629201,0.00906954
-178.604201,0.00904822
-178.579201,0.00902690
-178.554201,0.00900558
-178.529202,0.00898427
-178.504202,0.00896295
-178.479202,0.00894164
-178.454202,0.00892034
-178.429202,0.00889904
-178.404202,0.00887774
-178.379202,0.00885645
-178.354202,0.00883516
-178.329202,0.00881387
-178.304202,0.00879259
-178.279202,0.00877133
-178.254202,0.00875006
-178.229202,0.00872879
-178.204202,0.00870751
-178.179202,0.00868623
-178.154202,0.00866497
-178.129202,0.00864370
-178.104202,0.00862243
-178.079202,0.00860116
-178.054202,0.00857989
-178.029202,0.00855862
-178.004202,0.00853736
-177.979202,0.00851610
-177.954202,0.00849483
-177.929202,0.00847357
-177.904202,0.00845230
-177.879202,0.00843103
-177.854202,0.00840975
-177.829202,0.00838846
-177.804202,0.00836717
-177.779202,0.00834588
-177.754202,0.00832458
-177.729202,0.00830327
-177.704202,0.00828196
-177.679202,0.00826064
-177.654202,0.00823932
-177.629202,0.00821802
-177.604202,0.00819671
-177.579203,0.00817540
-177.554203,0.00815410
-177.529203,0.00813279
-177.504203,0.00811146
-177.479203,0.00809014
-177.454203,0.00806882
-177.429203,0.00804752
-177.404203,0.00802624
-177.379203,0.00800497
-177.354203,0.00798370
-177.329203,0.00796244
-177.304203,0.00794120
-177.279203,0.00791999
-177.254203,0.00789879
-177.229203,0.00787759
-177.204203,0.00785638
-177.179203,0.00783519
-177.154203,0.00781403
-177.129203,0.00779287
-177.104203,0.00777172
-177.079203,0.00775055
-177.054203,0.00772940
-177.029203,0.00770826
-177.004203,0.00768715
-176.979203,0.00766606
-176.954203,0.00764498
-176.929203,0.00762391
-176.904203,0.00760286
-176.879203,0.00758181
-176.854203,0.00756076
-176.829203,0.00753970
-176.804203,0.00751865
-176.779203,0.00749763
-176.754203,0.00747663
-176.729203,0.00745564
-176.704203,0.00743465
-176.679203,0.00741368
-176.654203,0.00739271
-176.629204,0.00737174
-176.604204,0.00735079
-176.579204,0.00732985
-176.554204,0.00730893
-176.529204,0.00728802
-176.504204,0.00726712
