time,displacement
-179.979200,-0.00340866
-179.954200,-0.00339952
-179.929200,-0.00339037
-179.904200,-0.00338122
-179.879200,-0.00337206
-179.854200,-0.00336289
-179.829200,-0.00335372
-179.804200,-0.00334454
-179.779200,-0.00333536
-179.754200,-0.00332617
-179.729200,-0.00331697
-179.704200,-0.00330777
-179.679200,-0.00329857
-179.654200,-0.00328936
-179.629200,-0.00328015
-179.604200,-0.00327093
-179.579200,-0.00326171
-179.554200,-0.00325249
-179.529200,-0.00324327
-179.504200,-0.00323404
-179.479201,-0.00322481
-179.454201,-0.00321558
-179.429201,-0.00320635
-179.404201,-0.00319711
-179.379201,-0.00318786
-179.354201,-0.00317862
-179.329201,-0.00316938
-179.304201,-0.00316014
-179.279201,-0.00315090
-179.254201,-0.00314166
-179.229201,-0.00313242
-179.204201,-0.00312317
-179.179201,-0.00311393
-179.154201,-0.00310468
-179.129201,-0.00309543
-179.104201,-0.00308618
-179.079201,-0.00307694
-179.054201,-0.00306770
-179.029201,-0.00305845
-179.004201,-0.00304920
-178.979201,-0.00303995
-178.954201,-0.00303070
-178.929201,-0.00302146
-178.904201,-0.00301222
-178.879201,-0.00300298
-178.854201,-0.00299373
-178.829201,-0.00298448
-178.804201,-0.00297524
-178.779201,-0.00296599
-178.754201,-0.00295676
-178.729201,-0.00294753
-178.704201,-0.00293829
-178.679201,-0.00292905
-178.654201,-0.00291980
-178.629201,-0.00291054
-178.604201,-0.00290129
-178.579201,-0.00289204
-178.554201,-0.00288279
-178.529202,-0.00287354
-178.504202,-0.00286428
-178.479202,-0.00285501
-178.454202,-0.00284574
-178.429202,-0.00283646
-178.404202,-0.00282717
-178.379202,-0.00281787
-178.354202,-0.00280856
-178.329202,-0.00279926
-178.304202,-0.00278995
-178.279202,-0.00278063
-178.254202,-0.00277128
-178.229202,-0.00276192
-178.204202,-0.00275254
-178.179202,-0.00274316
-178.154202,-0.00273377
-178.129202,-0.00272437
-178.104202,-0.00271494
-178.079202,-0.00270550
-178.054202,-0.00269603
-178.029202,-0.00268656
-178.004202,-0.00267707
-177.979202,-0.00266757
-177.954202,-0.00265805
-177.929202,-0.00264851
-177.904202,-0.00263895
-177.879202,-0.00262938
-177.854202,-0.00261979
-177.829202,-0.00261018
-177.804202,-0.00260055
-177.779202,-0.00259090
-177.754202,-0.00258123
-177.729202,-0.00257154
-177.704202,-0.00256184
-177.679202,-0.00255211
-177.654202,-0.00254237
-177.629202,-0.00253262
-177.604202,-0.00252286
-177.579203,-0.00251308
-177.554203,-0.00250330
-177.529203,-0.00249349
-177.504203,-0.00248366
-177.479203,-0.00247384
-177.454203,-0.00246401
