time,displacement
-179.979200,-0.00295114
-179.954200,-0.00294735
-179.929200,-0.00294356
-179.904200,-0.00293978
-179.879200,-0.00293600
-179.854200,-0.00293223
-179.829200,-0.00292846
-179.804200,-0.00292469
-179.779200,-0.00292093
-179.754200,-0.00291717
-179.729200,-0.00291341
-179.704200,-0.00290967
-179.679200,-0.00290592
-179.654200,-0.00290218
-179.629200,-0.00289845
-179.604200,-0.00289472
-179.579200,-0.00289100
-179.554200,-0.00288727
-179.529200,-0.00288355
-179.504200,-0.00287984
-179.479201,-0.00287613
-179.454201,-0.00287242
-179.429201,-0.00286872
-179.404201,-0.00286501
-179.379201,-0.00286131
-179.354201,-0.00285761
-179.329201,-0.00285392
-179.304201,-0.00285022
-179.279201,-0.00284654
-179.254201,-0.00284286
-179.229201,-0.00283918
-179.204201,-0.00283550
-179.179201,-0.00283182
-179.154201,-0.00282814
-179.129201,-0.00282447
-179.104201,-0.00282079
-179.079201,-0.00281712
-179.054201,-0.00281345
-179.029201,-0.00280979
-179.004201,-0.00280613
-178.979201,-0.00280246
-178.954201,-0.00279879
-178.929201,-0.00279512
-178.904201,-0.00279145
-178.879201,-0.00278779
-178.854201,-0.00278413
-178.829201,-0.00278046
-178.804201,-0.00277679
-178.779201,-0.00277312
-178.754201,-0.00276945
-178.729201,-0.00276577
-178.704201,-0.00276210
-178.679201,-0.00275843
-178.654201,-0.00275475
-178.629201,-0.00275107
-178.604201,-0.00274738
-178.579201,-0.00274368
-178.554201,-0.00273998
-178.529202,-0.00273628
-178.504202,-0.00273258
-178.479202,-0.00272889
-178.454202,-0.00272518
-178.429202,-0.00272147
-178.404202,-0.00271774
-178.379202,-0.00271399
-178.354202,-0.00271023
-178.329202,-0.00270646
-178.304202,-0.00270270
-178.279202,-0.00269894
-178.254202,-0.00269518
-178.229202,-0.00269140
-178.204202,-0.00268761
-178.179202,-0.00268380
-178.154202,-0.00267999
-178.129202,-0.00267619
-178.104202,-0.00267239
-178.079202,-0.00266857
-178.054202,-0.00266474
-178.029202,-0.00266089
-178.004202,-0.00265702
-177.979202,-0.00265315
-177.954202,-0.00264927
-177.929202,-0.00264538
-177.904202,-0.00264147
-177.879202,-0.00263755
-177.854202,-0.00263361
-177.829202,-0.00262967
-177.804202,-0.00262572
-177.779202,-0.00262176
-177.754202,-0.00261780
-177.729202,-0.00261384
-177.704202,-0.00260987
-177.679202,-0.00260590
-177.654202,-0.00260191
-177.629202,-0.00259790
-177.604202,-0.00259386
-177.579203,-0.00258981
-177.554203,-0.00258575
-177.529203,-0.00258168
-177.504203,-0.00257759
-177.479203,-0.00257348
-177.454203,-0.00256934
-177.429203,-0.00256519
-177.404203,-0.00256101
-177.379203,-0.00255684
-177.354203,-0.00255265
-177.329203,-0.00254844
-177.304203,-0.00254422
-177.279203,-0.00254001
-177.254203,-0.00253580
-177.229203,-0.00253160
-177.204203,-0.00252738
-177.179203,-0.00252313
-177.154203,-0.00251885
-177.129203,-0.00251456
-177.104203,-0.00251027
-177.079203,-0.00250597
-177.054203,-0.00250164
-177.029203,-0.00249731
-177.004203,-0.00249298
-176.979203,-0.00248866
-176.954203,-0.00248434
-176.929203,-0.00248001
-176.904203,-0.00247567
-176.879203,-0.00247132
-176.854203,-0.00246696
-176.829203,-0.00246259
-176.804203,-0.00245822
-176.779203,-0.00245387
-176.754203,-0.00244954
-176.729203,-0.00244522
-176.704203,-0.00244090
-176.679203,-0.00243657
-176.654203,-0.00243224
-176.629204,-0.00242789
-176.604204,-0.00242356
-176.579204,-0.00241922
-176.554204,-0.00241489
-176.529204,-0.00241059
-176.504204,-0.00240631
-176.479204,-0.00240204
-176.454204,-0.00239777
-176.429204,-0.00239349
-176.404204,-0.00238921
-176.379204,-0.00238494
-176.354204,-0.00238070
-176.329204,-0.00237649
-176.304204,-0.00237227
-176.279204,-0.00236805
-176.254204,-0.00236383
-176.229204,-0.00235961
-176.204204,-0.00235539
-176.179204,-0.00235117
-176.154204,-0.00234697
-176.129204,-0.00234278
-176.104204,-0.00233861
-176.079204,-0.00233446
-176.054204,-0.00233032
-176.029204,-0.00232620
-176.004204,-0.00232207
-175.979204,-0.00231794
-175.954204,-0.00231382
-175.929204,-0.00230972
-175.904204,-0.00230564
-175.879204,-0.00230157
-175.854204,-0.00229750
-175.829204,-0.00229342
-175.804204,-0.00228935
-175.779204,-0.00228532
-175.754204,-0.00228131
-175.729204,-0.00227731
-175.704204,-0.00227329
-175.679205,-0.00226928
-175.654205,-0.00226529
-175.629205,-0.00226133
-175.604205,-0.00225738
-175.579205,-0.00225344
-175.554205,-0.00224952
-175.529205,-0.00224564
-175.504205,-0.00224182
-175.479205,-0.00223804
-175.454205,-0.00223427
-175.429205,-0.00223050
-175.404205,-0.00222674
-175.379205,-0.00222298
-175.354205,-0.00221920
-175.329205,-0.00221543
-175.304205,-0.00221167
-175.279205,-0.00220795
-175.254205,-0.00220426
-175.229205,-0.00220058
-175.204205,-0.00219691
-175.179205,-0.00219329
-175.154205,-0.00218973
-175.129205,-0.00218621
-175.104205,-0.00218272
-175.079205,-0.00217922
-175.054205,-0.00217573
-175.029205,-0.00217224
-175.004205,-0.00216879
-174.979205,-0.00216535
-174.954205,-0.00216195
-174.929205,-0.00215857
-174.904205,-0.00215521
-174.879205,-0.00215186
-174.854205,-0.00214854
-174.829205,-0.00214527
-174.804205,-0.00214205
-174.779205,-0.00213888
-174.754205,-0.00213573
-174.729206,-0.00213259
-174.704206,-0.00212947
-174.679206,-0.00212637
-174.654206,-0.00212328
-174.629206,-0.00212023
-174.604206,-0.00211719
-174.579206,-0.00211420
-174.554206,-0.00211125
-174.529206,-0.00210831
-174.504206,-0.00210538
-174.479206,-0.00210246
-174.454206,-0.00209958
-174.429206,-0.00209673
-174.404206,-0.00209391
-174.379206,-0.00209111
-174.354206,-0.00208832
-174.329206,-0.00208556
-174.304206,-0.00208284
-174.279206,-0.00208015
-174.254206,-0.00207749
-174.229206,-0.00207485
-174.204206,-0.00207222
-174.179206,-0.00206963
-174.154206,-0.00206705
-174.129206,-0.00206446
-174.104206,-0.00206190
-174.079206,-0.00205936
-174.054206,-0.00205687
-174.029206,-0.00205441
-174.004206,-0.00205196
-173.979206,-0.00204952
-173.954206,-0.00204709
-173.929206,-0.00204468
-173.904206,-0.00204229
-173.879206,-0.00203989
-173.854206,-0.00203747
-173.829206,-0.00203504
-173.804206,-0.00203261
-173.779207,-0.00203017
-173.754207,-0.00202772
-173.729207,-0.00202529
-173.704207,-0.00202287
-173.679207,-0.00202046
-173.654207,-0.00201805
-173.629207,-0.00201562
-173.604207,-0.00201319
-173.579207,-0.00201076
-173.554207,-0.00200833
-173.529207,-0.00200590
-173.504207,-0.00200348
-173.479207,-0.00200106
-173.454207,-0.00199862
-173.429207,-0.00199614
-173.404207,-0.00199361
-173.379207,-0.00199105
-173.354207,-0.00198846
-173.329207,-0.00198586
-173.304207,-0.00198322
-173.279207,-0.00198056
-173.254207,-0.00197788
-173.229207,-0.00197520
-173.204207,-0.00197249
-173.179207,-0.00196975
-173.154207,-0.00196699
-173.129207,-0.00196422
-173.104207,-0.00196145
-173.079207,-0.00195866
-173.054207,-0.00195581
-173.029207,-0.00195292
-173.004207,-0.00194998
-172.979207,-0.00194703
-172.954207,-0.00194405
-172.929207,-0.00194104
-172.904207,-0.00193801
-172.879207,-0.00193495
-172.854207,-0.00193184
-172.829208,-0.00192866
-172.804208,-0.00192539
-172.779208,-0.00192206
-172.754208,-0.00191869
-172.729208,-0.00191529
-172.704208,-0.00191186
-172.679208,-0.00190840
-172.654208,-0.00190491
-172.629208,-0.00190136
-172.604208,-0.00189777
-172.579208,-0.00189414
-172.554208,-0.00189051
-172.529208,-0.00188687
-172.504208,-0.00188320
-172.479208,-0.00187944
-172.454208,-0.00187558
-172.429208,-0.00187167
-172.404208,-0.00186772
-172.379208,-0.00186374
-172.354208,-0.00185971
-172.329208,-0.00185564
-172.304208,-0.00185154
-172.279208,-0.00184744
-172.254208,-0.00184332
-172.229208,-0.00183915
-172.204208,-0.00183489
-172.179208,-0.00183056
-172.154208,-0.00182617
-172.129208,-0.00182175
-172.104208,-0.00181727
-172.079208,-0.00181274
-172.054208,-0.00180816
-172.029208,-0.00180353
-172.004208,-0.00179889
-171.979208,-0.00179423
-171.954208,-0.00178956
-171.929208,-0.00178487
-171.904208,-0.00178015
-171.879208,-0.00177541
-171.854209,-0.00177064
-171.829209,-0.00176586
-171.804209,-0.00176106
-171.779209,-0.00175624
-171.754209,-0.00175139
-171.729209,-0.00174652
-171.704209,-0.00174163
-171.679209,-0.00173674
-171.654209,-0.00173184
-171.629209,-0.00172694
-171.604209,-0.00172202
-171.579209,-0.00171708
-171.554209,-0.00171213
-171.529209,-0.00170716
-171.504209,-0.00170216
-171.479209,-0.00169710
-171.454209,-0.00169199
-171.429209,-0.00168683
-171.404209,-0.00168166
-171.379209,-0.00167651
-171.354209,-0.00167137
-171.329209,-0.00166625
-171.304209,-0.00166110
-171.279209,-0.00165594
-171.254209,-0.00165076
-171.229209,-0.00164557
-171.204209,-0.00164041
-171.179209,-0.00163526
-171.154209,-0.00163011
-171.129209,-0.00162494
-171.104209,-0.00161977
-171.079209,-0.00161459
-171.054209,-0.00160943
-171.029209,-0.00160427
-171.004209,-0.00159909
-170.979209,-0.00159391
-170.954209,-0.00158875
-170.929209,-0.00158366
-170.904210,-0.00157865
-170.879210,-0.00157369
-170.854210,-0.00156874
-170.829210,-0.00156383
-170.804210,-0.00155897
-170.779210,-0.00155416
-170.754210,-0.00154938
-170.729210,-0.00154461
-170.704210,-0.00153985
-170.679210,-0.00153512
-170.654210,-0.00153047
-170.629210,-0.00152591
-170.604210,-0.00152142
-170.579210,-0.00151697
-170.554210,-0.00151255
-170.529210,-0.00150815
-170.504210,-0.00150379
-170.479210,-0.00149948
-170.454210,-0.00149521
-170.429210,-0.00149096
-170.404210,-0.00148669
-170.379210,-0.00148241
-170.354210,-0.00147818
-170.329210,-0.00147401
-170.304210,-0.00146991
-170.279210,-0.00146586
-170.254210,-0.00146184
-170.229210,-0.00145786
-170.204210,-0.00145393
-170.179210,-0.00145005
-170.154210,-0.00144620
-170.129210,-0.00144238
-170.104210,-0.00143860
-170.079210,-0.00143487
-170.054210,-0.00143120
-170.029210,-0.00142757
-170.004210,-0.00142400
-169.979210,-0.00142047
-169.954211,-0.00141697
-169.929211,-0.00141350
-169.904211,-0.00141006
-169.879211,-0.00140666
-169.854211,-0.00140335
-169.829211,-0.00140013
-169.804211,-0.00139700
-169.779211,-0.00139392
-169.754211,-0.00139087
-169.729211,-0.00138784
-169.704211,-0.00138483
-169.679211,-0.00138185
-169.654211,-0.00137891
-169.629211,-0.00137602
-169.604211,-0.00137314
-169.579211,-0.00137027
-169.554211,-0.00136738
-169.529211,-0.00136452
-169.504211,-0.00136171
-169.479211,-0.00135894
-169.454211,-0.00135619
-169.429211,-0.00135344
-169.404211,-0.00135070
-169.379211,-0.00134800
-169.354211,-0.00134534
-169.329211,-0.00134265
-169.304211,-0.00133991
-169.279211,-0.00133711
-169.254211,-0.00133430
-169.229211,-0.00133148
-169.204211,-0.00132864
-169.179211,-0.00132577
-169.154211,-0.00132286
-169.129211,-0.00131995
-169.104211,-0.00131706
-169.079211,-0.00131419
-169.054211,-0.00131130
-169.029211,-0.00130842
-169.004212,-0.00130557
-168.979212,-0.00130273
-168.954212,-0.00129990
-168.929212,-0.00129707
-168.904212,-0.00129423
-168.879212,-0.00129141
-168.854212,-0.00128862
-168.829212,-0.00128586
-168.804212,-0.00128314
-168.779212,-0.00128045
-168.754212,-0.00127779
-168.729212,-0.00127513
-168.704212,-0.00127248
-168.679212,-0.00126984
-168.654212,-0.00126721
-168.629212,-0.00126459
-168.604212,-0.00126197
-168.579212,-0.00125936
-168.554212,-0.00125678
-168.529212,-0.00125426
-168.504212,-0.00125178
-168.479212,-0.00124933
-168.454212,-0.00124689
-168.429212,-0.00124450
-168.404212,-0.00124215
-168.379212,-0.00123984
-168.354212,-0.00123754
-168.329212,-0.00123522
-168.304212,-0.00123291
-168.279212,-0.00123064
-168.254212,-0.00122841
-168.229212,-0.00122621
-168.204212,-0.00122403
-168.179212,-0.00122188
-168.154212,-0.00121980
-168.129212,-0.00121780
-168.104212,-0.00121585
-168.079212,-0.00121392
-168.054213,-0.00121203
-168.029213,-0.00121016
-168.004213,-0.00120832
-167.979213,-0.00120648
-167.954213,-0.00120464
-167.929213,-0.00120279
-167.904213,-0.00120098
-167.879213,-0.00119920
-167.854213,-0.00119746
-167.829213,-0.00119573
-167.804213,-0.00119398
-167.779213,-0.00119224
-167.754213,-0.00119049
-167.729213,-0.00118877
-167.704213,-0.00118706
-167.679213,-0.00118538
-167.654213,-0.00118369
-167.629213,-0.00118200
-167.604213,-0.00118032
-167.579213,-0.00117866
-167.554213,-0.00117702
-167.529213,-0.00117538
-167.504213,-0.00117371
-167.479213,-0.00117199
-167.454213,-0.00117024
-167.429213,-0.00116846
-167.404213,-0.00116665
-167.379213,-0.00116480
-167.354213,-0.00116291
-167.329213,-0.00116100
-167.304213,-0.00115913
-167.279213,-0.00115731
-167.254213,-0.00115550
-167.229213,-0.00115364
-167.204213,-0.00115168
-167.179213,-0.00114964
-167.154213,-0.00114755
-167.129213,-0.00114545
-167.104214,-0.00114331
-167.079214,-0.00114109
-167.054214,-0.00113874
-167.029214,-0.00113628
-167.004214,-0.00113379
-166.979214,-0.00113135
-166.954214,-0.00112895
-166.929214,-0.00112654
-166.904214,-0.00112406
-166.879214,-0.00112147
-166.854214,-0.00111880
-166.829214,-0.00111606
-166.804214,-0.00111325
-166.779214,-0.00111037
-166.754214,-0.00110744
-166.729214,-0.00110449
-166.704214,-0.00110151
-166.679214,-0.00109846
-166.654214,-0.00109532
-166.629214,-0.00109212
-166.604214,-0.00108892
-166.579214,-0.00108577
-166.554214,-0.00108262
-166.529214,-0.00107943
-166.504214,-0.00107615
-166.479214,-0.00107276
-166.454214,-0.00106928
-166.429214,-0.00106571
-166.404214,-0.00106209
-166.379214,-0.00105846
-166.354214,-0.00105482
-166.329214,-0.00105118
-166.304214,-0.00104751
-166.279214,-0.00104384
-166.254214,-0.00104022
-166.229214,-0.00103666
-166.204214,-0.00103310
-166.179214,-0.00102946
-166.154215,-0.00102572
-166.129215,-0.00102191
-166.104215,-0.00101807
-166.079215,-0.00101421
-166.054215,-0.00101030
-166.029215,-0.00100635
-166.004215,-0.00100240
-165.979215,-0.00099847
-165.954215,-0.00099451
-165.929215,-0.00099046
-165.904215,-0.00098630
-165.879215,-0.00098207
-165.854215,-0.00097784
-165.829215,-0.00097366
-165.804215,-0.00096950
-165.779215,-0.00096532
-165.754215,-0.00096108
-165.729215,-0.00095677
-165.704215,-0.00095237
-165.679215,-0.00094790
-165.654215,-0.00094340
-165.629215,-0.00093891
