time,displacement
-179.976700,-0.00468384
-179.951700,-0.00467910
-179.926700,-0.00467434
-179.901700,-0.00466955
-179.876700,-0.00466472
-179.851700,-0.00465985
-179.826700,-0.00465493
-179.801699,-0.00464998
-179.776699,-0.00464498
-179.751699,-0.00463995
-179.726699,-0.00463488
-179.701699,-0.00462977
-179.676699,-0.00462462
-179.651699,-0.00461942
-179.626699,-0.00461417
-179.601699,-0.00460887
-179.576699,-0.00460354
-179.551699,-0.00459823
-179.526699,-0.00459296
-179.501699,-0.00458774
-179.476699,-0.00458252
-179.451698,-0.00457720
-179.426698,-0.00457170
-179.401698,-0.00456600
-179.376698,-0.00456014
-179.351698,-0.00455425
-179.326698,-0.00454843
-179.301698,-0.00454270
-179.276698,-0.00453696
-179.251698,-0.00453112
-179.226698,-0.00452515
-179.201698,-0.00451908
-179.176698,-0.00451297
-179.151698,-0.00450684
-179.126697,-0.00450062
-179.101697,-0.00449424
-179.076697,-0.00448769
-179.051697,-0.00448103
-179.026697,-0.00447434
-179.001697,-0.00446766
-178.976697,-0.00446098
-178.951697,-0.00445425
-178.926697,-0.00444746
-178.901697,-0.00444061
-178.876697,-0.00443376
-178.851697,-0.00442694
-178.826697,-0.00442016
-178.801697,-0.00441338
-178.776696,-0.00440656
-178.751696,-0.00439962
-178.726696,-0.00439257
-178.701696,-0.00438541
-178.676696,-0.00437819
-178.651696,-0.00437094
-178.626696,-0.00436369
-178.601696,-0.00435644
-178.576696,-0.00434917
-178.551696,-0.00434188
-178.526696,-0.00433454
-178.501696,-0.00432714
-178.476696,-0.00431973
-178.451695,-0.00431237
-178.426695,-0.00430509
-178.401695,-0.00429788
-178.376695,-0.00429070
-178.351695,-0.00428352
-178.326695,-0.00427638
-178.301695,-0.00426936
-178.276695,-0.00426254
-178.251695,-0.00425600
-178.226695,-0.00424980
-178.201695,-0.00424399
-178.176695,-0.00423862
-178.151695,-0.00423366
-178.126695,-0.00422898
-178.101694,-0.00422440
-178.076694,-0.00421975
-178.051694,-0.00421499
-178.026694,-0.00421031
-178.001694,-0.00420604
-177.976694,-0.00420247
-177.951694,-0.00419974
-177.926694,-0.00419776
-177.901694,-0.00419633
-177.876694,-0.00419523
-177.851694,-0.00419434
-177.826694,-0.00419369
-177.801694,-0.00419341
-177.776693,-0.00419367
-177.751693,-0.00419452
-177.726693,-0.00419586
-177.701693,-0.00419748
-177.676693,-0.00419931
-177.651693,-0.00420139
-177.626693,-0.00420388
-177.601693,-0.00420680
-177.576693,-0.00420999
-177.551693,-0.00421329
-177.526693,-0.00421670
-177.501693,-0.00422044
-177.476693,-0.00422477
-177.451693,-0.00422979
-177.426692,-0.00423538
-177.401692,-0.00424129
-177.376692,-0.00424727
-177.351692,-0.00425317
-177.326692,-0.00425892
-177.301692,-0.00426453
-177.276692,-0.00427013
-177.251692,-0.00427591
-177.226692,-0.00428211
-177.201692,-0.00428881
-177.176692,-0.00429591
-177.151692,-0.00430312
-177.126692,-0.00431018
-177.101692,-0.00431700
-177.076691,-0.00432369
-177.051691,-0.00433051
-177.026691,-0.00433759
-177.001691,-0.00434490
-176.976691,-0.00435222
-176.951691,-0.00435941
-176.926691,-0.00436649
-176.901691,-0.00437367
-176.876691,-0.00438110
-176.851691,-0.00438875
-176.826691,-0.00439635
-176.801691,-0.00440361
-176.776691,-0.00441040
-176.751690,-0.00441683
-176.726690,-0.00442311
-176.701690,-0.00442931
-176.676690,-0.00443534
-176.651690,-0.00444104
-176.626690,-0.00444633
-176.601690,-0.00445129
-176.576690,-0.00445601
-176.551690,-0.00446043
