time,displacement
-179.976700,0.00373338
-179.951700,0.00372865
-179.926700,0.00372388
-179.901700,0.00371905
-179.876700,0.00371418
-179.851700,0.00370926
-179.826700,0.00370430
-179.801699,0.00369933
-179.776699,0.00369436
-179.751699,0.00368942
-179.726699,0.00368451
-179.701699,0.00367960
-179.676699,0.00367471
-179.651699,0.00366982
-179.626699,0.00366494
-179.601699,0.00366007
-179.576699,0.00365522
-179.551699,0.00365039
-179.526699,0.00364565
-179.501699,0.00364107
-179.476699,0.00363670
-179.451698,0.00363247
-179.426698,0.00362824
-179.401698,0.00362393
-179.376698,0.00361957
-179.351698,0.00361528
-179.326698,0.00361123
-179.301698,0.00360745
-179.276698,0.00360387
-179.251698,0.00360037
-179.226698,0.00359687
-179.201698,0.00359335
-179.176698,0.00358983
-179.151698,0.00358635
-179.126697,0.00358295
-179.101697,0.00357966
-179.076697,0.00357648
-179.051697,0.00357336
-179.026697,0.00357030
-179.001697,0.00356737
-178.976697,0.00356465
-178.951697,0.00356222
-178.926697,0.00356007
-178.901697,0.00355813
-178.876697,0.00355635
-178.851697,0.00355472
-178.826697,0.00355321
-178.801697,0.00355180
-178.776696,0.00355052
-178.751696,0.00354946
-178.726696,0.00354873
-178.701696,0.00354838
-178.676696,0.00354839
-178.651696,0.00354876
-178.626696,0.00354948
-178.601696,0.00355054
-178.576696,0.00355184
-178.551696,0.00355328
-178.526696,0.00355488
-178.501696,0.00355676
-178.476696,0.00355906
-178.451695,0.00356178
-178.426695,0.00356477
-178.401695,0.00356789
-178.376695,0.00357118
-178.351695,0.00357480
-178.326695,0.00357887
-178.301695,0.00358333
-178.276695,0.00358795
-178.251695,0.00359251
-178.226695,0.00359697
-178.201695,0.00360149
-178.176695,0.00360634
-178.151695,0.00361163
-178.126695,0.00361730
-178.101694,0.00362317
-178.076694,0.00362910
-178.051694,0.00363504
-178.026694,0.00364100
-178.001694,0.00364697
-177.976694,0.00365302
-177.951694,0.00365927
-177.926694,0.00366591
-177.901694,0.00367291
-177.876694,0.00368003
-177.851694,0.00368698
-177.826694,0.00369369
-177.801694,0.00370034
-177.776693,0.00370719
-177.751693,0.00371428
-177.726693,0.00372146
-177.701693,0.00372852
-177.676693,0.00373543
-177.651693,0.00374230
-177.626693,0.00374917
-177.601693,0.00375597
-177.576693,0.00376258
-177.551693,0.00376900
-177.526693,0.00377535
-177.501693,0.00378173
-177.476693,0.00378812
-177.451693,0.00379428
-177.426692,0.00379998
-177.401692,0.00380510
-177.376692,0.00380970
-177.351692,0.00381394
-177.326692,0.00381792
-177.301692,0.00382160
-177.276692,0.00382491
-177.251692,0.00382778
-177.226692,0.00383026
-177.201692,0.00383243
-177.176692,0.00383437
-177.151692,0.00383610
-177.126692,0.00383756
-177.101692,0.00383872
-177.076691,0.00383960
-177.051691,0.00384030
-177.026691,0.00384094
-177.001691,0.00384151
-176.976691,0.00384186
-176.951691,0.00384174
-176.926691,0.00384096
-176.901691,0.00383950
-176.876691,0.00383752
-176.851691,0.00383532
-176.826691,0.00383308
-176.801691,0.00383072
-176.776691,0.00382792
-176.751690,0.00382440
-176.726690,0.00382023
-176.701690,0.00381566
-176.676690,0.00381074
-176.651690,0.00380511
-176.626690,0.00379839
-176.601690,0.00379068
-176.576690,0.00378264
-176.551690,0.00377485
-176.526690,0.00376722
-176.501690,0.00375907
-176.476690,0.00374990
-176.451690,0.00373985
-176.426690,0.00372951
-176.401689,0.00371924
-176.376689,0.00370883
-176.351689,0.00369782
-176.326689,0.00368587
-176.301689,0.00367292
-176.276689,0.00365908
-176.251689,0.00364459
-176.226689,0.00362982
-176.201689,0.00361502
-176.176689,0.00360006
-176.151689,0.00358442
-176.126689,0.00356771
-176.101689,0.00355017
-176.076688,0.00353245
-176.051688,0.00351496
-176.026688,0.00349747
-176.001688,0.00347944
-175.976688,0.00346061
-175.951688,0.00344125
-175.926688,0.00342173
-175.901688,0.00340221
-175.876688,0.00338261
-175.851688,0.00336290
-175.826688,0.00334317
-175.801688,0.00332342
-175.776688,0.00330349
-175.751688,0.00328329
-175.726687,0.00326295
-175.701687,0.00324274
-175.676687,0.00322279
-175.651687,0.00320307
-175.626687,0.00318359
-175.601687,0.00316457
-175.576687,0.00314623
-175.551687,0.00312849
-175.526687,0.00311088
-175.501687,0.00309306
-175.476687,0.00307513
-175.451687,0.00305751
-175.426687,0.00304044
-175.401686,0.00302376
-175.376686,0.00300715
-175.351686,0.00299060
-175.326686,0.00297444
-175.301686,0.00295888
-175.276686,0.00294372
-175.251686,0.00292852
-175.226686,0.00291313
-175.201686,0.00289783
-175.176686,0.00288297
-175.151686,0.00286850
-175.126686,0.00285404
-175.101686,0.00283937
-175.076686,0.00282483
-175.051685,0.00281104
-175.026685,0.00279827
-175.001685,0.00278612
-174.976685,0.00277386
-174.951685,0.00276112
-174.926685,0.00274818
-174.901685,0.00273566
-174.876685,0.00272386
-174.851685,0.00271251
-174.826685,0.00270110
-174.801685,0.00268944
-174.776685,0.00267784
-174.751685,0.00266688
-174.726684,0.00265689
-174.701684,0.00264780
-174.676684,0.00263931
-174.651684,0.00263120
-174.626684,0.00262346
-174.601684,0.00261624
-174.576684,0.00260964
-174.551684,0.00260371
-174.526684,0.00259842
-174.501684,0.00259378
-174.476684,0.00258977
-174.451684,0.00258637
-174.426684,0.00258354
-174.401684,0.00258118
-174.376683,0.00257919
-174.351683,0.00257752
-174.326683,0.00257620
-174.301683,0.00257538
-174.276683,0.00257518
