time,displacement
-179.976700,-0.00316515
-179.951700,-0.00316369
-179.926700,-0.00316223
-179.901700,-0.00316078
-179.876700,-0.00315931
-179.851700,-0.00315783
-179.826700,-0.00315633
-179.801699,-0.00315483
-179.776699,-0.00315333
-179.751699,-0.00315183
-179.726699,-0.00315032
-179.701699,-0.00314882
-179.676699,-0.00314735
-179.651699,-0.00314592
-179.626699,-0.00314451
-179.601699,-0.00314312
-179.576699,-0.00314170
-179.551699,-0.00314026
-179.526699,-0.00313883
-179.501699,-0.00313740
-179.476699,-0.00313598
-179.451698,-0.00313450
-179.426698,-0.00313296
-179.401698,-0.00313141
-179.376698,-0.00312995
-179.351698,-0.00312869
-179.326698,-0.00312766
-179.301698,-0.00312681
-179.276698,-0.00312603
-179.251698,-0.00312523
-179.226698,-0.00312438
-179.201698,-0.00312348
-179.176698,-0.00312259
-179.151698,-0.00312172
-179.126697,-0.00312085
-179.101697,-0.00311989
-179.076697,-0.00311882
-179.051697,-0.00311771
-179.026697,-0.00311677
-179.001697,-0.00311618
-178.976697,-0.00311601
-178.951697,-0.00311615
-178.926697,-0.00311635
-178.901697,-0.00311636
-178.876697,-0.00311604
-178.851697,-0.00311542
-178.826697,-0.00311464
-178.801697,-0.00311386
-178.776696,-0.00311318
-178.751696,-0.00311260
-178.726696,-0.00311212
-178.701696,-0.00311174
-178.676696,-0.00311146
-178.651696,-0.00311120
-178.626696,-0.00311080
-178.601696,-0.00311017
-178.576696,-0.00310936
-178.551696,-0.00310856
-178.526696,-0.00310792
-178.501696,-0.00310743
-178.476696,-0.00310695
-178.451695,-0.00310633
-178.426695,-0.00310556
-178.401695,-0.00310474
-178.376695,-0.00310401
-178.351695,-0.00310345
-178.326695,-0.00310302
-178.301695,-0.00310255
-178.276695,-0.00310180
-178.251695,-0.00310062
-178.226695,-0.00309902
-178.201695,-0.00309721
-178.176695,-0.00309541
-178.151695,-0.00309382
-178.126695,-0.00309253
-178.101694,-0.00309156
-178.076694,-0.00309084
