time,displacement
-179.989869,0.00062244
-179.939869,0.00043032
-179.889869,0.00023869
-179.839869,0.00004755
-179.789869,-0.00014299
-179.739869,-0.00033352
-179.689869,-0.00052385
-179.639869,-0.00071347
-179.589869,-0.00090214
-179.539869,-0.00108972
-179.489869,-0.00127695
-179.439869,-0.00146441
-179.389869,-0.00165206
-179.339869,-0.00183912
-179.289869,-0.00202473
-179.239869,-0.00220910
-179.189869,-0.00239309
-179.139869,-0.00257748
-179.089869,-0.00276142
-179.039869,-0.00294422
-178.989869,-0.00312684
-178.939869,-0.00330972
-178.889869,-0.00349185
-178.839869,-0.00367190
-178.789869,-0.00385082
-178.739869,-0.00402974
-178.689869,-0.00420837
-178.639869,-0.00438731
-178.589869,-0.00456684
-178.539869,-0.00474685
-178.489869,-0.00492662
-178.439869,-0.00510479
-178.389869,-0.00528175
-178.339869,-0.00545837
-178.289869,-0.00563478
-178.239869,-0.00581119
-178.189869,-0.00598795
-178.139869,-0.00616591
-178.089869,-0.00634409
-178.039869,-0.00652018
-177.989869,-0.00669530
-177.939869,-0.00687141
-177.889869,-0.00704871
-177.839869,-0.00722639
-177.789869,-0.00740240
-177.739869,-0.00757602
-177.689869,-0.00774957
-177.639869,-0.00792486
-177.589869,-0.00809979
-177.539869,-0.00827454
-177.489869,-0.00844961
-177.439869,-0.00862260
-177.389869,-0.00879516
-177.339869,-0.00896724
-177.289869,-0.00913884
-177.239869,-0.00931230
-177.189869,-0.00948567
-177.139869,-0.00965643
-177.089869,-0.00982452
-177.039869,-0.00999443
-176.989869,-0.01016620
-176.939869,-0.01033644
-176.889869,-0.01050717
-176.839869,-0.01067702
-176.789869,-0.01084495
-176.739869,-0.01101295
-176.689869,-0.01118142
-176.639869,-0.01134871
-176.589869,-0.01151336
-176.539869,-0.01167699
-176.489869,-0.01184029
-176.439869,-0.01200332
-176.389869,-0.01216561
-176.339869,-0.01232686
-176.289869,-0.01248522
-176.239869,-0.01264331
-176.189869,-0.01280585
-176.139869,-0.01296801
-176.089869,-0.01313206
-176.039869,-0.01329719
-175.989869,-0.01345472
-175.939869,-0.01360936
-175.889869,-0.01376385
-175.839869,-0.01391810
-175.789869,-0.01407541
-175.739869,-0.01423408
-175.689869,-0.01439323
-175.639869,-0.01455282
-175.589869,-0.01471077
-175.539869,-0.01486776
-175.489869,-0.01502345
-175.439869,-0.01517448
-175.389869,-0.01532550
-175.339869,-0.01548085
-175.289869,-0.01563779
-175.239869,-0.01579515
-175.189869,-0.01594964
-175.139869,-0.01609856
-175.089869,-0.01624145
-175.039869,-0.01638063
-174.989869,-0.01652404
-174.939869,-0.01667469
-174.889869,-0.01682789
-174.839869,-0.01697685
-174.789869,-0.01711913
-174.739869,-0.01725759
-174.689869,-0.01739677
-174.639869,-0.01753958
-174.589869,-0.01768255
-174.539869,-0.01782491
-174.489869,-0.01796869
-174.439869,-0.01810968
-174.389869,-0.01824587
-174.339869,-0.01838101
-174.289869,-0.01851800
-174.239869,-0.01865517
-174.189869,-0.01879136
-174.139869,-0.01892750
-174.089869,-0.01906462
-174.039869,-0.01920201
-173.989869,-0.01933683
-173.939869,-0.01947449
-173.889869,-0.01961315
-173.839869,-0.01974402
-173.789869,-0.01987247
-173.739869,-0.01999895
-173.689869,-0.02012482
-173.639869,-0.02025420
-173.589869,-0.02038061
-173.539869,-0.02050353
-173.489869,-0.02062786
-173.439869,-0.02075890
-173.389869,-0.02089185
-173.339869,-0.02102054
-173.289869,-0.02114966
-173.239869,-0.02127443
-173.189869,-0.02139301
-173.139869,-0.02150829
-173.089869,-0.02161984
-173.039869,-0.02173795
-172.989869,-0.02186384
-172.939869,-0.02198580
-172.889869,-0.02210898
-172.839869,-0.02223858
-172.789869,-0.02236393
-172.739869,-0.02248788
-172.689869,-0.02260802
-172.639869,-0.02271576
-172.589869,-0.02282810
-172.539869,-0.02295103
-172.489869,-0.02307640
-172.439869,-0.02320340
-172.389869,-0.02332818
-172.339869,-0.02344617
-172.289869,-0.02355439
-172.239869,-0.02365903
-172.189869,-0.02377310
-172.139869,-0.02389984
-172.089869,-0.02402976
-172.039869,-0.02415759
-171.989869,-0.02428024
-171.939869,-0.02439488
-171.889869,-0.02451288
-171.839869,-0.02463256
-171.789869,-0.02474914
-171.739869,-0.02487270
-171.689869,-0.02499966
-171.639869,-0.02512479
-171.589869,-0.02524936
-171.539869,-0.02537140
-171.489869,-0.02548902
-171.439869,-0.02560850
-171.389869,-0.02573437
-171.339869,-0.02585332
-171.289869,-0.02596675
-171.239869,-0.02609036
-171.189869,-0.02622042
-171.139869,-0.02635233
-171.089869,-0.02648896
-171.039869,-0.02662062
-170.989869,-0.02674109
-170.939869,-0.02686347
-170.889869,-0.02698854
-170.839869,-0.02710797
-170.789869,-0.02722968
-170.739869,-0.02735587
-170.689869,-0.02748429
-170.639869,-0.02761430
-170.589869,-0.02773965
-170.539869,-0.02785977
-170.489869,-0.02797355
-170.439869,-0.02808631
-170.389869,-0.02820677
-170.339869,-0.02833940
-170.289869,-0.02848096
-170.239869,-0.02861083
-170.189869,-0.02873183
-170.139869,-0.02885130
-170.089869,-0.02896861
-170.039869,-0.02909332
-169.989869,-0.02921042
-169.939869,-0.02932285
-169.889869,-0.02943917
-169.839869,-0.02954592
-169.789869,-0.02965209
-169.739869,-0.02976812
-169.689869,-0.02989256
-169.639869,-0.03001357
-169.589869,-0.03012503
-169.539869,-0.03022174
