time,displacement
-179.989869,-0.00000860
-179.939869,-0.00000872
-179.889869,-0.00000884
-179.839869,-0.00000896
-179.789869,-0.00000908
-179.739869,-0.00000920
-179.689869,-0.00000932
-179.639869,-0.00000944
-179.589869,-0.00000956
-179.539869,-0.00000968
-179.489869,-0.00000980
-179.439869,-0.00000992
-179.389869,-0.00001004
-179.339869,-0.00001015
-179.289869,-0.00001027
-179.239869,-0.00001039
-179.189869,-0.00001051
-179.139869,-0.00001064
-179.089869,-0.00001076
-179.039869,-0.00001087
-178.989869,-0.00001099
-178.939869,-0.00001111
-178.889869,-0.00001123
-178.839869,-0.00001134
-178.789869,-0.00001146
-178.739869,-0.00001158
-178.689869,-0.00001169
-178.639869,-0.00001181
-178.589869,-0.00001193
-178.539869,-0.00001205
-178.489869,-0.00001216
-178.439869,-0.00001227
-178.389869,-0.00001239
-178.339869,-0.00001250
-178.289869,-0.00001261
-178.239869,-0.00001272
-178.189869,-0.00001284
-178.139869,-0.00001295
-178.089869,-0.00001307
-178.039869,-0.00001319
-177.989869,-0.00001330
-177.939869,-0.00001340
-177.889869,-0.00001350
-177.839869,-0.00001360
-177.789869,-0.00001371
-177.739869,-0.00001381
-177.689869,-0.00001392
-177.639869,-0.00001404
-177.589869,-0.00001415
-177.539869,-0.00001427
-177.489869,-0.00001438
-177.439869,-0.00001449
-177.389869,-0.00001460
-177.339869,-0.00001471
-177.289869,-0.00001482
-177.239869,-0.00001493
-177.189869,-0.00001504
-177.139869,-0.00001515
-177.089869,-0.00001526
-177.039869,-0.00001538
-176.989869,-0.00001549
-176.939869,-0.00001560
-176.889869,-0.00001571
-176.839869,-0.00001580
-176.789869,-0.00001588
-176.739869,-0.00001595
-176.689869,-0.00001603
-176.639869,-0.00001612
-176.589869,-0.00001621
-176.539869,-0.00001631
-176.489869,-0.00001641
-176.439869,-0.00001651
-176.389869,-0.00001661
-176.339869,-0.00001672
-176.289869,-0.00001682
-176.239869,-0.00001692
-176.189869,-0.00001702
-176.139869,-0.00001712
-176.089869,-0.00001722
-176.039869,-0.00001733
-175.989869,-0.00001743
-175.939869,-0.00001754
-175.889869,-0.00001765
-175.839869,-0.00001775
-175.789869,-0.00001785
-175.739869,-0.00001796
-175.689869,-0.00001806
-175.639869,-0.00001817
-175.589869,-0.00001828
-175.539869,-0.00001840
-175.489869,-0.00001851
-175.439869,-0.00001861
-175.389869,-0.00001873
-175.339869,-0.00001885
-175.289869,-0.00001896
-175.239869,-0.00001907
-175.189869,-0.00001918
-175.139869,-0.00001929
-175.089869,-0.00001940
-175.039869,-0.00001951
-174.989869,-0.00001962
-174.939869,-0.00001973
-174.889869,-0.00001985
-174.839869,-0.00001996
-174.789869,-0.00002009
-174.739869,-0.00002020
-174.689869,-0.00002033
-174.639869,-0.00002044
-174.589869,-0.00002056
-174.539869,-0.00002067
-174.489869,-0.00002078
-174.439869,-0.00002088
-174.389869,-0.00002098
-174.339869,-0.00002109
-174.289869,-0.00002120
-174.239869,-0.00002131
-174.189869,-0.00002143
-174.139869,-0.00002154
-174.089869,-0.00002165
-174.039869,-0.00002175
-173.989869,-0.00002186
-173.939869,-0.00002196
-173.889869,-0.00002208
-173.839869,-0.00002219
-173.789869,-0.00002231
-173.739869,-0.00002243
-173.689869,-0.00002255
-173.639869,-0.00002267
-173.589869,-0.00002278
-173.539869,-0.00002288
-173.489869,-0.00002297
-173.439869,-0.00002306
-173.389869,-0.00002315
-173.339869,-0.00002323
-173.289869,-0.00002333
-173.239869,-0.00002343
-173.189869,-0.00002351
-173.139869,-0.00002360
-173.089869,-0.00002369
-173.039869,-0.00002377
-172.989869,-0.00002387
-172.939869,-0.00002396
-172.889869,-0.00002407
-172.839869,-0.00002417
-172.789869,-0.00002425
-172.739869,-0.00002435
-172.689869,-0.00002444
-172.639869,-0.00002454
-172.589869,-0.00002463
-172.539869,-0.00002472
-172.489869,-0.00002481
-172.439869,-0.00002492
-172.389869,-0.00002501
-172.339869,-0.00002512
-172.289869,-0.00002522
-172.239869,-0.00002530
-172.189869,-0.00002538
-172.139869,-0.00002546
-172.089869,-0.00002555
-172.039869,-0.00002564
-171.989869,-0.00002571
-171.939869,-0.00002579
-171.889869,-0.00002588
-171.839869,-0.00002597
-171.789869,-0.00002607
-171.739869,-0.00002618
-171.689869,-0.00002629
-171.639869,-0.00002643
-171.589869,-0.00002656
-171.539869,-0.00002668
-171.489869,-0.00002679
-171.439869,-0.00002691
-171.389869,-0.00002704
-171.339869,-0.00002718
-171.289869,-0.00002731
-171.239869,-0.00002744
-171.189869,-0.00002757
-171.139869,-0.00002771
-171.089869,-0.00002784
-171.039869,-0.00002797
-170.989869,-0.00002809
-170.939869,-0.00002822
-170.889869,-0.00002836
-170.839869,-0.00002847
-170.789869,-0.00002859
-170.739869,-0.00002871
-170.689869,-0.00002884
-170.639869,-0.00002897
-170.589869,-0.00002908
-170.539869,-0.00002920
-170.489869,-0.00002932
-170.439869,-0.00002944
-170.389869,-0.00002954
