time,displacement
-179.989869,0.00013297
-179.939869,0.00020981
-179.889869,0.00028650
-179.839869,0.00036300
-179.789869,0.00043925
-179.739869,0.00051509
-179.689869,0.00059047
-179.639869,0.00066587
-179.589869,0.00074163
-179.539869,0.00081756
-179.489869,0.00089329
-179.439869,0.00096862
-179.389869,0.00104346
-179.339869,0.00111794
-179.289869,0.00119265
-179.239869,0.00126789
-179.189869,0.00134301
-179.139869,0.00141739
-179.089869,0.00149116
-179.039869,0.00156444
-178.989869,0.00163750
-178.939869,0.00171098
-178.889869,0.00178530
-178.839869,0.00185992
-178.789869,0.00193375
-178.739869,0.00200668
-178.689869,0.00207880
-178.639869,0.00215040
-178.589869,0.00222267
-178.539869,0.00229494
-178.489869,0.00236669
-178.439869,0.00243894
-178.389869,0.00251108
-178.339869,0.00258119
-178.289869,0.00264892
-178.239869,0.00271731
-178.189869,0.00278946
-178.139869,0.00286411
-178.089869,0.00293658
-178.039869,0.00300484
-177.989869,0.00307233
-177.939869,0.00314002
-177.889869,0.00320675
-177.839869,0.00327453
-177.789869,0.00334418
-177.739869,0.00341508
-177.689869,0.00348617
-177.639869,0.00355543
-177.589869,0.00362242
-177.539869,0.00368789
-177.489869,0.00375381
-177.439869,0.00382135
-177.389869,0.00388881
-177.339869,0.00395596
-177.289869,0.00402329
-177.239869,0.00408926
-177.189869,0.00415491
-177.139869,0.00422143
-177.089869,0.00428730
-177.039869,0.00435315
-176.989869,0.00441858
-176.939869,0.00448203
-176.889869,0.00454321
-176.839869,0.00460211
-176.789869,0.00466262
-176.739869,0.00472689
-176.689869,0.00479236
-176.639869,0.00485812
-176.589869,0.00492390
-176.539869,0.00498894
-176.489869,0.00505058
-176.439869,0.00510648
-176.389869,0.00516288
-176.339869,0.00522682
-176.289869,0.00529510
-176.239869,0.00536460
-176.189869,0.00543268
-176.139869,0.00549447
-176.089869,0.00555262
-176.039869,0.00560959
-175.989869,0.00566593
-175.939869,0.00572523
-175.889869,0.00578948
-175.839869,0.00585856
-175.789869,0.00592761
-175.739869,0.00599199
-175.689869,0.00605206
-175.639869,0.00610967
-175.589869,0.00616805
-175.539869,0.00623088
-175.489869,0.00629806
-175.439869,0.00636467
-175.389869,0.00642746
-175.339869,0.00648643
-175.289869,0.00654476
-175.239869,0.00660395
-175.189869,0.00666026
-175.139869,0.00671703
-175.089869,0.00677980
-175.039869,0.00684521
-174.989869,0.00691045
-174.939869,0.00697620
-174.889869,0.00704124
-174.839869,0.00710313
-174.789869,0.00716329
-174.739869,0.00722098
-174.689869,0.00727135
-174.639869,0.00732191
-174.589869,0.00738095
-174.539869,0.00744385
-174.489869,0.00750695
-174.439869,0.00756859
-174.389869,0.00762966
-174.339869,0.00769202
-174.289869,0.00775446
-174.239869,0.00781516
-174.189869,0.00786933
-174.139869,0.00791766
-174.089869,0.00796655
-174.039869,0.00801931
-173.989869,0.00807987
-173.939869,0.00814608
-173.889869,0.00820730
-173.839869,0.00826207
-173.789869,0.00831395
-173.739869,0.00836513
-173.689869,0.00841778
-173.639869,0.00846500
-173.589869,0.00850772
-173.539869,0.00855391
-173.489869,0.00860578
-173.439869,0.00866371
-173.389869,0.00871959
-173.339869,0.00876970
-173.289869,0.00881562
-173.239869,0.00886025
-173.189869,0.00890745
-173.139869,0.00895612
-173.089869,0.00900862
-173.039869,0.00906099
-172.989869,0.00911104
-172.939869,0.00916011
-172.889869,0.00920357
-172.839869,0.00924427
-172.789869,0.00928379
-172.739869,0.00932422
-172.689869,0.00936892
-172.639869,0.00941771
-172.589869,0.00946892
-172.539869,0.00951328
-172.489869,0.00954842
-172.439869,0.00958066
-172.389869,0.00961912
-172.339869,0.00967242
-172.289869,0.00973219
-172.239869,0.00978114
-172.189869,0.00981084
-172.139869,0.00982835
-172.089869,0.00985610
-172.039869,0.00990714
-171.989869,0.00996889
-171.939869,0.01002811
-171.889869,0.01008096
-171.839869,0.01012313
-171.789869,0.01015721
-171.739869,0.01019315
-171.689869,0.01023828
-171.639869,0.01028764
-171.589869,0.01033132
-171.539869,0.01036937
-171.489869,0.01040783
-171.439869,0.01045447
-171.389869,0.01051130
-171.339869,0.01057179
-171.289869,0.01062308
-171.239869,0.01065415
-171.189869,0.01067287
-171.139869,0.01069852
-171.089869,0.01074463
-171.039869,0.01080210
-170.989869,0.01085463
-170.939869,0.01090129
-170.889869,0.01093996
-170.839869,0.01097513
-170.789869,0.01101538
-170.739869,0.01106567
-170.689869,0.01112677
-170.639869,0.01118004
-170.589869,0.01121544
-170.539869,0.01123694
-170.489869,0.01125665
-170.439869,0.01129654
-170.389869,0.01135886
-170.339869,0.01142836
-170.289869,0.01148673
-170.239869,0.01152799
-170.189869,0.01155895
-170.139869,0.01158597
-170.089869,0.01162110
-170.039869,0.01166505
-169.989869,0.01170725
-169.939869,0.01175109
-169.889869,0.01180277
-169.839869,0.01185486
-169.789869,0.01189921
-169.739869,0.01193583
-169.689869,0.01197044
-169.639869,0.01201346
-169.589869,0.01206840
-169.539869,0.01212471
-169.489869,0.01216421
-169.439869,0.01218333
-169.389869,0.01220228
-169.339869,0.01223653
-169.289869,0.01228663
-169.239869,0.01234452
-169.189869,0.01239536
-169.139869,0.01243669
-169.089869,0.01247316
-169.039869,0.01250262
-168.989869,0.01253114
-168.939869,0.01256341
-168.889869,0.01259230
-168.839869,0.01261830
-168.789869,0.01265028
-168.739869,0.01268825
-168.689869,0.01272748
-168.639869,0.01276359
-168.589869,0.01279440
-168.539869,0.01283360
-168.489869,0.01288055
-168.439869,0.01291907
-168.389869,0.01295177
-168.339869,0.01298150
-168.289869,0.01300753
-168.239869,0.01302722
-168.189869,0.01304240
-168.139869,0.01306523
-168.089869,0.01310061
-168.039869,0.01314312
-167.989869,0.01318448
-167.939869,0.01322581
-167.889869,0.01326464
-167.839869,0.01330267
-167.789869,0.01334179
-167.739869,0.01337175
-167.689869,0.01339144
-167.639869,0.01339920
-167.589869,0.01341173
-167.539869,0.01344305
-167.489869,0.01348861
-167.439869,0.01354643
-167.389869,0.01358979
-167.339869,0.01361174
-167.289869,0.01363250
-167.239869,0.01366679
-167.189869,0.01371596
-167.139869,0.01375578
-167.089869,0.01377771
-167.039869,0.01378588
-166.989869,0.01379171
-166.939869,0.01381385
-166.889869,0.01385536
-166.839869,0.01390745
-166.789869,0.01394987
-166.739869,0.01397781
-166.689869,0.01399946
-166.639869,0.01402271
-166.589869,0.01405303
-166.539869,0.01408265
-166.489869,0.01410953
-166.439869,0.01413018
-166.389869,0.01414143
-166.339869,0.01415654
-166.289869,0.01418732
-166.239869,0.01422863
-166.189869,0.01427071
-166.139869,0.01430544
-166.089869,0.01432244
-166.039869,0.01433088
-165.989869,0.01434285
-165.939869,0.01435581
-165.889869,0.01436944
-165.839869,0.01438694
-165.789869,0.01441355
-165.739869,0.01443794
-165.689869,0.01444945
-165.639869,0.01446128
-165.589869,0.01448508
-165.539869,0.01451809
-165.489869,0.01454948
-165.439869,0.01456810
-165.389869,0.01456524
-165.339869,0.01454935
-165.289869,0.01454681
-165.239869,0.01456988
-165.189869,0.01459906
-165.139869,0.01461886
-165.089869,0.01463543
-165.039869,0.01464732
-164.989869,0.01466006
-164.939869,0.01467604
-164.889869,0.01468663
-164.839869,0.01468975
-164.789869,0.01468597
-164.739869,0.01469672
-164.689869,0.01472773
-164.639869,0.01476420
-164.589869,0.01479772
-164.539869,0.01481622
-164.489869,0.01481846
-164.439869,0.01480440
-164.389869,0.01478789
-164.339869,0.01478784
-164.289869,0.01480943
-164.239869,0.01485171
-164.189869,0.01489236
-164.139869,0.01491628
-164.089869,0.01492875
-164.039869,0.01494285
-163.989869,0.01495888
-163.939869,0.01496419
-163.889869,0.01496812
-163.839869,0.01498639
-163.789869,0.01502020
-163.739869,0.01506005
-163.689869,0.01509375
-163.639869,0.01510501
-163.589869,0.01509797
-163.539869,0.01509569
-163.489869,0.01510635
-163.439869,0.01514017
-163.389869,0.01517867
-163.339869,0.01519607
-163.289869,0.01520335
-163.239869,0.01520742
-163.189869,0.01522031
-163.139869,0.01524049
-163.089869,0.01525209
-163.039869,0.01526008
-162.989869,0.01526877
-162.939869,0.01528458
-162.889869,0.01530391
-162.839869,0.01531991
-162.789869,0.01534069
-162.739869,0.01535789
-162.689869,0.01536097
-162.639869,0.01535650
-162.589869,0.01536085
-162.539869,0.01538412
-162.489869,0.01542038
-162.439869,0.01545785
-162.389869,0.01547404
-162.339869,0.01546866
-162.289869,0.01546360
-162.239869,0.01546974
-162.189869,0.01549203
-162.139869,0.01551728
-162.089869,0.01553810
-162.039869,0.01555319
-161.989869,0.01555591
-161.939869,0.01555293
-161.889869,0.01555399
-161.839869,0.01557602
-161.789869,0.01560754
-161.739869,0.01562427
-161.689869,0.01563023
-161.639869,0.01562574
-161.589869,0.01562352
-161.539869,0.01563411
-161.489869,0.01564784
-161.439869,0.01565816
-161.389869,0.01565888
-161.339869,0.01565810
-161.289869,0.01566878
-161.239869,0.01568488
-161.189869,0.01569850
-161.139869,0.01571689
-161.089869,0.01573230
-161.039869,0.01572852
-160.989869,0.01572856
-160.939869,0.01574697
-160.889869,0.01576000
-160.839869,0.01576774
-160.789869,0.01578402
-160.739869,0.01579806
-160.689869,0.01580744
-160.639869,0.01581381
-160.589869,0.01581314
-160.539869,0.01581289
-160.489869,0.01581014
-160.439869,0.01581518
-160.389869,0.01584613
-160.339869,0.01589047
-160.289869,0.01592549
-160.239869,0.01592652
-160.189869,0.01589479
-160.139869,0.01585787
-160.089869,0.01584273
-160.039869,0.01586023
-159.989869,0.01588523
-159.939869,0.01589973
-159.889869,0.01590365
-159.839869,0.01589895
-159.789869,0.01588991
-159.739869,0.01587394
-159.689869,0.01586253
-159.639869,0.01586507
-159.589869,0.01587108
-159.539869,0.01587155
-159.489869,0.01585884
-159.439869,0.01583132
-159.389869,0.01580239
-159.339869,0.01578610
-159.289869,0.01579404
-159.239869,0.01581630
-159.189869,0.01582542
-159.139869,0.01582368
-159.089869,0.01580670
-159.039869,0.01577713
-158.989869,0.01576272
-158.939869,0.01575547
-158.889869,0.01574977
-158.839869,0.01574283
