time,displacement
-179.976855,0.00510651
-179.951855,0.00509447
-179.926855,0.00508246
-179.901855,0.00507046
-179.876855,0.00505848
-179.851855,0.00504652
-179.826855,0.00503457
-179.801855,0.00502265
-179.776855,0.00501075
-179.751855,0.00499886
-179.726855,0.00498697
-179.701855,0.00497510
-179.676855,0.00496326
-179.651855,0.00495146
-179.626855,0.00493968
-179.601855,0.00492793
-179.576855,0.00491618
-179.551855,0.00490444
-179.526855,0.00489271
-179.501855,0.00488100
-179.476855,0.00486933
-179.451855,0.00485768
-179.426855,0.00484604
-179.401855,0.00483437
-179.376855,0.00482265
-179.351855,0.00481087
-179.326855,0.00479907
-179.301855,0.00478728
-179.276855,0.00477553
-179.251855,0.00476380
-179.226855,0.00475206
-179.201855,0.00474032
-179.176855,0.00472858
-179.151855,0.00471684
-179.126855,0.00470510
-179.101855,0.00469332
-179.076855,0.00468150
-179.051855,0.00466964
-179.026855,0.00465774
-179.001855,0.00464583
-178.976855,0.00463390
-178.951855,0.00462199
-178.926855,0.00461012
-178.901855,0.00459830
-178.876855,0.00458649
-178.851855,0.00457468
-178.826855,0.00456288
-178.801855,0.00455108
-178.776855,0.00453927
-178.751855,0.00452741
-178.726855,0.00451549
-178.701855,0.00450353
-178.676855,0.00449159
-178.651855,0.00447969
-178.626855,0.00446780
-178.601855,0.00445587
-178.576855,0.00444389
-178.551855,0.00443188
-178.526855,0.00441985
-178.501855,0.00440781
-178.476855,0.00439578
-178.451855,0.00438380
-178.426855,0.00437188
-178.401855,0.00436002
-178.376855,0.00434818
-178.351855,0.00433634
-178.326855,0.00432451
-178.301855,0.00431269
-178.276855,0.00430087
-178.251855,0.00428910
-178.226855,0.00427739
-178.201855,0.00426575
-178.176855,0.00425414
-178.151855,0.00424251
-178.126855,0.00423089
-178.101855,0.00421940
-178.076855,0.00420812
-178.051855,0.00419703
-178.026855,0.00418600
-178.001855,0.00417491
-177.976855,0.00416378
-177.951855,0.00415266
-177.926855,0.00414154
-177.901855,0.00413036
-177.876855,0.00411910
