time,displacement
-180.000000,0.00119355
-179.975000,0.00119120
-179.950000,0.00118891
-179.925000,0.00118668
-179.900000,0.00118449
-179.875000,0.00118235
-179.850000,0.00118024
-179.825000,0.00117818
-179.800000,0.00117614
-179.775000,0.00117410
-179.750000,0.00117204
-179.725000,0.00116998
-179.700000,0.00116793
-179.675000,0.00116587
-179.650000,0.00116375
-179.625000,0.00116153
-179.600000,0.00115917
-179.575000,0.00115668
-179.550000,0.00115410
-179.525000,0.00115147
-179.500000,0.00114879
-179.475000,0.00114600
-179.450000,0.00114302
-179.425000,0.00113985
-179.400000,0.00113652
-179.375000,0.00113308
-179.350000,0.00112952
-179.325000,0.00112577
-179.300000,0.00112175
-179.275000,0.00111742
-179.250000,0.00111278
-179.225000,0.00110786
-179.200000,0.00110266
-179.175000,0.00109724
-179.150000,0.00109168
-179.125000,0.00108597
-179.100000,0.00108004
-179.075000,0.00107379
-179.050000,0.00106722
-179.025000,0.00106041
-179.000000,0.00105343
-178.975000,0.00104627
-178.950000,0.00103886
-178.925000,0.00103119
-178.900000,0.00102325
-178.875000,0.00101500
-178.850000,0.00100638
-178.825000,0.00099742
-178.800000,0.00098829
-178.775000,0.00097915
-178.750000,0.00096998
-178.725000,0.00096061
-178.700000,0.00095093
-178.675000,0.00094103
-178.650000,0.00093114
-178.625000,0.00092140
-178.600000,0.00091173
-178.575000,0.00090201
-178.550000,0.00089219
-178.525000,0.00088235
-178.500000,0.00087255
-178.475000,0.00086282
-178.450000,0.00085319
-178.425000,0.00084371
-178.400000,0.00083445
-178.375000,0.00082545
-178.350000,0.00081665
-178.325000,0.00080804
-178.300000,0.00079966
-178.275000,0.00079160
-178.250000,0.00078396
-178.225000,0.00077682
-178.200000,0.00077024
-178.175000,0.00076417
-178.150000,0.00075849
-178.125000,0.00075309
-178.100000,0.00074800
-178.075000,0.00074343
-178.050000,0.00073954
-178.025000,0.00073635
-178.000000,0.00073372
-177.975000,0.00073159
-177.950000,0.00073001
-177.925000,0.00072913
-177.900000,0.00072900
-177.875000,0.00072958
-177.850000,0.00073079
-177.825000,0.00073267
-177.800000,0.00073532
-177.775000,0.00073881
-177.750000,0.00074312
-177.725000,0.00074814
-177.700000,0.00075381
-177.675000,0.00076009
-177.650000,0.00076699
-177.625000,0.00077457
-177.600000,0.00078283
-177.575000,0.00079177
-177.550000,0.00080132
-177.525000,0.00081143
-177.500000,0.00082206
-177.475000,0.00083318
-177.450000,0.00084480
-177.425000,0.00085693
-177.400000,0.00086957
-177.375000,0.00088272
-177.350000,0.00089627
-177.325000,0.00091003
-177.300000,0.00092385
-177.275000,0.00093773
-177.250000,0.00095179
-177.225000,0.00096606
-177.200000,0.00098034
-177.175000,0.00099433
-177.150000,0.00100791
-177.125000,0.00102123
-177.100000,0.00103453
-177.075000,0.00104785
-177.050000,0.00106095
-177.025000,0.00107351
-177.000000,0.00108537
-176.975000,0.00109655
-176.950000,0.00110714
-176.925000,0.00111721
-176.900000,0.00112679
-176.875000,0.00113588
-176.850000,0.00114438
-176.825000,0.00115205
-176.800000,0.00115875
-176.775000,0.00116455
-176.750000,0.00116970
-176.725000,0.00117431
-176.700000,0.00117814
-176.675000,0.00118083
-176.650000,0.00118215
-176.625000,0.00118216
-176.600000,0.00118109
-176.575000,0.00117912
-176.550000,0.00117636
-176.525000,0.00117288
-176.500000,0.00116863
-176.475000,0.00116343
-176.450000,0.00115705
-176.425000,0.00114951
-176.400000,0.00114113
-176.375000,0.00113227
-176.350000,0.00112299
-176.325000,0.00111304
-176.300000,0.00110220
-176.275000,0.00109053
-176.250000,0.00107834
-176.225000,0.00106580
-176.200000,0.00105286
-176.175000,0.00103935
-176.150000,0.00102528
-176.125000,0.00101075
-176.100000,0.00099591
-176.075000,0.00098078
-176.050000,0.00096534
-176.025000,0.00094961
-176.000000,0.00093374
-175.975000,0.00091803
-175.950000,0.00090280
-175.925000,0.00088818
-175.900000,0.00087398
-175.875000,0.00085988
-175.850000,0.00084574
-175.825000,0.00083181
-175.800000,0.00081842
-175.775000,0.00080560
-175.750000,0.00079309
-175.725000,0.00078078
-175.700000,0.00076898
-175.675000,0.00075816
-175.650000,0.00074847
-175.625000,0.00073955
-175.600000,0.00073108
-175.575000,0.00072319
-175.550000,0.00071638
-175.525000,0.00071100
-175.500000,0.00070694
-175.475000,0.00070399
-175.450000,0.00070222
-175.425000,0.00070184
-175.400000,0.00070283
-175.375000,0.00070484
-175.350000,0.00070761
-175.325000,0.00071137
-175.300000,0.00071657
-175.275000,0.00072337
-175.250000,0.00073144
-175.225000,0.00074037
-175.200000,0.00075017
-175.175000,0.00076116
-175.150000,0.00077347
-175.125000,0.00078677
-175.100000,0.00080060
-175.075000,0.00081484
-175.050000,0.00082976
-175.025000,0.00084568
-175.000000,0.00086259
-174.975000,0.00088033
-174.950000,0.00089873
-174.925000,0.00091781
-174.900000,0.00093758
-174.875000,0.00095800
-174.850000,0.00097893
-174.825000,0.00100034
-174.800000,0.00102229
-174.775000,0.00104494
-174.750000,0.00106842
-174.725000,0.00109262
-174.700000,0.00111723
-174.675000,0.00114184
-174.650000,0.00116632
-174.625000,0.00119092
-174.600000,0.00121601
-174.575000,0.00124161
-174.550000,0.00126726
-174.525000,0.00129248
-174.500000,0.00131726
-174.475000,0.00134203
-174.450000,0.00136705
-174.425000,0.00139210
-174.400000,0.00141682
-174.375000,0.00144116
-174.350000,0.00146533
-174.325000,0.00148922
-174.300000,0.00151229
-174.275000,0.00153400
-174.250000,0.00155447
-174.225000,0.00157418
-174.200000,0.00159323
-174.175000,0.00161104
-174.150000,0.00162717
-174.125000,0.00164189
-174.100000,0.00165581
-174.075000,0.00166880
-174.050000,0.00167983
-174.025000,0.00168818
-174.000000,0.00169435
-173.975000,0.00169955
-173.950000,0.00170404
-173.925000,0.00170677
-173.900000,0.00170664
-173.875000,0.00170385
-173.850000,0.00169940
-173.825000,0.00169347
-173.800000,0.00168486
-173.775000,0.00167241
-173.750000,0.00165646
-173.725000,0.00163855
-173.700000,0.00161959
-173.675000,0.00159901
-173.650000,0.00157585
-173.625000,0.00155012
-173.600000,0.00152266
-173.575000,0.00149384
-173.550000,0.00146304
-173.525000,0.00142966
-173.500000,0.00139413
-173.475000,0.00135743
-173.450000,0.00131991
-173.425000,0.00128107
-173.400000,0.00124056
-173.375000,0.00119889
-173.350000,0.00115671
-173.325000,0.00111395
-173.300000,0.00107002
-173.275000,0.00102493
-173.250000,0.00097955
-173.225000,0.00093451
-173.200000,0.00088939
-173.175000,0.00084335
-173.150000,0.00079649
-173.125000,0.00074985
-173.100000,0.00070416
-173.075000,0.00065909
-173.050000,0.00061426
-173.025000,0.00057031
-173.000000,0.00052843
-172.975000,0.00048882
-172.950000,0.00045035
-172.925000,0.00041222
-172.900000,0.00037512
-172.875000,0.00034012
-172.850000,0.00030679
-172.825000,0.00027343
-172.800000,0.00023947
-172.775000,0.00020677
-172.750000,0.00017759
-172.725000,0.00015187
-172.700000,0.00012735
-172.675000,0.00010267
-172.650000,0.00007909
-172.625000,0.00005854
-172.600000,0.00004080
-172.575000,0.00002389
-172.550000,0.00000705
-172.525000,-0.00000790
-172.500000,-0.00001901
-172.475000,-0.00002685
-172.450000,-0.00003349
-172.425000,-0.00003939
-172.400000,-0.00004263
-172.375000,-0.00004188
-172.350000,-0.00003866
-172.325000,-0.00003533
-172.300000,-0.00003168
-172.275000,-0.00002501
-172.250000,-0.00001397
-172.225000,-0.00000074
-172.200000,0.00001174
-172.175000,0.00002376
-172.150000,0.00003856
-172.125000,0.00005796
-172.100000,0.00008003
-172.075000,0.00010164
-172.050000,0.00012239
-172.025000,0.00014453
-172.000000,0.00016938
-171.975000,0.00019569
-171.950000,0.00022185
-171.925000,0.00024848
-171.900000,0.00027745
-171.875000,0.00030907
-171.850000,0.00034150
-171.825000,0.00037346
-171.800000,0.00040585
-171.775000,0.00044014
-171.750000,0.00047586
-171.725000,0.00051108
-171.700000,0.00054521
-171.675000,0.00058003
-171.650000,0.00061740
-171.625000,0.00065673
-171.600000,0.00069571
-171.575000,0.00073313
-171.550000,0.00076986
-171.525000,0.00080717
-171.500000,0.00084492
-171.475000,0.00088215
-171.450000,0.00091849
-171.425000,0.00095412
-171.400000,0.00098845
-171.375000,0.00102004
-171.350000,0.00104834
-171.325000,0.00107481
-171.300000,0.00110143
-171.275000,0.00112823
-171.250000,0.00115306
-171.225000,0.00117407
-171.200000,0.00119192
-171.175000,0.00120911
-171.150000,0.00122721
-171.125000,0.00124540
-171.100000,0.00126137
-171.075000,0.00127347
-171.050000,0.00128162
-171.025000,0.00128684
-171.000000,0.00129035
-170.975000,0.00129301
-170.950000,0.00129486
-170.925000,0.00129501
-170.900000,0.00129227
-170.875000,0.00128641
-170.850000,0.00127868
-170.825000,0.00127084
-170.800000,0.00126334
-170.775000,0.00125500
-170.750000,0.00124448
-170.725000,0.00123189
-170.700000,0.00121854
-170.675000,0.00120500
-170.650000,0.00119008
-170.625000,0.00117208
-170.600000,0.00115106
-170.575000,0.00112914
-170.550000,0.00110851
-170.525000,0.00108936
-170.500000,0.00107006
-170.475000,0.00104918
-170.450000,0.00102694
-170.425000,0.00100451
-170.400000,0.00098251
-170.375000,0.00096059
-170.350000,0.00093836
-170.325000,0.00091618
-170.300000,0.00089465
-170.275000,0.00087376
-170.250000,0.00085277
-170.225000,0.00083098
-170.200000,0.00080850
-170.175000,0.00078605
-170.150000,0.00076452
-170.125000,0.00074445
-170.100000,0.00072584
-170.075000,0.00070810
-170.050000,0.00069031
-170.025000,0.00067198
-170.000000,0.00065368
-169.975000,0.00063665
-169.950000,0.00062152
-169.925000,0.00060753
-169.900000,0.00059312
-169.875000,0.00057750
-169.850000,0.00056154
-169.825000,0.00054697
-169.800000,0.00053474
-169.775000,0.00052422
-169.750000,0.00051388
-169.725000,0.00050289
-169.700000,0.00049191
-169.675000,0.00048253
-169.650000,0.00047574
-169.625000,0.00047083
-169.600000,0.00046605
-169.575000,0.00046034
-169.550000,0.00045455
-169.525000,0.00045056
-169.500000,0.00044927
-169.475000,0.00044959
-169.450000,0.00044975
-169.425000,0.00044945
-169.400000,0.00045022
-169.375000,0.00045340
-169.350000,0.00045823
-169.325000,0.00046233
-169.300000,0.00046419
-169.275000,0.00046469
-169.250000,0.00046622
-169.225000,0.00047043
-169.200000,0.00047737
-169.175000,0.00048627
-169.150000,0.00049650
-169.125000,0.00050749
-169.100000,0.00051826
-169.075000,0.00052783
-169.050000,0.00053622
-169.025000,0.00054475
-169.000000,0.00055491
-168.975000,0.00056713
-168.950000,0.00058075
-168.925000,0.00059482
-168.900000,0.00060867
-168.875000,0.00062188
-168.850000,0.00063422
-168.825000,0.00064626
-168.800000,0.00065940
-168.775000,0.00067481
-168.750000,0.00069186
-168.725000,0.00070830
-168.700000,0.00072229
-168.675000,0.00073414
-168.650000,0.00074570
-168.625000,0.00075812
-168.600000,0.00077074
-168.575000,0.00078244
-168.550000,0.00079333
-168.525000,0.00080457
-168.500000,0.00081647
-168.475000,0.00082780
-168.450000,0.00083721
-168.425000,0.00084489
-168.400000,0.00085221
-168.375000,0.00085968
-168.350000,0.00086633
-168.325000,0.00087117
-168.300000,0.00087473
-168.275000,0.00087830
-168.250000,0.00088183
-168.225000,0.00088367
-168.200000,0.00088255
-168.175000,0.00087931
-168.150000,0.00087598
-168.125000,0.00087341
-168.100000,0.00087060
-168.075000,0.00086629
-168.050000,0.00086044
-168.025000,0.00085366
-168.000000,0.00084583
-167.975000,0.00083627
-167.950000,0.00082514
-167.925000,0.00081355
-167.900000,0.00080176
-167.875000,0.00078790
-167.850000,0.00076966
-167.825000,0.00074709
-167.800000,0.00072306
-167.775000,0.00070036
-167.750000,0.00067898
-167.725000,0.00065670
-167.700000,0.00063198
-167.675000,0.00060535
-167.650000,0.00057796
-167.625000,0.00054973
-167.600000,0.00051968
-167.575000,0.00048771
-167.550000,0.00045486
-167.525000,0.00042189
-167.500000,0.00038826
-167.475000,0.00035299
-167.450000,0.00031616
-167.425000,0.00027857
-167.400000,0.00024016
-167.375000,0.00019966
-167.350000,0.00015631
-167.325000,0.00011151
-167.300000,0.00006785
-167.275000,0.00002648
-167.250000,-0.00001407
-167.225000,-0.00005623
-167.200000,-0.00010100
-167.175000,-0.00014767
-167.150000,-0.00019552
-167.125000,-0.00024485
-167.100000,-0.00029579
-167.075000,-0.00034671
-167.050000,-0.00039478
-167.025000,-0.00043865
-167.000000,-0.00048015
-166.975000,-0.00052280
-166.950000,-0.00056831
-166.925000,-0.00061502
-166.900000,-0.00065962
-166.875000,-0.00070043
-166.850000,-0.00073847
-166.825000,-0.00077557
-166.800000,-0.00081194
-166.775000,-0.00084619
-166.750000,-0.00087742
-166.725000,-0.00090667
-166.700000,-0.00093586
-166.675000,-0.00096556
-166.650000,-0.00099405
-166.625000,-0.00101895
-166.600000,-0.00103933
-166.575000,-0.00105615
-166.550000,-0.00107089
-166.525000,-0.00108406
-166.500000,-0.00109501
-166.475000,-0.00110292
-166.450000,-0.00110770
-166.425000,-0.00111007
-166.400000,-0.00111110
-166.375000,-0.00111135
-166.350000,-0.00111040
-166.325000,-0.00110704
-166.300000,-0.00110039
-166.275000,-0.00109084
-166.250000,-0.00107981
-166.225000,-0.00106828
-166.200000,-0.00105549
-166.175000,-0.00103945
-166.150000,-0.00101887
-166.125000,-0.00099436
-166.100000,-0.00096773
-166.075000,-0.00094042
-166.050000,-0.00091292
-166.025000,-0.00088542
-166.000000,-0.00085840
-165.975000,-0.00083193
-165.950000,-0.00080475
-165.925000,-0.00077469
-165.900000,-0.00074056
-165.875000,-0.00070373
-165.850000,-0.00066745
-165.825000,-0.00063433
-165.800000,-0.00060427
-165.775000,-0.00057466
