time,displacement
-180.000000,-0.00208507
-179.975000,-0.00208707
-179.950000,-0.00208901
-179.925000,-0.00209090
-179.900000,-0.00209275
-179.875000,-0.00209455
-179.850000,-0.00209632
-179.825000,-0.00209805
-179.800000,-0.00209977
-179.775000,-0.00210149
-179.750000,-0.00210321
-179.725000,-0.00210493
-179.700000,-0.00210665
-179.675000,-0.00210841
-179.650000,-0.00211020
-179.625000,-0.00211203
-179.600000,-0.00211389
-179.575000,-0.00211578
-179.550000,-0.00211773
-179.525000,-0.00211976
-179.500000,-0.00212184
-179.475000,-0.00212396
-179.450000,-0.00212614
-179.425000,-0.00212838
-179.400000,-0.00213069
-179.375000,-0.00213305
-179.350000,-0.00213547
-179.325000,-0.00213797
-179.300000,-0.00214058
-179.275000,-0.00214329
-179.250000,-0.00214607
-179.225000,-0.00214894
-179.200000,-0.00215189
-179.175000,-0.00215489
-179.150000,-0.00215788
-179.125000,-0.00216084
-179.100000,-0.00216383
-179.075000,-0.00216695
-179.050000,-0.00217022
-179.025000,-0.00217362
-179.000000,-0.00217709
-178.975000,-0.00218063
-178.950000,-0.00218421
-178.925000,-0.00218781
-178.900000,-0.00219135
-178.875000,-0.00219483
-178.850000,-0.00219830
-178.825000,-0.00220176
-178.800000,-0.00220515
-178.775000,-0.00220840
-178.750000,-0.00221148
-178.725000,-0.00221445
-178.700000,-0.00221734
-178.675000,-0.00222011
-178.650000,-0.00222267
-178.625000,-0.00222497
-178.600000,-0.00222704
-178.575000,-0.00222897
-178.550000,-0.00223078
-178.525000,-0.00223248
-178.500000,-0.00223408
-178.475000,-0.00223555
-178.450000,-0.00223682
-178.425000,-0.00223784
-178.400000,-0.00223858
-178.375000,-0.00223909
-178.350000,-0.00223939
-178.325000,-0.00223949
-178.300000,-0.00223933
-178.275000,-0.00223887
-178.250000,-0.00223809
-178.225000,-0.00223701
-178.200000,-0.00223560
-178.175000,-0.00223382
-178.150000,-0.00223169
-178.125000,-0.00222925
-178.100000,-0.00222653
-178.075000,-0.00222349
-178.050000,-0.00222003
-178.025000,-0.00221614
-178.000000,-0.00221188
-177.975000,-0.00220739
-177.950000,-0.00220277
-177.925000,-0.00219795
-177.900000,-0.00219283
-177.875000,-0.00218735
-177.850000,-0.00218158
-177.825000,-0.00217563
-177.800000,-0.00216951
-177.775000,-0.00216311
-177.750000,-0.00215631
-177.725000,-0.00214912
-177.700000,-0.00214172
-177.675000,-0.00213427
-177.650000,-0.00212681
-177.625000,-0.00211923
-177.600000,-0.00211151
-177.575000,-0.00210372
-177.550000,-0.00209598
-177.525000,-0.00208832
-177.500000,-0.00208062
-177.475000,-0.00207280
-177.450000,-0.00206495
-177.425000,-0.00205721
-177.400000,-0.00204964
-177.375000,-0.00204208
-177.350000,-0.00203435
-177.325000,-0.00202644
-177.300000,-0.00201855
-177.275000,-0.00201085
-177.250000,-0.00200336
-177.225000,-0.00199593
-177.200000,-0.00198849
-177.175000,-0.00198114
-177.150000,-0.00197405
-177.125000,-0.00196731
-177.100000,-0.00196089
-177.075000,-0.00195478
-177.050000,-0.00194910
-177.025000,-0.00194400
-177.000000,-0.00193958
-176.975000,-0.00193582
-176.950000,-0.00193268
-176.925000,-0.00193025
-176.900000,-0.00192868
-176.875000,-0.00192809
-176.850000,-0.00192845
-176.825000,-0.00192964
-176.800000,-0.00193160
-176.775000,-0.00193431
-176.750000,-0.00193781
-176.725000,-0.00194211
-176.700000,-0.00194718
-176.675000,-0.00195305
-176.650000,-0.00195987
-176.625000,-0.00196785
-176.600000,-0.00197703
-176.575000,-0.00198726
-176.550000,-0.00199823
-176.525000,-0.00200983
-176.500000,-0.00202220
-176.475000,-0.00203562
-176.450000,-0.00205021
-176.425000,-0.00206575
-176.400000,-0.00208185
-176.375000,-0.00209829
-176.350000,-0.00211515
-176.325000,-0.00213269
-176.300000,-0.00215106
-176.275000,-0.00217013
-176.250000,-0.00218962
-176.225000,-0.00220940
-176.200000,-0.00222964
-176.175000,-0.00225059
-176.150000,-0.00227231
-176.125000,-0.00229450
-176.100000,-0.00231677
-176.075000,-0.00233890
-176.050000,-0.00236098
-176.025000,-0.00238313
-176.000000,-0.00240523
-175.975000,-0.00242699
-175.950000,-0.00244821
-175.925000,-0.00246898
-175.900000,-0.00248945
-175.875000,-0.00250964
-175.850000,-0.00252937
-175.825000,-0.00254849
-175.800000,-0.00256705
-175.775000,-0.00258508
-175.750000,-0.00260249
-175.725000,-0.00261905
-175.700000,-0.00263463
-175.675000,-0.00264930
-175.650000,-0.00266315
-175.625000,-0.00267620
-175.600000,-0.00268837
-175.575000,-0.00269964
-175.550000,-0.00270996
-175.525000,-0.00271920
-175.500000,-0.00272711
-175.475000,-0.00273353
-175.450000,-0.00273862
-175.425000,-0.00274268
-175.400000,-0.00274595
-175.375000,-0.00274837
-175.350000,-0.00274967
-175.325000,-0.00274952
-175.300000,-0.00274775
-175.275000,-0.00274437
-175.250000,-0.00273962
-175.225000,-0.00273390
-175.200000,-0.00272746
-175.175000,-0.00272024
-175.150000,-0.00271204
-175.125000,-0.00270284
-175.100000,-0.00269293
-175.075000,-0.00268253
-175.050000,-0.00267152
-175.025000,-0.00265956
-175.000000,-0.00264663
-174.975000,-0.00263328
-174.950000,-0.00262011
-174.925000,-0.00260717
-174.900000,-0.00259395
-174.875000,-0.00258000
-174.850000,-0.00256551
-174.825000,-0.00255111
-174.800000,-0.00253716
-174.775000,-0.00252346
-174.750000,-0.00250961
-174.725000,-0.00249558
-174.700000,-0.00248178
-174.675000,-0.00246864
-174.650000,-0.00245624
-174.625000,-0.00244436
-174.600000,-0.00243276
-174.575000,-0.00242139
-174.550000,-0.00241033
-174.525000,-0.00239968
-174.500000,-0.00238949
-174.475000,-0.00237978
-174.450000,-0.00237057
-174.425000,-0.00236197
-174.400000,-0.00235411
-174.375000,-0.00234712
-174.350000,-0.00234100
-174.325000,-0.00233561
-174.300000,-0.00233075
-174.275000,-0.00232632
-174.250000,-0.00232225
-174.225000,-0.00231854
-174.200000,-0.00231534
-174.175000,-0.00231282
-174.150000,-0.00231096
-174.125000,-0.00230934
-174.100000,-0.00230755
-174.075000,-0.00230579
-174.050000,-0.00230488
-174.025000,-0.00230541
-174.000000,-0.00230698
-173.975000,-0.00230860
-173.950000,-0.00230994
-173.925000,-0.00231189
-173.900000,-0.00231545
-173.875000,-0.00232045
-173.850000,-0.00232566
-173.825000,-0.00233038
-173.800000,-0.00233549
-173.775000,-0.00234237
-173.750000,-0.00235113
-173.725000,-0.00236038
-173.700000,-0.00236896
-173.675000,-0.00237723
-173.650000,-0.00238645
-173.625000,-0.00239707
-173.600000,-0.00240832
-173.575000,-0.00241927
-173.550000,-0.00242998
-173.525000,-0.00244101
-173.500000,-0.00245248
-173.475000,-0.00246398
-173.450000,-0.00247535
-173.425000,-0.00248684
-173.400000,-0.00249852
-173.375000,-0.00250987
-173.350000,-0.00252054
-173.325000,-0.00253108
-173.300000,-0.00254228
-173.275000,-0.00255386
-173.250000,-0.00256445
-173.225000,-0.00257322
-173.200000,-0.00258114
-173.175000,-0.00259001
-173.150000,-0.00260042
-173.125000,-0.00261120
-173.100000,-0.00262099
-173.075000,-0.00262982
-173.050000,-0.00263854
-173.025000,-0.00264739
-173.000000,-0.00265561
-172.975000,-0.00266263
-172.950000,-0.00266887
-172.925000,-0.00267518
-172.900000,-0.00268190
-172.875000,-0.00268900
-172.850000,-0.00269667
-172.825000,-0.00270516
-172.800000,-0.00271396
-172.775000,-0.00272182
-172.750000,-0.00272809
-172.725000,-0.00273366
-172.700000,-0.00273993
-172.675000,-0.00274705
-172.650000,-0.00275396
-172.625000,-0.00276001
-172.600000,-0.00276603
-172.575000,-0.00277307
-172.550000,-0.00278070
-172.525000,-0.00278731
-172.500000,-0.00279217
-172.475000,-0.00279630
-172.450000,-0.00280086
