time,displacement
-180.000000,0.00402603
-179.975000,0.00403178
-179.950000,0.00403746
-179.925000,0.00404308
-179.900000,0.00404863
-179.875000,0.00405406
-179.850000,0.00405939
-179.825000,0.00406463
-179.800000,0.00406980
-179.775000,0.00407486
-179.750000,0.00407982
-179.725000,0.00408467
-179.700000,0.00408947
-179.675000,0.00409421
-179.650000,0.00409881
-179.625000,0.00410323
-179.600000,0.00410754
-179.575000,0.00411188
-179.550000,0.00411632
-179.525000,0.00412076
-179.500000,0.00412502
-179.475000,0.00412904
-179.450000,0.00413292
-179.425000,0.00413683
-179.400000,0.00414086
-179.375000,0.00414492
-179.350000,0.00414890
-179.325000,0.00415274
-179.300000,0.00415651
-179.275000,0.00416028
-179.250000,0.00416407
-179.225000,0.00416782
-179.200000,0.00417147
-179.175000,0.00417507
-179.150000,0.00417873
-179.125000,0.00418259
-179.100000,0.00418670
-179.075000,0.00419098
-179.050000,0.00419527
-179.025000,0.00419948
-179.000000,0.00420361
-178.975000,0.00420775
-178.950000,0.00421195
-178.925000,0.00421618
-178.900000,0.00422043
-178.875000,0.00422481
-178.850000,0.00422950
-178.825000,0.00423454
-178.800000,0.00423970
-178.775000,0.00424460
-178.750000,0.00424910
-178.725000,0.00425342
-178.700000,0.00425799
-178.675000,0.00426300
-178.650000,0.00426827
-178.625000,0.00427344
-178.600000,0.00427838
-178.575000,0.00428325
-178.550000,0.00428822
-178.525000,0.00429326
-178.500000,0.00429819
-178.475000,0.00430295
-178.450000,0.00430759
-178.425000,0.00431214
-178.400000,0.00431651
-178.375000,0.00432056
-178.350000,0.00432442
-178.325000,0.00432838
-178.300000,0.00433262
-178.275000,0.00433697
-178.250000,0.00434104
-178.225000,0.00434464
-178.200000,0.00434792
-178.175000,0.00435120
-178.150000,0.00435466
-178.125000,0.00435823
-178.100000,0.00436172
-178.075000,0.00436504
-178.050000,0.00436817
-178.025000,0.00437113
-178.000000,0.00437398
-177.975000,0.00437682
-177.950000,0.00437972
-177.925000,0.00438260
-177.900000,0.00438528
-177.875000,0.00438770
-177.850000,0.00439010
-177.825000,0.00439275
-177.800000,0.00439568
-177.775000,0.00439854
-177.750000,0.00440107
-177.725000,0.00440343
-177.700000,0.00440614
-177.675000,0.00440946
-177.650000,0.00441309
-177.625000,0.00441658
-177.600000,0.00441990
-177.575000,0.00442351
-177.550000,0.00442773
-177.525000,0.00443228
-177.500000,0.00443665
-177.475000,0.00444081
-177.450000,0.00444532
-177.425000,0.00445063
-177.400000,0.00445653
-177.375000,0.00446238
-177.350000,0.00446804
-177.325000,0.00447414
-177.300000,0.00448133
-177.275000,0.00448949
-177.250000,0.00449782
-177.225000,0.00450569
-177.200000,0.00451335
-177.175000,0.00452151
-177.150000,0.00453051
-177.125000,0.00454003
-177.100000,0.00454951
-177.075000,0.00455878
-177.050000,0.00456811
-177.025000,0.00457778
-177.000000,0.00458774
-176.975000,0.00459785
-176.950000,0.00460816
-176.925000,0.00461898
-176.900000,0.00463055
-176.875000,0.00464268
-176.850000,0.00465481
