time,displacement
-179.976856,-0.00095233
-179.926856,-0.00096208
-179.876856,-0.00097180
-179.826856,-0.00098148
-179.776856,-0.00099112
-179.726856,-0.00100072
-179.676856,-0.00101030
-179.626856,-0.00101984
-179.576856,-0.00102935
-179.526856,-0.00103883
-179.476856,-0.00104828
-179.426856,-0.00105770
-179.376856,-0.00106709
-179.326856,-0.00107646
-179.276856,-0.00108581
-179.226856,-0.00109512
-179.176856,-0.00110442
-179.126856,-0.00111369
-179.076856,-0.00112294
-179.026856,-0.00113216
-178.976856,-0.00114136
-178.926856,-0.00115052
-178.876856,-0.00115967
-178.826856,-0.00116878
-178.776856,-0.00117785
-178.726856,-0.00118690
-178.676856,-0.00119591
-178.626856,-0.00120488
-178.576856,-0.00121382
-178.526856,-0.00122273
-178.476856,-0.00123161
-178.426856,-0.00124044
-178.376856,-0.00124922
-178.326856,-0.00125797
-178.276856,-0.00126667
-178.226856,-0.00127531
-178.176856,-0.00128392
-178.126856,-0.00129249
-178.076856,-0.00130100
-178.026856,-0.00130945
-177.976856,-0.00131787
-177.926856,-0.00132624
-177.876856,-0.00133454
-177.826856,-0.00134280
-177.776856,-0.00135102
-177.726856,-0.00135920
-177.676856,-0.00136732
-177.626856,-0.00137540
-177.576856,-0.00138346
-177.526856,-0.00139147
-177.476856,-0.00139945
-177.426856,-0.00140740
-177.376856,-0.00141530
-177.326856,-0.00142317
-177.276856,-0.00143101
-177.226856,-0.00143880
-177.176856,-0.00144659
-177.126856,-0.00145436
-177.076856,-0.00146211
-177.026856,-0.00146985
-176.976856,-0.00147756
-176.926856,-0.00148527
-176.876856,-0.00149297
-176.826856,-0.00150066
-176.776856,-0.00150834
-176.726856,-0.00151601
-176.676856,-0.00152368
-176.626856,-0.00153132
-176.576856,-0.00153896
-176.526856,-0.00154662
-176.476856,-0.00155423
-176.426856,-0.00156184
-176.376856,-0.00156943
-176.326856,-0.00157703
-176.276856,-0.00158462
-176.226856,-0.00159217
-176.176856,-0.00159974
-176.126856,-0.00160729
-176.076856,-0.00161478
-176.026856,-0.00162223
-175.976856,-0.00162967
-175.926856,-0.00163706
-175.876856,-0.00164439
-175.826856,-0.00165167
-175.776856,-0.00165889
-175.726856,-0.00166604
-175.676856,-0.00167307
-175.626856,-0.00168002
-175.576856,-0.00168697
-175.526856,-0.00169385
-175.476856,-0.00170064
-175.426856,-0.00170738
-175.376856,-0.00171406
-175.326856,-0.00172068
-175.276856,-0.00172718
-175.226856,-0.00173368
-175.176856,-0.00174015
-175.126856,-0.00174650
-175.076856,-0.00175280
