time,displacement
-179.976856,0.00088238
-179.926856,0.00084296
-179.876856,0.00080364
-179.826856,0.00076438
-179.776856,0.00072521
-179.726856,0.00068612
-179.676856,0.00064711
-179.626856,0.00060819
-179.576856,0.00056935
-179.526856,0.00053060
-179.476856,0.00049193
-179.426856,0.00045336
-179.376856,0.00041487
-179.326856,0.00037647
-179.276856,0.00033816
-179.226856,0.00029994
-179.176856,0.00026182
-179.126856,0.00022379
-179.076856,0.00018586
-179.026856,0.00014803
-178.976856,0.00011029
-178.926856,0.00007266
-178.876856,0.00003513
-178.826856,-0.00000231
-178.776856,-0.00003965
-178.726856,-0.00007689
-178.676856,-0.00011403
-178.626856,-0.00015106
-178.576856,-0.00018801
-178.526856,-0.00022486
-178.476856,-0.00026161
-178.426856,-0.00029826
-178.376856,-0.00033482
-178.326856,-0.00037128
-178.276856,-0.00040765
-178.226856,-0.00044394
-178.176856,-0.00048014
-178.126856,-0.00051624
-178.076856,-0.00055227
-178.026856,-0.00058822
-177.976856,-0.00062408
-177.926856,-0.00065986
-177.876856,-0.00069558
-177.826856,-0.00073124
-177.776856,-0.00076683
-177.726856,-0.00080236
-177.676856,-0.00083781
-177.626856,-0.00087321
-177.576856,-0.00090855
-177.526856,-0.00094381
-177.476856,-0.00097900
-177.426856,-0.00101413
-177.376856,-0.00104921
-177.326856,-0.00108420
-177.276856,-0.00111911
-177.226856,-0.00115396
-177.176856,-0.00118873
-177.126856,-0.00122341
-177.076856,-0.00125799
-177.026856,-0.00129247
-176.976856,-0.00132685
-176.926856,-0.00136112
-176.876856,-0.00139529
-176.826856,-0.00142935
-176.776856,-0.00146328
-176.726856,-0.00149709
-176.676856,-0.00153077
-176.626856,-0.00156433
-176.576856,-0.00159777
-176.526856,-0.00163107
-176.476856,-0.00166422
-176.426856,-0.00169726
-176.376856,-0.00173016
-176.326856,-0.00176291
-176.276856,-0.00179557
-176.226856,-0.00182811
-176.176856,-0.00186050
-176.126856,-0.00189274
-176.076856,-0.00192487
-176.026856,-0.00195688
-175.976856,-0.00198875
-175.926856,-0.00202050
-175.876856,-0.00205215
-175.826856,-0.00208369
-175.776856,-0.00211508
-175.726856,-0.00214636
-175.676856,-0.00217758
-175.626856,-0.00220867
-175.576856,-0.00223964
-175.526856,-0.00227053
-175.476856,-0.00230139
-175.426856,-0.00233217
-175.376856,-0.00236284
-175.326856,-0.00239344
-175.276856,-0.00242400
-175.226856,-0.00245450
-175.176856,-0.00248488
-175.126856,-0.00251521
-175.076856,-0.00254555
-175.026856,-0.00257581
-174.976856,-0.00260598
-174.926856,-0.00263608
-174.876856,-0.00266614
-174.826856,-0.00269611
-174.776856,-0.00272598
-174.726856,-0.00275585
-174.676856,-0.00278565
-174.626856,-0.00281532
-174.576856,-0.00284487
-174.526856,-0.00287437
-174.476856,-0.00290373
-174.426856,-0.00293291
-174.376856,-0.00296202
-174.326856,-0.00299103
-174.276856,-0.00301991
-174.226856,-0.00304865
-174.176856,-0.00307729
-174.126856,-0.00310585
-174.076856,-0.00313426
-174.026856,-0.00316256
-173.976856,-0.00319078
-173.926856,-0.00321888
-173.876856,-0.00324688
-173.826856,-0.00327474
-173.776856,-0.00330250
-173.726856,-0.00333020
-173.676856,-0.00335782
-173.626856,-0.00338534
-173.576856,-0.00341276
-173.526856,-0.00344012
-173.476856,-0.00346742
-173.426856,-0.00349463
-173.376856,-0.00352175
-173.326856,-0.00354883
-173.276856,-0.00357584
-173.226856,-0.00360274
-173.176856,-0.00362957
-173.126856,-0.00365637
-173.076856,-0.00368313
-173.026856,-0.00370976
-172.976856,-0.00373636
-172.926856,-0.00376298
-172.876856,-0.00378953
-172.826856,-0.00381600
-172.776856,-0.00384245
-172.726856,-0.00386895
-172.676856,-0.00389541
-172.626856,-0.00392176
-172.576856,-0.00394818
-172.526856,-0.00397467
-172.476856,-0.00400114
-172.426856,-0.00402761
-172.376856,-0.00405417
-172.326856,-0.00408079
-172.276856,-0.00410730
-172.226856,-0.00413383
-172.176856,-0.00416051
-172.126856,-0.00418722
-172.076856,-0.00421391
-172.026856,-0.00424061
-171.976856,-0.00426735
-171.926856,-0.00429409
-171.876856,-0.00432075
-171.826856,-0.00434736
-171.776856,-0.00437391
-171.726856,-0.00440034
-171.676856,-0.00442668
-171.626856,-0.00445299
-171.576856,-0.00447916
-171.526856,-0.00450513
-171.476856,-0.00453096
-171.426856,-0.00455666
-171.376856,-0.00458217
-171.326856,-0.00460742
-171.276856,-0.00463248
-171.226856,-0.00465744
-171.176856,-0.00468218
-171.126856,-0.00470669
-171.076856,-0.00473104
-171.026856,-0.00475520
-170.976856,-0.00477918
-170.926856,-0.00480297
-170.876856,-0.00482657
-170.826856,-0.00484996
-170.776856,-0.00487309
-170.726856,-0.00489602
-170.676856,-0.00491879
-170.626856,-0.00494133
-170.576856,-0.00496371
-170.526856,-0.00498601
-170.476856,-0.00500821
-170.426856,-0.00503022
-170.376856,-0.00505214
-170.326856,-0.00507396
-170.276856,-0.00509562
-170.226856,-0.00511727
-170.176856,-0.00513882
-170.126856,-0.00516020
-170.076856,-0.00518159
-170.026856,-0.00520284
-169.976856,-0.00522397
-169.926856,-0.00524512
-169.876856,-0.00526623
-169.826856,-0.00528730
-169.776856,-0.00530829
-169.726856,-0.00532918
-169.676856,-0.00535003
-169.626856,-0.00537079
-169.576856,-0.00539150
-169.526856,-0.00541209
-169.476856,-0.00543253
-169.426856,-0.00545290
-169.376856,-0.00547316
-169.326856,-0.00549328
-169.276856,-0.00551330
-169.226856,-0.00553326
-169.176856,-0.00555306
-169.126856,-0.00557265
-169.076856,-0.00559211
-169.026856,-0.00561148
-168.976856,-0.00563068
-168.926856,-0.00564975
-168.876856,-0.00566884
-168.826856,-0.00568787
-168.776856,-0.00570683
-168.726856,-0.00572567
-168.676856,-0.00574442
-168.626856,-0.00576310
-168.576856,-0.00578156
-168.526856,-0.00579993
-168.476856,-0.00581826
-168.426856,-0.00583636
-168.376856,-0.00585435
-168.326856,-0.00587229
-168.276856,-0.00589021
-168.226856,-0.00590808
-168.176856,-0.00592581
-168.126856,-0.00594344
-168.076856,-0.00596108
-168.026856,-0.00597857
-167.976856,-0.00599591
-167.926856,-0.00601332
-167.876856,-0.00603066
-167.826856,-0.00604779
-167.776856,-0.00606481
-167.726856,-0.00608173
-167.676856,-0.00609853
-167.626856,-0.00611510
-167.576856,-0.00613158
-167.526856,-0.00614799
-167.476856,-0.00616430
-167.426856,-0.00618054
-167.376856,-0.00619666
-167.326856,-0.00621263
-167.276856,-0.00622834
-167.226856,-0.00624395
-167.176856,-0.00625944
-167.126856,-0.00627467
-167.076856,-0.00628985
-167.026856,-0.00630489
-166.976856,-0.00631975
-166.926856,-0.00633455
-166.876856,-0.00634922
-166.826856,-0.00636377
-166.776856,-0.00637824
-166.726856,-0.00639259
-166.676856,-0.00640685
-166.626856,-0.00642111
-166.576856,-0.00643526
-166.526856,-0.00644936
-166.476856,-0.00646344
-166.426856,-0.00647731
-166.376856,-0.00649115
-166.326856,-0.00650498
-166.276856,-0.00651867
-166.226856,-0.00653229
-166.176856,-0.00654587
-166.126856,-0.00655945
