time,displacement
-179.976856,-0.00019665
-179.926856,-0.00006603
-179.876856,0.00006426
-179.826856,0.00019429
-179.776856,0.00032400
-179.726856,0.00045343
-179.676856,0.00058256
-179.626856,0.00071140
-179.576856,0.00083994
-179.526856,0.00096820
-179.476856,0.00109616
-179.426856,0.00122383
-179.376856,0.00135120
-179.326856,0.00147827
-179.276856,0.00160504
-179.226856,0.00173150
-179.176856,0.00185767
-179.126856,0.00198354
-179.076856,0.00210908
-179.026856,0.00223433
-178.976856,0.00235926
-178.926856,0.00248387
-178.876856,0.00260817
-178.826856,0.00273213
-178.776856,0.00285579
-178.726856,0.00297912
-178.676856,0.00310211
-178.626856,0.00322477
-178.576856,0.00334709
-178.526856,0.00346907
-178.476856,0.00359071
-178.426856,0.00371201
-178.376856,0.00383296
-178.326856,0.00395357
-178.276856,0.00407383
-178.226856,0.00419377
-178.176856,0.00431336
-178.126856,0.00443263
-178.076856,0.00455156
-178.026856,0.00467016
-177.976856,0.00478844
-177.926856,0.00490636
-177.876856,0.00502394
-177.826856,0.00514118
-177.776856,0.00525808
-177.726856,0.00537467
-177.676856,0.00549095
-177.626856,0.00560693
-177.576856,0.00572262
-177.526856,0.00583799
-177.476856,0.00595304
-177.426856,0.00606779
-177.376856,0.00618224
-177.326856,0.00629638
-177.276856,0.00641022
-177.226856,0.00652376
-177.176856,0.00663700
-177.126856,0.00674995
-177.076856,0.00686262
-177.026856,0.00697502
-176.976856,0.00708709
-176.926856,0.00719884
-176.876856,0.00731030
-176.826856,0.00742149
-176.776856,0.00753235
-176.726856,0.00764289
-176.676856,0.00775315
-176.626856,0.00786310
-176.576856,0.00797272
-176.526856,0.00808203
-176.476856,0.00819103
-176.426856,0.00829971
-176.376856,0.00840807
-176.326856,0.00851607
-176.276856,0.00862377
-176.226856,0.00873115
-176.176856,0.00883818
-176.126856,0.00894487
-176.076856,0.00905124
-176.026856,0.00915727
-175.976856,0.00926293
-175.926856,0.00936823
-175.876856,0.00947324
-175.826856,0.00957790
-175.776856,0.00968218
-175.726856,0.00978615
-175.676856,0.00988978
-175.626856,0.00999309
-175.576856,0.01009603
-175.526856,0.01019862
-175.476856,0.01030091
-175.426856,0.01040285
-175.376856,0.01050441
-175.326856,0.01060565
-175.276856,0.01070656
-175.226856,0.01080714
-175.176856,0.01090735
-175.126856,0.01100722
-175.076856,0.01110680
-175.026856,0.01120606
-174.976856,0.01130500
-174.926856,0.01140368
-174.876856,0.01150205
-174.826856,0.01160008
-174.776856,0.01169780
-174.726856,0.01179522
-174.676856,0.01189235
-174.626856,0.01198916
-174.576856,0.01208572
-174.526856,0.01218207
-174.476856,0.01227809
-174.426856,0.01237380
-174.376856,0.01246922
-174.326856,0.01256434
-174.276856,0.01265919
-174.226856,0.01275372
-174.176856,0.01284797
-174.126856,0.01294200
-174.076856,0.01303572
-174.026856,0.01312913
-173.976856,0.01322225
-173.926856,0.01331512
-173.876856,0.01340771
-173.826856,0.01349996
-173.776856,0.01359194
-173.726856,0.01368363
-173.676856,0.01377505
-173.626856,0.01386616
-173.576856,0.01395696
-173.526856,0.01404754
-173.476856,0.01413781
-173.426856,0.01422773
-173.376856,0.01431741
-173.326856,0.01440672
-173.276856,0.01449572
-173.226856,0.01458443
-173.176856,0.01467281
-173.126856,0.01476094
-173.076856,0.01484874
-173.026856,0.01493610
-172.976856,0.01502313
-172.926856,0.01510983
-172.876856,0.01519614
-172.826856,0.01528204
-172.776856,0.01536757
-172.726856,0.01545273
-172.676856,0.01553743
-172.626856,0.01562169
-172.576856,0.01570556
-172.526856,0.01578908
-172.476856,0.01587215
-172.426856,0.01595476
-172.376856,0.01603708
-172.326856,0.01611905
-172.276856,0.01620058
-172.226856,0.01628173
-172.176856,0.01636250
-172.126856,0.01644287
-172.076856,0.01652281
-172.026856,0.01660242
-171.976856,0.01668173
-171.926856,0.01676073
-171.876856,0.01683942
-171.826856,0.01691778
-171.776856,0.01699585
-171.726856,0.01707360
-171.676856,0.01715103
-171.626856,0.01722825
-171.576856,0.01730519
-171.526856,0.01738180
-171.476856,0.01745818
-171.426856,0.01753436
-171.376856,0.01761030
-171.326856,0.01768597
-171.276856,0.01776140
-171.226856,0.01783661
-171.176856,0.01791153
-171.126856,0.01798614
-171.076856,0.01806048
-171.026856,0.01813457
-170.976856,0.01820841
-170.926856,0.01828200
-170.876856,0.01835532
-170.826856,0.01842840
-170.776856,0.01850124
-170.726856,0.01857381
-170.676856,0.01864612
-170.626856,0.01871817
-170.576856,0.01878992
-170.526856,0.01886139
-170.476856,0.01893257
-170.426856,0.01900351
-170.376856,0.01907421
-170.326856,0.01914458
-170.276856,0.01921465
-170.226856,0.01928452
-170.176856,0.01935409
-170.126856,0.01942335
