time,displacement
-179.981660,0.00387758
-179.931660,0.00388222
-179.881660,0.00388683
-179.831660,0.00389140
-179.781660,0.00389594
-179.731660,0.00390044
-179.681660,0.00390490
-179.631660,0.00390932
-179.581660,0.00391369
-179.531660,0.00391804
-179.481660,0.00392236
-179.431660,0.00392664
-179.381660,0.00393087
-179.331660,0.00393506
-179.281660,0.00393921
-179.231660,0.00394334
-179.181660,0.00394743
-179.131660,0.00395147
-179.081660,0.00395549
-179.031660,0.00395945
-178.981660,0.00396339
-178.931660,0.00396729
-178.881660,0.00397117
-178.831660,0.00397505
-178.781660,0.00397889
-178.731660,0.00398265
-178.681660,0.00398637
-178.631660,0.00399008
-178.581660,0.00399381
-178.531660,0.00399752
-178.481660,0.00400121
-178.431660,0.00400482
-178.381660,0.00400836
-178.331660,0.00401192
-178.281660,0.00401549
-178.231660,0.00401907
-178.181660,0.00402257
-178.131660,0.00402599
-178.081660,0.00402942
-178.031660,0.00403288
-177.981660,0.00403636
-177.931660,0.00403974
-177.881660,0.00404304
-177.831660,0.00404634
-177.781660,0.00404971
-177.731660,0.00405312
-177.681660,0.00405646
-177.631660,0.00405971
-177.581660,0.00406294
-177.531660,0.00406619
-177.481660,0.00406942
-177.431660,0.00407267
-177.381660,0.00407589
-177.331660,0.00407903
-177.281660,0.00408216
-177.231660,0.00408527
-177.181660,0.00408838
-177.131660,0.00409145
-177.081660,0.00409438
-177.031660,0.00409726
-176.981660,0.00410016
-176.931660,0.00410307
-176.881660,0.00410601
-176.831660,0.00410891
-176.781660,0.00411169
-176.731660,0.00411435
-176.681660,0.00411699
-176.631660,0.00411969
-176.581660,0.00412241
-176.531660,0.00412506
-176.481660,0.00412760
-176.431660,0.00413008
-176.381660,0.00413258
-176.331660,0.00413499
-176.281660,0.00413738
-176.231660,0.00413987
-176.181660,0.00414227
-176.131660,0.00414455
-176.081660,0.00414679
-176.031660,0.00414895
-175.981660,0.00415110
-175.931660,0.00415328
-175.881660,0.00415537
-175.831660,0.00415742
-175.781660,0.00415941
-175.731660,0.00416132
-175.681660,0.00416324
-175.631660,0.00416505
-175.581660,0.00416676
-175.531660,0.00416846
-175.481660,0.00417009
-175.431660,0.00417179
