time,displacement
-179.981660,0.00124652
-179.931660,0.00124857
-179.881660,0.00125061
-179.831660,0.00125265
-179.781660,0.00125469
-179.731660,0.00125671
-179.681660,0.00125871
-179.631660,0.00126070
-179.581660,0.00126269
-179.531660,0.00126469
-179.481660,0.00126670
-179.431660,0.00126869
-179.381660,0.00127063
-179.331660,0.00127257
-179.281660,0.00127454
-179.231660,0.00127653
-179.181660,0.00127850
-179.131660,0.00128041
-179.081660,0.00128229
-179.031660,0.00128420
-178.981660,0.00128614
-178.931660,0.00128808
-178.881660,0.00128998
-178.831660,0.00129185
-178.781660,0.00129368
-178.731660,0.00129552
-178.681660,0.00129741
-178.631660,0.00129926
-178.581660,0.00130110
-178.531660,0.00130290
-178.481660,0.00130464
-178.431660,0.00130645
-178.381660,0.00130829
-178.331660,0.00131005
-178.281660,0.00131171
-178.231660,0.00131332
-178.181660,0.00131499
-178.131660,0.00131673
-178.081660,0.00131844
-178.031660,0.00132005
-177.981660,0.00132157
-177.931660,0.00132315
-177.881660,0.00132486
-177.831660,0.00132657
-177.781660,0.00132807
-177.731660,0.00132945
-177.681660,0.00133093
-177.631660,0.00133250
-177.581660,0.00133403
-177.531660,0.00133551
-177.481660,0.00133695
-177.431660,0.00133825
-177.381660,0.00133958
-177.331660,0.00134107
-177.281660,0.00134263
-177.231660,0.00134414
-177.181660,0.00134555
-177.131660,0.00134684
-177.081660,0.00134814
-177.031660,0.00134961
-176.981660,0.00135118
-176.931660,0.00135265
-176.881660,0.00135387
-176.831660,0.00135508
-176.781660,0.00135651
-176.731660,0.00135801
-176.681660,0.00135940
-176.631660,0.00136063
-176.581660,0.00136182
-176.531660,0.00136305
-176.481660,0.00136439
-176.431660,0.00136572
-176.381660,0.00136685
-176.331660,0.00136788
-176.281660,0.00136896
-176.231660,0.00137008
-176.181660,0.00137122
-176.131660,0.00137241
-176.081660,0.00137358
-176.031660,0.00137451
-175.981660,0.00137532
-175.931660,0.00137633
-175.881660,0.00137758
-175.831660,0.00137873
-175.781660,0.00137963
-175.731660,0.00138033
-175.681660,0.00138115
-175.631660,0.00138239
-175.581660,0.00138379
-175.531660,0.00138489
-175.481660,0.00138553
-175.431660,0.00138613
-175.381660,0.00138704
-175.331660,0.00138811
-175.281660,0.00138925
-175.231660,0.00139028
-175.181660,0.00139100
-175.131660,0.00139147
-175.081660,0.00139202
-175.031660,0.00139303
-174.981660,0.00139433
-174.931660,0.00139537
-174.881660,0.00139578
-174.831660,0.00139601
-174.781660,0.00139670
-174.731660,0.00139784
-174.681660,0.00139899
-174.631660,0.00139972
-174.581660,0.00140003
-174.531660,0.00140030
-174.481660,0.00140092
-174.431660,0.00140197
-174.381660,0.00140290
-174.331660,0.00140344
-174.281660,0.00140378
-174.231660,0.00140411
-174.181660,0.00140483
-174.131660,0.00140586
-174.081660,0.00140680
-174.031660,0.00140732
-173.981660,0.00140736
-173.931660,0.00140761
-173.881660,0.00140834
-173.831660,0.00140908
-173.781660,0.00140969
-173.731660,0.00141001
-173.681660,0.00141001
-173.631660,0.00141018
-173.581660,0.00141076
-173.531660,0.00141137
-173.481660,0.00141158
-173.431660,0.00141144
-173.381660,0.00141130
-173.331660,0.00141146
-173.281660,0.00141179
-173.231660,0.00141196
-173.181660,0.00141197
-173.131660,0.00141182
-173.081660,0.00141145
-173.031660,0.00141114
-172.981660,0.00141123
-172.931660,0.00141162
-172.881660,0.00141158
-172.831660,0.00141108
-172.781660,0.00141085
-172.731660,0.00141095
-172.681660,0.00141118
-172.631660,0.00141126
-172.581660,0.00141116
-172.531660,0.00141122
-172.481660,0.00141158
-172.431660,0.00141209
-172.381660,0.00141250
-172.331660,0.00141266
-172.281660,0.00141277
-172.231660,0.00141303
-172.181660,0.00141342
-172.131660,0.00141400
-172.081660,0.00141465
-172.031660,0.00141502
-171.981660,0.00141513
