time,displacement
-179.985462,0.00035623
-179.960462,0.00035293
-179.935462,0.00034964
-179.910462,0.00034635
-179.885462,0.00034307
-179.860462,0.00033980
-179.835462,0.00033653
-179.810462,0.00033326
-179.785462,0.00033001
-179.760462,0.00032676
-179.735462,0.00032353
-179.710462,0.00032030
-179.685462,0.00031707
-179.660462,0.00031386
-179.635462,0.00031065
-179.610462,0.00030744
-179.585462,0.00030423
-179.560462,0.00030103
-179.535462,0.00029784
-179.510462,0.00029465
-179.485462,0.00029147
-179.460462,0.00028830
-179.435462,0.00028513
-179.410462,0.00028196
-179.385462,0.00027881
-179.360462,0.00027567
-179.335462,0.00027253
-179.310462,0.00026940
-179.285462,0.00026629
-179.260462,0.00026318
-179.235462,0.00026008
-179.210462,0.00025699
-179.185462,0.00025389
-179.160462,0.00025080
-179.135462,0.00024772
-179.110462,0.00024465
-179.085462,0.00024159
-179.060462,0.00023852
-179.035462,0.00023546
-179.010462,0.00023242
-178.985462,0.00022938
-178.960462,0.00022636
-178.935462,0.00022335
-178.910462,0.00022035
-178.885462,0.00021737
-178.860462,0.00021440
-178.835462,0.00021144
-178.810462,0.00020848
-178.785462,0.00020554
-178.760462,0.00020262
-178.735462,0.00019971
-178.710462,0.00019680
-178.685462,0.00019390
-178.660462,0.00019099
-178.635462,0.00018809
-178.610462,0.00018520
-178.585462,0.00018233
-178.560462,0.00017945
-178.535462,0.00017658
-178.510462,0.00017372
-178.485462,0.00017088
-178.460462,0.00016805
-178.435462,0.00016522
-178.410462,0.00016240
-178.385462,0.00015958
-178.360462,0.00015677
-178.335462,0.00015398
-178.310462,0.00015121
-178.285462,0.00014846
-178.260462,0.00014572
-178.235462,0.00014299
-178.210462,0.00014028
-178.185462,0.00013760
-178.160462,0.00013491
-178.135462,0.00013222
-178.110462,0.00012951
-178.085462,0.00012680
-178.060462,0.00012408
-178.035462,0.00012137
-178.010462,0.00011868
-177.985462,0.00011599
-177.960462,0.00011330
-177.935462,0.00011061
-177.910462,0.00010792
-177.885462,0.00010526
-177.860462,0.00010263
-177.835462,0.00010003
-177.810462,0.00009743
-177.785462,0.00009483
-177.760462,0.00009222
-177.735462,0.00008960
-177.710462,0.00008698
-177.685462,0.00008434
-177.660462,0.00008168
-177.635462,0.00007902
-177.610462,0.00007639
-177.585462,0.00007379
-177.560462,0.00007122
