time,displacement
-179.985462,-0.00124581
-179.960462,-0.00124500
-179.935462,-0.00124419
-179.910462,-0.00124337
-179.885462,-0.00124254
-179.860462,-0.00124170
-179.835462,-0.00124086
-179.810462,-0.00124001
-179.785462,-0.00123915
-179.760462,-0.00123827
-179.735462,-0.00123739
-179.710462,-0.00123650
-179.685462,-0.00123559
-179.660462,-0.00123469
-179.635462,-0.00123377
-179.610462,-0.00123285
-179.585462,-0.00123193
-179.560462,-0.00123099
-179.535462,-0.00123006
-179.510462,-0.00122911
-179.485462,-0.00122816
-179.460462,-0.00122720
-179.435462,-0.00122623
-179.410462,-0.00122525
-179.385462,-0.00122427
-179.360462,-0.00122329
-179.335462,-0.00122231
-179.310462,-0.00122133
-179.285462,-0.00122036
-179.260462,-0.00121939
-179.235462,-0.00121843
-179.210462,-0.00121747
-179.185462,-0.00121651
-179.160462,-0.00121555
-179.135462,-0.00121458
-179.110462,-0.00121360
-179.085462,-0.00121261
-179.060462,-0.00121161
-179.035462,-0.00121059
-179.010462,-0.00120956
-178.985462,-0.00120852
-178.960462,-0.00120748
-178.935462,-0.00120643
-178.910462,-0.00120538
-178.885462,-0.00120433
-178.860462,-0.00120329
-178.835462,-0.00120224
-178.810462,-0.00120119
-178.785462,-0.00120013
-178.760462,-0.00119908
-178.735462,-0.00119803
-178.710462,-0.00119698
-178.685462,-0.00119591
-178.660462,-0.00119483
-178.635462,-0.00119373
-178.610462,-0.00119262
-178.585462,-0.00119150
-178.560462,-0.00119037
-178.535462,-0.00118923
-178.510462,-0.00118808
-178.485462,-0.00118695
-178.460462,-0.00118585
-178.435462,-0.00118475
-178.410462,-0.00118365
-178.385462,-0.00118256
-178.360462,-0.00118146
-178.335462,-0.00118039
-178.310462,-0.00117933
-178.285462,-0.00117828
-178.260462,-0.00117722
-178.235462,-0.00117615
-178.210462,-0.00117507
-178.185462,-0.00117398
-178.160462,-0.00117287
-178.135462,-0.00117173
-178.110462,-0.00117059
-178.085462,-0.00116944
-178.060462,-0.00116830
-178.035462,-0.00116717
-178.010462,-0.00116603
-177.985462,-0.00116486
-177.960462,-0.00116368
-177.935462,-0.00116247
-177.910462,-0.00116124
-177.885462,-0.00115998
-177.860462,-0.00115870
-177.835462,-0.00115742
-177.810462,-0.00115617
-177.785462,-0.00115493
-177.760462,-0.00115370
-177.735462,-0.00115246
-177.710462,-0.00115122
-177.685462,-0.00114998
-177.660462,-0.00114874
-177.635462,-0.00114749
-177.610462,-0.00114622
-177.585462,-0.00114494
-177.560462,-0.00114365
-177.535462,-0.00114234
-177.510462,-0.00114101
-177.485462,-0.00113967
-177.460462,-0.00113830
-177.435462,-0.00113692
-177.410462,-0.00113552
-177.385462,-0.00113410
-177.360462,-0.00113267
-177.335462,-0.00113122
-177.310462,-0.00112975
-177.285462,-0.00112827
-177.260462,-0.00112679
-177.235462,-0.00112531
-177.210462,-0.00112386
-177.185462,-0.00112243
-177.160462,-0.00112102
-177.135462,-0.00111961
-177.110462,-0.00111820
-177.085462,-0.00111678
-177.060462,-0.00111535
-177.035462,-0.00111389
-177.010462,-0.00111241
-176.985462,-0.00111091
-176.960462,-0.00110939
-176.935462,-0.00110785
-176.910462,-0.00110630
-176.885462,-0.00110475
-176.860462,-0.00110323
-176.835462,-0.00110177
-176.810462,-0.00110036
-176.785462,-0.00109896
-176.760462,-0.00109753
-176.735462,-0.00109603
-176.710462,-0.00109447
-176.685462,-0.00109286
-176.660462,-0.00109122
-176.635462,-0.00108956
-176.610462,-0.00108789
-176.585462,-0.00108623
-176.560462,-0.00108458
-176.535462,-0.00108292
-176.510462,-0.00108125
-176.485462,-0.00107956
-176.460462,-0.00107787
-176.435462,-0.00107618
-176.410462,-0.00107448
-176.385462,-0.00107276
-176.360462,-0.00107104
-176.335462,-0.00106934
-176.310462,-0.00106769
