time,displacement
-179.985462,-0.00058955
-179.960462,-0.00058960
-179.935462,-0.00058963
-179.910462,-0.00058968
-179.885462,-0.00058975
-179.860462,-0.00058982
-179.835462,-0.00058991
-179.810462,-0.00059000
-179.785462,-0.00059014
-179.760462,-0.00059030
-179.735462,-0.00059045
-179.710462,-0.00059054
-179.685462,-0.00059058
-179.660462,-0.00059059
-179.635462,-0.00059062
-179.610462,-0.00059066
-179.585462,-0.00059068
-179.560462,-0.00059068
-179.535462,-0.00059072
-179.510462,-0.00059083
-179.485462,-0.00059102
-179.460462,-0.00059122
-179.435462,-0.00059135
-179.410462,-0.00059138
-179.385462,-0.00059138
-179.360462,-0.00059139
-179.335462,-0.00059145
-179.310462,-0.00059153
-179.285462,-0.00059163
-179.260462,-0.00059176
-179.235462,-0.00059197
-179.210462,-0.00059224
-179.185462,-0.00059251
-179.160462,-0.00059266
-179.135462,-0.00059260
-179.110462,-0.00059238
-179.085462,-0.00059210
-179.060462,-0.00059182
-179.035462,-0.00059157
-179.010462,-0.00059136
-178.985462,-0.00059126
-178.960462,-0.00059134
-178.935462,-0.00059155
-178.910462,-0.00059176
-178.885462,-0.00059184
-178.860462,-0.00059184
-178.835462,-0.00059188
-178.810462,-0.00059200
-178.785462,-0.00059200
-178.760462,-0.00059163
-178.735462,-0.00059083
-178.710462,-0.00058985
-178.685462,-0.00058905
-178.660462,-0.00058859
-178.635462,-0.00058835
-178.610462,-0.00058813
-178.585462,-0.00058786
-178.560462,-0.00058763
-178.535462,-0.00058740
-178.510462,-0.00058692
-178.485462,-0.00058594
-178.460462,-0.00058454
-178.435462,-0.00058312
-178.410462,-0.00058208
-178.385462,-0.00058147
-178.360462,-0.00058100
-178.335462,-0.00058043
-178.310462,-0.00057980
-178.285462,-0.00057927
-178.260462,-0.00057884
-178.235462,-0.00057833
-178.210462,-0.00057756
-178.185462,-0.00057662
-178.160462,-0.00057574
-178.135462,-0.00057500
-178.110462,-0.00057424
-178.085462,-0.00057332
-178.060462,-0.00057236
-178.035462,-0.00057164
-178.010462,-0.00057128
-177.985462,-0.00057117
-177.960462,-0.00057104
-177.935462,-0.00057077
-177.910462,-0.00057034
-177.885462,-0.00056974
-177.860462,-0.00056892
-177.835462,-0.00056789
-177.810462,-0.00056686
-177.785462,-0.00056607
-177.760462,-0.00056565
-177.735462,-0.00056544
-177.710462,-0.00056526
-177.685462,-0.00056495
-177.660462,-0.00056450
-177.635462,-0.00056388
-177.610462,-0.00056311
-177.585462,-0.00056230
-177.560462,-0.00056168
-177.535462,-0.00056149
-177.510462,-0.00056172
-177.485462,-0.00056223
-177.460462,-0.00056284
-177.435462,-0.00056347
-177.410462,-0.00056411
-177.385462,-0.00056468
-177.360462,-0.00056505
-177.335462,-0.00056513
-177.310462,-0.00056492
-177.285462,-0.00056452
-177.260462,-0.00056401
-177.235462,-0.00056350
-177.210462,-0.00056303
-177.185462,-0.00056255
-177.160462,-0.00056190
-177.135462,-0.00056105
-177.110462,-0.00056019
-177.085462,-0.00055969
-177.060462,-0.00055968
-177.035462,-0.00055993
-177.010462,-0.00056008
-176.985462,-0.00055999
-176.960462,-0.00055980
-176.935462,-0.00055958
-176.910462,-0.00055909
-176.885462,-0.00055799
-176.860462,-0.00055634
-176.835462,-0.00055469
-176.810462,-0.00055367
-176.785462,-0.00055348
-176.760462,-0.00055387
-176.735462,-0.00055442
-176.710462,-0.00055478
-176.685462,-0.00055463
-176.660462,-0.00055374
-176.635462,-0.00055218
-176.610462,-0.00055053
-176.585462,-0.00054942
-176.560462,-0.00054899
-176.535462,-0.00054871
-176.510462,-0.00054807
-176.485462,-0.00054718
-176.460462,-0.00054678
-176.435462,-0.00054727
-176.410462,-0.00054818
-176.385462,-0.00054856
-176.360462,-0.00054792
-176.335462,-0.00054673
-176.310462,-0.00054570
-176.285462,-0.00054491
-176.260462,-0.00054376
-176.235462,-0.00054182
-176.210462,-0.00053960
-176.185462,-0.00053817
-176.160462,-0.00053806
-176.135462,-0.00053865
-176.110462,-0.00053872
-176.085462,-0.00053768
-176.060462,-0.00053598
-176.035462,-0.00053453
-176.010462,-0.00053373
-175.985462,-0.00053324
-175.960462,-0.00053246
-175.935462,-0.00053103
-175.910462,-0.00052899
-175.885462,-0.00052660
-175.860462,-0.00052426
-175.835462,-0.00052242
-175.810462,-0.00052134
-175.785462,-0.00052088
-175.760462,-0.00052062
-175.735462,-0.00052037
-175.710462,-0.00052027
-175.685462,-0.00052040
-175.660462,-0.00052028
-175.635462,-0.00051914
-175.610462,-0.00051677
-175.585462,-0.00051384
-175.560462,-0.00051125
-175.535462,-0.00050931
-175.510462,-0.00050759
-175.485462,-0.00050568
-175.460462,-0.00050373
-175.435462,-0.00050225
-175.410462,-0.00050141
-175.385462,-0.00050091
-175.360462,-0.00050029
-175.335462,-0.00049924
-175.310462,-0.00049748
-175.285462,-0.00049476
-175.260462,-0.00049117
-175.235462,-0.00048741
-175.210462,-0.00048431
-175.185462,-0.00048217
-175.160462,-0.00048056
-175.135462,-0.00047888
-175.110462,-0.00047702
-175.085462,-0.00047516
-175.060462,-0.00047338
-175.035462,-0.00047152
-175.010462,-0.00046956
-174.985462,-0.00046774
-174.960462,-0.00046612
-174.935462,-0.00046437
-174.910462,-0.00046214
-174.885462,-0.00045971
-174.860462,-0.00045782
-174.835462,-0.00045677
-174.810462,-0.00045586
-174.785462,-0.00045404
-174.760462,-0.00045108
-174.735462,-0.00044783
-174.710462,-0.00044532
-174.685462,-0.00044377
-174.660462,-0.00044258
-174.635462,-0.00044114
-174.610462,-0.00043946
-174.585462,-0.00043789
-174.560462,-0.00043670
-174.535462,-0.00043591
-174.510462,-0.00043537
-174.485462,-0.00043479
-174.460462,-0.00043373
-174.435462,-0.00043184
-174.410462,-0.00042923
-174.385462,-0.00042670
-174.360462,-0.00042517
-174.335462,-0.00042507
-174.310462,-0.00042599
-174.285462,-0.00042711
-174.260462,-0.00042768
-174.235462,-0.00042735
-174.210462,-0.00042612
-174.185462,-0.00042431
-174.160462,-0.00042242
-174.135462,-0.00042087
-174.110462,-0.00041982
-174.085462,-0.00041914
-174.060462,-0.00041866
-174.035462,-0.00041842
-174.010462,-0.00041860
-173.985462,-0.00041928
-173.960462,-0.00042031
-173.935462,-0.00042133
-173.910462,-0.00042201
-173.885462,-0.00042209
-173.860462,-0.00042149
-173.835462,-0.00042024
-173.810462,-0.00041845
-173.785462,-0.00041623
-173.760462,-0.00041378
-173.735462,-0.00041161
-173.710462,-0.00041049
-173.685462,-0.00041100
-173.660462,-0.00041285
-173.635462,-0.00041480
-173.610462,-0.00041541
-173.585462,-0.00041402
-173.560462,-0.00041120
-173.535462,-0.00040801
-173.510462,-0.00040507
-173.485462,-0.00040234
-173.460462,-0.00039969
-173.435462,-0.00039760
-173.410462,-0.00039692
-173.385462,-0.00039809
-173.360462,-0.00040055
-173.335462,-0.00040304
-173.310462,-0.00040451
-173.285462,-0.00040469
-173.260462,-0.00040402
-173.235462,-0.00040312
-173.210462,-0.00040228
-173.185462,-0.00040145
-173.160462,-0.00040048
-173.135462,-0.00039939
-173.110462,-0.00039845
-173.085462,-0.00039804
-173.060462,-0.00039841
-173.035462,-0.00039945
-173.010462,-0.00040076
-172.985462,-0.00040192
-172.960462,-0.00040282
-172.935462,-0.00040371
-172.910462,-0.00040489
-172.885462,-0.00040628
-172.860462,-0.00040742
-172.835462,-0.00040786
-172.810462,-0.00040756
-172.785462,-0.00040700
-172.760462,-0.00040674
-172.735462,-0.00040709
-172.710462,-0.00040792
-172.685462,-0.00040895
-172.660462,-0.00040999
-172.635462,-0.00041109
-172.610462,-0.00041235
-172.585462,-0.00041373
-172.560462,-0.00041493
-172.535462,-0.00041556
-172.510462,-0.00041539
-172.485462,-0.00041461
-172.460462,-0.00041368
-172.435462,-0.00041301
-172.410462,-0.00041260
-172.385462,-0.00041204
-172.360462,-0.00041087
-172.335462,-0.00040885
-172.310462,-0.00040604
-172.285462,-0.00040274
-172.260462,-0.00039936
-172.235462,-0.00039629
-172.210462,-0.00039372
-172.185462,-0.00039143
-172.160462,-0.00038888
-172.135462,-0.00038557
-172.110462,-0.00038139
-172.085462,-0.00037651
-172.060462,-0.00037108
-172.035462,-0.00036506
-172.010462,-0.00035849
-171.985462,-0.00035175
-171.960462,-0.00034544
-171.935462,-0.00033998
-171.910462,-0.00033546
-171.885462,-0.00033175
-171.860462,-0.00032875
-171.835462,-0.00032624
-171.810462,-0.00032377
-171.785462,-0.00032080
-171.760462,-0.00031697
-171.735462,-0.00031225
-171.710462,-0.00030674
-171.685462,-0.00030052
-171.660462,-0.00029374
-171.635462,-0.00028685
-171.610462,-0.00028056
-171.585462,-0.00027537
-171.560462,-0.00027142
-171.535462,-0.00026850
-171.510462,-0.00026634
-171.485462,-0.00026459
-171.460462,-0.00026268
-171.435462,-0.00025989
-171.410462,-0.00025583
-171.385462,-0.00025074
-171.360462,-0.00024536
-171.335462,-0.00024044
-171.310462,-0.00023639
-171.285462,-0.00023327
-171.260462,-0.00023101
-171.235462,-0.00022960
-171.210462,-0.00022908
-171.185462,-0.00022945
-171.160462,-0.00023045
-171.135462,-0.00023136
-171.110462,-0.00023110
-171.085462,-0.00022883
-171.060462,-0.00022459
-171.035462,-0.00021935
-171.010462,-0.00021436
-170.985462,-0.00021042
-170.960462,-0.00020766
-170.935462,-0.00020600
-170.910462,-0.00020557
-170.885462,-0.00020642
-170.860462,-0.00020803
-170.835462,-0.00020923
-170.810462,-0.00020887
-170.785462,-0.00020665
-170.760462,-0.00020325
-170.735462,-0.00019973
-170.710462,-0.00019664
-170.685462,-0.00019380
-170.660462,-0.00019082
-170.635462,-0.00018774
-170.610462,-0.00018527
-170.585462,-0.00018424
-170.560462,-0.00018496
-170.535462,-0.00018693
-170.510462,-0.00018917
-170.485462,-0.00019073
-170.460462,-0.00019091
-170.435462,-0.00018918
-170.410462,-0.00018523
-170.385462,-0.00017930
-170.360462,-0.00017253
-170.335462,-0.00016660
-170.310462,-0.00016278
-170.285462,-0.00016112
-170.260462,-0.00016065
-170.235462,-0.00016038
-170.210462,-0.00016011
-170.185462,-0.00016019
-170.160462,-0.00016056
-170.135462,-0.00016040
-170.110462,-0.00015874
-170.085462,-0.00015551
-170.060462,-0.00015166
-170.035462,-0.00014835
-170.010462,-0.00014603
-169.985462,-0.00014426
-169.960462,-0.00014236
-169.935462,-0.00014009
-169.910462,-0.00013773
-169.885462,-0.00013585
-169.860462,-0.00013489
-169.835462,-0.00013489
-169.810462,-0.00013529
-169.785462,-0.00013520
-169.760462,-0.00013402
-169.735462,-0.00013215
-169.710462,-0.00013062
-169.685462,-0.00013002
-169.660462,-0.00012969
-169.635462,-0.00012832
-169.610462,-0.00012529
-169.585462,-0.00012138
-169.560462,-0.00011796
-169.535462,-0.00011560
-169.510462,-0.00011372
-169.485462,-0.00011156
-169.460462,-0.00010913
-169.435462,-0.00010700
-169.410462,-0.00010538
-169.385462,-0.00010367
-169.360462,-0.00010119
-169.335462,-0.00009802
-169.310462,-0.00009514
-169.285462,-0.00009352
-169.260462,-0.00009343
-169.235462,-0.00009443
-169.210462,-0.00009579
-169.185462,-0.00009693
-169.160462,-0.00009751
-169.135462,-0.00009736
-169.110462,-0.00009655
-169.085462,-0.00009537
-169.060462,-0.00009424
-169.035462,-0.00009365
-169.010462,-0.00009386
-168.985462,-0.00009474
-168.960462,-0.00009557
-168.935462,-0.00009537
-168.910462,-0.00009359
-168.885462,-0.00009073
-168.860462,-0.00008808
-168.835462,-0.00008676
-168.810462,-0.00008687
-168.785462,-0.00008760
-168.760462,-0.00008806
-168.735462,-0.00008785
-168.710462,-0.00008681
-168.685462,-0.00008458
-168.660462,-0.00008077
-168.635462,-0.00007578
-168.610462,-0.00007101
-168.585462,-0.00006801
-168.560462,-0.00006697
-168.535462,-0.00006630
-168.510462,-0.00006405
-168.485462,-0.00005964
-168.460462,-0.00005433
-168.435462,-0.00004990
-168.410462,-0.00004691
-168.385462,-0.00004451
-168.360462,-0.00004156
-168.335462,-0.00003782
-168.310462,-0.00003391
-168.285462,-0.00003019
-168.260462,-0.00002617
-168.235462,-0.00002101
-168.210462,-0.00001443
-168.185462,-0.00000707
-168.160462,0.00000010
-168.135462,0.00000654
-168.110462,0.00001243
-168.085462,0.00001832
-168.060462,0.00002476
-168.035462,0.00003194
-168.010462,0.00003955
-167.985462,0.00004684
-167.960462,0.00005295
-167.935462,0.00005762
-167.910462,0.00006152
-167.885462,0.00006602
-167.860462,0.00007240
-167.835462,0.00008102
-167.810462,0.00009124
-167.785462,0.00010189
-167.760462,0.00011190
-167.735462,0.00012061
-167.710462,0.00012769
-167.685462,0.00013301
-167.660462,0.00013669
-167.635462,0.00013940
-167.610462,0.00014225
-167.585462,0.00014642
-167.560462,0.00015243
-167.535462,0.00015979
-167.510462,0.00016731
-167.485462,0.00017370
-167.460462,0.00017825
-167.435462,0.00018108
-167.410462,0.00018300
-167.385462,0.00018512
-167.360462,0.00018816
-167.335462,0.00019199
-167.310462,0.00019580
-167.285462,0.00019905
-167.260462,0.00020222
-167.235462,0.00020655
-167.210462,0.00021286
-167.185462,0.00022061
-167.160462,0.00022835
-167.135462,0.00023495
-167.110462,0.00024025
-167.085462,0.00024468
-167.060462,0.00024846
-167.035462,0.00025155
-167.010462,0.00025415
-166.985462,0.00025682
-166.960462,0.00025990
-166.935462,0.00026311
-166.910462,0.00026593
-166.885462,0.00026829
-166.860462,0.00027070
-166.835462,0.00027354
-166.810462,0.00027667
-166.785462,0.00027970
-166.760462,0.00028245
-166.735462,0.00028494
-166.710462,0.00028698
-166.685462,0.00028824
-166.660462,0.00028862
-166.635462,0.00028850
-166.610462,0.00028829
-166.585462,0.00028802
-166.560462,0.00028761
-166.535462,0.00028740
-166.510462,0.00028794
-166.485462,0.00028914
-166.460462,0.00028998
-166.435462,0.00028931
-166.410462,0.00028692
-166.385462,0.00028368
-166.360462,0.00028055
-166.335462,0.00027773
-166.310462,0.00027486
-166.285462,0.00027151
-166.260462,0.00026736
-166.235462,0.00026217
-166.210462,0.00025612
-166.185462,0.00025019
-166.160462,0.00024579
-166.135462,0.00024354
-166.110462,0.00024256
-166.085462,0.00024108
-166.060462,0.00023805
-166.035462,0.00023374
-166.010462,0.00022896
-165.985462,0.00022411
-165.960462,0.00021911
