time,displacement
-179.960500,-0.00024877
-179.910500,-0.00024469
-179.860500,-0.00024062
-179.810500,-0.00023656
-179.760500,-0.00023252
-179.710500,-0.00022847
-179.660500,-0.00022442
-179.610500,-0.00022037
-179.560500,-0.00021633
-179.510500,-0.00021227
-179.460500,-0.00020823
-179.410500,-0.00020420
-179.360500,-0.00020018
-179.310500,-0.00019617
-179.260500,-0.00019216
-179.210500,-0.00018815
-179.160500,-0.00018416
-179.110500,-0.00018019
-179.060500,-0.00017622
-179.010500,-0.00017228
-178.960500,-0.00016837
-178.910500,-0.00016447
-178.860500,-0.00016050
-178.810500,-0.00015647
-178.760500,-0.00015245
-178.710500,-0.00014844
-178.660500,-0.00014443
-178.610500,-0.00014044
-178.560500,-0.00013648
-178.510500,-0.00013255
-178.460500,-0.00012867
-178.410500,-0.00012486
-178.360500,-0.00012101
-178.310500,-0.00011704
-178.260500,-0.00011309
-178.210500,-0.00010925
-178.160500,-0.00010542
-178.110500,-0.00010153
-178.060500,-0.00009766
-178.010500,-0.00009384
-177.960500,-0.00008994
-177.910500,-0.00008607
-177.860500,-0.00008233
-177.810500,-0.00007859
-177.760500,-0.00007476
-177.710500,-0.00007096
-177.660500,-0.00006722
-177.610500,-0.00006339
-177.560500,-0.00005952
-177.510500,-0.00005579
-177.460500,-0.00005214
-177.410500,-0.00004836
-177.360500,-0.00004461
-177.310500,-0.00004106
-177.260500,-0.00003759
-177.210500,-0.00003407
-177.160500,-0.00003050
-177.110500,-0.00002701
-177.060500,-0.00002357
-177.010500,-0.00002010
-176.960500,-0.00001663
-176.910500,-0.00001307
-176.860500,-0.00000938
-176.810500,-0.00000571
-176.760500,-0.00000218
-176.710500,0.00000131
-176.660500,0.00000499
-176.610500,0.00000867
-176.560500,0.00001218
-176.510500,0.00001566
-176.460500,0.00001917
-176.410500,0.00002265
-176.360500,0.00002608
-176.310500,0.00002959
-176.260500,0.00003312
-176.210500,0.00003659
-176.160500,0.00004012
-176.110500,0.00004379
-176.060500,0.00004746
-176.010500,0.00005105
-175.960500,0.00005468
-175.910500,0.00005832
-175.860500,0.00006179
-175.810500,0.00006529
-175.760500,0.00006897
-175.710500,0.00007252
-175.660500,0.00007600
-175.610500,0.00007966
-175.560500,0.00008344
-175.510500,0.00008717
-175.460500,0.00009079
-175.410500,0.00009429
-175.360500,0.00009767
-175.310500,0.00010102
-175.260500,0.00010449
-175.210500,0.00010806
-175.160500,0.00011159
-175.110500,0.00011518
-175.060500,0.00011887
-175.010500,0.00012240
-174.960500,0.00012567
-174.910500,0.00012887
-174.860500,0.00013205
-174.810500,0.00013501
-174.760500,0.00013776
-174.710500,0.00014071
-174.660500,0.00014384
-174.610500,0.00014685
-174.560500,0.00014988
-174.510500,0.00015295
-174.460500,0.00015595
-174.410500,0.00015900
-174.360500,0.00016217
-174.310500,0.00016527
-174.260500,0.00016830
-174.210500,0.00017143
-174.160500,0.00017466
-174.110500,0.00017774
-174.060500,0.00018050
-174.010500,0.00018313
-173.960500,0.00018587
-173.910500,0.00018890
-173.860500,0.00019203
-173.810500,0.00019495
-173.760500,0.00019778
-173.710500,0.00020063
-173.660500,0.00020363
-173.610500,0.00020674
-173.560500,0.00020966
-173.510500,0.00021229
-173.460500,0.00021483
-173.410500,0.00021754
-173.360500,0.00022033
-173.310500,0.00022313
-173.260500,0.00022600
-173.210500,0.00022901
-173.160500,0.00023199
-173.110500,0.00023491
-173.060500,0.00023791
-173.010500,0.00024106
-172.960500,0.00024414
-172.910500,0.00024696
-172.860500,0.00024982
-172.810500,0.00025278
-172.760500,0.00025562
-172.710500,0.00025859
-172.660500,0.00026173
-172.610500,0.00026484
-172.560500,0.00026808
-172.510500,0.00027159
-172.460500,0.00027508
-172.410500,0.00027833
-172.360500,0.00028147
-172.310500,0.00028466
-172.260500,0.00028804
-172.210500,0.00029149
-172.160500,0.00029484
-172.110500,0.00029827
-172.060500,0.00030194
-172.010500,0.00030569
-171.960500,0.00030913
-171.910500,0.00031238
-171.860500,0.00031573
-171.810500,0.00031892
-171.760500,0.00032210
-171.710500,0.00032552
-171.660500,0.00032887
-171.610500,0.00033208
-171.560500,0.00033529
-171.510500,0.00033863
-171.460500,0.00034203
-171.410500,0.00034528
-171.360500,0.00034867
-171.310500,0.00035250
-171.260500,0.00035624
-171.210500,0.00035974
-171.160500,0.00036334
-171.110500,0.00036686
-171.060500,0.00037021
-171.010500,0.00037354
-170.960500,0.00037706
-170.910500,0.00038074
-170.860500,0.00038443
-170.810500,0.00038808
-170.760500,0.00039146
-170.710500,0.00039481
-170.660500,0.00039823
-170.610500,0.00040136
-170.560500,0.00040417
-170.510500,0.00040673
-170.460500,0.00040930
-170.410500,0.00041201
-170.360500,0.00041446
-170.310500,0.00041664
-170.260500,0.00041892
-170.210500,0.00042144
-170.160500,0.00042425
-170.110500,0.00042722
-170.060500,0.00042995
-170.010500,0.00043257
-169.960500,0.00043541
-169.910500,0.00043858
-169.860500,0.00044184
-169.810500,0.00044477
-169.760500,0.00044741
-169.710500,0.00044990
-169.660500,0.00045212
-169.610500,0.00045450
-169.560500,0.00045747
-169.510500,0.00046049
-169.460500,0.00046281
-169.410500,0.00046440
-169.360500,0.00046595
-169.310500,0.00046781
-169.260500,0.00046977
-169.210500,0.00047174
-169.160500,0.00047369
