time,displacement
-179.960500,-0.00029578
-179.910500,-0.00029346
-179.860500,-0.00029113
-179.810500,-0.00028880
-179.760500,-0.00028648
-179.710500,-0.00028415
-179.660500,-0.00028182
-179.610500,-0.00027947
-179.560500,-0.00027713
-179.510500,-0.00027479
-179.460500,-0.00027242
-179.410500,-0.00027006
-179.360500,-0.00026774
-179.310500,-0.00026542
-179.260500,-0.00026307
-179.210500,-0.00026074
-179.160500,-0.00025842
-179.110500,-0.00025607
-179.060500,-0.00025372
-179.010500,-0.00025138
-178.960500,-0.00024901
-178.910500,-0.00024662
-178.860500,-0.00024420
-178.810500,-0.00024177
-178.760500,-0.00023938
-178.710500,-0.00023705
-178.660500,-0.00023469
-178.610500,-0.00023227
-178.560500,-0.00022987
-178.510500,-0.00022746
-178.460500,-0.00022503
-178.410500,-0.00022260
-178.360500,-0.00022013
-178.310500,-0.00021760
-178.260500,-0.00021509
-178.210500,-0.00021264
-178.160500,-0.00021018
-178.110500,-0.00020765
-178.060500,-0.00020511
-178.010500,-0.00020259
-177.960500,-0.00020017
-177.910500,-0.00019784
-177.860500,-0.00019547
-177.810500,-0.00019306
-177.760500,-0.00019069
-177.710500,-0.00018835
-177.660500,-0.00018589
-177.610500,-0.00018343
-177.560500,-0.00018115
-177.510500,-0.00017886
-177.460500,-0.00017658
-177.410500,-0.00017446
-177.360500,-0.00017239
-177.310500,-0.00017027
-177.260500,-0.00016804
-177.210500,-0.00016575
-177.160500,-0.00016350
-177.110500,-0.00016135
-177.060500,-0.00015934
-177.010500,-0.00015728
-176.960500,-0.00015508
-176.910500,-0.00015294
-176.860500,-0.00015087
-176.810500,-0.00014879
-176.760500,-0.00014683
-176.710500,-0.00014492
-176.660500,-0.00014288
-176.610500,-0.00014094
-176.560500,-0.00013914
-176.510500,-0.00013734
-176.460500,-0.00013551
-176.410500,-0.00013359
-176.360500,-0.00013165
-176.310500,-0.00012968
-176.260500,-0.00012774
-176.210500,-0.00012592
-176.160500,-0.00012405
-176.110500,-0.00012210
-176.060500,-0.00012015
-176.010500,-0.00011826
-175.960500,-0.00011650
-175.910500,-0.00011482
-175.860500,-0.00011318
-175.810500,-0.00011142
-175.760500,-0.00010954
-175.710500,-0.00010774
-175.660500,-0.00010594
-175.610500,-0.00010410
-175.560500,-0.00010216
-175.510500,-0.00010002
-175.460500,-0.00009774
-175.410500,-0.00009546
-175.360500,-0.00009329
-175.310500,-0.00009106
-175.260500,-0.00008863
-175.210500,-0.00008607
-175.160500,-0.00008367
-175.110500,-0.00008134
-175.060500,-0.00007885
-175.010500,-0.00007660
-174.960500,-0.00007458
-174.910500,-0.00007233
-174.860500,-0.00006974
-174.810500,-0.00006697
-174.760500,-0.00006437
-174.710500,-0.00006174
-174.660500,-0.00005889
-174.610500,-0.00005613
-174.560500,-0.00005346
-174.510500,-0.00005074
-174.460500,-0.00004786
-174.410500,-0.00004490
-174.360500,-0.00004216
-174.310500,-0.00003948
-174.260500,-0.00003645
-174.210500,-0.00003336
-174.160500,-0.00003055
-174.110500,-0.00002794
-174.060500,-0.00002528
-174.010500,-0.00002245
-173.960500,-0.00001946
-173.910500,-0.00001628
-173.860500,-0.00001331
-173.810500,-0.00001078
-173.760500,-0.00000829
-173.710500,-0.00000551
-173.660500,-0.00000278
-173.610500,-0.00000038
-173.560500,0.00000207
-173.510500,0.00000466
-173.460500,0.00000747
-173.410500,0.00001059
-173.360500,0.00001342
-173.310500,0.00001587
-173.260500,0.00001826
-173.210500,0.00002065
-173.160500,0.00002300
-173.110500,0.00002523
-173.060500,0.00002750
-173.010500,0.00002974
-172.960500,0.00003169
-172.910500,0.00003366
-172.860500,0.00003616
-172.810500,0.00003870
-172.760500,0.00004051
-172.710500,0.00004199
-172.660500,0.00004363
-172.610500,0.00004522
-172.560500,0.00004679
-172.510500,0.00004879
-172.460500,0.00005089
-172.410500,0.00005266
-172.360500,0.00005450
-172.310500,0.00005642
-172.260500,0.00005824
-172.210500,0.00005986
-172.160500,0.00006129
-172.110500,0.00006286
-172.060500,0.00006472
-172.010500,0.00006674
-171.960500,0.00006856
-171.910500,0.00007030
-171.860500,0.00007227
-171.810500,0.00007416
-171.760500,0.00007580
-171.710500,0.00007766
-171.660500,0.00007993
-171.610500,0.00008234
-171.560500,0.00008490
-171.510500,0.00008753
-171.460500,0.00008998
-171.410500,0.00009234
-171.360500,0.00009474
-171.310500,0.00009714
-171.260500,0.00009960
-171.210500,0.00010220
-171.160500,0.00010466
-171.110500,0.00010701
-171.060500,0.00010972
-171.010500,0.00011280
-170.960500,0.00011556
-170.910500,0.00011786
-170.860500,0.00012066
-170.810500,0.00012369
-170.760500,0.00012626
-170.710500,0.00012912
-170.660500,0.00013198
-170.610500,0.00013435
-170.560500,0.00013678
-170.510500,0.00013948
-170.460500,0.00014218
-170.410500,0.00014454
-170.360500,0.00014674
-170.310500,0.00014892
-170.260500,0.00015125
-170.210500,0.00015432
-170.160500,0.00015713
-170.110500,0.00015898
-170.060500,0.00016108
-170.010500,0.00016343
-169.960500,0.00016519
-169.910500,0.00016701
-169.860500,0.00016952
-169.810500,0.00017175
-169.760500,0.00017321
-169.710500,0.00017503
-169.660500,0.00017748
-169.610500,0.00017962
-169.560500,0.00018128
-169.510500,0.00018301
-169.460500,0.00018445
-169.410500,0.00018529
-169.360500,0.00018659
-169.310500,0.00018837
-169.260500,0.00018968
-169.210500,0.00019045
-169.160500,0.00019130
-169.110500,0.00019286
-169.060500,0.00019464
-169.010500,0.00019589
-168.960500,0.00019679
-168.910500,0.00019794
-168.860500,0.00019946
-168.810500,0.00020089
-168.760500,0.00020222
-168.710500,0.00020385
-168.660500,0.00020553
-168.610500,0.00020703
-168.560500,0.00020896
-168.510500,0.00021098
-168.460500,0.00021182
-168.410500,0.00021208
-168.360500,0.00021299
-168.310500,0.00021412
-168.260500,0.00021513
-168.210500,0.00021682
-168.160500,0.00021911
-168.110500,0.00022081
-168.060500,0.00022209
-168.010500,0.00022394
-167.960500,0.00022576
-167.910500,0.00022668
-167.860500,0.00022769
-167.810500,0.00022970
-167.760500,0.00023194
-167.710500,0.00023371
-167.660500,0.00023577
-167.610500,0.00023876
-167.560500,0.00024136
-167.510500,0.00024304
-167.460500,0.00024525
-167.410500,0.00024806
-167.360500,0.00025022
-167.310500,0.00025213
-167.260500,0.00025513
-167.210500,0.00025845
-167.160500,0.00026067
-167.110500,0.00026254
-167.060500,0.00026524
-167.010500,0.00026831
-166.960500,0.00027062
-166.910500,0.00027263
-166.860500,0.00027523
-166.810500,0.00027777
-166.760500,0.00027981
-166.710500,0.00028227
-166.660500,0.00028561
-166.610500,0.00028821
-166.560500,0.00028969
-166.510500,0.00029172
-166.460500,0.00029410
-166.410500,0.00029623
-166.360500,0.00029872
-166.310500,0.00030145
-166.260500,0.00030417
-166.210500,0.00030647
-166.160500,0.00030829
-166.110500,0.00031045
-166.060500,0.00031275
-166.010500,0.00031432
-165.960500,0.00031535
-165.910500,0.00031703
-165.860500,0.00031964
-165.810500,0.00032190
-165.760500,0.00032325
-165.710500,0.00032464
-165.660500,0.00032639
-165.610500,0.00032780
-165.560500,0.00032903
-165.510500,0.00033046
-165.460500,0.00033123
-165.410500,0.00033161
-165.360500,0.00033311
-165.310500,0.00033541
-165.260500,0.00033728
-165.210500,0.00033898
-165.160500,0.00034093
-165.110500,0.00034233
-165.060500,0.00034383
-165.010500,0.00034653
-164.960500,0.00034846
-164.910500,0.00034849
-164.860500,0.00034846
-164.810500,0.00034901
-164.760500,0.00034961
-164.710500,0.00035043
-164.660500,0.00035137
-164.610500,0.00035182
-164.560500,0.00035187
-164.510500,0.00035202
-164.460500,0.00035220
