time,displacement
-179.985462,-0.00009490
-179.960462,-0.00009385
-179.935462,-0.00009281
-179.910462,-0.00009176
-179.885462,-0.00009072
-179.860462,-0.00008968
-179.835462,-0.00008865
-179.810462,-0.00008762
-179.785462,-0.00008660
-179.760462,-0.00008558
-179.735462,-0.00008456
-179.710462,-0.00008355
-179.685462,-0.00008253
-179.660462,-0.00008152
-179.635462,-0.00008050
-179.610462,-0.00007948
-179.585462,-0.00007845
-179.560462,-0.00007742
-179.535462,-0.00007639
-179.510462,-0.00007535
-179.485462,-0.00007431
-179.460462,-0.00007326
-179.435462,-0.00007222
-179.410462,-0.00007120
-179.385462,-0.00007024
-179.360462,-0.00006931
-179.335462,-0.00006839
-179.310462,-0.00006746
-179.285462,-0.00006652
-179.260462,-0.00006562
-179.235462,-0.00006473
-179.210462,-0.00006385
-179.185462,-0.00006295
-179.160462,-0.00006202
-179.135462,-0.00006108
-179.110462,-0.00006011
-179.085462,-0.00005912
-179.060462,-0.00005812
-179.035462,-0.00005714
-179.010462,-0.00005622
-178.985462,-0.00005531
-178.960462,-0.00005437
-178.935462,-0.00005338
-178.910462,-0.00005238
-178.885462,-0.00005144
-178.860462,-0.00005057
-178.835462,-0.00004971
-178.810462,-0.00004880
-178.785462,-0.00004786
-178.760462,-0.00004696
-178.735462,-0.00004615
-178.710462,-0.00004543
-178.685462,-0.00004474
-178.660462,-0.00004403
-178.635462,-0.00004327
-178.610462,-0.00004244
-178.585462,-0.00004154
-178.560462,-0.00004057
-178.535462,-0.00003957
-178.510462,-0.00003858
-178.485462,-0.00003762
-178.460462,-0.00003667
-178.435462,-0.00003571
-178.410462,-0.00003475
-178.385462,-0.00003379
-178.360462,-0.00003284
-178.335462,-0.00003193
-178.310462,-0.00003107
-178.285462,-0.00003031
-178.260462,-0.00002963
-178.235462,-0.00002898
-178.210462,-0.00002825
-178.185462,-0.00002745
-178.160462,-0.00002665
-178.135462,-0.00002593
-178.110462,-0.00002528
-178.085462,-0.00002460
-178.060462,-0.00002377
-178.035462,-0.00002278
-178.010462,-0.00002168
-177.985462,-0.00002056
-177.960462,-0.00001947
-177.935462,-0.00001847
-177.910462,-0.00001758
-177.885462,-0.00001678
-177.860462,-0.00001597
-177.835462,-0.00001509
-177.810462,-0.00001413
-177.785462,-0.00001316
-177.760462,-0.00001224
-177.735462,-0.00001144
-177.710462,-0.00001079
-177.685462,-0.00001027
-177.660462,-0.00000979
-177.635462,-0.00000922
-177.610462,-0.00000847
-177.585462,-0.00000756
-177.560462,-0.00000658
-177.535462,-0.00000559
-177.510462,-0.00000457
-177.485462,-0.00000351
-177.460462,-0.00000242
-177.435462,-0.00000135
-177.410462,-0.00000030
-177.385462,0.00000081
-177.360462,0.00000197
-177.335462,0.00000309
-177.310462,0.00000408
-177.285462,0.00000492
-177.260462,0.00000562
-177.235462,0.00000617
-177.210462,0.00000656
-177.185462,0.00000686
-177.160462,0.00000728
-177.135462,0.00000796
-177.110462,0.00000888
-177.085462,0.00000984
-177.060462,0.00001076
-177.035462,0.00001173
-177.010462,0.00001293
-176.985462,0.00001430
-176.960462,0.00001559
-176.935462,0.00001663
-176.910462,0.00001751
-176.885462,0.00001840
-176.860462,0.00001937
-176.835462,0.00002025
-176.810462,0.00002090
-176.785462,0.00002131
-176.760462,0.00002162
-176.735462,0.00002193
-176.710462,0.00002227
-176.685462,0.00002268
-176.660462,0.00002331
-176.635462,0.00002421
-176.610462,0.00002530
-176.585462,0.00002638
-176.560462,0.00002731
-176.535462,0.00002819
-176.510462,0.00002919
-176.485462,0.00003037
-176.460462,0.00003163
-176.435462,0.00003276
-176.410462,0.00003367
-176.385462,0.00003441
-176.360462,0.00003510
-176.335462,0.00003576
-176.310462,0.00003628
-176.285462,0.00003660
-176.260462,0.00003677
-176.235462,0.00003700
-176.210462,0.00003746
-176.185462,0.00003811
-176.160462,0.00003873
-176.135462,0.00003914
-176.110462,0.00003937
-176.085462,0.00003965
-176.060462,0.00004017
-176.035462,0.00004096
-176.010462,0.00004198
-175.985462,0.00004320
-175.960462,0.00004458
-175.935462,0.00004595
-175.910462,0.00004704
-175.885462,0.00004766
-175.860462,0.00004798
-175.835462,0.00004832
-175.810462,0.00004883
-175.785462,0.00004936
-175.760462,0.00004968
-175.735462,0.00004982
-175.710462,0.00005004
-175.685462,0.00005054
-175.660462,0.00005120
-175.635462,0.00005173
-175.610462,0.00005210
-175.585462,0.00005255
-175.560462,0.00005328
-175.535462,0.00005417
-175.510462,0.00005488
-175.485462,0.00005531
-175.460462,0.00005575
-175.435462,0.00005653
-175.410462,0.00005760
-175.385462,0.00005863
-175.360462,0.00005933
-175.335462,0.00005980
-175.310462,0.00006032
-175.285462,0.00006104
-175.260462,0.00006182
-175.235462,0.00006252
-175.210462,0.00006311
-175.185462,0.00006362
-175.160462,0.00006394
-175.135462,0.00006395
-175.110462,0.00006377
-175.085462,0.00006386
-175.060462,0.00006464
-175.035462,0.00006602
-175.010462,0.00006750
-174.985462,0.00006863
-174.960462,0.00006944
-174.935462,0.00007032
-174.910462,0.00007145
-174.885462,0.00007266
-174.860462,0.00007367
-174.835462,0.00007447
-174.810462,0.00007528
-174.785462,0.00007615
-174.760462,0.00007680
-174.735462,0.00007697
-174.710462,0.00007681
-174.685462,0.00007684
-174.660462,0.00007740
-174.635462,0.00007836
-174.610462,0.00007937
-174.585462,0.00008039
-174.560462,0.00008166
-174.535462,0.00008330
-174.510462,0.00008501
-174.485462,0.00008637
-174.460462,0.00008737
-174.435462,0.00008839
-174.410462,0.00008969
-174.385462,0.00009107
-174.360462,0.00009218
-174.335462,0.00009296
-174.310462,0.00009372
-174.285462,0.00009461
-174.260462,0.00009535
-174.235462,0.00009557
-174.210462,0.00009537
-174.185462,0.00009534
-174.160462,0.00009594
-174.135462,0.00009712
-174.110462,0.00009849
-174.085462,0.00009979
-174.060462,0.00010112
-174.035462,0.00010260
-174.010462,0.00010419
-173.985462,0.00010578
-173.960462,0.00010743
-173.935462,0.00010924
-173.910462,0.00011116
-173.885462,0.00011285
-173.860462,0.00011394
-173.835462,0.00011436
-173.810462,0.00011439
-173.785462,0.00011444
-173.760462,0.00011479
-173.735462,0.00011545
-173.710462,0.00011614
-173.685462,0.00011659
-173.660462,0.00011680
-173.635462,0.00011717
-173.610462,0.00011818
-173.585462,0.00011986
-173.560462,0.00012177
-173.535462,0.00012340
-173.510462,0.00012475
-173.485462,0.00012622
-173.460462,0.00012807
-173.435462,0.00013009
-173.410462,0.00013187
-173.385462,0.00013329
-173.360462,0.00013458
-173.335462,0.00013589
-173.310462,0.00013704
-173.285462,0.00013777
-173.260462,0.00013810
-173.235462,0.00013838
-173.210462,0.00013891
-173.185462,0.00013971
-173.160462,0.00014063
-173.135462,0.00014154
-173.110462,0.00014241
-173.085462,0.00014319
-173.060462,0.00014384
-173.035462,0.00014450
-173.010462,0.00014539
-172.985462,0.00014662
-172.960462,0.00014808
-172.935462,0.00014960
-172.910462,0.00015121
-172.885462,0.00015300
-172.860462,0.00015487
-172.835462,0.00015646
-172.810462,0.00015751
-172.785462,0.00015813
-172.760462,0.00015870
-172.735462,0.00015937
-172.710462,0.00015993
-172.685462,0.00016018
-172.660462,0.00016032
-172.635462,0.00016087
-172.610462,0.00016206
-172.585462,0.00016355
-172.560462,0.00016470
-172.535462,0.00016531
-172.510462,0.00016581
-172.485462,0.00016685
-172.460462,0.00016850
-172.435462,0.00017017
-172.410462,0.00017119
-172.385462,0.00017151
-172.360462,0.00017170
-172.335462,0.00017229
-172.310462,0.00017319
-172.285462,0.00017388
-172.260462,0.00017414
-172.235462,0.00017424
-172.210462,0.00017464
-172.185462,0.00017537
-172.160462,0.00017611
-172.135462,0.00017669
-172.110462,0.00017741
-172.085462,0.00017862
-172.060462,0.00018023
-172.035462,0.00018169
-172.010462,0.00018259
-171.985462,0.00018301
-171.960462,0.00018338
-171.935462,0.00018395
-171.910462,0.00018462
-171.885462,0.00018523
-171.860462,0.00018574
-171.835462,0.00018619
-171.810462,0.00018659
-171.785462,0.00018691
-171.760462,0.00018715
-171.735462,0.00018724
-171.710462,0.00018703
-171.685462,0.00018641
-171.660462,0.00018563
-171.635462,0.00018529
-171.610462,0.00018583
-171.585462,0.00018716
-171.560462,0.00018872
-171.535462,0.00019016
-171.510462,0.00019154
-171.485462,0.00019308
-171.460462,0.00019465
-171.435462,0.00019577
-171.410462,0.00019613
-171.385462,0.00019594
-171.360462,0.00019569
-171.335462,0.00019567
-171.310462,0.00019580
-171.285462,0.00019585
-171.260462,0.00019575
-171.235462,0.00019552
-171.210462,0.00019517
-171.185462,0.00019474
-171.160462,0.00019442
-171.135462,0.00019460
-171.110462,0.00019554
-171.085462,0.00019713
-171.060462,0.00019888
-171.035462,0.00020032
-171.010462,0.00020126
-170.985462,0.00020186
-170.960462,0.00020241
-170.935462,0.00020308
-170.910462,0.00020388
-170.885462,0.00020459
-170.860462,0.00020500
-170.835462,0.00020501
-170.810462,0.00020478
-170.785462,0.00020460
-170.760462,0.00020468
-170.735462,0.00020503
-170.710462,0.00020555
-170.685462,0.00020616
-170.660462,0.00020681
-170.635462,0.00020739
-170.610462,0.00020765
-170.585462,0.00020746
-170.560462,0.00020710
-170.535462,0.00020705
-170.510462,0.00020758
-170.485462,0.00020842
-170.460462,0.00020910
-170.435462,0.00020953
-170.410462,0.00021007
-170.385462,0.00021108
-170.360462,0.00021235
-170.335462,0.00021331
-170.310462,0.00021371
-170.285462,0.00021386
-170.260462,0.00021422
-170.235462,0.00021480
-170.210462,0.00021524
-170.185462,0.00021541
-170.160462,0.00021560
-170.135462,0.00021605
-170.110462,0.00021643
-170.085462,0.00021624
-170.060462,0.00021551
-170.035462,0.00021503
-170.010462,0.00021555
-169.985462,0.00021694
-169.960462,0.00021838
-169.935462,0.00021934
-169.910462,0.00022009
-169.885462,0.00022109
-169.860462,0.00022215
-169.835462,0.00022247
-169.810462,0.00022168
-169.785462,0.00022046
-169.760462,0.00022000
-169.735462,0.00022077
-169.710462,0.00022216
-169.685462,0.00022324
-169.660462,0.00022368
-169.635462,0.00022391
-169.610462,0.00022437
-169.585462,0.00022496
-169.560462,0.00022527
-169.535462,0.00022519
-169.510462,0.00022514
-169.485462,0.00022560
-169.460462,0.00022663
-169.435462,0.00022779
-169.410462,0.00022864
-169.385462,0.00022914
-169.360462,0.00022951
-169.335462,0.00022991
-169.310462,0.00023025
-169.285462,0.00023037
-169.260462,0.00023043
-169.235462,0.00023077
-169.210462,0.00023155
-169.185462,0.00023249
-169.160462,0.00023315
-169.135462,0.00023342
-169.110462,0.00023360
-169.085462,0.00023394
-169.060462,0.00023425
-169.035462,0.00023425
-169.010462,0.00023403
-168.985462,0.00023414
-168.960462,0.00023493
-168.935462,0.00023611
-168.910462,0.00023709
-168.885462,0.00023776
-168.860462,0.00023854
-168.835462,0.00023972
-168.810462,0.00024091
-168.785462,0.00024147
-168.760462,0.00024139
-168.735462,0.00024142
-168.710462,0.00024223
-168.685462,0.00024363
-168.660462,0.00024485
-168.635462,0.00024552
-168.610462,0.00024601
-168.585462,0.00024687
-168.560462,0.00024817
-168.535462,0.00024957
-168.510462,0.00025103
-168.485462,0.00025288
-168.460462,0.00025528
-168.435462,0.00025774
-168.410462,0.00025941
-168.385462,0.00025994
-168.360462,0.00025977
-168.335462,0.00025977
-168.310462,0.00026045
-168.285462,0.00026176
-168.260462,0.00026329
-168.235462,0.00026475
-168.210462,0.00026601
-168.185462,0.00026703
-168.160462,0.00026777
-168.135462,0.00026835
-168.110462,0.00026901
-168.085462,0.00027013
-168.060462,0.00027198
-168.035462,0.00027452
-168.010462,0.00027747
-167.985462,0.00028048
-167.960462,0.00028329
-167.935462,0.00028571
-167.910462,0.00028760
-167.885462,0.00028904
-167.860462,0.00029041
-167.835462,0.00029218
-167.810462,0.00029443
-167.785462,0.00029663
-167.760462,0.00029807
-167.735462,0.00029857
-167.710462,0.00029866
-167.685462,0.00029906
-167.660462,0.00030008
-167.635462,0.00030163
-167.610462,0.00030353
-167.585462,0.00030577
-167.560462,0.00030824
-167.535462,0.00031056
-167.510462,0.00031237
-167.485462,0.00031372
-167.460462,0.00031493
-167.435462,0.00031618
-167.410462,0.00031738
-167.385462,0.00031841
-167.360462,0.00031936
-167.335462,0.00032034
-167.310462,0.00032126
-167.285462,0.00032193
-167.260462,0.00032242
-167.235462,0.00032309
-167.210462,0.00032411
-167.185462,0.00032525
-167.160462,0.00032621
-167.135462,0.00032705
-167.110462,0.00032818
-167.085462,0.00032983
-167.060462,0.00033170
-167.035462,0.00033330
-167.010462,0.00033440
-166.985462,0.00033506
-166.960462,0.00033529
-166.935462,0.00033505
-166.910462,0.00033452
-166.885462,0.00033424
-166.860462,0.00033456
-166.835462,0.00033522
-166.810462,0.00033553
-166.785462,0.00033510
-166.760462,0.00033431
-166.735462,0.00033392
-166.710462,0.00033423
-166.685462,0.00033482
-166.660462,0.00033507
-166.635462,0.00033486
-166.610462,0.00033457
-166.585462,0.00033456
-166.560462,0.00033469
-166.535462,0.00033451
-166.510462,0.00033390
-166.485462,0.00033328
-166.460462,0.00033317
-166.435462,0.00033355
-166.410462,0.00033381
-166.385462,0.00033344
-166.360462,0.00033256
-166.335462,0.00033171
-166.310462,0.00033111
-166.285462,0.00033035
-166.260462,0.00032904
-166.235462,0.00032740
-166.210462,0.00032610
-166.185462,0.00032547
-166.160462,0.00032501
-166.135462,0.00032402
-166.110462,0.00032247
-166.085462,0.00032112
-166.060462,0.00032065
-166.035462,0.00032096
-166.010462,0.00032130
-165.985462,0.00032106
-165.960462,0.00032023
-165.935462,0.00031924
-165.910462,0.00031839
-165.885462,0.00031758
-165.860462,0.00031662
-165.835462,0.00031551
-165.810462,0.00031453
-165.785462,0.00031386
-165.760462,0.00031326
-165.735462,0.00031225
-165.710462,0.00031069
