time,displacement
-179.985462,0.00043420
-179.960462,0.00043380
-179.935462,0.00043340
-179.910462,0.00043300
-179.885462,0.00043260
-179.860462,0.00043220
-179.835462,0.00043181
-179.810462,0.00043141
-179.785462,0.00043103
-179.760462,0.00043065
-179.735462,0.00043026
-179.710462,0.00042988
-179.685462,0.00042948
-179.660462,0.00042910
-179.635462,0.00042874
-179.610462,0.00042841
-179.585462,0.00042808
-179.560462,0.00042774
-179.535462,0.00042739
-179.510462,0.00042704
-179.485462,0.00042669
-179.460462,0.00042635
-179.435462,0.00042603
-179.410462,0.00042573
-179.385462,0.00042543
-179.360462,0.00042509
-179.335462,0.00042470
-179.310462,0.00042425
-179.285462,0.00042377
-179.260462,0.00042333
-179.235462,0.00042292
-179.210462,0.00042255
-179.185462,0.00042221
-179.160462,0.00042189
-179.135462,0.00042163
-179.110462,0.00042139
-179.085462,0.00042116
-179.060462,0.00042093
-179.035462,0.00042072
-179.010462,0.00042052
-178.985462,0.00042028
-178.960462,0.00041997
-178.935462,0.00041960
-178.910462,0.00041919
-178.885462,0.00041879
-178.860462,0.00041838
-178.835462,0.00041797
-178.810462,0.00041755
-178.785462,0.00041716
-178.760462,0.00041681
-178.735462,0.00041647
-178.710462,0.00041615
-178.685462,0.00041588
-178.660462,0.00041573
-178.635462,0.00041565
-178.610462,0.00041556
-178.585462,0.00041539
-178.560462,0.00041518
-178.535462,0.00041498
-178.510462,0.00041479
-178.485462,0.00041458
-178.460462,0.00041427
-178.435462,0.00041387
-178.410462,0.00041345
-178.385462,0.00041305
-178.360462,0.00041271
-178.335462,0.00041243
-178.310462,0.00041221
-178.285462,0.00041201
-178.260462,0.00041176
-178.235462,0.00041142
-178.210462,0.00041101
-178.185462,0.00041057
-178.160462,0.00041015
-178.135462,0.00040978
-178.110462,0.00040953
-178.085462,0.00040943
-178.060462,0.00040949
-178.035462,0.00040959
-178.010462,0.00040955
-177.985462,0.00040931
-177.960462,0.00040893
-177.935462,0.00040856
-177.910462,0.00040833
-177.885462,0.00040826
-177.860462,0.00040829
-177.835462,0.00040832
-177.810462,0.00040821
-177.785462,0.00040791
-177.760462,0.00040745
-177.735462,0.00040693
-177.710462,0.00040644
-177.685462,0.00040600
-177.660462,0.00040561
-177.635462,0.00040529
-177.610462,0.00040504
-177.585462,0.00040484
-177.560462,0.00040468
-177.535462,0.00040456
-177.510462,0.00040455
-177.485462,0.00040466
-177.460462,0.00040485
-177.435462,0.00040496
-177.410462,0.00040487
-177.385462,0.00040455
-177.360462,0.00040409
-177.335462,0.00040360
-177.310462,0.00040316
-177.285462,0.00040281
-177.260462,0.00040249
-177.235462,0.00040213
-177.210462,0.00040171
-177.185462,0.00040129
-177.160462,0.00040101
-177.135462,0.00040095
-177.110462,0.00040108
-177.085462,0.00040128
-177.060462,0.00040143
-177.035462,0.00040141
-177.010462,0.00040115
-176.985462,0.00040066
-176.960462,0.00040002
-176.935462,0.00039943
-176.910462,0.00039902
-176.885462,0.00039877
-176.860462,0.00039854
-176.835462,0.00039820
-176.810462,0.00039773
-176.785462,0.00039724
-176.760462,0.00039681
-176.735462,0.00039654
-176.710462,0.00039645
-176.685462,0.00039652
-176.660462,0.00039663
-176.635462,0.00039660
-176.610462,0.00039634
-176.585462,0.00039596
-176.560462,0.00039563
-176.535462,0.00039545
-176.510462,0.00039532
-176.485462,0.00039510
