time,displacement
-179.985462,0.00063600
-179.960462,0.00063497
-179.935462,0.00063394
-179.910462,0.00063290
-179.885462,0.00063185
-179.860462,0.00063080
-179.835462,0.00062976
-179.810462,0.00062874
-179.785462,0.00062772
-179.760462,0.00062669
-179.735462,0.00062563
-179.710462,0.00062457
-179.685462,0.00062353
-179.660462,0.00062249
-179.635462,0.00062142
-179.610462,0.00062035
-179.585462,0.00061932
-179.560462,0.00061834
-179.535462,0.00061735
-179.510462,0.00061629
-179.485462,0.00061516
-179.460462,0.00061403
-179.435462,0.00061296
-179.410462,0.00061196
-179.385462,0.00061094
-179.360462,0.00060988
-179.335462,0.00060881
-179.310462,0.00060778
-179.285462,0.00060674
-179.260462,0.00060565
-179.235462,0.00060453
-179.210462,0.00060346
-179.185462,0.00060253
-179.160462,0.00060166
-179.135462,0.00060069
-179.110462,0.00059952
-179.085462,0.00059827
-179.060462,0.00059710
-179.035462,0.00059609
-179.010462,0.00059514
-178.985462,0.00059413
-178.960462,0.00059306
-178.935462,0.00059198
-178.910462,0.00059092
-178.885462,0.00058981
-178.860462,0.00058862
-178.835462,0.00058742
-178.810462,0.00058634
-178.785462,0.00058539
-178.760462,0.00058445
-178.735462,0.00058341
-178.710462,0.00058227
-178.685462,0.00058116
-178.660462,0.00058015
-178.635462,0.00057917
-178.610462,0.00057812
-178.585462,0.00057698
-178.560462,0.00057584
-178.535462,0.00057478
-178.510462,0.00057374
-178.485462,0.00057264
-178.460462,0.00057146
-178.435462,0.00057033
-178.410462,0.00056934
-178.385462,0.00056840
-178.360462,0.00056733
-178.335462,0.00056605
-178.310462,0.00056470
-178.285462,0.00056354
-178.260462,0.00056261
-178.235462,0.00056175
-178.210462,0.00056070
-178.185462,0.00055941
-178.160462,0.00055809
-178.135462,0.00055693
-178.110462,0.00055593
-178.085462,0.00055491
-178.060462,0.00055374
-178.035462,0.00055249
-178.010462,0.00055130
-177.985462,0.00055021
-177.960462,0.00054913
-177.935462,0.00054796
-177.910462,0.00054669
-177.885462,0.00054540
-177.860462,0.00054413
-177.835462,0.00054293
-177.810462,0.00054183
-177.785462,0.00054079
-177.760462,0.00053973
-177.735462,0.00053851
-177.710462,0.00053714
-177.685462,0.00053581
-177.660462,0.00053471
-177.635462,0.00053380
-177.610462,0.00053281
-177.585462,0.00053153
-177.560462,0.00053002
-177.535462,0.00052859
-177.510462,0.00052744
-177.485462,0.00052645
-177.460462,0.00052538
-177.435462,0.00052412
-177.410462,0.00052280
-177.385462,0.00052158
-177.360462,0.00052037
-177.335462,0.00051896
-177.310462,0.00051734
-177.285462,0.00051580
-177.260462,0.00051471
-177.235462,0.00051406
-177.210462,0.00051341
-177.185462,0.00051229
-177.160462,0.00051068
-177.135462,0.00050898
-177.110462,0.00050762
-177.085462,0.00050662
-177.060462,0.00050570
-177.035462,0.00050459
-177.010462,0.00050333
-176.985462,0.00050209
-176.960462,0.00050087
-176.935462,0.00049954
-176.910462,0.00049808
-176.885462,0.00049668
-176.860462,0.00049552
-176.835462,0.00049453
-176.810462,0.00049342
-176.785462,0.00049204
-176.760462,0.00049056
-176.735462,0.00048933
-176.710462,0.00048847
-176.685462,0.00048769
-176.660462,0.00048666
-176.635462,0.00048529
-176.610462,0.00048379
-176.585462,0.00048238
-176.560462,0.00048106
-176.535462,0.00047973
