time,displacement
-179.960462,-0.00638854
-179.910462,-0.00639444
-179.860462,-0.00640065
-179.810462,-0.00640636
-179.760462,-0.00641239
-179.710462,-0.00641792
-179.660462,-0.00642377
-179.610462,-0.00642913
-179.560462,-0.00643481
-179.510462,-0.00644001
-179.460462,-0.00644551
-179.410462,-0.00645056
-179.360462,-0.00645588
-179.310462,-0.00646078
-179.260462,-0.00646592
-179.210462,-0.00647065
-179.160462,-0.00647563
-179.110462,-0.00648026
-179.060462,-0.00648510
-179.010462,-0.00648962
-178.960462,-0.00649430
-178.910462,-0.00649875
-178.860462,-0.00650333
-178.810462,-0.00650771
-178.760462,-0.00651216
-178.710462,-0.00651647
-178.660462,-0.00652082
-178.610462,-0.00652507
-178.560462,-0.00652931
-178.510462,-0.00653347
-178.460462,-0.00653756
-178.410462,-0.00654166
-178.360462,-0.00654560
-178.310462,-0.00654961
-178.260462,-0.00655341
-178.210462,-0.00655736
-178.160462,-0.00656103
-178.110462,-0.00656490
-178.060462,-0.00656845
-178.010462,-0.00657224
-177.960462,-0.00657562
-177.910462,-0.00657927
-177.860462,-0.00658247
-177.810462,-0.00658602
-177.760462,-0.00658903
-177.710462,-0.00659239
-177.660462,-0.00659517
-177.610462,-0.00659832
-177.560462,-0.00660080
-177.510462,-0.00660370
-177.460462,-0.00660582
-177.410462,-0.00660838
-177.360462,-0.00661014
-177.310462,-0.00661239
-177.260462,-0.00661379
-177.210462,-0.00661566
-177.160462,-0.00661667
-177.110462,-0.00661822
-177.060462,-0.00661889
-177.010462,-0.00662017
-176.960462,-0.00662047
-176.910462,-0.00662140
-176.860462,-0.00662139
-176.810462,-0.00662204
-176.760462,-0.00662185
-176.710462,-0.00662237
-176.660462,-0.00662203
-176.610462,-0.00662247
-176.560462,-0.00662207
-176.510462,-0.00662245
-176.460462,-0.00662198
-176.410462,-0.00662235
-176.360462,-0.00662180
-176.310462,-0.00662206
-176.260462,-0.00662149
-176.210462,-0.00662171
-176.160462,-0.00662111
-176.110462,-0.00662125
-176.060462,-0.00662073
-176.010462,-0.00662097
-175.960462,-0.00662057
-175.910462,-0.00662094
-175.860462,-0.00662075
-175.810462,-0.00662124
-175.760462,-0.00662111
-175.710462,-0.00662168
-175.660462,-0.00662175
-175.610462,-0.00662245
-175.560462,-0.00662266
-175.510462,-0.00662344
-175.460462,-0.00662389
-175.410462,-0.00662484
-175.360462,-0.00662549
-175.310462,-0.00662650
-175.260462,-0.00662719
-175.210462,-0.00662820
-175.160462,-0.00662874
-175.110462,-0.00662950
-175.060462,-0.00662986
-175.010462,-0.00663026
-174.960462,-0.00663012
-174.910462,-0.00663006
-174.860462,-0.00662956
-174.810462,-0.00662911
-174.760462,-0.00662793
-174.710462,-0.00662667
-174.660462,-0.00662486
-174.610462,-0.00662314
-174.560462,-0.00662073
-174.510462,-0.00661834
-174.460462,-0.00661542
-174.410462,-0.00661234
-174.360462,-0.00660882
-174.310462,-0.00660546
-174.260462,-0.00660163
-174.210462,-0.00659793
-174.160462,-0.00659356
-174.110462,-0.00658933
-174.060462,-0.00658454
-174.010462,-0.00657993
-173.960462,-0.00657486
-173.910462,-0.00657001
-173.860462,-0.00656472
-173.810462,-0.00655964
-173.760462,-0.00655427
-173.710462,-0.00654884
-173.660462,-0.00654308
-173.610462,-0.00653753
-173.560462,-0.00653167
-173.510462,-0.00652620
-173.460462,-0.00652029
-173.410462,-0.00651465
-173.360462,-0.00650873
-173.310462,-0.00650329
-173.260462,-0.00649749
-173.210462,-0.00649197
-173.160462,-0.00648609
-173.110462,-0.00648056
-173.060462,-0.00647483
-173.010462,-0.00646944
-172.960462,-0.00646377
-172.910462,-0.00645868
-172.860462,-0.00645332
-172.810462,-0.00644852
-172.760462,-0.00644345
-172.710462,-0.00643900
-172.660462,-0.00643439
-172.610462,-0.00643014
-172.560462,-0.00642576
-172.510462,-0.00642198
-172.460462,-0.00641810
-172.410462,-0.00641472
-172.360462,-0.00641124
-172.310462,-0.00640821
-172.260462,-0.00640512
-172.210462,-0.00640235
-172.160462,-0.00639981
-172.110462,-0.00639753
-172.060462,-0.00639536
-172.010462,-0.00639321
-171.960462,-0.00639123
-171.910462,-0.00638931
-171.860462,-0.00638733
-171.810462,-0.00638517
-171.760462,-0.00638293
-171.710462,-0.00638051
-171.660462,-0.00637784
-171.610462,-0.00637493
-171.560462,-0.00637170
-171.510462,-0.00636805
-171.460462,-0.00636411
-171.410462,-0.00636008
-171.360462,-0.00635564
-171.310462,-0.00635124
-171.260462,-0.00634629
-171.210462,-0.00634128
-171.160462,-0.00633595
-171.110462,-0.00633059
-171.060462,-0.00632484
-171.010462,-0.00631882
-170.960462,-0.00631240
-170.910462,-0.00630570
-170.860462,-0.00629837
-170.810462,-0.00629082
-170.760462,-0.00628276
-170.710462,-0.00627455
-170.660462,-0.00626596
-170.610462,-0.00625719
-170.560462,-0.00624808
-170.510462,-0.00623880
-170.460462,-0.00622906
-170.410462,-0.00621924
-170.360462,-0.00620912
-170.310462,-0.00619924
-170.260462,-0.00618882
-170.210462,-0.00617884
-170.160462,-0.00616807
-170.110462,-0.00615781
-170.060462,-0.00614677
-170.010462,-0.00613635
-169.960462,-0.00612479
-169.910462,-0.00611384
-169.860462,-0.00610190
-169.810462,-0.00609079
-169.760462,-0.00607872
-169.710462,-0.00606769
-169.660462,-0.00605608
-169.610462,-0.00604540
-169.560462,-0.00603427
-169.510462,-0.00602443
-169.460462,-0.00601391
-169.410462,-0.00600452
-169.360462,-0.00599426
-169.310462,-0.00598535
-169.260462,-0.00597582
-169.210462,-0.00596735
-169.160462,-0.00595847
-169.110462,-0.00595058
-169.060462,-0.00594245
-169.010462,-0.00593506
-168.960462,-0.00592766
-168.910462,-0.00592066
-168.860462,-0.00591343
-168.810462,-0.00590629
-168.760462,-0.00589891
-168.710462,-0.00589187
-168.660462,-0.00588439
-168.610462,-0.00587676
-168.560462,-0.00586880
-168.510462,-0.00586013
-168.460462,-0.00585150
-168.410462,-0.00584228
-168.360462,-0.00583305
-168.310462,-0.00582298
-168.260462,-0.00581316
-168.210462,-0.00580266
-168.160462,-0.00579249
-168.110462,-0.00578113
-168.060462,-0.00577062
-168.010462,-0.00575869
-167.960462,-0.00574795
-167.910462,-0.00573608
-167.860462,-0.00572531
-167.810462,-0.00571335
-167.760462,-0.00570288
-167.710462,-0.00569131
-167.660462,-0.00568108
-167.610462,-0.00566997
-167.560462,-0.00566031
-167.510462,-0.00564972
-167.460462,-0.00564046
-167.410462,-0.00563041
-167.360462,-0.00562186
-167.310462,-0.00561230
-167.260462,-0.00560399
-167.210462,-0.00559473
-167.160462,-0.00558697
-167.110462,-0.00557801
-167.060462,-0.00557038
-167.010462,-0.00556152
-166.960462,-0.00555383
-166.910462,-0.00554516
-166.860462,-0.00553746
-166.810462,-0.00552893
-166.760462,-0.00552123
-166.710462,-0.00551237
-166.660462,-0.00550465
-166.610462,-0.00549553
-166.560462,-0.00548778
-166.510462,-0.00547852
-166.460462,-0.00547039
-166.410462,-0.00546121
-166.360462,-0.00545249
-166.310462,-0.00544284
-166.260462,-0.00543408
-166.210462,-0.00542378
