time,displacement
-179.960462,-0.00433130
-179.910462,-0.00431563
-179.860462,-0.00429930
-179.810462,-0.00428359
-179.760462,-0.00426722
-179.710462,-0.00425145
-179.660462,-0.00423503
-179.610462,-0.00421920
-179.560462,-0.00420269
-179.510462,-0.00418680
-179.460462,-0.00417022
-179.410462,-0.00415422
-179.360462,-0.00413756
-179.310462,-0.00412148
-179.260462,-0.00410472
-179.210462,-0.00408851
-179.160462,-0.00407164
-179.110462,-0.00405529
-179.060462,-0.00403830
-179.010462,-0.00402183
-178.960462,-0.00400472
-178.910462,-0.00398813
-178.860462,-0.00397089
-178.810462,-0.00395420
-178.760462,-0.00393688
-178.710462,-0.00392009
-178.660462,-0.00390268
-178.610462,-0.00388583
-178.560462,-0.00386839
-178.510462,-0.00385142
-178.460462,-0.00383382
-178.410462,-0.00381671
-178.360462,-0.00379893
-178.310462,-0.00378163
-178.260462,-0.00376371
-178.210462,-0.00374628
-178.160462,-0.00372819
-178.110462,-0.00371057
-178.060462,-0.00369234
-178.010462,-0.00367461
-177.960462,-0.00365625
-177.910462,-0.00363849
-177.860462,-0.00362008
-177.810462,-0.00360223
-177.760462,-0.00358373
-177.710462,-0.00356588
-177.660462,-0.00354742
-177.610462,-0.00352960
-177.560462,-0.00351120
-177.510462,-0.00349353
-177.460462,-0.00347535
-177.410462,-0.00345783
-177.360462,-0.00343987
-177.310462,-0.00342260
-177.260462,-0.00340489
-177.210462,-0.00338788
-177.160462,-0.00337041
-177.110462,-0.00335370
-177.060462,-0.00333651
-177.010462,-0.00331992
-176.960462,-0.00330277
-176.910462,-0.00328620
-176.860462,-0.00326911
-176.810462,-0.00325253
-176.760462,-0.00323529
-176.710462,-0.00321862
-176.660462,-0.00320127
-176.610462,-0.00318444
-176.560462,-0.00316689
-176.510462,-0.00314980
-176.460462,-0.00313201
-176.410462,-0.00311460
-176.360462,-0.00309654
-176.310462,-0.00307877
-176.260462,-0.00306032
-176.210462,-0.00304230
-176.160462,-0.00302364
-176.110462,-0.00300523
-176.060462,-0.00298632
-176.010462,-0.00296773
-175.960462,-0.00294856
-175.910462,-0.00292959
-175.860462,-0.00291004
-175.810462,-0.00289082
-175.760462,-0.00287105
-175.710462,-0.00285143
-175.660462,-0.00283128
-175.610462,-0.00281139
-175.560462,-0.00279105
-175.510462,-0.00277086
-175.460462,-0.00275034
-175.410462,-0.00273004
-175.360462,-0.00270950
-175.310462,-0.00268930
-175.260462,-0.00266881
-175.210462,-0.00264868
-175.160462,-0.00262825
-175.110462,-0.00260812
-175.060462,-0.00258797
-175.010462,-0.00256815
-174.960462,-0.00254817
-174.910462,-0.00252844
-174.860462,-0.00250880
-174.810462,-0.00248933
-174.760462,-0.00246987
-174.710462,-0.00245048
-174.660462,-0.00243129
-174.610462,-0.00241214
-174.560462,-0.00239311
-174.510462,-0.00237414
-174.460462,-0.00235536
-174.410462,-0.00233646
-174.360462,-0.00231782
-174.310462,-0.00229899
-174.260462,-0.00228055
-174.210462,-0.00226185
-174.160462,-0.00224344
-174.110462,-0.00222460
-174.060462,-0.00220598
-174.010462,-0.00218696
-173.960462,-0.00216836
-173.910462,-0.00214935
-173.860462,-0.00213048
-173.810462,-0.00211115
-173.760462,-0.00209207
-173.710462,-0.00207242
-173.660462,-0.00205301
-173.610462,-0.00203313
-173.560462,-0.00201345
-173.510462,-0.00199325
-173.460462,-0.00197322
-173.410462,-0.00195254
-173.360462,-0.00193215
-173.310462,-0.00191125
-173.260462,-0.00189043
-173.210462,-0.00186898
-173.160462,-0.00184780
-173.110462,-0.00182626
-173.060462,-0.00180506
-173.010462,-0.00178325
-172.960462,-0.00176185
-172.910462,-0.00174001
-172.860462,-0.00171841
-172.810462,-0.00169644
-172.760462,-0.00167477
-172.710462,-0.00165272
-172.660462,-0.00163097
-172.610462,-0.00160902
-172.560462,-0.00158733
-172.510462,-0.00156534
-172.460462,-0.00154364
-172.410462,-0.00152186
-172.360462,-0.00150042
-172.310462,-0.00147885
-172.260462,-0.00145745
-172.210462,-0.00143607
-172.160462,-0.00141488
-172.110462,-0.00139369
-172.060462,-0.00137251
-172.010462,-0.00135147
-171.960462,-0.00133036
-171.910462,-0.00130957
-171.860462,-0.00128853
-171.810462,-0.00126777
-171.760462,-0.00124665
-171.710462,-0.00122614
-171.660462,-0.00120508
-171.610462,-0.00118466
-171.560462,-0.00116353
-171.510462,-0.00114319
-171.460462,-0.00112208
-171.410462,-0.00110177
